family,arch,seed,checkpoint,arm,role,group,n,mean_gain,repeated_nll,unrepeated_control_nll,normalized_gain_by_control,gain_sd,gain_se
copy,D,43122,chck_80M,D_V_43122,V,ALL,2000,3.943292389707587,0.42680380292754977,4.370096192635137,0.9023353756727742,3.9550549009268883,0.08843771613216218
copy,D,43122,chck_90M,D_C_43122,C,ALL,2000,3.632369517340553,0.4261203610079058,4.058489878348459,0.895005193118454,3.737962018743296,0.08358337171222352
copy,D,43122,chck_90M,D_R_43122,R,ALL,2000,4.278936018238308,0.23462003241361004,4.513556050651918,0.9480188060631877,4.210557164978666,0.09415092044041093
copy,D,43122,chck_90M,D_V_43122,V,ALL,2000,3.934055585719023,0.39781254780105707,4.33186813352008,0.9081660531808953,3.9715379546277734,0.08880628841768176
copy,RBT,43022,chck_100M,RBT_C_43022,C,ALL,2000,0.5260619512926787,4.0503161807755825,4.576378132068261,0.11495159187270411,0.7627887169724954,0.017056474236203472
copy,RBT,43022,chck_100M,RBT_R_43022,R,ALL,2000,0.3280692169740796,5.771707483939826,6.099776700913906,0.05378380768019365,0.6075027616056942,0.013584174714691814
copy,RBT,43022,chck_100M,RBT_V_43022,V,ALL,2000,0.5142549595427699,4.211473256381694,4.725728215924464,0.10882025712140313,0.7481582272761659,0.01672932654115244
copy,RBT,43022,chck_60M,RBT_C_43022,C,ALL,2000,0.2617514119744301,5.571381368204952,5.8331327801793815,0.04487321338952628,0.5260210947105151,0.011762189253715668
copy,RBT,43022,chck_60M,RBT_R_43022,R,ALL,2000,0.43540837198495863,5.800646483778953,6.236054855763912,0.06982112602529719,0.5500420274646428,0.012299313638927476
copy,RBT,43022,chck_60M,RBT_V_43022,V,ALL,2000,0.3578741131424904,5.868877919286489,6.22675203242898,0.057473641358878405,0.5775418490437313,0.012914228343127051
copy,RBT,43022,chck_70M,RBT_C_43022,C,ALL,2000,0.3625490178260952,4.791870601396076,5.154419619222171,0.07033750540488704,0.6082968118164248,0.013601930217179231
copy,RBT,43022,chck_70M,RBT_R_43022,R,ALL,2000,0.4460612555295229,5.7236269392818215,6.169688194811344,0.07229883284939045,0.6352942157612423,0.01420561052154556
copy,RBT,43022,chck_70M,RBT_V_43022,V,ALL,2000,0.36241562546230854,5.336038119925186,5.698453745387495,0.06359894133661416,0.6572499364768849,0.014696555361697332
copy,RBT,43022,chck_80M,RBT_C_43022,C,ALL,2000,0.47747348228388,4.213195323822089,4.690668806105968,0.1017921968104719,0.7203069283392024,0.016106552564305262
copy,RBT,43022,chck_80M,RBT_R_43022,R,ALL,2000,0.36419747933745383,5.755540559738875,6.119738039076328,0.059511939401972073,0.5870527045782767,0.013126897538121287
copy,RBT,43022,chck_80M,RBT_V_43022,V,ALL,2000,0.4489795270022005,4.478547344304621,4.927526871306822,0.09111660651038263,0.6777600892280352,0.015155176319502096
copy,RBT,43022,chck_90M,RBT_C_43022,C,ALL,2000,0.5245989203406498,4.069137222823687,4.593736143164337,0.11419874890317197,0.7653316260438368,0.017113335411644674
copy,RBT,43022,chck_90M,RBT_R_43022,R,ALL,2000,0.33514501313865186,5.76493842702359,6.1000834401622415,0.054941053909540974,0.6034354965423123,0.013493227903049496
copy,RBT,43022,chck_90M,RBT_V_43022,V,ALL,2000,0.5099431160651148,4.245015927340836,4.75495904340595,0.10724448126893758,0.7413034585070187,0.016576049251773885
copy,D,43022,chck_100M,D_C_43022,C,span_1,1000,3.760785346077121,0.5270865441237466,4.287871890200868,0.8770750251824676,3.957760812532251,0.12515538601760592
copy,D,43022,chck_100M,D_R_43022,R,span_1,1000,4.251270326795892,0.2900883719136909,4.541358698709582,0.9361229994899722,4.423041307307608,0.13986884716100795
copy,D,43022,chck_100M,D_V_43022,V,span_1,1000,4.183877744814558,0.5173838029110149,4.701261547725573,0.8899478793811588,4.400447062514727,0.1391543544054389
copy,D,43022,chck_80M,D_C_43022,C,span_1,1000,3.7359198040223873,0.5464526854156011,4.282372489437988,0.872394872990762,3.88649645463903,0.12290180914828615
copy,D,43022,chck_80M,D_R_43022,R,span_1,1000,4.287001513353938,0.29510881194998373,4.582110325303922,0.9355954372551234,4.425433280941103,0.13994448800885706
copy,D,43022,chck_80M,D_V_43022,V,span_1,1000,4.198936157110282,0.5218130340732646,4.720749191183547,0.8894639361379755,4.375868989957701,0.1383771275076681
copy,D,43022,chck_90M,D_C_43022,C,span_1,1000,3.7751170749770635,0.531799996505345,4.306917071482409,0.8765242079940249,3.9606663119773193,0.12524726597747363
copy,D,43022,chck_90M,D_R_43022,R,span_1,1000,4.298740778250273,0.2851650139811469,4.58390579223142,0.9377899488108087,4.453489917767352,0.1408317167674081
copy,D,43022,chck_90M,D_V_43022,V,span_1,1000,4.1720266407398094,0.5241887848775459,4.696215425617356,0.8883805921640322,4.394676068537669,0.13897185955213273
copy,D,43122,chck_100M,D_C_43122,C,span_1,1000,3.6584466445782824,0.5673168774751971,4.225763522053479,0.8657480773558495,3.9533031210202236,0.12501442143476185
copy,D,43122,chck_100M,D_R_43122,R,span_1,1000,4.331782472045212,0.32654115399200373,4.658323626037216,0.9299015739982435,4.4835761580027,0.1417831272211551
copy,D,43122,chck_100M,D_V_43122,V,span_1,1000,3.9255866093416154,0.5371784124674537,4.462765021809068,0.879631033710644,4.161835295850764,0.13160878781369129
copy,D,43122,chck_80M,D_C_43122,C,span_1,1000,3.6446227626456666,0.5923896437903049,4.237012406435972,0.8601869461391067,3.9082485725682634,0.12358967151417577
copy,D,43122,chck_80M,D_R_43122,R,span_1,1000,4.404806846451118,0.34716419059588044,4.7519710370469985,0.926943117310829,4.5146331869356,0.14276523670901223
copy,D,43122,chck_80M,D_V_43122,V,span_1,1000,3.945624796685646,0.5843266480614857,4.529951444747131,0.8710081873528551,4.148871211456558,0.13119882746904793
copy,D,43122,chck_90M,D_C_43122,C,span_1,1000,3.665507864496388,0.5771267912107874,4.2426346557071755,0.8639697173937806,3.9633487560287555,0.1253320923064587
copy,D,43122,chck_90M,D_R_43122,R,span_1,1000,4.321607970686675,0.3317143314455243,4.653322302132199,0.9287145162299355,4.472291316330118,0.14142626919395768
copy,D,43122,chck_90M,D_V_43122,V,span_1,1000,3.9478105927063556,0.5409661991775031,4.488776791883858,0.8794847183857256,4.170273457026043,0.13187562589946614
copy,RBT,43022,chck_100M,RBT_C_43022,C,span_1,1000,0.5150535044888965,4.07155685878219,4.586610363271087,0.11229502043892163,0.75661914885425,0.023926398316774084
copy,RBT,43022,chck_100M,RBT_R_43022,R,span_1,1000,0.3051230247914791,5.692397828489542,5.997520853281021,0.05087485850500339,0.6520830207280048,0.02062067569023284
copy,RBT,43022,chck_100M,RBT_V_43022,V,span_1,1000,0.515794445052743,4.20784009195026,4.723634537003003,0.1091944012628882,0.7260675877045686,0.02296027312370503
copy,RBT,43022,chck_60M,RBT_C_43022,C,span_1,1000,0.2628240548670292,5.541966560602188,5.8047906154692175,0.04527709477868641,0.5126106029365665,0.016210170580317478
copy,RBT,43022,chck_60M,RBT_R_43022,R,span_1,1000,0.4065359934568405,5.727586535811424,6.134122529268264,0.06627451465423138,0.5169214018555705,0.016346490011507918
copy,RBT,43022,chck_60M,RBT_V_43022,V,span_1,1000,0.32834550774097443,5.7985152867436405,6.126860794484616,0.053591148673811914,0.5592809102814748,0.017686015283417435
copy,RBT,43022,chck_70M,RBT_C_43022,C,span_1,1000,0.3588392502460629,4.786118925176561,5.144958175422624,0.0697458051185395,0.6065878990932257,0.01918199362230979
copy,RBT,43022,chck_70M,RBT_R_43022,R,span_1,1000,0.4158078384399414,5.647014239013195,6.062822077453136,0.06858321638470603,0.6276418197972516,0.019847777053322767
copy,RBT,43022,chck_70M,RBT_V_43022,V,span_1,1000,0.3495136564224958,5.301339823301881,5.650853479724377,0.061851480962402075,0.6435855477002574,0.02035196199899755
copy,RBT,43022,chck_80M,RBT_C_43022,C,span_1,1000,0.46674347631447016,4.2292385423756205,4.69598201869009,0.09939209188979493,0.705758790077001,0.022318052553279653
copy,RBT,43022,chck_80M,RBT_R_43022,R,span_1,1000,0.33622418534755705,5.678484015494585,6.014708200842142,0.055900332006211216,0.618969833129084,0.01957354475622252
copy,RBT,43022,chck_80M,RBT_V_43022,V,span_1,1000,0.44883485955558716,4.462070383580402,4.910905243135988,0.09139554467741508,0.650753681198121,0.020578638283251537
copy,RBT,43022,chck_90M,RBT_C_43022,C,span_1,1000,0.5138264458233025,4.090895748315845,4.604722194139147,0.11158685022894467,0.7563404644902146,0.023917585543387812
copy,RBT,43022,chck_90M,RBT_R_43022,R,span_1,1000,0.3128666372001171,5.690287690550089,6.003154327750206,0.05211704049550392,0.6423726017454815,0.020313605280039754
copy,RBT,43022,chck_90M,RBT_V_43022,V,span_1,1000,0.512818420345895,4.237549278482795,4.75036769882869,0.10795341600026918,0.7186732049153235,0.022726442208653396
copy,D,43022,chck_100M,D_C_43022,C,span_4,1000,3.627941643889939,0.2391732111828578,3.8671148550727965,0.9381520280244288,3.5335285148139093,0.11173998283963978
copy,D,43022,chck_100M,D_R_43022,R,span_4,1000,4.0718944080543364,0.11689263205568053,4.188787040110017,0.9720939186126276,3.753620180646895,0.11869989242016872
copy,D,43022,chck_100M,D_V_43022,V,span_4,1000,3.844675897912495,0.2395010174890997,4.084176915401595,0.9413588043686522,3.7415844364550264,0.11831928877035425
copy,D,43022,chck_80M,D_C_43022,C,span_4,1000,3.5738834779683084,0.2624354853855266,3.836318963353835,0.931591849402403,3.4632287404845625,0.10951690878087406
copy,D,43022,chck_80M,D_R_43022,R,span_4,1000,4.100924233166649,0.11867853772555721,4.219602770892205,0.9718744763027864,3.757011184059042,0.1188071253635266
copy,D,43022,chck_80M,D_V_43022,V,span_4,1000,3.837507210458897,0.24704126637766183,4.084548476836559,0.9395180966075856,3.693765156456634,0.11680711036171172
copy,D,43022,chck_90M,D_C_43022,C,span_4,1000,3.6474772334827787,0.24103128907091878,3.888508522553698,0.9380144629559338,3.5504803943449286,0.11227604833902785
copy,D,43022,chck_90M,D_R_43022,R,span_4,1000,4.108767595960434,0.11330893887918933,4.222076534839624,0.9731627463537931,3.7841136756486518,0.11966418140041385
copy,D,43022,chck_90M,D_V_43022,V,span_4,1000,3.846741469643463,0.2422547536298522,4.088996223273315,0.940754468724864,3.7424529267647726,0.11834675284540008
copy,D,43122,chck_100M,D_C_43122,C,span_4,1000,3.5884186317296805,0.27069954881604874,3.859118180545729,0.9298545584375526,3.4822398904198026,0.11011809412821727
copy,D,43122,chck_100M,D_R_43122,R,span_4,1000,4.226590915210952,0.1382828998854054,4.364873815096357,0.9683191529140799,3.9321778861313157,0.12434638285121181
copy,D,43122,chck_100M,D_V_43122,V,span_4,1000,3.9064051500580317,0.25597012104346073,4.162375271101493,0.9385038338996945,3.752775017838996,0.11867316602550249
copy,D,43122,chck_80M,D_C_43122,C,span_4,1000,3.568428073772217,0.2863890381633037,3.8548171119355206,0.9257061930962773,3.479720469987018,0.1100384230587056
copy,D,43122,chck_80M,D_R_43122,R,span_4,1000,4.2105970906182355,0.1488391839081512,4.359436274526387,0.9658581581343745,3.9050623519498058,0.1234889143713546
copy,D,43122,chck_80M,D_V_43122,V,span_4,1000,3.9409599827295287,0.2692809577936139,4.210240940523143,0.9360414376284711,3.7533229857939983,0.11869049429372841
copy,D,43122,chck_90M,D_C_43122,C,span_4,1000,3.599231170184717,0.2751139308050242,3.8743451009897414,0.928990855581052,3.4997677912994627,0.11067237502203123
copy,D,43122,chck_90M,D_R_43122,R,span_4,1000,4.23626406578994,0.13752573338169577,4.373789799171636,0.9685568489350489,3.933229558858,0.12437963966290584
copy,D,43122,chck_90M,D_V_43122,V,span_4,1000,3.9203005787316907,0.25465889642461104,4.174959475156302,0.9390032650759855,3.7643667285661713,0.1190397281042593
copy,RBT,43022,chck_100M,RBT_C_43022,C,span_4,1000,0.5370703980964608,4.029075502768974,4.566145900865434,0.11762006947580636,0.7691297235886011,0.024322017426757138
copy,RBT,43022,chck_100M,RBT_R_43022,R,span_4,1000,0.3510154091566801,5.851017139390111,6.202032548546791,0.056596834410184954,0.5587685247477534,0.017669812230150628
