arch,seed,checkpoint,contrast,pair_id,n_tokens_a,n_tokens_b,gain_delta,true_delta,unrelated_delta,excess_true_cost
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_006433,2,2,-2.793734550476074,-0.04220294952392578,-2.8359375,2.793734550476074
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_006467,2,2,-1.5979590415954592,2.295114517211913,0.6971554756164551,1.597959041595458
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_006471,2,2,-0.9523956775665283,-1.3857324123382568,-2.338128089904785,0.9523956775665283
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_006530,2,2,1.0578279495239258,-0.34722328186035156,0.7106046676635742,-1.0578279495239258
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_006601,2,2,2.741168737411499,-3.2681403160095215,-0.5269715785980225,-2.741168737411499
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_006938,1,1,-1.189030647277832,-0.30701446533203125,-1.4960451126098633,1.189030647277832
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_006948,2,2,-0.45884156227111816,1.9297376871109009,1.4708961248397827,0.45884156227111816
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_006953,1,1,-0.8624858856201172,1.5598726272583026,0.6973867416381854,0.8624858856201172
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_006977,2,2,-3.2715110778808594,1.6351406574249268,-1.6363704204559326,3.2715110778808594
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_007086,2,2,-2.361635446548462,0.4426157474517822,-1.9190196990966797,2.361635446548462
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_007226,2,2,-4.873286724090576,3.4528098106384277,-1.4204769134521484,4.873286724090576
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_007314,2,2,-4.472644567489624,3.3224592208862305,-1.1501853466033936,4.472644567489624
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_007640,2,2,-2.1907129287719727,2.202439785003662,0.011726856231689453,2.1907129287719727
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_007666,2,2,-0.22426652908325195,-0.9762551784515381,-1.20052170753479,0.22426652908325195
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_007720,2,2,-3.356189489364624,3.7476353645324707,0.3914458751678467,3.356189489364624
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_007745,2,2,0.565209150314331,1.039374828338623,1.604583978652954,-0.565209150314331
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_007966,2,2,-0.26238775253295876,0.002849102020263672,-0.2595386505126953,0.262387752532959
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008093,2,2,0.17526745796203613,-0.6067724227905273,-0.4315049648284912,-0.17526745796203613
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008095,1,1,-2.9456474781036377,1.6865844726562496,-1.2590630054473877,2.9456474781036373
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008264,1,1,3.7295992374420166,-3.941175937652588,-0.2115767002105713,-3.7295992374420166
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008343,1,1,-0.08127307891845711,0.6734657287597656,0.5921926498413086,0.08127307891845703
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008346,2,2,-2.732940673828125,1.9082918167114258,-0.8246488571166992,2.732940673828125
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008355,2,2,-3.601698398590088,2.1452698707580566,-1.4564285278320304,3.601698398590087
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008434,2,2,-1.2183634042739868,-0.9823472499847412,-2.200710654258728,1.2183634042739868
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008504,2,2,-1.5096044540405278,0.10659551620483398,-1.4030089378356934,1.5096044540405273
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008534,2,2,-4.75930917263031,6.829222321510315,2.0699131488800058,4.759309172630309
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008543,2,2,-0.8566434681415558,1.2077801525592795,0.3511366844177246,0.8566434681415549
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008606,2,2,0.5994465351104736,-0.09837484359741211,0.5010716915130615,-0.5994465351104736
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008660,2,2,1.349926233291626,-1.0506889820098877,0.2992372512817383,-1.349926233291626
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008778,2,2,-0.4542407989501954,0.9738383293151855,0.5195975303649902,0.4542407989501953
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008805,2,2,0.5230200588703156,1.6596396863460545,2.1826597452163696,-0.5230200588703151
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008955,2,2,-1.0569456815719604,1.3976417779922485,0.34069609642028786,1.0569456815719607
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_008976,2,2,-0.9727864265441895,0.3355402946472168,-0.6372461318969727,0.9727864265441895
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009022,2,2,1.2010899782180786,-2.5893445014953604,-1.3882545232772827,-1.2010899782180777
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009179,2,2,0.4221973419189453,-1.8807592391967773,-1.458561897277832,-0.4221973419189453
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009246,2,2,1.1631686687469482,-0.8586585521697998,0.30451011657714844,-1.1631686687469482
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009259,2,2,-0.8294245004653922,1.2812272310256958,0.45180273056030273,0.8294245004653931
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009361,1,1,-3.699855327606201,3.567800521850586,-0.13205480575561523,3.699855327606201
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009502,2,2,-0.8778629302978516,-1.931225299835205,-2.809088230133055,0.8778629302978498
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009557,1,1,-2.333348274230957,2.0465898513793945,-0.2867584228515625,2.333348274230957
