family,arch,seed,group,contrast,checkpoint_set,n_checkpoints,checkpoints,n_items_per_checkpoint_min,mean_gain_delta,sd_across_checkpoints_gain_delta,se_across_checkpoints_gain_delta,checkpoint_values_gain_delta,mean_normalized_gain_delta,sd_across_checkpoints_normalized_gain_delta,se_across_checkpoints_normalized_gain_delta,checkpoint_values_normalized_gain_delta,mean_unrepeated_control_nll_delta_a_minus_b,sd_across_checkpoints_unrepeated_control_nll_delta_a_minus_b,se_across_checkpoints_unrepeated_control_nll_delta_a_minus_b,checkpoint_values_unrepeated_control_nll_delta_a_minus_b,mean_repeated_nll_delta_a_minus_b,sd_across_checkpoints_repeated_nll_delta_a_minus_b,se_across_checkpoints_repeated_nll_delta_a_minus_b,checkpoint_values_repeated_nll_delta_a_minus_b
copy,D,43122,span_1,CminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,-0.6965400058208894,0.055787041675108444,0.03220866352841673,chck_100M:-0.673336;chck_80M:-0.760184;chck_90M:-0.6561,-0.0652181555500904,0.0013643784703572498,0.000787724277137288,chck_100M:-0.0641535;chck_80M:-0.0667562;chck_90M:-0.0647448,-0.4527354603399291,0.0549853915949859,0.0317458306388621,chck_100M:-0.43256;chck_80M:-0.514959;chck_90M:-0.410688,0.2438045454809603,0.002624702818416197,0.0015153728787553607,chck_100M:0.240776;chck_80M:0.245225;chck_90M:0.245412
copy,D,43122,span_1,RminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.6965400058208894,0.055787041675108444,0.03220866352841673,chck_100M:0.673336;chck_80M:0.760184;chck_90M:0.6561,0.0652181555500904,0.0013643784703572498,0.000787724277137288,chck_100M:0.0641535;chck_80M:0.0667562;chck_90M:0.0647448,0.4527354603399291,0.0549853915949859,0.0317458306388621,chck_100M:0.43256;chck_80M:0.514959;chck_90M:0.410688,-0.2438045454809603,0.002624702818416197,0.0015153728787553607,chck_100M:-0.240776;chck_80M:-0.245225;chck_90M:-0.245412
copy,D,43122,span_1,RminusV,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.4130584301497962,0.04310402148210527,0.02488611840584889,chck_100M:0.406196;chck_80M:0.459182;chck_90M:0.373797,0.05181175602992775,0.003608491185947071,0.002083363357574933,chck_100M:0.0502705;chck_80M:0.0559349;chck_90M:0.0492298,0.19404123559211828,0.028767070281827498,0.016608675771009992,chck_100M:0.195559;chck_80M:0.22202;chck_90M:0.164546,-0.21901719455767799,0.01572951847248907,0.009081441724314757,chck_100M:-0.210637;chck_80M:-0.237162;chck_90M:-0.209252
copy,D,43122,span_1,VminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.28348157567109317,0.016961786312960955,0.009792891893724918,chck_100M:0.26714;chck_80M:0.301002;chck_90M:0.282303,0.013406399520162648,0.0023828921558328876,0.0013757634276199654,chck_100M:0.013883;chck_80M:0.0108212;chck_90M:0.015515,0.2586942247478109,0.03000697003259508,0.017324532225883805,chck_100M:0.237001;chck_80M:0.292939;chck_90M:0.246142,-0.024787350923282325,0.014793395349981692,0.008540970787540488,chck_100M:-0.0301385;chck_80M:-0.008063;chck_90M:-0.0361606
copy,D,43122,span_1,VminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,-0.4130584301497962,0.04310402148210527,0.02488611840584889,chck_100M:-0.406196;chck_80M:-0.459182;chck_90M:-0.373797,-0.05181175602992775,0.003608491185947071,0.002083363357574933,chck_100M:-0.0502705;chck_80M:-0.0559349;chck_90M:-0.0492298,-0.19404123559211828,0.028767070281827498,0.016608675771009992,chck_100M:-0.195559;chck_80M:-0.22202;chck_90M:-0.164546,0.21901719455767799,0.01572951847248907,0.009081441724314757,chck_100M:0.210637;chck_80M:0.237162;chck_90M:0.209252
copy,D,43122,span_4,CminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,-0.6391247319775045,0.0026972771369512135,0.0015572736810978063,chck_100M:-0.638172;chck_80M:-0.642169;chck_90M:-0.637033,-0.039394184289540446,0.0008567050945250684,0.0004946189169401721,chck_100M:-0.0384646;chck_80M:-0.040152;chck_90M:-0.039566,-0.5032731651077964,0.0033638908098917726,0.0019421432646155232,chck_100M:-0.505756;chck_80M:-0.504619;chck_90M:-0.499445,0.1358515668697081,0.0029747879732374494,0.0017174946371307028,chck_100M:0.132417;chck_80M:0.13755;chck_90M:0.137588
copy,D,43122,span_4,RminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.6391247319775045,0.0026972771369512135,0.0015572736810978063,chck_100M:0.638172;chck_80M:0.642169;chck_90M:0.637033,0.039394184289540446,0.0008567050945250684,0.0004946189169401721,chck_100M:0.0384646;chck_80M:0.040152;chck_90M:0.039566,0.5032731651077964,0.0033638908098917726,0.0019421432646155232,chck_100M:0.505756;chck_80M:0.504619;chck_90M:0.499445,-0.1358515668697081,0.0029747879732374494,0.0017174946371307028,chck_100M:-0.132417;chck_80M:-0.13755;chck_90M:-0.137588
copy,D,43122,span_4,RminusV,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.30192878669995893,0.0280449870460657,0.0161917808204656,chck_100M:0.320186;chck_80M:0.269637;chck_90M:0.315963,0.029728541126450698,0.0001515190585482553,8.747956924019386e-05,chck_100M:0.0298153;chck_80M:0.0298167;chck_90M:0.0295536,0.18350806733781444,0.029772247330720075,0.017189015010771354,chck_100M:0.202499;chck_80M:0.149195;chck_90M:0.19883,-0.11842071936214442,0.0017720725544985536,0.0010231065663632878,chck_100M:-0.117687;chck_80M:-0.120442;chck_90M:-0.117133
copy,D,43122,span_4,VminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.33719594527754554,0.030640639678511064,0.017690381566530692,chck_100M:0.317987;chck_80M:0.372532;chck_90M:0.321069,0.009665643163089746,0.0008948788146828773,0.0005166585245492525,chck_100M:0.00864928;chck_80M:0.0103352;chck_90M:0.0100124,0.3197650977699819,0.03090962309899844,0.017845679216756623,chck_100M:0.303257;chck_80M:0.355424;chck_90M:0.300614,-0.01743084750756365,0.002876417342087423,0.0016607003267558817,chck_100M:-0.0147294;chck_80M:-0.0171081;chck_90M:-0.020455
copy,D,43122,span_4,VminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,-0.30192878669995893,0.0280449870460657,0.0161917808204656,chck_100M:-0.320186;chck_80M:-0.269637;chck_90M:-0.315963,-0.029728541126450698,0.0001515190585482553,8.747956924019386e-05,chck_100M:-0.0298153;chck_80M:-0.0298167;chck_90M:-0.0295536,-0.18350806733781444,0.029772247330720075,0.017189015010771354,chck_100M:-0.202499;chck_80M:-0.149195;chck_90M:-0.19883,0.11842071936214442,0.0017720725544985536,0.0010231065663632878,chck_100M:0.117687;chck_80M:0.120442;chck_90M:0.117133
