family,arch,seed,checkpoint,arm,role,group,n,mean_gain,true_source_nll,unrelated_source_nll,gain_sd,gain_se
rewrite,RBT,43022,chck_70M,RBT_R_43022,R,ALL,5892,0.6071627602153138,8.807213463996918,9.414376224212232,1.0859437842703528,0.014147378562691354
rewrite,RBT,43022,chck_70M,RBT_V_43022,V,ALL,5892,0.9744272395331116,8.301260515915967,9.275687755449079,1.450789535912508,0.018900489211912792
rewrite,RBT,43022,chck_80M,RBT_C_43022,C,ALL,5892,0.9734338125857623,8.35073340424695,9.324167216832713,1.5468783101575705,0.020152307477794087
rewrite,RBT,43022,chck_80M,RBT_R_43022,R,ALL,5892,0.522399052218847,8.981256932364138,9.503655984582986,1.0350710454517538,0.013484622437546974
rewrite,RBT,43022,chck_80M,RBT_V_43022,V,ALL,5892,1.0875850800938212,7.880654889015381,8.968239969109202,1.6032772148397836,0.020887056980132757
rewrite,RBT,43022,chck_90M,RBT_C_43022,C,ALL,5892,1.02334441295689,8.255589062093838,9.278933475050728,1.5855588676202919,0.020656227199392512
rewrite,RBT,43022,chck_90M,RBT_R_43022,R,ALL,5892,0.5543180698047102,9.01132801500859,9.5656460848133,1.095141604627969,0.014267205250256269
rewrite,RBT,43022,chck_90M,RBT_V_43022,V,ALL,5892,1.148249484922355,7.616111714248745,8.7643611991711,1.6399690090221104,0.02136506763773831
rewrite,D,43022,chck_100M,D_C_43022,C,token_nonoverlap,2732,1.2222962530979569,6.993866054545393,8.21616230764335,3.0940236441643294,0.059194762263620325
rewrite,D,43022,chck_100M,D_R_43022,R,token_nonoverlap,2732,0.5576286031002121,7.359401078737242,7.9170296818374535,3.025361774042847,0.057881125541392076
rewrite,D,43022,chck_100M,D_V_43022,V,token_nonoverlap,2732,1.9362923082173564,5.79277909138529,7.729071399602646,3.541568558017672,0.06775717736597693
rewrite,D,43022,chck_80M,D_C_43022,C,token_nonoverlap,2732,1.183997265826829,7.019573019757474,8.203570285584304,3.024541978230002,0.05786544123389249
rewrite,D,43022,chck_80M,D_R_43022,R,token_nonoverlap,2732,0.26147842659045006,7.658370611415685,7.919849038006135,3.019294937939478,0.057765055025412466
rewrite,D,43022,chck_80M,D_V_43022,V,token_nonoverlap,2732,1.8096304337963145,5.908226781658689,7.717857215455004,3.402527475952457,0.06509704779222575
rewrite,D,43022,chck_90M,D_C_43022,C,token_nonoverlap,2732,1.229433515487855,7.008412266804974,8.23784578229283,3.0963352459102693,0.059238987754933935
rewrite,D,43022,chck_90M,D_R_43022,R,token_nonoverlap,2732,0.5614942960174534,7.348074374212863,7.909568670230317,3.0365161556086626,0.058094530815857755
rewrite,D,43022,chck_90M,D_V_43022,V,token_nonoverlap,2732,1.940871370995334,5.784575612933987,7.725446983929321,3.515472823674468,0.06725791460389233
rewrite,D,43122,chck_100M,D_C_43122,C,token_nonoverlap,2732,1.2723753262336106,6.924546675384828,8.19692200161844,3.1594496797293825,0.06044649110170764
rewrite,D,43122,chck_100M,D_R_43122,R,token_nonoverlap,2732,0.1987366922254951,7.674320428502319,7.873057120727815,3.08784561108572,0.05907656433063593
rewrite,D,43122,chck_100M,D_V_43122,V,token_nonoverlap,2732,2.184213409376553,5.560600936224978,7.744814345601531,3.5339779717537834,0.06761195451023701
rewrite,D,43122,chck_80M,D_C_43122,C,token_nonoverlap,2732,1.2687082055524554,7.0018068075893884,8.270515013141845,3.186888207966958,0.060971444154005856
rewrite,D,43122,chck_80M,D_R_43122,R,token_nonoverlap,2732,0.2838968632026544,7.603301722508627,7.887198585711282,3.0524068714498247,0.05839855148751309
rewrite,D,43122,chck_80M,D_V_43122,V,token_nonoverlap,2732,2.1367046221931183,5.66097319457785,7.797677816770968,3.5474009760219527,0.06786876300231705
rewrite,D,43122,chck_90M,D_C_43122,C,token_nonoverlap,2732,1.2747944441893633,6.93391579764709,8.208710241836453,3.1717005377626584,0.06068087412918479
rewrite,D,43122,chck_90M,D_R_43122,R,token_nonoverlap,2732,0.20331129727859218,7.6619814576684755,7.865292754947068,3.0656626290502587,0.058652160221648604
rewrite,D,43122,chck_90M,D_V_43122,V,token_nonoverlap,2732,2.1763262035192903,5.575554615734786,7.751880819254076,3.5380807225877153,0.0676904482091134
rewrite,RBT,43022,chck_100M,RBT_C_43022,C,token_nonoverlap,2732,0.683624739440957,8.665310016433718,9.348934755874675,1.5613743577032457,0.029872164707946118
rewrite,RBT,43022,chck_100M,RBT_R_43022,R,token_nonoverlap,2732,0.21102166743090003,9.456511891691088,9.667533559121988,1.0593060355223223,0.020266609486139925
rewrite,RBT,43022,chck_100M,RBT_V_43022,V,token_nonoverlap,2732,0.7968469062822804,8.056563733470126,8.853410639752406,1.6913134596631636,0.03235815548690254
rewrite,RBT,43022,chck_60M,RBT_C_43022,C,token_nonoverlap,2732,0.41004841777974654,9.534656015444291,9.944704433224038,1.166603784961098,0.02231942662650968
rewrite,RBT,43022,chck_60M,RBT_R_43022,R,token_nonoverlap,2732,0.22381211697269848,9.479921268160137,9.703733385132836,0.8856543652071874,0.016944311235325707
rewrite,RBT,43022,chck_60M,RBT_V_43022,V,token_nonoverlap,2732,0.2516569238630605,9.152561237487403,9.404218161350462,0.9527162811657927,0.0182273376852366
rewrite,RBT,43022,chck_70M,RBT_C_43022,C,token_nonoverlap,2732,0.5488779863798077,9.135934271103816,9.684812257483623,1.4099218542567562,0.026974580213834563
rewrite,RBT,43022,chck_70M,RBT_R_43022,R,token_nonoverlap,2732,0.20936082013354992,9.364971143260359,9.574331963393908,0.9613178890429918,0.01839190337442777
rewrite,RBT,43022,chck_70M,RBT_V_43022,V,token_nonoverlap,2732,0.6940613794379143,8.648098192225438,9.342159571663352,1.501669815679135,0.028729899302883215
rewrite,RBT,43022,chck_80M,RBT_C_43022,C,token_nonoverlap,2732,0.6633870084476855,8.760910523692651,9.424297532140336,1.5365036787066455,0.029396339665912156
rewrite,RBT,43022,chck_80M,RBT_R_43022,R,token_nonoverlap,2732,0.1512475952746055,9.4787131513893,9.629960746663905,0.9458148305463673,0.018095299350797386
rewrite,RBT,43022,chck_80M,RBT_V_43022,V,token_nonoverlap,2732,0.7842951703974828,8.29622282188162,9.080517992279104,1.6845160715768315,0.032228108073547146
rewrite,RBT,43022,chck_90M,RBT_C_43022,C,token_nonoverlap,2732,0.6792295674301171,8.703494532554688,9.382724099984804,1.5601541363462927,0.029848819471632215
rewrite,RBT,43022,chck_90M,RBT_R_43022,R,token_nonoverlap,2732,0.19835053774832284,9.482363073927068,9.68071361167539,1.0386433419064716,0.01987129148699559
rewrite,RBT,43022,chck_90M,RBT_V_43022,V,token_nonoverlap,2732,0.7912675558888022,8.089001487433299,8.880269043322102,1.6831691508909488,0.03220233882968918
rewrite,D,43022,chck_100M,D_C_43022,C,token_overlap,3160,6.318160083040277,1.8140042501127442,8.132164333153021,3.6875492556736904,0.06559855739243221
rewrite,D,43022,chck_100M,D_R_43022,R,token_overlap,3160,6.0612134134708855,1.714229414577029,7.775442828047915,3.742323746878678,0.06657295186307507
rewrite,D,43022,chck_100M,D_V_43022,V,token_overlap,3160,6.86529204425813,0.8866825202580625,7.751974564516192,3.434665394067048,0.06109995537818128
rewrite,D,43022,chck_80M,D_C_43022,C,token_overlap,3160,6.25844731472913,1.8888636783503667,8.147310993079497,3.665407820931732,0.06520467894445314
rewrite,D,43022,chck_80M,D_R_43022,R,token_overlap,3160,5.977854172222357,1.829005271161892,7.8068594433842495,3.8281345675515115,0.06809945785784591
rewrite,D,43022,chck_80M,D_V_43022,V,token_overlap,3160,6.841012829971341,0.9361734603195031,7.777186290290843,3.386510273248139,0.06024331422229207
rewrite,D,43022,chck_90M,D_C_43022,C,token_overlap,3160,6.327794887654961,1.8262687445407486,8.15406363219571,3.7098281129631205,0.06599488047782284
rewrite,D,43022,chck_90M,D_R_43022,R,token_overlap,3160,6.061683855404362,1.7100541466289116,7.771738002033273,3.730865856435867,0.06636912513922795
rewrite,D,43022,chck_90M,D_V_43022,V,token_overlap,3160,6.851785342968356,0.8976406135894373,7.749425956557793,3.4165514987541137,0.060777723641355585
rewrite,D,43122,chck_100M,D_C_43122,C,token_overlap,3160,6.378519310863339,1.7715181060137206,8.15003741687706,3.617073454608389,0.06434484915413638
rewrite,D,43122,chck_100M,D_R_43122,R,token_overlap,3160,6.11330856968543,1.7028271074889962,7.816135677174426,3.8192070466324113,0.0679406443877661
rewrite,D,43122,chck_100M,D_V_43122,V,token_overlap,3160,7.0383594953753805,0.7928289745311339,7.831188469906515,3.328760380238676,0.05921598972888785
rewrite,D,43122,chck_80M,D_C_43122,C,token_overlap,3160,6.366740964345901,1.8300406739694477,8.196781638315349,3.638751949286663,0.06473049226795954
rewrite,D,43122,chck_80M,D_R_43122,R,token_overlap,3160,6.079115334202431,1.753259267288303,7.832374601490733,3.8228546029107213,0.06800553150201867
rewrite,D,43122,chck_80M,D_V_43122,V,token_overlap,3160,7.0084089093692405,0.8518659646824353,7.860274874051676,3.351603482643961,0.059622350284438054
rewrite,D,43122,chck_90M,D_C_43122,C,token_overlap,3160,6.386551574953792,1.7708854063795334,8.157436981333325,3.6179926503833286,0.06436120091315478
rewrite,D,43122,chck_90M,D_R_43122,R,token_overlap,3160,6.089346754381468,1.7248933518997283,7.814240106281197,3.8186415618871914,0.06793058486558975
rewrite,D,43122,chck_90M,D_V_43122,V,token_overlap,3160,7.059747117858113,0.7964540115886595,7.856201129446773,3.3398268608443,0.059412853584204034
rewrite,RBT,43022,chck_100M,RBT_C_43022,C,token_overlap,3160,1.3261975487576256,7.841258187158198,9.167455735915825,1.5532663847304047,0.027631368971601213
rewrite,RBT,43022,chck_100M,RBT_R_43022,R,token_overlap,3160,0.8597256053852129,8.593169763042956,9.45289536842817,1.0549367407731869,0.018766482435053602
rewrite,RBT,43022,chck_100M,RBT_V_43022,V,token_overlap,3160,1.4694020172085942,7.155930898838405,8.625332916047,1.5480106390274841,0.027537873451344067
rewrite,RBT,43022,chck_60M,RBT_C_43022,C,token_overlap,3160,0.8028166783006886,9.056191191265855,9.859007869566543,1.105421163707924,0.019664560016041235
rewrite,RBT,43022,chck_60M,RBT_R_43022,R,token_overlap,3160,0.8868823529044284,8.608178092935418,9.495060445839846,1.0031041282870852,0.017844421638241802
rewrite,RBT,43022,chck_60M,RBT_V_43022,V,token_overlap,3160,0.8832420659216145,8.441446736869933,9.324688802791547,1.0517109076104019,0.018709097438353754
rewrite,RBT,43022,chck_70M,RBT_C_43022,C,token_overlap,3160,0.9864170712760733,8.483112854821773,9.469529926097845,1.3063033664176404,0.023238094032785934
rewrite,RBT,43022,chck_70M,RBT_R_43022,R,token_overlap,3160,0.9510851970201806,8.325000179266627,9.276085376286808,1.0700675202899037,0.01903564692336313
rewrite,RBT,43022,chck_70M,RBT_V_43022,V,token_overlap,3160,1.2168194957926304,8.001399588169932,9.21821908396256,1.3597186957894134,0.024188310099469975
rewrite,RBT,43022,chck_80M,RBT_C_43022,C,token_overlap,3160,1.2414869356570364,7.99611191996668,9.237598855623716,1.5054017158635598,0.02677989472406391
rewrite,RBT,43022,chck_80M,RBT_R_43022,R,token_overlap,3160,0.8432806282858305,8.551177694903144,9.394458323188974,1.0012151994095435,0.017810819101491144
rewrite,RBT,43022,chck_80M,RBT_V_43022,V,token_overlap,3160,1.34979648303382,7.521372739461404,8.871169222495224,1.480565755617249,0.026338082818471848
rewrite,RBT,43022,chck_90M,RBT_C_43022,C,token_overlap,3160,1.320851298393328,7.8683492692776875,9.189200567671016,1.5469110951085063,0.027518313442819818
rewrite,RBT,43022,chck_90M,RBT_R_43022,R,token_overlap,3160,0.8620722778990298,8.604091375462616,9.466163653361646,1.0486222343862854,0.01865415240746449
rewrite,RBT,43022,chck_90M,RBT_V_43022,V,token_overlap,3160,1.4568806969855406,7.207271568571465,8.664152265557005,1.53647194245702,0.027332609250995597
