column,subtask,n_items,score_70,score_72,score_74,score_76,score_78,score_80,score_82,score_84,score_86,score_88,score_90
BLiMP,drop_argument,920,61.52173913043478,62.5,61.30434782608696,60.108695652173914,62.93478260869565,63.47826086956522,60.97826086956522,62.06521739130435,62.39130434782608,60.97826086956522,61.19565217391304
BLiMP,ellipsis_n_bar_1,802,69.57605985037407,69.57605985037407,69.32668329177058,68.70324189526184,71.571072319202,73.31670822942642,71.94513715710723,72.31920199501248,73.19201995012469,73.44139650872819,74.43890274314214
BLiMP,ellipsis_n_bar_2,828,96.49758454106279,95.77294685990339,97.94685990338165,97.94685990338165,97.70531400966183,97.70531400966183,98.06763285024155,97.94685990338165,98.18840579710145,97.70531400966183,97.82608695652173
BLiMP,existential_there_object_raising,812,70.44334975369459,71.42857142857143,70.44334975369459,70.8128078817734,71.18226600985221,72.9064039408867,72.78325123152709,71.67487684729063,72.78325123152709,73.15270935960592,72.53694581280789
BLiMP,existential_there_quantifiers_1,930,99.46236559139786,98.27956989247312,98.70967741935483,99.35483870967742,97.74193548387096,99.03225806451613,98.81720430107526,99.13978494623656,99.46236559139786,99.13978494623656,99.03225806451613
BLiMP,existential_there_quantifiers_2,911,35.455543358946215,26.783754116355652,31.394072447859493,36.33369923161361,31.72338090010977,27.771679473106474,26.125137211855105,26.125137211855105,31.174533479692645,32.491767288693744,30.515916575192097
BLiMP,existential_there_subject_raising,924,75.0,76.2987012987013,77.48917748917748,74.45887445887446,75.10822510822511,74.56709956709958,76.40692640692642,75.86580086580086,76.19047619047619,77.16450216450217,76.19047619047619
BLiMP,expletive_it_object_raising,759,63.76811594202898,62.055335968379445,62.31884057971014,63.899868247694336,64.69038208168642,67.06192358366272,66.00790513833992,64.69038208168642,65.61264822134387,64.69038208168642,64.42687747035573
BLiMP,inchoative,855,44.44444444444444,43.27485380116959,44.91228070175438,43.74269005847953,44.09356725146199,45.146198830409354,44.91228070175438,45.96491228070175,46.666666666666664,46.198830409356724,45.146198830409354
BLiMP,intransitive,868,49.53917050691244,48.61751152073733,50.576036866359445,51.26728110599078,49.88479262672811,51.49769585253456,50.69124423963134,50.92165898617511,49.65437788018433,49.423963133640555,49.423963133640555
BLiMP,irregular_past_participle_adjectives,961,97.9188345473465,98.75130072840791,98.02289281997919,98.85535900104058,96.25390218522372,97.08636836628513,95.42143600416233,97.71071800208117,96.87825182101977,96.3579604578564,97.08636836628513
BLiMP,irregular_past_participle_verbs,942,77.70700636942675,70.59447983014861,74.6284501061571,76.96390658174099,76.2208067940552,77.07006369426752,76.43312101910828,76.64543524416136,79.08704883227176,76.53927813163483,76.43312101910828
BLiMP,irregular_plural_subject_verb_agreement_1,804,72.01492537313433,72.13930348258707,72.13930348258707,73.2587064676617,73.38308457711443,72.76119402985076,72.01492537313433,72.13930348258707,72.38805970149254,72.13930348258707,72.88557213930348
BLiMP,irregular_plural_subject_verb_agreement_2,892,78.69955156950674,77.57847533632287,77.91479820627802,77.69058295964125,76.68161434977578,78.81165919282512,76.12107623318386,76.68161434977578,76.90582959641256,76.79372197309418,76.90582959641256
