subtask,column,n,deberta_vr_pp,deberta_va_pp,deberta_ar_pp,roberta_cr_pp,roberta_factorial_pp
left_branch_island_simple_question,BLiMP,200,3.5000000000000004,3.0,0.5,1.0,35.5
material-dynamics,EWoK,100,-1.0,2.0,-3.0,6.0,13.0
material-properties,EWoK,100,10.0,3.0,7.000000000000001,-3.0,6.0
matrix_question_npi_licensor_present,BLiMP,200,12.5,-8.0,20.5,0.0,4.5
npi_present_1,BLiMP,200,5.0,2.5,2.5,-10.5,-2.0
npi_present_2,BLiMP,200,-5.0,-1.5,-3.5000000000000004,-3.0,-4.5
only_npi_licensor_present,BLiMP,200,-26.0,-30.5,4.5,-10.5,31.5
only_npi_scope,BLiMP,200,2.5,-8.5,11.0,15.0,1.0
passive_1,BLiMP,200,0.0,-1.0,1.0,-1.5,5.5
passive_2,BLiMP,200,0.5,2.0,-1.5,-2.0,0.5
physical-dynamics,EWoK,100,7.000000000000001,12.0,-5.0,2.0,23.0
physical-interactions,EWoK,100,1.0,0.0,1.0,7.000000000000001,13.0
physical-relations,EWoK,100,0.0,9.0,-9.0,7.000000000000001,0.0
principle_A_c_command,BLiMP,200,6.0,6.0,0.0,11.5,-5.5
principle_A_case_1,BLiMP,200,0.0,0.5,-0.5,0.5,1.5
principle_A_case_2,BLiMP,200,1.0,3.0,-2.0,-5.0,5.0
principle_A_domain_1,BLiMP,200,5.5,3.0,2.5,-9.5,5.0
principle_A_domain_2,BLiMP,200,-4.5,-4.0,-0.5,-6.5,6.5
principle_A_domain_3,BLiMP,200,-3.5000000000000004,-2.0,-1.5,-0.5,10.5
principle_A_reconstruction,BLiMP,200,4.0,8.0,-4.0,6.5,-6.0
qa_congruence_easy,Supplement,50,10.0,4.0,6.0,-4.0,-12.0
qa_congruence_tricky,Supplement,50,10.0,12.0,-2.0,-2.0,20.0
quantitative-properties,EWoK,100,-3.0,-2.0,-1.0,1.0,10.0
regular_plural_subject_verb_agreement_1,BLiMP,200,-2.5,-4.5,2.0,9.0,2.5
regular_plural_subject_verb_agreement_2,BLiMP,200,5.5,3.5000000000000004,2.0,-1.0,-6.5
sentential_negation_npi_licensor_present,BLiMP,200,2.5,-0.5,3.0,2.0,-0.5
sentential_negation_npi_scope,BLiMP,200,2.0,0.5,1.5,-2.0,-2.5
sentential_subject_island,BLiMP,200,-6.0,-1.0,-5.0,4.0,-8.5
social-interactions,EWoK,100,7.000000000000001,-1.0,8.0,6.0,8.0
social-properties,EWoK,100,6.0,14.000000000000002,-8.0,4.0,8.0
social-relations,EWoK,100,2.0,3.0,-1.0,3.0,0.0
spatial-relations,EWoK,100,-1.0,9.0,-10.0,3.0,-8.0
subject_aux_inversion,Supplement,50,-2.0,4.0,-6.0,-4.0,-4.0
superlative_quantifiers_1,BLiMP,200,-1.5,-2.0,0.5,-6.0,6.0
superlative_quantifiers_2,BLiMP,200,4.0,-7.000000000000001,11.0,-17.0,3.0
tough_vs_raising_1,BLiMP,200,3.0,4.5,-1.5,3.0,-1.5
tough_vs_raising_2,BLiMP,200,-3.5000000000000004,1.0,-4.5,1.5,-7.000000000000001
transitive,BLiMP,200,-7.000000000000001,-9.0,2.0,-1.5,0.5
turn_taking,Supplement,50,0.0,4.0,-4.0,-6.0,-8.0
wh_island,BLiMP,200,4.0,-2.5,6.5,8.0,41.0
wh_questions_object_gap,BLiMP,200,2.0,-8.5,10.5,-7.000000000000001,1.0
wh_questions_subject_gap,BLiMP,200,9.5,0.0,9.5,-2.5,-11.5
wh_questions_subject_gap_long_distance,BLiMP,200,0.5,0.5,0.0,1.5,-16.5
wh_vs_that_no_gap,BLiMP,200,3.0,0.0,3.0,1.5,-5.0
wh_vs_that_no_gap_long_distance,BLiMP,200,1.5,1.5,0.0,2.5,4.5
wh_vs_that_with_gap,BLiMP,200,-1.0,4.0,-5.0,-3.0,-2.5
wh_vs_that_with_gap_long_distance,BLiMP,200,1.5,-2.5,4.0,-0.5,-1.0
wugs,COMPS,13896,0.690846286701209,0.02878526194588371,0.6620610247553252,-0.295048934945308,2.0077720207253886
wugs_dist_before,COMPS,13896,-4.871905584340817,-3.612550374208405,-1.2593552101324121,-1.1586067933218192,-2.9576856649395507
wugs_dist_in_between,COMPS,13896,4.576856649395509,3.842832469775475,0.7340241796200345,2.1373056994818653,2.2596430627518713
