arm,epoch,subset,n,joint_correct,a_correct,b_correct,a_only_right,b_only_right,one_right,both_wrong,gated_fraction,prior_b_fraction,mean_a_margin,mean_b_margin,old_expected_joint,old_gating_count
uniform_wwm,10,not_both_entities_in_source_85,85,5,26,64,21,59,80,0,0.05882,0.7375,-0.735913359288398,0.86805209952745,19.576470588235296,-14.576470588235296
uniform_wwm,15,all_pairs,200,6,64,140,58,134,192,2,0.03,0.69792,-0.6023526678859005,0.7175358561238774,44.8,-38.8
uniform_wwm,15,updated_entity_in_source_119,119,2,38,81,36,79,115,2,0.01681,0.68696,-0.5209055827638059,0.6261109067975456,25.865546218487395,-23.865546218487395
uniform_wwm,15,updated_entity_not_in_source_81,81,4,26,59,22,55,77,0,0.04938,0.71429,-0.7220094966455207,0.8518515224181181,18.938271604938272,-14.938271604938272
uniform_wwm,15,both_entities_in_source_115,115,1,37,77,36,76,112,2,0.0087,0.67857,-0.5091657549765974,0.6120772906384938,24.77391304347826,-23.77391304347826
uniform_wwm,15,not_both_entities_in_source_85,85,5,27,63,22,58,80,0,0.05882,0.725,-0.7284290794690751,0.860215091780573,20.011764705882353,-15.011764705882353
uniform_wwm,20,all_pairs,200,7,64,142,57,135,192,1,0.035,0.70312,-0.5827753032343819,0.705539397942831,45.44,-38.44
uniform_wwm,20,updated_entity_in_source_119,119,2,38,83,36,81,117,0,0.01681,0.69231,-0.5074949812117864,0.6148865159342642,26.50420168067227,-24.50420168067227
uniform_wwm,20,updated_entity_not_in_source_81,81,5,26,59,21,54,75,1,0.06173,0.72,-0.6933723195391827,0.8387207924986266,18.938271604938272,-13.938271604938272
uniform_wwm,20,both_entities_in_source_115,115,2,37,80,35,78,113,0,0.01739,0.69027,-0.495488772904213,0.6014562264026508,25.73913043478261,-23.73913043478261
uniform_wwm,20,not_both_entities_in_source_85,85,5,27,62,22,57,79,1,0.05882,0.72152,-0.7008688442693162,0.8463578064971924,19.694117647058825,-14.694117647058825
answer_corrupt_update_state,0,all_pairs,200,6,78,128,72,122,194,0,0.03,0.62887,-0.5935204692939409,0.6779117414331263,49.92,-43.92
answer_corrupt_update_state,0,updated_entity_in_source_119,119,5,50,74,45,69,114,0,0.04202,0.60526,-0.5210784046206877,0.6062274799775613,31.092436974789916,-26.092436974789916
answer_corrupt_update_state,0,updated_entity_not_in_source_81,81,1,28,54,27,53,80,0,0.01235,0.6625,-0.6999477001102017,0.7832256564110549,18.666666666666668,-17.666666666666668
answer_corrupt_update_state,0,both_entities_in_source_115,115,5,49,71,44,66,110,0,0.04348,0.6,-0.5140561461521269,0.6035798309463543,30.252173913043478,-25.252173913043478
answer_corrupt_update_state,0,not_both_entities_in_source_85,85,1,29,57,28,56,84,0,0.01176,0.66667,-0.7010310241328656,0.7784784438564061,19.44705882352941,-18.44705882352941
answer_corrupt_update_state,5,all_pairs,200,14,95,119,81,105,186,0,0.07,0.56452,-0.14531015432476851,0.4296733483213494,56.525,-42.525
answer_corrupt_update_state,5,updated_entity_in_source_119,119,8,61,66,53,58,111,0,0.06723,0.52252,-0.01617159132503659,0.287380235180951,33.831932773109244,-25.831932773109244
answer_corrupt_update_state,5,updated_entity_not_in_source_81,81,6,34,53,28,47,75,0,0.07407,0.62667,-0.3350322407070907,0.6387212552807001,22.246913580246915,-16.246913580246915
answer_corrupt_update_state,5,both_entities_in_source_115,115,7,58,64,51,57,108,0,0.06087,0.52778,-0.012299571102187212,0.2809387006401709,32.278260869565216,-25.278260869565216
answer_corrupt_update_state,5,not_both_entities_in_source_85,85,7,37,55,30,48,78,0,0.08235,0.61538,-0.3252656492729667,0.6309025775370614,23.941176470588236,-16.941176470588236
answer_corrupt_update_state,10,all_pairs,200,25,108,117,83,92,175,0,0.125,0.52571,0.11407310001188922,0.4322625127690574,63.18,-38.18
answer_corrupt_update_state,10,updated_entity_in_source_119,119,15,68,66,53,51,104,0,0.12605,0.49038,0.2032779563489472,0.30750553875936604,37.714285714285715,-22.714285714285715
answer_corrupt_update_state,10,updated_entity_not_in_source_81,81,10,40,51,30,41,71,0,0.12346,0.57746,-0.016980948186998395,0.6155474498944065,25.185185185185187,-15.185185185185187
