label,uid,domain,idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,selection_pattern,selection_DiD_item,margin_430,margin_431,delta_431_minus_430,correct_430,correct_431,pattern
oldtok_50M,material-dynamics_25,material-dynamics,25,break,flap,direct,material,concept swap,1110,-1,6.529485702514648,1.1500225067138672,-5.379463195800781,1,1,11
oldtok_50M,material-dynamics_27,material-dynamics,27,break,flap,direct,material,concept swap,1110,-1,7.108125686645508,1.2627010345458984,-5.845424652099609,1,1,11
oldtok_50M,material-dynamics_29,material-dynamics,29,break,flap,direct,material,concept swap,1110,-1,6.7558746337890625,0.8644065856933594,-5.891468048095703,1,1,11
oldtok_50M,material-dynamics_56,material-dynamics,56,break,ripple,direct,material,concept swap,1110,-1,-2.52142333984375,-1.8616390228271484,0.6597843170166016,0,0,00
oldtok_50M,material-dynamics_64,material-dynamics,64,break,ripple,direct,material,concept swap,0010,-1,-2.063081741333008,0.7822675704956055,2.8453493118286133,0,1,01
oldtok_50M,material-dynamics_68,material-dynamics,68,break,ripple,direct,material,concept swap,0010,-1,-2.43060302734375,-0.16094398498535156,2.2696590423583984,0,0,00
oldtok_50M,material-dynamics_92,material-dynamics,92,break,splash,direct,material,concept swap,1110,-1,-2.52142333984375,-1.8616390228271484,0.6597843170166016,0,0,00
oldtok_50M,material-dynamics_96,material-dynamics,96,break,splash,direct,material,concept swap,0010,-1,-2.063081741333008,0.7822675704956055,2.8453493118286133,0,1,01
oldtok_50M,material-dynamics_98,material-dynamics,98,break,splash,direct,material,concept swap,0010,-1,-2.43060302734375,-0.16094398498535156,2.2696590423583984,0,0,00
oldtok_50M,material-dynamics_155,material-dynamics,155,drape,stir,direct,material,concept swap,1110,-1,-1.194732666015625,-1.6701698303222656,-0.4754371643066406,0,0,00
oldtok_50M,material-dynamics_157,material-dynamics,157,drape,stir,direct,material,concept swap,1110,-1,-1.5124931335449219,-1.3914642333984375,0.12102890014648438,0,0,00
oldtok_50M,material-dynamics_159,material-dynamics,159,drape,stir,direct,material,concept swap,1110,-1,-0.5852489471435547,1.0574111938476562,1.642660140991211,0,1,01
oldtok_50M,material-dynamics_162,material-dynamics,162,drape,stir,direct,material,concept swap,0010,-1,1.2695903778076172,-0.9556560516357422,-2.2252464294433594,1,0,10
oldtok_50M,material-dynamics_166,material-dynamics,166,drape,stir,direct,material,concept swap,0111,-1,2.256744384765625,-0.9477157592773438,-3.2044601440429688,1,0,10
oldtok_50M,material-dynamics_191,material-dynamics,191,flap,drip,direct,material,concept swap,0111,-1,-1.0037479400634766,-0.15932083129882812,0.8444271087646484,0,0,00
oldtok_50M,material-dynamics_193,material-dynamics,193,flap,drip,direct,material,concept swap,0111,-1,-1.7950687408447266,-0.11148452758789062,1.683584213256836,0,0,00
oldtok_50M,material-dynamics_195,material-dynamics,195,flap,drip,direct,material,concept swap,0111,-1,-1.4050636291503906,0.0258331298828125,1.4308967590332031,0,1,01
oldtok_50M,material-dynamics_197,material-dynamics,197,flap,drip,direct,material,concept swap,0111,-1,-1.120248794555664,-0.07335281372070312,1.046895980834961,0,0,00
oldtok_50M,material-dynamics_199,material-dynamics,199,flap,drip,direct,material,concept swap,0111,-1,-1.2542991638183594,0.11998367309570312,1.3742828369140625,0,1,01
oldtok_50M,material-dynamics_210,material-dynamics,210,fold,pour,direct,material,concept swap,0111,-1,-0.7709827423095703,1.2218189239501953,1.9928016662597656,0,1,01
oldtok_50M,material-dynamics_214,material-dynamics,214,fold,pour,direct,material,concept swap,0111,-1,0.45231056213378906,0.11197471618652344,-0.3403358459472656,1,1,11
oldtok_50M,material-dynamics_218,material-dynamics,218,fold,pour,direct,material,concept swap,0111,-1,1.2198848724365234,0.5288410186767578,-0.6910438537597656,1,1,11
oldtok_50M,material-dynamics_232,material-dynamics,232,fold,stir,direct,material,concept swap,0111,-1,-0.7709827423095703,1.2218189239501953,1.9928016662597656,0,1,01
oldtok_50M,material-dynamics_234,material-dynamics,234,fold,stir,direct,material,concept swap,0111,-1,1.8693904876708984,1.059988021850586,-0.8094024658203125,1,1,11
oldtok_50M,material-dynamics_235,material-dynamics,235,fold,stir,direct,material,concept swap,1110,-1,-1.194732666015625,-1.6701698303222656,-0.4754371643066406,0,0,00
oldtok_50M,material-dynamics_13,material-dynamics,13,break,drip,indirect,material,concept swap,1111,0,2.6356353759765625,0.8126087188720703,-1.8230266571044922,1,1,11
oldtok_50M,material-dynamics_15,material-dynamics,15,break,drip,indirect,material,concept swap,1111,0,-2.376659393310547,2.1050376892089844,4.481697082519531,0,1,01
oldtok_50M,material-dynamics_17,material-dynamics,17,break,drip,indirect,material,concept swap,1111,0,2.7518539428710938,2.2353343963623047,-0.5165195465087891,1,1,11
oldtok_50M,material-dynamics_19,material-dynamics,19,break,drip,indirect,material,concept swap,1111,0,2.9259166717529297,-0.8630714416503906,-3.7889881134033203,1,0,10
oldtok_50M,material-dynamics_30,material-dynamics,30,break,flap,indirect,material,concept swap,1111,0,-0.41773033142089844,2.540726661682129,2.9584569931030273,0,1,01
oldtok_50M,material-dynamics_34,material-dynamics,34,break,flap,indirect,material,concept swap,1111,0,1.0648517608642578,2.2781848907470703,1.2133331298828125,1,1,11
oldtok_50M,material-dynamics_39,material-dynamics,39,break,flap,indirect,material,concept swap,1111,0,-0.3437080383300781,3.6726760864257812,4.016384124755859,0,1,01
oldtok_50M,material-dynamics_53,material-dynamics,53,break,ripple,direct,material,concept swap,1111,0,2.6592254638671875,2.850536346435547,0.19131088256835938,1,1,11
oldtok_50M,material-dynamics_61,material-dynamics,61,break,ripple,direct,material,concept swap,1111,0,2.521026611328125,2.651042938232422,0.13001632690429688,1,1,11
oldtok_50M,material-dynamics_65,material-dynamics,65,break,ripple,direct,material,concept swap,1111,0,2.372844696044922,3.03131103515625,0.6584663391113281,1,1,11
oldtok_50M,material-dynamics_12,material-dynamics,12,break,drip,indirect,material,concept swap,0000,0,-3.961702346801758,0.32444000244140625,4.286142349243164,0,1,01
oldtok_50M,material-dynamics_16,material-dynamics,16,break,drip,indirect,material,concept swap,0000,0,-0.8515548706054688,-1.2644672393798828,-0.41291236877441406,0,0,00
oldtok_50M,material-dynamics_18,material-dynamics,18,break,drip,indirect,material,concept swap,0000,0,-1.4625663757324219,-1.3923072814941406,0.07025909423828125,0,0,00
oldtok_50M,material-dynamics_33,material-dynamics,33,break,flap,indirect,material,concept swap,0000,0,2.1886844635009766,0.5606002807617188,-1.6280841827392578,1,1,11
oldtok_50M,material-dynamics_38,material-dynamics,38,break,flap,indirect,material,concept swap,0000,0,-3.330892562866211,-1.9999055862426758,1.3309869766235352,0,0,00
oldtok_50M,material-dynamics_76,material-dynamics,76,break,ripple,indirect,material,concept swap,0000,0,-3.961702346801758,0.32444000244140625,4.286142349243164,0,1,01
oldtok_50M,material-dynamics_82,material-dynamics,82,break,ripple,indirect,material,concept swap,0000,0,-0.8515548706054688,-1.2644672393798828,-0.41291236877441406,0,0,00
oldtok_50M,material-dynamics_86,material-dynamics,86,break,ripple,indirect,material,concept swap,0000,0,-1.4625663757324219,-1.3923072814941406,0.07025909423828125,0,0,00
oldtok_50M,material-dynamics_88,material-dynamics,88,break,ripple,indirect,material,concept swap,0000,0,-3.330892562866211,-1.9999055862426758,1.3309869766235352,0,0,00
oldtok_50M,material-dynamics_102,material-dynamics,102,break,splash,indirect,material,concept swap,0000,0,-3.961702346801758,0.32444000244140625,4.286142349243164,0,1,01
oldtok_50M,physical-dynamics_5,physical-dynamics,5,accelerate,slow down,direct,antonym,concept swap,0110,-2,-1.0539798736572266,-1.0152740478515625,0.03870582580566406,0,0,00
oldtok_50M,physical-dynamics_7,physical-dynamics,7,accelerate,slow down,direct,antonym,concept swap,0110,-2,-0.15949249267578125,0.8411655426025391,1.0006580352783203,0,1,01
oldtok_50M,physical-dynamics_1,physical-dynamics,1,accelerate,slow down,direct,antonym,concept swap,0100,-1,-1.3436470031738281,-1.1054821014404297,0.23816490173339844,0,0,00
oldtok_50M,physical-dynamics_3,physical-dynamics,3,accelerate,slow down,direct,antonym,concept swap,1110,-1,-0.7148590087890625,-0.3045501708984375,0.410308837890625,0,0,00
oldtok_50M,physical-dynamics_9,physical-dynamics,9,accelerate,slow down,direct,antonym,concept swap,0100,-1,-0.36953163146972656,-1.1814460754394531,-0.8119144439697266,0,0,00
oldtok_50M,physical-dynamics_24,physical-dynamics,24,fall,rise,direct,antonym,concept swap,0111,-1,0.5218238830566406,-0.11890602111816406,-0.6407299041748047,1,0,10
oldtok_50M,physical-dynamics_26,physical-dynamics,26,fall,rise,direct,antonym,concept swap,0100,-1,1.4100608825683594,-0.8881816864013672,-2.2982425689697266,1,0,10
oldtok_50M,physical-dynamics_40,physical-dynamics,40,grow,shrink,direct,antonym,concept swap,0010,-1,-0.5610408782958984,-0.6872959136962891,-0.12625503540039062,0,0,00
oldtok_50M,physical-dynamics_42,physical-dynamics,42,grow,shrink,direct,antonym,concept swap,0010,-1,-0.438140869140625,-0.4273509979248047,0.010789871215820312,0,0,00
oldtok_50M,physical-dynamics_44,physical-dynamics,44,grow,shrink,direct,antonym,concept swap,0010,-1,-0.11920356750488281,-0.051540374755859375,0.06766319274902344,0,0,00
oldtok_50M,physical-dynamics_45,physical-dynamics,45,grow,shrink,direct,antonym,concept swap,1110,-1,-0.4569988250732422,-0.4361991882324219,0.020799636840820312,0,0,00
oldtok_50M,physical-dynamics_46,physical-dynamics,46,grow,shrink,direct,antonym,concept swap,0010,-1,-0.3862419128417969,-0.31690216064453125,0.06933975219726562,0,0,00
oldtok_50M,physical-dynamics_48,physical-dynamics,48,grow,shrink,direct,antonym,concept swap,0010,-1,-0.5223598480224609,-0.19318389892578125,0.3291759490966797,0,0,00
oldtok_50M,physical-dynamics_49,physical-dynamics,49,grow,shrink,direct,antonym,concept swap,1110,-1,-0.4217376708984375,-0.25002479553222656,0.17171287536621094,0,0,00
oldtok_50M,physical-dynamics_81,physical-dynamics,81,sink,float,direct,antonym,concept swap,0100,-1,0.6237459182739258,-1.6234683990478516,-2.2472143173217773,1,0,10
oldtok_50M,physical-dynamics_83,physical-dynamics,83,sink,float,direct,antonym,concept swap,0100,-1,1.9233226776123047,-0.0420684814453125,-1.9653911590576172,1,0,10
oldtok_50M,physical-dynamics_95,physical-dynamics,95,sink,float,direct,antonym,concept swap,0100,-1,1.6381902694702148,0.3230171203613281,-1.3151731491088867,1,1,11
oldtok_50M,physical-dynamics_99,physical-dynamics,99,sink,float,direct,antonym,concept swap,0100,-1,2.23040771484375,1.993722915649414,-0.23668479919433594,1,1,11
oldtok_50M,physical-dynamics_103,physical-dynamics,103,sink,float,indirect,antonym,concept swap,1110,-1,-0.3757820129394531,0.7469635009765625,1.1227455139160156,0,1,01
oldtok_50M,physical-dynamics_107,physical-dynamics,107,sink,float,indirect,antonym,concept swap,1110,-1,-0.9227848052978516,1.3394050598144531,2.2621898651123047,0,1,01
oldtok_50M,physical-dynamics_110,physical-dynamics,110,sink,float,indirect,antonym,concept swap,0010,-1,-0.8240470886230469,-2.829427719116211,-2.005380630493164,0,0,00
oldtok_50M,physical-dynamics_112,physical-dynamics,112,sink,float,indirect,antonym,concept swap,0010,-1,-0.5453243255615234,-2.3592586517333984,-1.813934326171875,0,0,00
oldtok_50M,physical-dynamics_114,physical-dynamics,114,sink,float,indirect,antonym,concept swap,0010,-1,0.10457229614257812,-3.103322982788086,-3.207895278930664,1,0,10
oldtok_50M,physical-dynamics_115,physical-dynamics,115,sink,float,indirect,antonym,concept swap,0111,-1,-0.6676292419433594,2.8318233489990234,3.499452590942383,0,1,01
oldtok_50M,physical-dynamics_116,physical-dynamics,116,sink,float,indirect,antonym,concept swap,0010,-1,-1.212320327758789,-1.479269027709961,-0.2669486999511719,0,0,00
oldtok_50M,physical-dynamics_118,physical-dynamics,118,sink,float,indirect,antonym,concept swap,0010,-1,-0.9870243072509766,-3.058408737182617,-2.0713844299316406,0,0,00
oldtok_50M,physical-dynamics_51,physical-dynamics,51,roll,slide,indirect,negation,concept swap,0010,-1,-0.5062808990478516,0.2669343948364258,0.7732152938842773,0,1,01
oldtok_50M,physical-dynamics_52,physical-dynamics,52,roll,slide,indirect,negation,concept swap,1110,-1,-0.3973121643066406,0.5862045288085938,0.9835166931152344,0,1,01
oldtok_50M,physical-dynamics_59,physical-dynamics,59,roll,slide,indirect,negation,concept swap,0010,-1,-0.33277130126953125,-0.25234127044677734,0.0804300308227539,0,0,00
oldtok_50M,physical-dynamics_62,physical-dynamics,62,roll,slide,indirect,other,concept swap,1110,-1,3.2316226959228516,-0.6778564453125,-3.9094791412353516,1,0,10
oldtok_50M,physical-dynamics_64,physical-dynamics,64,roll,slide,indirect,other,concept swap,1110,-1,4.525787353515625,2.517024040222168,-2.008763313293457,1,1,11
oldtok_50M,physical-dynamics_66,physical-dynamics,66,roll,slide,indirect,other,concept swap,0100,-1,3.354677200317383,-4.820995330810547,-8.17567253112793,1,0,10
oldtok_50M,physical-dynamics_0,physical-dynamics,0,accelerate,slow down,direct,antonym,concept swap,1111,0,0.5638370513916016,-2.688446044921875,-3.2522830963134766,1,0,10
oldtok_50M,physical-dynamics_2,physical-dynamics,2,accelerate,slow down,direct,antonym,concept swap,1111,0,0.8701705932617188,-2.922748565673828,-3.792919158935547,1,0,10
oldtok_50M,physical-dynamics_4,physical-dynamics,4,accelerate,slow down,direct,antonym,concept swap,1111,0,0.40196990966796875,-2.7416152954101562,-3.143585205078125,1,0,10
oldtok_50M,physical-dynamics_6,physical-dynamics,6,accelerate,slow down,direct,antonym,concept swap,1111,0,0.4126758575439453,-3.464212417602539,-3.8768882751464844,1,0,10
oldtok_50M,physical-dynamics_8,physical-dynamics,8,accelerate,slow down,direct,antonym,concept swap,1111,0,0.0051364898681640625,-3.0626907348632812,-3.0678272247314453,1,0,10
oldtok_50M,physical-dynamics_10,physical-dynamics,10,accelerate,slow down,indirect,antonym,concept swap,1111,0,0.8049106597900391,-0.8882579803466797,-1.6931686401367188,1,0,10
oldtok_50M,physical-dynamics_12,physical-dynamics,12,accelerate,slow down,indirect,antonym,concept swap,1111,0,0.3949756622314453,-1.3845033645629883,-1.7794790267944336,1,0,10
oldtok_50M,physical-dynamics_14,physical-dynamics,14,accelerate,slow down,indirect,antonym,concept swap,1111,0,0.3550529479980469,-1.3967914581298828,-1.7518444061279297,1,0,10
oldtok_50M,physical-dynamics_16,physical-dynamics,16,accelerate,slow down,indirect,antonym,concept swap,1111,0,0.3966178894042969,-1.4805669784545898,-1.8771848678588867,1,0,10
oldtok_50M,physical-dynamics_18,physical-dynamics,18,accelerate,slow down,indirect,antonym,concept swap,1111,0,1.20660400390625,-1.4128189086914062,-2.6194229125976562,1,0,10
oldtok_50M,physical-dynamics_20,physical-dynamics,20,fall,rise,direct,antonym,concept swap,0000,0,0.3030071258544922,0.016416549682617188,-0.286590576171875,1,1,11
oldtok_50M,physical-dynamics_22,physical-dynamics,22,fall,rise,direct,antonym,concept swap,0000,0,1.4760398864746094,-0.8606386184692383,-2.3366785049438477,1,0,10
oldtok_50M,physical-dynamics_28,physical-dynamics,28,fall,rise,direct,antonym,concept swap,0000,0,0.4647216796875,-0.00046443939208984375,-0.46518611907958984,1,0,10
