endpoint,form,token_kind,distance_bin,row_length_bin,tokens,kl_mean,kl_sd_pop,kl_max
coherent86_alpha075,short_add_special,content,4-7,64-127,16,0.0014642116690453122,0.0020310261258587336,0.006124497856944799
coherent86_alpha075,short_add_special,content,8-15,16-31,105,0.0013211838278331404,0.0037452687056358127,0.019710954278707504
coherent86_alpha075,short_add_special,content,8-15,32-63,176,0.0012477930246203332,0.004874153363683886,0.04864668473601341
coherent86_alpha075,short_add_special,content,8-15,64-127,32,0.0007844874592706219,0.0018633794022650714,0.008068455383181572
coherent86_alpha075,short_add_special,special,0,0-15,38,0.010512227696476896,0.00863569813465559,0.042856790125370026
coherent86_alpha075,short_add_special,special,0,16-31,32,0.011564067233848618,0.010722146718930589,0.04133503511548042
coherent86_alpha075,short_add_special,special,0,32-63,22,0.004197634566067295,0.003620336508914365,0.013242688030004501
coherent86_alpha075,short_add_special,special,0,64-127,4,0.0037823072125320323,0.0019266226812504857,0.005141845904290676
dense64_u0080,coherent_add_special,content,1,128-255,78,0.010205343471098489,0.028152277618519673,0.14975209534168243
dense64_u0080,coherent_add_special,content,1,>=256,18,0.0008011210137447557,0.0025825676561121234,0.011389113962650299
dense64_u0080,coherent_add_special,content,16-31,128-255,1248,0.003623444206310154,0.01843368760394737,0.29740026593208313
dense64_u0080,coherent_add_special,content,16-31,>=256,288,0.00103021878213209,0.003424142610605213,0.02730114385485649
dense64_u0080,coherent_add_special,content,2-3,128-255,156,0.0028526595809968314,0.0108668643138996,0.10559412837028503
dense64_u0080,coherent_add_special,content,2-3,>=256,36,0.0003423685019416922,0.0010731421143506839,0.006028388626873493
dense64_u0080,coherent_add_special,content,32-63,128-255,2496,0.003995275222221309,0.018309168362406873,0.3730368912220001
dense64_u0080,coherent_add_special,content,32-63,>=256,576,0.0016330381294302383,0.007108148440792565,0.10923879593610764
dense64_u0080,coherent_add_special,content,4-7,128-255,312,0.005299575997601762,0.023504684943645934,0.2768280804157257
dense64_u0080,coherent_add_special,content,4-7,>=256,72,0.0018076291294669823,0.0066952265573224385,0.05049575865268707
dense64_u0080,coherent_add_special,content,64-127,128-255,3356,0.00369734708105807,0.021068333683467794,0.6358882784843445
dense64_u0080,coherent_add_special,content,64-127,>=256,1152,0.0010272463778050979,0.004513072685864795,0.07930015027523041
dense64_u0080,coherent_add_special,content,8-15,128-255,624,0.005340516934808972,0.02416821390596415,0.2945064306259155
dense64_u0080,coherent_add_special,content,8-15,>=256,144,0.001396818170997448,0.005085565907818217,0.043838027864694595
dense64_u0080,coherent_add_special,special,0,128-255,78,0.05220251724509021,0.0832726214688892,0.5471121668815613
dense64_u0080,coherent_add_special,special,0,>=256,18,0.012947089833637114,0.008131324716553666,0.02951914817094803
