arm,steps,total_words,total_active_tokens,total_u256_recoverable_tokens,total_masked_tokens,loss_first,loss_last,active_tokens_per_word_total,recoverable_tokens_per_word_total,masked_per_active_total,masked_per_word_total,metric,n,sum,mean,sd,min,p05,p25,p50,p75,p95,max,cv,total_nominal_slots,length_counts,pad_slots_total,pad_fraction
U256_actual_first20M_log,506,20000000,,,4405957,9.826857208144903,3.718591442220565,,,,0.22029785,masked_tokens,506,4405957.0,8707.42490118577,181.46513753011686,8109.0,8414.75,8589.25,8705.0,8831.5,9003.0,9287.0,0.020840275924217857,,,,
U256_actual_first20M_log,506,20000000,,,4405957,9.826857208144903,3.718591442220565,,,,0.22029785,effective_mask_rate,506,76.0137,0.15022470355731227,0.0020300320318806927,0.1425,0.1467,0.149,0.1503,0.1517,0.1533,0.156,0.013513303629893433,,,,
U256_step110_dryrun_first20M,506,20000000,29329038,,4400085,,,1.4664519,,0.15002486614119426,0.22000425,charged_words,506,20000000.0,39525.691699604744,828.5676911302169,37319.0,38186.25,38928.5,39505.0,40086.0,40908.75,42495.0,0.020962762585594485,40899584,{'256': 506},11570546,0.28290131263926793
U256_step110_dryrun_first20M,506,20000000,29329038,,4400085,,,1.4664519,,0.15002486614119426,0.22000425,active_tokens,506,29329038.0,57962.52569169961,895.4943212435589,55391.0,56427.5,57366.75,57903.0,58553.75,59487.25,61186.0,0.015449539345587836,40899584,{'256': 506},11570546,0.28290131263926793
U256_step110_dryrun_first20M,506,20000000,29329038,,4400085,,,1.4664519,,0.15002486614119426,0.22000425,masked_tokens,506,4400085.0,8695.820158102766,183.22948652438782,8223.0,8427.0,8576.0,8684.5,8820.0,8991.5,9340.0,0.021070983897206588,40899584,{'256': 506},11570546,0.28290131263926793
U256_step110_dryrun_first20M,506,20000000,29329038,,4400085,,,1.4664519,,0.15002486614119426,0.22000425,n_chunks,506,159764.0,315.7391304347826,0.4391089103635686,315.0,315.0,315.0,316.0,316.0,316.0,316.0,0.0013907332605841473,40899584,{'256': 506},11570546,0.28290131263926793
U256_step110_dryrun_first20M,506,20000000,29329038,,4400085,,,1.4664519,,0.15002486614119426,0.22000425,microbatches,506,2530.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,40899584,{'256': 506},11570546,0.28290131263926793
row256_full100M,2529,100000000,142948930,3696260,21449599,9.837543487548828,2.5525617599487305,1.4294893,0.0369626,0.15005078387085513,0.21449599,charged_words,2529,100000000.0,39541.320680110715,216.18011884417973,35791.0,39195.4,39414.0,39546.0,39679.0,39873.0,40243.0,0.005467195205569306,,,,
row256_full100M,2529,100000000,142948930,3696260,21449599,9.837543487548828,2.5525617599487305,1.4294893,0.0369626,0.15005078387085513,0.21449599,row256_active_tokens,2529,142948930.0,56523.89482008699,515.860814179013,50897.0,55723.2,56187.0,56526.0,56870.0,57363.600000000006,58230.0,0.009126420177183025,,,,
row256_full100M,2529,100000000,142948930,3696260,21449599,9.837543487548828,2.5525617599487305,1.4294893,0.0369626,0.15005078387085513,0.21449599,u256_recoverable_tokens,2529,3696260.0,1461.5500197706604,264.7718266261914,698.0,1065.0,1273.0,1442.0,1622.0,1941.9999999999995,2878.0,0.18115823820230126,,,,
row256_full100M,2529,100000000,142948930,3696260,21449599,9.837543487548828,2.5525617599487305,1.4294893,0.0369626,0.15005078387085513,0.21449599,u256_recoverable_full_words,2529,1978060.0,782.1510478449981,124.39878397086325,389.0,589.0,697.0,777.0,863.0,1000.5999999999999,1226.0,0.15904700800901547,,,,
row256_full100M,2529,100000000,142948930,3696260,21449599,9.837543487548828,2.5525617599487305,1.4294893,0.0369626,0.15005078387085513,0.21449599,u256_recoverable_boundary_tokens,2529,104610.0,41.36417556346382,11.376402608088576,14.0,26.0,34.0,40.0,47.0,61.0,108.0,0.27503032402118355,,,,
row256_full100M,2529,100000000,142948930,3696260,21449599,9.837543487548828,2.5525617599487305,1.4294893,0.0369626,0.15005078387085513,0.21449599,masked_tokens,2529,21449599.0,8481.454725187821,140.33787543900573,7510.0,8256.8,8388.0,8482.0,8575.0,8719.0,8919.0,0.016546439259085704,,,,
row256_full100M,2529,100000000,142948930,3696260,21449599,9.837543487548828,2.5525617599487305,1.4294893,0.0369626,0.15005078387085513,0.21449599,active_tokens_per_word,2529,3615.1575216109363,1.429481028711323,0.009249236060241882,1.3993752222278661,1.414286540416715,1.4232318880977117,1.4297380663430421,1.4359058455483513,1.4443268048629916,1.4608049504197205,0.006470345443185116,,,,
row256_full100M,2529,100000000,142948930,3696260,21449599,9.837543487548828,2.5525617599487305,1.4294893,0.0369626,0.15005078387085513,0.21449599,recoverable_tokens_per_word,2529,93.46783778977247,0.036958417473219644,0.0066702780265868325,0.01755091777721901,0.026961847199634043,0.0322249229458491,0.03642133897536648,0.04104851643945469,0.04903095406685329,0.07344459756035318,0.18048061801943138,,,,
row256_full100M,2529,100000000,142948930,3696260,21449599,9.837543487548828,2.5525617599487305,1.4294893,0.0369626,0.15005078387085513,0.21449599,masked_per_active,2529,379.4786721652111,0.15005087867347217,0.002077686937955854,0.14331475090699938,0.1465988468019401,0.148653692348707,0.15008437570675529,0.15148900990276953,0.1534123243195905,0.15771127205736268,0.01384654962585816,,,,
U256_full100M_dryrun,2530,100000000,146645190,,21998645,,,1.4664519,,0.15001272800014784,0.21998645,charged_words,2530,100000000.0,39525.691699604744,1124.4680884871589,37362.0,38243.0,38806.0,39410.0,39976.0,41035.0,44217.0,0.02844904263872512,204497920,{'256': 2530},57852730,0.28290131263926793
U256_full100M_dryrun,2530,100000000,146645190,,21998645,,,1.4664519,,0.15001272800014784,0.21998645,active_tokens,2530,146645190.0,57962.52569169961,1287.1319237983669,55507.0,56410.0,57196.0,57771.0,58503.0,59763.0,63746.0,0.022206277391095257,204497920,{'256': 2530},57852730,0.28290131263926793
U256_full100M_dryrun,2530,100000000,146645190,,21998645,,,1.4664519,,0.15001272800014784,0.21998645,masked_tokens,2530,21998645.0,8695.116600790514,229.56754549752372,7973.0,8377.0,8549.0,8675.0,8801.0,9068.0,9839.0,0.0264018938488591,204497920,{'256': 2530},57852730,0.28290131263926793
U256_full100M_dryrun,2530,100000000,146645190,,21998645,,,1.4664519,,0.15001272800014784,0.21998645,n_chunks,2530,798820.0,315.7391304347826,0.4391089103635686,315.0,315.0,315.0,316.0,316.0,316.0,316.0,0.0013907332605841473,204497920,{'256': 2530},57852730,0.28290131263926793
U256_full100M_dryrun,2530,100000000,146645190,,21998645,,,1.4664519,,0.15001272800014784,0.21998645,microbatches,2530,12650.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,204497920,{'256': 2530},57852730,0.28290131263926793
U64_128_256_full100M_dryrun,2530,100000000,146645190,,21992006,,,1.4664519,,0.1499674554617168,0.21992006,charged_words,2530,100000000.0,39525.691699604744,709.7004549673798,37362.0,38515.2,39163.0,39498.0,39870.0,40411.0,44217.0,0.017955421510674707,186120384,"{'64': 759, '128': 1012, '256': 759}",39475194,0.21209495247978857
U64_128_256_full100M_dryrun,2530,100000000,146645190,,21992006,,,1.4664519,,0.1499674554617168,0.21992006,active_tokens,2530,146645190.0,57962.52569169961,788.9176281738759,55507.0,56845.25,57593.0,57966.0,58284.0,58911.299999999996,63746.0,0.01361082214343277,186120384,"{'64': 759, '128': 1012, '256': 759}",39475194,0.21209495247978857
U64_128_256_full100M_dryrun,2530,100000000,146645190,,21992006,,,1.4664519,,0.1499674554617168,0.21992006,masked_tokens,2530,21992006.0,8692.492490118577,170.5062566020368,8171.0,8429.45,8585.0,8689.5,8791.75,8943.55,9684.0,0.01961534701305343,186120384,"{'64': 759, '128': 1012, '256': 759}",39475194,0.21209495247978857
U64_128_256_full100M_dryrun,2530,100000000,146645190,,21992006,,,1.4664519,,0.1499674554617168,0.21992006,n_chunks,2530,1611309.0,636.8810276679842,287.8264334734712,315.0,315.0,316.0,571.0,1045.0,1046.0,1046.0,0.4519312414241353,186120384,"{'64': 759, '128': 1012, '256': 759}",39475194,0.21209495247978857
U64_128_256_full100M_dryrun,2530,100000000,146645190,,21992006,,,1.4664519,,0.1499674554617168,0.21992006,microbatches,2530,25806.0,10.2,4.749736834815167,5.0,5.0,5.0,9.0,17.0,17.0,17.0,0.46566047400148697,186120384,"{'64': 759, '128': 1012, '256': 759}",39475194,0.21209495247978857
