checkpoint,checkpoint_elapsed_sec,example_id,full_nll,full_nll_delta_chck100_minus_chck82,ig_r16,ig_r16_delta_chck100_minus_chck82,ig_r4,ig_r4_delta_chck100_minus_chck82,ig_r8,ig_r8_delta_chck100_minus_chck82,item_id,local_r16_nll,local_r4_nll,local_r8_nll,log_sample_freq,position,position_frac,row_index,row_words,sample_freq,seq_len,source,target_context_count,target_id,target_token
chck82,3.236175775527954,4345,7.4368896484375,0.24187898635864258,-0.01377105712890625,-0.0031561851501464844,-0.03777503967285156,0.005611896514892578,-0.12616634368896484,0.10601282119750977,row52011:tok42:id5074,7.423118591308594,7.399114608764648,7.310723304748535,0.6931471805599453,42,0.23076923076923078,52011,160,1,183,bnc_spoken,0,5074,Ġtradition
chck82,3.236175775527954,4345,8.51115894317627,-0.5520157814025879,-0.4123497009277344,-0.009035587310791016,2.6175928115844727,1.309044361114502,-0.1499166488647461,-0.05683469772338867,row52011:tok79:id3637,8.098809242248535,11.128751754760742,8.361242294311523,0.6931471805599453,79,0.4340659340659341,52011,160,1,183,bnc_spoken,0,3637,cher
chck82,3.236175775527954,4345,2.71589732170105,0.19739222526550293,0.43520545959472656,0.21181082725524902,-0.22635459899902344,-0.20203709602355957,1.742130994796753,-0.0052874088287353516,row52011:tok126:id253,3.1511027812957764,2.4895427227020264,4.458028316497803,6.202535517187923,126,0.6923076923076923,52011,160,493,183,bnc_spoken,5,253,Ġthat
chck82,3.236175775527954,306574,0.013185921125113964,-0.0022649280726909637,0.6816815109923482,0.0671059601008892,3.2705727191641927,0.19451160356402397,1.9457605453208089,0.26090068742632866,row52072:tok5:id470,0.6948674321174622,3.2837586402893066,1.9589464664459229,4.3694478524670215,5,0.032679738562091505,52072,128,78,154,qwen_pair_packed,1,470,Ġwould
chck82,3.236175775527954,306574,0.1094663068652153,-0.031797945499420166,1.2471208646893501,0.23020309209823608,1.4001040533185005,0.326205313205719,1.0495785549283028,0.2660464644432068,row52072:tok10:id994,1.3565871715545654,1.5095703601837158,1.159044861793518,3.58351893845611,10,0.06535947712418301,52072,128,35,154,qwen_pair_packed,1,994,Ġnumber
chck82,3.236175775527954,306574,0.03202059492468834,-0.012994199991226196,8.937747929245234,-0.1865592896938324,7.015784237533808,0.05001869797706604,6.833955738693476,0.020677000284194946,row52072:tok28:id1323,8.969768524169922,7.047804832458496,6.865976333618164,1.791759469228055,28,0.1830065359477124,52072,128,5,154,qwen_pair_packed,1,1323,Ġbro
chck82,3.236175775527954,306574,0.15570083260536194,-0.0054916441440582275,7.51116356253624,1.0423177778720856,4.867731899023056,0.3444770872592926,4.736651748418808,0.2923225462436676,row52072:tok39:id13019,7.666864395141602,5.023432731628418,4.89235258102417,1.791759469228055,39,0.2549019607843137,52072,128,5,154,qwen_pair_packed,1,13019,Ġaspects
chck82,3.236175775527954,43307,3.637638807296753,-0.18277215957641602,-0.9877593517303467,0.03504490852355957,-0.86525559425354,-0.23709321022033691,-0.8266525268554688,-0.04561734199523926,row52171:tok62:id325,2.6498794555664062,2.772383213043213,2.810986280441284,5.087596335232384,62,0.2616033755274262,52171,160,161,238,open_subtitles,1,325,Ġthis
chck82,3.236175775527954,43307,6.69859504699707,-0.06990718841552734,-0.32138633728027344,-0.12028074264526367,0.043735504150390625,0.011676788330078125,-0.7189130783081055,-0.1644759178161621,row52171:tok65:id6320,6.377208709716797,6.742330551147461,5.979681968688965,1.3862943611198906,65,0.2742616033755274,52171,160,3,238,open_subtitles,0,6320,ĠTime
chck82,3.236175775527954,43307,9.965020179748535,-0.07418632507324219,2.7766847610473633,-0.013818740844726562,2.3199453353881836,-0.053742408752441406,1.9744529724121094,0.06616401672363281,row52171:tok81:id1757,12.741704940795898,12.284965515136719,11.939473152160645,1.791759469228055,81,0.34177215189873417,52171,160,5,238,open_subtitles,0,1757,Ġmusic
