binary_delta,checkpoint,domain,dose_name,family,interaction_delta_view_minus_repeat,margin_delta_view_minus_repeat,numops,repeat_correct,repeat_interaction,repeat_margin,split,uid,view_correct,view_interaction,view_margin,words,source_csv
0.0,chck_80M,,dose1,Entity,,2.689961046911776,0,False,,-3.6963883275166154,move_contents,move_contents_0_ops_468,False,,-1.0064272806048393,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
-1.0,chck_80M,,dose1,Entity,,-7.933531907387078,0,True,,6.553114988841116,move_contents,move_contents_0_ops_504,False,,-1.3804169185459614,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
-1.0,chck_80M,,dose1,Entity,,-5.187510762363672,1,True,,4.692732945084572,move_contents,move_contents_1_ops_161,False,,-0.4947778172791004,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,-3.467265985906124,1,False,,-1.6350156366825104,move_contents,move_contents_1_ops_194,False,,-5.1022816225886345,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,12.034469475969672,1,False,,-15.216412032023072,move_contents,move_contents_1_ops_243,False,,-3.1819425560534,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
1.0,chck_80M,,dose1,Entity,,1.2248137295246124,1,False,,-0.8957754075527191,move_contents,move_contents_1_ops_265,True,,0.3290383219718933,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,14.792365479981527,1,False,,-20.093787860823795,move_contents,move_contents_1_ops_293,False,,-5.3014223808422685,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,3.353017050307244,2,True,,4.143679193686694,move_contents,move_contents_2_ops_103,True,,7.496696243993938,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
1.0,chck_80M,,dose1,Entity,,6.088337659835815,2,False,,-3.882037937641144,move_contents,move_contents_2_ops_160,True,,2.2062997221946716,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,4.759170491248369,2,False,,-4.765497464686632,move_contents,move_contents_2_ops_210,False,,-0.0063269734382629395,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,-1.9480711054056883,2,True,,6.660868462175131,move_contents,move_contents_2_ops_46,True,,4.712797356769443,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,2.6680998262017965,2,False,,-3.5705798398703337,move_contents,move_contents_2_ops_48,False,,-0.9024800136685371,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
