arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:195:1018,1,12.341019179672003,16,0.046132538467645645,bnc_spoken,1018,25,12.387151718139648
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:196:45756,1,1.3405508734285831,8,0.042125847190618515,open_subtitles,45756,13,1.3826767206192017
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:197:51773,1,2.0242732129991055,11,0.017016831785440445,open_subtitles,51773,17,2.041290044784546
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:198:14587,1,1.0309100598096848,8,0.20570726692676544,childes,14587,11,1.2366173267364502
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:199:7065,1,-0.0005893334746360779,22,0.06686881929636002,childes,7065,36,0.06627948582172394
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:19:58281,1,0.11561955511569977,25,0.181457057595253,simple_wiki,58281,40,0.29707661271095276
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:1:57252,1,0.052860892843455076,8,0.001732040662318468,simple_wiki,57252,13,0.054592933505773544
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:200:7935,1,-0.9092320203781128,8,1.055476427078247,childes,7935,10,0.14624440670013428
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:201:50052,1,7.31455135345459,8,10.381373405456543,open_subtitles,50052,12,17.695924758911133
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:202:7743,1,4.35412803478539,12,0.022462693974375725,childes,7743,19,4.376590728759766
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:203:52392,1,1.0354216694831848,22,0.9721876978874207,open_subtitles,52392,36,2.0076093673706055
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:204:21975,1,0.8420256935060024,8,0.054312173277139664,childes,21975,10,0.8963378667831421
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:205:42298,1,6.234976500272751,12,0.4569285213947296,open_subtitles,42298,19,6.6919050216674805
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:206:56120,1,6.195827201008797,19,0.1931016892194748,simple_wiki,56120,30,6.3889288902282715
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:207:31876,1,-0.5441721081733704,8,0.6443982124328613,gutenberg,31876,13,0.10022610425949097
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:208:17882,1,0.004247419157763943,8,0.0002882065309677273,childes,17882,11,0.00453562568873167
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:209:29842,1,1.5608148574829102,9,2.8559322357177734,gutenberg,29842,14,4.416747093200684
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:20:18239,1,8.968022227287292,8,1.3152533769607544,childes,18239,11,10.283275604248047
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:210:17570,1,0.0005260122488834895,8,7.450303382938728e-05,childes,17570,10,0.0006005152827128768
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:211:36593,1,6.6321939611807466,20,0.005395493470132351,gutenberg,36593,33,6.637589454650879
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:212:12470,1,3.7276908606290817,8,0.20814593136310577,childes,12470,13,3.9358367919921875
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:213:20655,1,0.8894502557814121,17,0.020191248506307602,childes,20655,27,0.9096415042877197
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:214:42006,1,5.8967695236206055,8,2.1417293548583984,open_subtitles,42006,11,8.038498878479004
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:215:60583,1,3.1088315285742283,8,0.03862273320555687,simple_wiki,60583,12,3.147454261779785
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:216:18563,1,1.2560742646455765,12,0.07149998843669891,childes,18563,19,1.3275742530822754
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:217:6247,1,3.488754451274872,8,0.273872435092926,childes,6247,11,3.762626886367798
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:218:56147,1,8.1270272731781,12,0.2913506031036377,simple_wiki,56147,19,8.418377876281738
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:219:50022,1,9.089539704844356,8,0.02627641148865223,open_subtitles,50022,13,9.115816116333008
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:21:54800,1,6.171029269695282,8,0.25953036546707153,simple_wiki,54800,10,6.4305596351623535
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:220:445,1,1.3607030296698213,19,0.006937227211892605,bnc_spoken,445,30,1.3676402568817139
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:221:17535,1,7.340185284614563,8,0.8018025159835815,childes,17535,10,8.141987800598145
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:222:50711,1,0.486121429130435,9,0.019166039302945137,open_subtitles,50711,15,0.5052874684333801
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:223:20001,1,0.7070894972421229,9,0.0020485385321080685,childes,20001,14,0.709138035774231
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:224:777,1,12.303696904331446,9,0.04335566982626915,bnc_spoken,777,15,12.347052574157715
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:225:1742,1,3.5485410690307617,8,9.321389198303223,bnc_spoken,1742,11,12.869930267333984
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:226:25849,1,4.215267948806286,23,0.019324488937854767,gutenberg,25849,37,4.234592437744141
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:227:11615,1,9.695864140987396,8,0.45432811975479126,childes,11615,12,10.150192260742188
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:228:57671,1,0.07327456492930651,8,0.0027625514194369316,simple_wiki,57671,12,0.07603711634874344
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:229:57417,1,3.007287159562111e-05,13,0.002882851054891944,simple_wiki,57417,21,0.002912923926487565
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:22:24538,1,0.00013523176312446594,26,0.010972402058541775,gutenberg,24538,42,0.01110763382166624
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:230:1756,1,3.9011944830417633,24,0.3000260293483734,bnc_spoken,1756,38,4.201220512390137
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:231:17433,1,6.35636243224144,8,0.3316110670566559,childes,17433,12,6.687973499298096
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:232:49603,1,4.862834554165602,9,0.05227460339665413,open_subtitles,49603,14,4.915109157562256
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:233:24329,1,3.9418604522943497,8,0.07225583493709564,gutenberg,24329,11,4.014116287231445
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:234:35242,1,0.0003618128612288274,8,0.0001134808044298552,gutenberg,35242,11,0.0004752936656586826
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:235:43592,1,2.2748498916625977,8,6.27083683013916,open_subtitles,43592,11,8.545686721801758
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:236:3574,1,3.97261855378747,8,0.03720906004309654,bnc_spoken,3574,12,4.009827613830566
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:237:28648,1,4.383414521813393,16,0.06304715573787689,gutenberg,28648,26,4.4464616775512695
