family,checkpoint,seed,group,contrast,n,delta_mean_gain_a_minus_b,mean_gain_a,mean_gain_b
rewrite,chck_90M,43122,token_overlap,VminusC,3160,0.6731955429043213,7.059747117858113,6.386551574953792
rewrite,chck_90M,43122,token_overlap,VminusR,3160,0.9704003634766449,7.059747117858113,6.089346754381468
rewrite,chck_90M,43122,token_overlap,CminusR,3160,0.29720482057232367,6.386551574953792,6.089346754381468
rewrite,chck_100M,43122,ALL,RminusC,5892,-0.6400622352736529,3.3708424513520048,4.010904686625658
rewrite,chck_100M,43122,ALL,RminusV,5892,-1.4167486959329483,3.3708424513520048,4.787591147284953
rewrite,chck_100M,43122,ALL,VminusC,5892,0.7766864606592954,4.787591147284953,4.010904686625658
rewrite,chck_100M,43122,ALL,VminusR,5892,1.4167486959329483,4.787591147284953,3.3708424513520048
rewrite,chck_100M,43122,ALL,CminusR,5892,0.6400622352736529,4.010904686625658,3.3708424513520048
rewrite,chck_100M,43122,token_nonoverlap,RminusC,2732,-1.0736386340081154,0.1987366922254951,1.2723753262336106
rewrite,chck_100M,43122,token_nonoverlap,RminusV,2732,-1.9854767171510577,0.1987366922254951,2.184213409376553
rewrite,chck_100M,43122,token_nonoverlap,VminusC,2732,0.9118380831429422,2.184213409376553,1.2723753262336106
rewrite,chck_100M,43122,token_nonoverlap,VminusR,2732,1.9854767171510577,2.184213409376553,0.1987366922254951
rewrite,chck_100M,43122,token_nonoverlap,CminusR,2732,1.0736386340081154,1.2723753262336106,0.1987366922254951
rewrite,chck_100M,43122,token_overlap,RminusC,3160,-0.265210741177909,6.11330856968543,6.378519310863339
rewrite,chck_100M,43122,token_overlap,RminusV,3160,-0.9250509256899502,6.11330856968543,7.0383594953753805
rewrite,chck_100M,43122,token_overlap,VminusC,3160,0.6598401845120412,7.0383594953753805,6.378519310863339
rewrite,chck_100M,43122,token_overlap,VminusR,3160,0.9250509256899502,7.0383594953753805,6.11330856968543
rewrite,chck_100M,43122,token_overlap,CminusR,3160,0.265210741177909,6.378519310863339,6.11330856968543
