family,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain
copy,D_V_43022,chck_90M,43022,V,domain_switchboard,4,2.1727098217234015,0.04009465966373682,2.2128044813871384,1.6039728568524603,0.8019864284262301
copy,D_V_43022,chck_90M,43022,V,span_1,1000,4.1720266407398094,0.5241887848775459,4.696215425617355,4.392478180894049,0.13890235624218292
copy,D_V_43022,chck_90M,43022,V,span_4,1000,3.8467414696434634,0.2422547536298522,4.088996223273315,3.740581232260725,0.118287564668232
copy,D_V_43122,chck_100M,43122,V,ALL,2000,3.9159958796998233,0.3965742667554572,4.312570146455281,3.960616942796381,0.08856208716930103
copy,D_V_43122,chck_100M,43122,V,domain_bnc_spoken,180,4.2586275498489465,0.6908396897999207,4.949467239648867,3.637418353871964,0.2711171567287699
copy,D_V_43122,chck_100M,43122,V,domain_childes,642,2.641454128746797,0.30938062443432235,2.9508347531811197,3.2029877187563347,0.12641184192788707
copy,D_V_43122,chck_100M,43122,V,domain_gutenberg,468,4.699041603067257,0.3305939486798839,5.02963555174714,4.111265708979738,0.19004332462542636
copy,D_V_43122,chck_100M,43122,V,domain_open_subtitles,434,4.566155636066628,0.5114679001496374,5.077623536216266,4.089989177592633,0.19632576304938598
copy,D_V_43122,chck_100M,43122,V,domain_simple_wiki,272,4.349850163522334,0.343046674747152,4.692896838269486,4.544403153360703,0.27554491480435517
copy,D_V_43122,chck_100M,43122,V,domain_switchboard,4,1.4007472512312233,0.04282407043501735,1.4435713216662407,1.279569670125084,0.639784835062542
copy,D_V_43122,chck_100M,43122,V,span_1,1000,3.9255866093416154,0.5371784124674537,4.462765021809069,4.159753857713149,0.13154296696045525
copy,D_V_43122,chck_100M,43122,V,span_4,1000,3.9064051500580317,0.25597012104346073,4.162375271101492,3.7508981609985037,0.11861381460092225
copy,D_V_43122,chck_80M,43122,V,ALL,2000,3.9432923897075876,0.42680380292754977,4.370096192635137,3.9540660135752828,0.08841560393875939
copy,D_V_43122,chck_80M,43122,V,domain_bnc_spoken,180,4.252159185759632,0.7553597955437403,5.007518981303373,3.6077850875514748,0.2689084234658376
copy,D_V_43122,chck_80M,43122,V,domain_childes,642,2.6542002777600286,0.3371404437188357,2.9913407214788643,3.2049351419096195,0.12648870058906087
copy,D_V_43122,chck_80M,43122,V,domain_gutenberg,468,4.723447389221626,0.35849627967782466,5.08194366889945,4.046812654197494,0.18706398111417416
copy,D_V_43122,chck_80M,43122,V,domain_open_subtitles,434,4.607643057740415,0.5440473440510954,5.15169040179151,4.112014578505581,0.19738301612584722
copy,D_V_43122,chck_80M,43122,V,domain_simple_wiki,272,4.415561371465241,0.3572375997720439,4.772798971237285,4.568617632722027,0.2770131332760622
copy,D_V_43122,chck_80M,43122,V,domain_switchboard,4,1.4690973507240415,0.03431111108511686,1.5034084618091583,1.2771657073798584,0.6385828536899292
copy,D_V_43122,chck_80M,43122,V,span_1,1000,3.945624796685646,0.5843266480614857,4.529951444747131,4.146796256982462,0.13113321164725494
copy,D_V_43122,chck_80M,43122,V,span_4,1000,3.940959982729529,0.2692809577936139,4.210240940523143,3.751445854900997,0.1186311342028469
copy,D_V_43122,chck_90M,43122,V,ALL,2000,3.934055585719023,0.39781254780105707,4.33186813352008,3.970544945997517,0.0887840840696868
copy,D_V_43122,chck_90M,43122,V,domain_bnc_spoken,180,4.297498052127291,0.6860829244492278,4.983580976576518,3.665228067638897,0.273189970409359
copy,D_V_43122,chck_90M,43122,V,domain_childes,642,2.654849098005611,0.3106549399506913,2.9655040379563027,3.2148289891727275,0.1268791795936973
copy,D_V_43122,chck_90M,43122,V,domain_gutenberg,468,4.7340266571738585,0.3304988761614617,5.0645255333353205,4.122897861524391,0.1905810210670131
copy,D_V_43122,chck_90M,43122,V,domain_open_subtitles,434,4.572651174122764,0.5159555781974129,5.088606752320176,4.090190170389624,0.19633541101238128
copy,D_V_43122,chck_90M,43122,V,domain_simple_wiki,272,4.353443695340435,0.34522945677283573,4.698673152113271,4.550570843332804,0.2759188859399586
copy,D_V_43122,chck_90M,43122,V,domain_switchboard,4,1.4891577190719545,0.047272632364183664,1.5364303514361382,1.2528618010940868,0.6264309005470434
copy,D_V_43122,chck_90M,43122,V,span_1,1000,3.9478105927063556,0.5409661991775031,4.488776791883859,4.168187798752543,0.1318096715938158
copy,D_V_43122,chck_90M,43122,V,span_4,1000,3.9203005787316907,0.25465889642461104,4.174959475156301,3.762484074420627,0.11898019335279651
