family,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_margin_full_a_minus_b,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b
entity_ablation,43122,rel_updates_5,RminusV,94,3,-0.471421574024444,0.20725451166748154,0.3257443236966505,-2.704309402839512
entity_ablation,43122,rel_updates_5,VminusC,94,3,-0.7022723272337136,0.09252103972942272,-0.08556720001477724,0.3836378847242248
entity_ablation,43122,rel_updates_5,VminusR,94,3,0.471421574024444,-0.20725451166748154,-0.3257443236966505,2.704309402839512
entity_ablation,43122,type_ambiref,CminusR,399,3,0.23294816490452588,0.08435100597098358,-0.059648962391100034,0.28705685404296616
entity_ablation,43122,type_ambiref,RminusC,399,3,-0.23294816490452588,-0.08435100597098358,0.059648962391100034,-0.28705685404296616
entity_ablation,43122,type_ambiref,RminusV,399,3,-0.49051152230703343,0.11177170182031299,0.09741822663778647,-0.5630091346190339
entity_ablation,43122,type_ambiref,VminusC,399,3,0.2575633574025075,-0.19612270779129656,-0.03776926424668644,0.27595228057606774
entity_ablation,43122,type_ambiref,VminusR,399,3,0.49051152230703343,-0.11177170182031299,-0.09741822663778647,0.5630091346190339
entity_ablation,43122,type_move_contents,CminusR,381,3,1.2116402474966157,-0.7368921709237971,-0.13809879446827525,1.5288968440650434
entity_ablation,43122,type_move_contents,RminusC,381,3,-1.2116402474966157,0.7368921709237971,0.13809879446827525,-1.5288968440650434
entity_ablation,43122,type_move_contents,RminusV,381,3,-1.6278230663933257,1.0667166751096464,0.2110218060441635,-2.064360742617728
entity_ablation,43122,type_move_contents,VminusC,381,3,0.41618281889670994,-0.32982450418584924,-0.07292301157588825,0.5354638985526844
entity_ablation,43122,type_move_contents,VminusR,381,3,1.6278230663933257,-1.0667166751096464,-0.2110218060441635,2.064360742617728
entity_ablation,43122,type_regular,CminusR,441,3,0.7571401577935648,-0.5688748425569664,-0.20245289033277414,1.5285563018191985
entity_ablation,43122,type_regular,RminusC,441,3,-0.7571401577935648,0.5688748425569664,0.20245289033277414,-1.5285563018191985
entity_ablation,43122,type_regular,RminusV,441,3,-1.0785798253048036,0.6800307394177825,0.5384750031582441,-2.2615632421811527
entity_ablation,43122,type_regular,VminusC,441,3,0.32143966751123865,-0.11115589686081613,-0.33602211282547007,0.7330069403619542
entity_ablation,43122,type_regular,VminusR,441,3,1.0785798253048036,-0.6800307394177825,-0.5384750031582441,2.2615632421811527
