pair_id,family,target_word,ord_word_pos,scr_word_pos,nll_ord_s,nll_scr_s,nll_ord,nll_scr,I_f,source_effect_ord,source_effect_scr,order_effect_with_source,order_effect_without_source,copy_zone,lex_class,source_match_bin,source_decile_min,source_decile_max,counterpart_visible,complete_bpe_copy,contentlike,min_visible_gap,family_x_copy_zone
compact:frontier_consolidation_fwcompact_medium_029015,sourcewide_onegap_vs_sourcewide_onegap_scrambled,than,14,18,0.8286551833152771,8.964740753173828,1.528696060180664,9.266213417053223,0.39856821298599243,0.700040876865387,0.30147266387939453,8.136085569858551,7.737517356872559,prefix_only,function,1_unique,4,4,True,True,False,36,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_023768,sourcewide_onegap_vs_sourcewide_onegap_scrambled,approximation,7,7,0.019048630259931087,4.933957735697429,4.841843763987224,5.127279758453369,4.629473110971352,4.8227951337272925,0.19332202275594046,4.914909105437498,0.28543599446614554,tail_only,content,1_unique,8,8,True,True,True,14,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_023768,sourcewide_onegap_vs_sourcewide_onegap_scrambled,the,9,6,0.014012525789439678,0.1447094976902008,0.8124608397483826,0.7020696401596069,0.24108817148953676,0.7984483139589429,0.5573601424694061,0.13069697190076113,-0.11039119958877563,both_prefix_tail,function,4plus,0,9,True,True,False,16,sourcewide_onegap_vs_sourcewide_onegap_scrambled/both_prefix_tail
compact:frontier_consolidation_fwcompact_medium_023768,sourcewide_onegap_vs_sourcewide_onegap_scrambled,differences,5,8,6.240251541137695,2.9864139556884766,12.392278671264648,12.153676986694336,-3.0152359008789062,6.152027130126953,9.16726303100586,-3.2538375854492188,-0.2386016845703125,prefix_only,content,1_unique,2,2,True,True,True,37,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_023768,sourcewide_onegap_vs_sourcewide_onegap_scrambled,minimizing,3,5,0.25325186053911847,1.142738829056422,6.049742857615153,6.745493412017822,0.1937364141146345,5.7964909970760345,5.6027545829614,0.8894869685173035,0.695750554402669,prefix_only,content,1_unique,1,1,True,True,True,35,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_023768,sourcewide_onegap_vs_sourcewide_onegap_scrambled,of,8,9,0.007860442623496056,4.829583168029785,0.41322579979896545,5.263726234436035,-0.0287777092307806,0.4053653571754694,0.43414306640625,4.821722725406289,4.85050043463707,tail_only,function,1_unique,8,8,True,True,False,16,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_048043,sourcewide_onegap_vs_sourcewide_onegap_scrambled,important,3,8,0.09823392331600189,10.54487419128418,3.3172695636749268,9.404619216918945,4.359290614724159,3.219035640358925,-1.1402549743652344,10.446640267968178,6.0873496532440186,prefix_only,content,1_unique,1,1,True,True,True,20,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_048043,sourcewide_onegap_vs_sourcewide_onegap_scrambled,know,5,0,8.458330154418945,8.154526710510254,8.349647521972656,9.995484352111816,-1.9496402740478516,-0.10868263244628906,1.8409576416015625,-0.3038034439086914,1.6458368301391602,prefix_only,content,1_unique,2,2,True,True,True,20,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_048043,sourcewide_onegap_vs_sourcewide_onegap_scrambled,doors.,8,2,1.6705095693469048,2.2971168160438538,5.198338150978088,6.628902912139893,-0.8039575144648552,3.5278285816311836,4.331786096096039,0.626607246696949,1.4305647611618042,tail_only,content,1_unique,9,9,True,True,True,11,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_048043,sourcewide_onegap_vs_sourcewide_onegap_scrambled,behind,6,3,0.12922541797161102,16.396163940429688,8.781007766723633,16.149616241455078,8.898330047726631,8.651782348752022,-0.24654769897460938,16.266938522458076,7.368608474731445,tail_only,content,1_unique,8,8,True,True,True,12,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
