dose_name,dose_label,dose,rho,arm,data_arm,checkpoint,words,EWoK,EWoK_minus_50,abs_EWoK_minus_50,source_type,per_target
dose1,1x,1.0,0.042352,dose1_view,view,chck_70M,70000000,50.47,0.46999999999999886,0.46999999999999886,seed43022_csv,experiments/archive/frontier_consolidation/data/legal_mature_treatment_effect_eval/per_target/complianttok_reinvest_seed43022_70M.json
dose1,1x,1.0,0.042352,dose1_view,view,chck_80M,80000000,51.01,1.009999999999998,1.009999999999998,seed43022_csv,experiments/archive/frontier_consolidation/data/legal_mature_treatment_effect_eval/per_target/complianttok_reinvest_seed43022_80M.json
dose1,1x,1.0,0.042352,dose1_view,view,chck_90M,90000000,50.22,0.21999999999999886,0.21999999999999886,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_compact_chck_90M.json
dose1,1x,1.0,0.042352,dose1_view,view,chck_100M,100000000,50.39,0.39000000000000057,0.39000000000000057,seed43022_csv,experiments/archive/frontier_consolidation/data/compliant_full_eval/per_target/complianttok_reinvest_seed43022.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_10M,10000000,48.79,-1.2100000000000009,1.2100000000000009,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_10M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_20M,20000000,49.66,-0.3400000000000034,0.3400000000000034,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_20M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_30M,30000000,50.55,0.5499999999999972,0.5499999999999972,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_30M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_40M,40000000,49.35,-0.6499999999999986,0.6499999999999986,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_40M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_50M,50000000,50.86,0.8599999999999994,0.8599999999999994,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_50M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_60M,60000000,50.71,0.7100000000000009,0.7100000000000009,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_60M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_70M,70000000,49.27,-0.7299999999999969,0.7299999999999969,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_70M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_80M,80000000,50.43,0.4299999999999997,0.4299999999999997,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_80M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_90M,90000000,50.3,0.29999999999999716,0.29999999999999716,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_90M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_repeat,repeat,chck_100M,100000000,50.16,0.1599999999999966,0.1599999999999966,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_100M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_10M,10000000,49.07,-0.9299999999999997,0.9299999999999997,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_10M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_20M,20000000,51.01,1.009999999999998,1.009999999999998,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_20M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_30M,30000000,49.44,-0.5600000000000023,0.5600000000000023,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_30M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_40M,40000000,48.01,-1.990000000000002,1.990000000000002,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_40M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_50M,50000000,48.43,-1.5700000000000003,1.5700000000000003,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_50M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_60M,60000000,47.89,-2.1099999999999994,2.1099999999999994,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_60M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_70M,70000000,47.81,-2.1899999999999977,2.1899999999999977,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_70M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_80M,80000000,48.64,-1.3599999999999994,1.3599999999999994,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_80M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_90M,90000000,49.03,-0.9699999999999989,0.9699999999999989,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_90M.json
dose1p82,1.82x,1.8209293539856442,0.07712,dose1p82_view,view,chck_100M,100000000,48.96,-1.0399999999999991,1.0399999999999991,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_100M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_10M,10000000,48.89,-1.1099999999999994,1.1099999999999994,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_10M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_20M,20000000,50.16,0.1599999999999966,0.1599999999999966,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_30M,30000000,50.76,0.759999999999998,0.759999999999998,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_40M,40000000,49.47,-0.5300000000000011,0.5300000000000011,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_50M,50000000,50.75,0.75,0.75,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_60M,60000000,49.63,-0.36999999999999744,0.36999999999999744,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_70M,70000000,51.68,1.6799999999999997,1.6799999999999997,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_80M,80000000,50.73,0.7299999999999969,0.7299999999999969,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_80M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_90M,90000000,49.98,-0.020000000000003126,0.020000000000003126,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_90M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_repeat,repeat,chck_100M,100000000,49.88,-0.11999999999999744,0.11999999999999744,cpu_safe_partial_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_100M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_10M,10000000,49.57,-0.4299999999999997,0.4299999999999997,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_20M,20000000,50.2,0.20000000000000284,0.20000000000000284,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_30M,30000000,49.12,-0.8800000000000026,0.8800000000000026,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_40M,40000000,49.21,-0.7899999999999991,0.7899999999999991,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_50M,50000000,50.38,0.38000000000000256,0.38000000000000256,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_60M,60000000,50.47,0.46999999999999886,0.46999999999999886,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_70M,70000000,48.47,-1.5300000000000011,1.5300000000000011,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_80M,80000000,49.8,-0.20000000000000284,0.20000000000000284,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_90M,90000000,50.45,0.45000000000000284,0.45000000000000284,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_90M.json
dose2p64,2.64x/MAX,2.641480921798262,0.111872,max_view,view,chck_100M,100000000,50.15,0.14999999999999858,0.14999999999999858,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_100M.json
