row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
408,28,15,13,0,22
409,25,14,11,0,16
410,43,27,16,0,26
411,22,18,4,0,17
412,26,13,13,0,16
413,23,12,11,0,17
414,19,14,5,0,17
415,28,16,12,0,19
416,24,12,12,0,17
417,39,21,18,0,24
418,20,8,12,0,16
419,34,24,10,0,30
420,20,11,9,0,15
421,38,22,16,0,23
422,24,16,8,0,20
423,21,13,8,0,15
424,37,19,18,0,25
425,29,23,6,0,23
426,49,30,19,0,37
427,38,19,19,0,26
428,29,20,9,0,21
429,28,15,13,0,19
430,44,26,18,0,32
431,36,11,25,0,18
432,30,16,14,0,20
433,33,13,20,0,20
434,46,24,22,0,23
435,33,18,15,0,23
436,22,19,3,0,17
437,29,20,9,0,22
438,23,11,12,0,16
439,42,21,21,0,25
440,37,30,7,0,20
441,26,13,13,0,21
442,31,19,12,0,20
443,24,13,11,0,19
444,26,12,14,0,17
445,25,16,9,0,22
446,40,22,18,0,27
447,47,36,11,0,22
448,24,11,13,0,18
449,38,25,13,0,28
450,38,22,16,0,26
451,43,28,15,0,23
452,39,23,16,0,22
453,34,21,13,0,27
454,25,16,9,0,20
455,23,11,12,0,16
456,28,16,12,0,20
457,28,13,15,0,19
458,23,11,12,0,17
459,22,14,8,0,20
460,33,23,10,0,23
461,35,20,15,0,29
462,30,12,18,0,19
463,21,17,4,0,17
464,28,25,3,0,17
465,30,17,13,0,16
466,30,24,6,0,25
467,31,18,13,0,26
468,32,12,20,0,23
469,30,21,9,0,24
470,26,16,10,0,17
471,31,14,17,0,27
472,38,23,15,0,24
473,42,26,16,0,30
474,21,7,14,0,16
475,28,19,9,0,21
476,33,22,11,0,26
477,22,14,8,0,17
478,28,18,10,0,23
479,36,22,14,0,26
480,31,27,4,0,18
481,36,20,16,0,25
482,34,20,14,0,27
483,51,25,26,0,24
484,19,10,9,0,14
485,17,13,4,0,13
486,26,18,8,0,24
487,24,18,6,0,15
488,34,16,18,0,20
489,30,23,7,0,20
490,37,17,20,0,24
491,18,7,11,0,15
492,39,26,13,0,29
493,23,20,3,0,17
494,29,11,18,0,22
495,39,27,12,0,29
496,26,19,7,0,23
497,39,24,15,0,20
498,37,21,16,0,28
499,49,24,25,0,32
500,27,21,6,0,16
501,24,13,11,0,19
502,33,23,10,0,24
503,44,22,22,0,28
504,34,19,15,0,24
505,22,11,11,0,16
506,36,23,13,0,27
507,33,23,10,0,21
508,23,16,7,0,18
509,40,27,13,0,30
510,25,21,4,0,21
511,20,13,7,0,18
512,36,23,13,0,21
513,25,12,13,0,16
514,44,28,16,0,25
515,51,27,24,0,32
516,26,20,6,0,21
517,26,17,9,0,22
518,46,32,14,0,29
519,37,27,10,0,26
520,16,11,5,0,16
521,17,8,9,0,16
522,24,17,7,0,21
523,29,17,12,0,17
524,21,12,9,0,13
525,26,12,14,0,20
526,21,14,7,0,18
527,31,21,10,0,25
528,42,19,23,0,23
529,27,17,10,0,19
530,35,22,13,0,30
531,29,19,10,0,22
532,19,10,9,0,16
533,30,20,10,0,18
534,28,7,21,0,15
535,28,19,9,0,21
536,33,17,16,0,22
537,21,16,5,0,17
538,35,17,18,0,26
539,45,24,21,0,26
540,21,10,11,0,15
541,11,7,4,0,10
542,37,20,17,0,23
543,16,11,5,0,16
544,26,17,9,0,18
545,31,15,16,0,19
546,14,7,7,0,14
547,28,22,6,0,20
548,50,25,25,0,32
549,30,21,9,0,21
550,23,13,10,0,19
551,31,20,11,0,21
552,35,22,13,0,30
553,32,22,10,0,24
554,28,18,10,0,23
555,34,26,8,0,28
556,50,30,20,0,30
557,29,22,7,0,17
558,37,19,18,0,26
559,23,12,11,0,18
560,32,19,13,0,24
561,28,17,11,0,19
562,33,19,14,0,25
563,41,26,15,0,24
564,38,24,14,0,25
565,42,26,16,0,20
566,26,18,8,0,20
567,29,21,8,0,24
568,30,16,14,0,21
569,20,15,5,0,19
570,34,23,11,0,22
571,30,17,13,0,22
572,33,24,9,0,26
573,21,8,13,0,18
574,35,24,11,0,30
575,23,13,10,0,19
576,34,19,15,0,23
577,28,24,4,0,23
578,42,24,18,0,28
579,21,14,7,0,18
580,32,23,9,0,20
581,15,10,5,0,12
582,29,19,10,0,21
583,29,19,10,0,23
584,28,19,9,0,21
585,18,11,7,0,16
586,25,14,11,0,20
587,37,17,20,0,24
588,27,18,9,0,18
589,33,21,12,0,23
590,45,22,23,0,28
591,27,20,7,0,21
592,30,19,11,0,17
593,26,18,8,0,21
