row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
551,23,13,10,0,20
552,37,22,15,0,30
553,24,12,12,0,21
554,36,19,17,0,27
555,35,23,12,0,27
556,43,25,18,0,33
557,21,15,6,0,16
558,28,21,7,0,21
559,25,15,10,0,24
560,35,23,12,0,22
561,28,20,8,0,20
562,27,16,11,0,22
563,33,19,14,0,26
564,30,21,9,0,24
565,32,19,13,0,20
566,27,13,14,0,23
567,29,15,14,0,22
568,31,19,12,0,19
569,24,11,13,0,22
570,26,13,13,0,22
571,33,26,7,0,24
572,31,17,14,0,25
573,29,19,10,0,20
574,32,19,13,0,25
575,23,14,9,0,22
576,33,16,17,0,23
577,31,25,6,0,20
578,37,21,16,0,29
579,26,21,5,0,21
580,28,19,9,0,20
581,14,11,3,0,11
582,28,15,13,0,21
583,31,16,15,0,22
584,28,15,13,0,24
585,14,8,6,0,13
586,22,11,11,0,18
587,26,15,11,0,23
588,26,16,10,0,21
589,29,16,13,0,21
590,43,21,22,0,28
591,27,15,12,0,23
592,21,13,8,0,15
593,24,15,9,0,24
594,24,14,10,0,18
595,28,21,7,0,22
596,27,9,14,4,21
597,37,28,9,0,28
598,35,23,12,0,24
599,41,26,15,0,24
600,24,16,8,0,19
601,38,19,19,0,24
602,26,13,13,0,20
603,22,12,10,0,17
604,26,9,17,0,21
605,28,13,15,0,22
606,30,20,10,0,21
607,43,24,19,0,33
608,42,28,14,0,28
609,38,21,17,0,30
610,36,28,8,0,26
611,21,13,8,0,14
612,43,26,17,0,28
613,34,19,15,0,27
614,28,22,6,0,19
615,34,12,22,0,26
616,39,30,9,0,26
617,38,24,14,0,23
618,32,21,11,0,27
619,34,22,12,0,19
620,23,10,13,0,15
621,13,6,7,0,13
622,28,13,15,0,22
623,40,27,13,0,21
624,21,14,7,0,20
625,34,23,11,0,25
626,47,32,15,0,27
627,23,18,5,0,18
628,19,12,7,0,14
629,35,19,16,0,22
630,28,18,10,0,18
631,22,15,7,0,17
632,17,11,6,0,15
633,14,9,5,0,13
634,36,18,18,0,27
635,23,19,4,0,18
636,30,19,11,0,23
637,19,13,6,0,18
638,22,8,14,0,17
639,21,10,11,0,19
640,20,12,8,0,17
641,29,26,3,0,17
642,30,22,8,0,23
643,45,29,16,0,25
644,23,17,6,0,20
645,23,14,9,0,18
646,31,27,4,0,22
647,30,21,9,0,22
648,26,20,6,0,21
649,25,15,10,0,16
650,38,31,7,0,23
651,28,18,10,0,21
652,19,12,7,0,14
653,16,9,7,0,13
654,27,17,10,0,22
655,53,35,18,0,22
656,33,24,9,0,24
657,26,18,8,0,19
658,21,15,6,0,17
659,24,13,11,0,20
660,22,17,5,0,19
661,34,22,12,0,28
662,28,19,9,0,21
663,23,16,7,0,23
664,20,11,9,0,16
665,37,21,16,0,28
666,27,19,8,0,24
667,27,20,7,0,15
668,22,15,7,0,18
669,27,22,5,0,22
670,22,13,9,0,20
671,38,22,16,0,26
672,47,22,25,0,32
673,30,16,14,0,20
674,42,29,13,0,23
675,35,27,8,0,29
676,29,19,10,0,21
677,31,23,8,0,24
678,35,21,14,0,25
679,29,15,14,0,24
680,38,30,8,0,27
681,30,25,5,0,22
682,25,20,5,0,18
683,31,12,19,0,22
684,39,26,13,0,27
685,22,14,8,0,21
686,35,17,18,0,23
687,34,22,12,0,25
688,45,28,17,0,29
689,29,17,12,0,19
690,26,17,9,0,22
691,31,14,17,0,24
692,31,21,10,0,20
693,20,15,5,0,16
694,20,13,7,0,16
695,27,20,7,0,20
696,18,15,3,0,14
697,38,26,12,0,32
698,28,13,15,0,24
699,18,9,9,0,18
700,38,20,18,0,31
701,28,8,20,0,15
702,17,12,5,0,13
703,21,12,9,0,17
704,24,13,11,0,18
705,22,10,12,0,20
706,24,17,7,0,21
707,21,11,10,0,18
708,37,18,13,6,26
709,32,21,11,0,21
710,25,14,11,0,17
711,43,29,14,0,25
712,22,14,8,0,19
713,19,16,3,0,14
714,24,16,8,0,18
715,32,21,11,0,23
716,18,14,4,0,16
717,32,21,11,0,20
718,39,25,14,0,29
719,25,14,11,0,23
720,24,13,11,0,22
721,29,20,9,0,19
722,19,10,9,0,15
723,17,8,9,0,13
724,33,25,8,0,26
725,42,31,11,0,29
726,30,13,17,0,23
727,33,22,11,0,28
728,24,17,7,0,19
729,20,15,5,0,19
730,33,17,16,0,21
731,23,11,12,0,17
732,26,16,10,0,22
733,21,12,9,0,18
734,24,14,10,0,22
735,22,12,10,0,17
736,36,28,8,0,29
737,26,15,11,0,20
738,26,15,11,0,17
739,25,15,10,0,18
740,29,23,6,0,22
741,28,20,8,0,22
742,29,19,10,0,23
743,27,18,9,0,19
744,26,14,12,0,20
745,34,13,21,0,25
746,36,32,4,0,25
747,20,14,6,0,14
748,20,5,15,0,14
749,13,10,3,0,12
750,21,15,6,0,17
751,37,14,23,0,20
752,39,19,20,0,24
753,35,18,17,0,25
754,25,22,3,0,19
755,16,11,5,0,16
756,38,17,21,0,20
757,38,13,25,0,24
758,21,10,11,0,17
759,16,8,8,0,11
760,24,19,5,0,18
761,29,16,13,0,19
762,25,11,14,0,18
763,28,13,15,0,17
764,15,9,6,0,13
765,30,23,7,0,19
766,25,17,8,0,21
767,29,24,5,0,23
768,23,16,7,0,15
769,27,18,9,0,23
770,23,11,12,0,21
771,25,18,7,0,18
772,29,14,15,0,18
773,26,11,15,0,20
774,20,14,6,0,17
775,37,21,16,0,20
776,40,25,15,0,30
777,40,30,10,0,23
778,26,16,10,0,24
779,27,15,12,0,21
780,17,13,4,0,16
781,16,10,6,0,15
782,18,11,7,0,16
783,28,18,10,0,20
784,36,23,13,0,23
785,32,28,4,0,23
786,20,15,5,0,18
787,25,19,6,0,18
788,20,11,9,0,18
789,29,14,15,0,25
790,20,14,6,0,18
791,40,23,17,0,23
792,20,12,8,0,18
793,27,18,9,0,21
794,15,8,7,0,12
795,46,32,14,0,28
796,27,17,10,0,26
797,25,17,8,0,20
798,25,13,12,0,17
799,25,16,9,0,18
800,30,23,7,0,21
801,25,13,12,0,19
802,30,12,18,0,19
803,42,25,17,0,25
804,30,20,10,0,25
805,21,15,6,0,20
806,22,14,8,0,19
807,25,15,10,0,21
808,40,29,11,0,24
809,28,15,13,0,20
810,19,15,4,0,15
811,25,16,9,0,19
812,35,21,14,0,27
813,21,16,5,0,21
814,20,9,11,0,17
815,32,21,11,0,26
816,25,16,9,0,19
817,31,18,13,0,21
818,31,9,22,0,20
819,37,30,7,0,25
820,22,12,10,0,19
821,24,16,8,0,18
822,28,14,14,0,22
823,25,21,4,0,23
824,21,12,9,0,16
825,26,16,10,0,22
826,26,22,4,0,20
827,28,20,8,0,20
828,23,8,15,0,18
829,28,20,8,0,20
830,23,13,10,0,18
831,30,23,7,0,18
832,33,24,9,0,21
833,13,10,3,0,13
834,30,16,14,0,23
835,24,13,11,0,15
836,26,22,4,0,18
837,26,21,5,0,17
838,32,21,11,0,25
839,28,20,8,0,20
840,29,19,10,0,21
841,22,13,9,0,18
842,31,21,10,0,24
843,31,24,7,0,24
844,25,11,14,0,11
845,35,23,12,0,27
846,18,13,5,0,15
847,25,16,9,0,23
848,18,10,8,0,16
849,24,16,8,0,16
850,33,23,10,0,21
851,36,24,12,0,29
852,41,30,11,0,34
853,25,16,9,0,21
854,33,18,15,0,26
855,22,17,5,0,16
856,16,11,5,0,16
857,30,20,10,0,25
858,48,28,20,0,32
859,26,20,6,0,22
860,18,9,9,0,18
861,20,10,10,0,17
862,44,28,16,0,27
863,28,16,12,0,25
864,36,19,17,0,26
865,26,16,10,0,20
866,22,9,13,0,18
867,39,29,10,0,23
868,25,15,10,0,20
869,29,23,6,0,23
870,28,19,9,0,22
871,26,11,15,0,21
872,40,26,14,0,30
873,23,18,5,0,18
874,30,18,12,0,23
875,27,18,9,0,23
876,38,27,11,0,22
877,28,15,13,0,19
878,28,22,6,0,20
879,28,22,6,0,22
880,33,14,19,0,25
881,17,10,7,0,14
882,22,11,11,0,20
883,31,17,14,0,24
884,31,16,15,0,24
885,19,16,3,0,16
886,28,17,11,0,23
887,19,12,7,0,17
888,25,16,9,0,19
889,22,16,6,0,19
890,41,26,15,0,23
891,43,24,19,0,23
892,34,22,12,0,17
893,25,19,6,0,18
894,23,21,2,0,17
895,29,20,9,0,24
896,41,27,14,0,29
897,29,17,12,0,23
898,21,12,9,0,17
899,36,21,15,0,20
900,27,18,9,0,16
901,31,22,9,0,25
902,26,21,5,0,17
903,23,18,5,0,19
904,34,24,10,0,26
905,24,14,10,0,20
906,39,18,21,0,24
907,13,11,2,0,9
908,30,10,20,0,17
909,20,9,11,0,18
910,36,20,16,0,25
911,27,21,6,0,20
912,19,11,8,0,16
913,29,25,4,0,18
914,23,14,9,0,18
915,33,21,12,0,25
916,33,14,19,0,18
917,31,18,13,0,24
918,47,34,13,0,27
919,29,14,15,0,15
920,39,21,18,0,19
921,24,18,6,0,21
922,29,23,6,0,19
923,29,13,16,0,21
924,40,30,10,0,30
925,29,16,13,0,20
926,29,16,13,0,23
927,34,23,11,0,22
928,25,17,8,0,17
929,33,22,11,0,24
930,38,24,14,0,30
931,34,16,18,0,27
932,35,16,19,0,21
933,12,7,5,0,11
934,39,25,14,0,29
935,24,15,9,0,18
936,64,31,33,0,26
937,18,12,6,0,15
938,21,12,9,0,15
939,23,17,6,0,22
940,15,9,6,0,14
941,25,20,5,0,19
942,26,16,10,0,23
943,34,24,10,0,26
944,22,12,10,0,16
945,25,10,15,0,19
946,36,23,13,0,29
947,24,13,11,0,21
948,16,10,6,0,15
949,23,12,11,0,17
950,45,28,17,0,29
951,23,17,6,0,17
952,28,21,7,0,17
953,33,26,7,0,24
954,45,33,12,0,31
955,26,19,7,0,22
956,32,28,4,0,20
957,22,10,12,0,18
958,25,16,9,0,20
959,35,21,14,0,20
960,23,12,11,0,16
961,26,14,12,0,22
962,36,20,16,0,24
963,25,18,7,0,23
964,39,21,18,0,29
965,35,24,11,0,23
966,25,21,4,0,19
967,20,15,5,0,19
968,28,22,6,0,18
969,30,19,11,0,22
970,23,16,7,0,20
971,48,18,30,0,29
972,36,24,12,0,31
973,20,12,8,0,19
974,27,10,17,0,18
975,22,13,9,0,19
976,29,17,12,0,18
977,17,9,8,0,15
978,26,14,12,0,20
979,33,19,14,0,28
980,20,11,9,0,15
981,29,14,15,0,19
982,31,18,13,0,19
983,23,10,13,0,20
984,36,16,20,0,23
985,44,21,23,0,31
986,39,22,17,0,28
987,26,23,3,0,20
988,24,15,9,0,22
989,31,15,16,0,21
990,45,29,16,0,30
991,15,10,5,0,15
992,24,18,6,0,20
993,22,15,7,0,17
994,36,18,18,0,22
995,18,13,5,0,15
996,21,16,5,0,16
997,27,19,8,0,22
998,20,7,13,0,16
999,20,13,7,0,15
1000,31,23,8,0,25
1001,41,21,20,0,26
1002,18,13,5,0,15
1003,31,22,9,0,20
1004,34,18,16,0,27
1005,30,15,15,0,23
1006,24,10,14,0,23
1007,24,13,11,0,20
1008,29,18,11,0,20
1009,47,27,20,0,30
1010,23,13,10,0,21
1011,12,8,4,0,11
1012,38,25,13,0,23
1013,20,10,10,0,16
1014,28,20,8,0,22
1015,30,16,14,0,26
1016,34,16,18,0,27
1017,26,17,9,0,19
1018,37,18,19,0,22
1019,28,13,15,0,17
1020,35,26,9,0,24
1021,28,16,12,0,22
1022,31,16,15,0,21
1023,28,20,8,0,22
1024,27,18,9,0,19
1025,43,31,12,0,22
1026,31,20,11,0,19
1027,31,17,14,0,18
1028,27,18,9,0,21
1029,28,19,9,0,17
1030,27,17,10,0,14
1031,47,30,17,0,30
1032,26,21,5,0,20
1033,35,23,12,0,18
1034,25,14,11,0,19
1035,29,20,9,0,23
1036,21,15,6,0,19
1037,20,16,4,0,18
1038,23,13,10,0,19
1039,32,18,14,0,27
1040,31,21,10,0,21
1041,26,22,4,0,21
1042,28,18,10,0,17
1043,22,11,11,0,17
1044,28,15,13,0,23
1045,20,15,5,0,17
1046,23,15,8,0,16
1047,20,12,8,0,16
1048,30,21,9,0,16
1049,31,21,10,0,23
1050,49,26,23,0,24
1051,47,29,18,0,31
1052,35,25,10,0,27
1053,25,14,11,0,19
1054,22,16,6,0,18
1055,23,12,11,0,21
1056,31,16,15,0,26
1057,13,11,2,0,12
1058,18,15,3,0,17
1059,22,10,12,0,16
1060,21,13,8,0,17
1061,32,18,14,0,25
1062,27,15,12,0,23
1063,22,15,7,0,18
1064,33,20,13,0,23
1065,17,10,7,0,17
1066,26,17,9,0,16
1067,28,18,10,0,19
1068,16,10,6,0,12
1069,27,16,11,0,26
1070,26,13,13,0,20
1071,31,19,12,0,25
1072,27,20,7,0,20
1073,35,20,15,0,29
1074,31,23,8,0,24
1075,30,15,15,0,24
1076,24,15,9,0,21
1077,20,12,8,0,20
1078,49,36,13,0,29
1079,36,20,16,0,23
1080,34,18,16,0,27
1081,23,18,5,0,18
1082,25,14,11,0,19
1083,26,12,14,0,19
1084,38,26,12,0,25
1085,17,13,4,0,13
1086,30,18,12,0,27
1087,32,14,18,0,20
1088,33,23,10,0,23
1089,34,20,14,0,23
1090,29,14,15,0,24
1091,42,21,21,0,28
1092,29,21,8,0,20
1093,21,11,10,0,18
1094,41,23,18,0,18
1095,28,19,9,0,25
1096,44,27,17,0,31
1097,28,22,6,0,22
1098,32,23,9,0,21
1099,27,16,11,0,27
1100,35,17,18,0,27
1101,21,13,8,0,17
1102,26,20,6,0,16
1103,36,27,9,0,23
1104,25,16,9,0,17
1105,20,10,10,0,14
1106,25,14,11,0,24
1107,26,20,6,0,21
1108,25,19,6,0,22
1109,26,19,7,0,22
1110,26,15,11,0,16
1111,26,20,6,0,23
1112,21,14,7,0,17
1113,41,23,18,0,20
1114,30,19,11,0,21
1115,28,20,8,0,21
1116,31,16,15,0,20
1117,38,20,18,0,27
1118,23,11,12,0,15
1119,43,28,15,0,31
1120,28,20,8,0,23
1121,29,22,7,0,23
1122,27,19,8,0,18
1123,26,13,13,0,23
1124,36,23,13,0,24
1125,44,25,19,0,21
1126,33,23,10,0,25
1127,29,18,11,0,21
1128,20,12,8,0,18
1129,18,11,7,0,15
1130,22,16,6,0,19
1131,21,13,8,0,18
1132,37,20,17,0,28
1133,36,24,12,0,25
