family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_margin_full_a_minus_b,delta_mean_effect_no_initial_qbox_a_minus_b,delta_mean_effect_no_last_relevant_update_a_minus_b,delta_mean_effect_no_all_relevant_updates_a_minus_b,mean_effect_no_all_relevant_updates_a,mean_effect_no_all_relevant_updates_b,mean_effect_no_initial_qbox_a,mean_effect_no_initial_qbox_b,mean_effect_no_last_relevant_update_a,mean_effect_no_last_relevant_update_b,mean_margin_full_a,mean_margin_full_b
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,rel_updates_4,RminusC,326,-0.5982375758831486,0.4334995803063266,0.04109375574197516,0.9890185313904944,-1.2643073964749743,-2.2533259278654687,0.663597697769206,0.2300981174628793,-0.5180343336945662,-0.5591280894365414,0.180559398709265,0.7787969745924136
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,rel_updates_4,CminusR,326,0.5982375758831486,-0.4334995803063266,-0.04109375574197516,-0.9890185313904944,-2.2533259278654687,-1.2643073964749743,0.2300981174628793,0.663597697769206,-0.5591280894365414,-0.5180343336945662,0.7787969745924136,0.180559398709265
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,rel_updates_5,RminusC,94,-0.5626195047764068,0.8205652249620315,0.047578339881085285,0.811929964638771,-1.525833492583417,-2.337763457222188,0.874432827563996,0.05386760260196442,-0.371055228913084,-0.4186335687941693,0.4285352864163987,0.9911547911928055
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,rel_updates_5,CminusR,94,0.5626195047764068,-0.8205652249620315,-0.047578339881085285,-0.811929964638771,-2.337763457222188,-1.525833492583417,0.05386760260196442,0.874432827563996,-0.4186335687941693,-0.371055228913084,0.9911547911928055,0.4285352864163987
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,type_ambiref,RminusC,399,-0.7712350420485762,0.14870439462345048,0.08295324665113796,0.4442747101225052,-0.8068342864662782,-1.2511089965887834,0.31386747724729075,0.16516308262384027,-0.46151503016775414,-0.5444682768188921,0.08529486841426458,0.8565299104628408
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,type_ambiref,CminusR,399,0.7712350420485762,-0.14870439462345048,-0.08295324665113796,-0.4442747101225052,-1.2511089965887834,-0.8068342864662782,0.16516308262384027,0.31386747724729075,-0.5444682768188921,-0.46151503016775414,0.8565299104628408,0.08529486841426458
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,type_move_contents,RminusC,381,-0.2615464131819607,0.5874211938753529,0.07134603587739424,0.8812435070282518,-1.1054321541560916,-1.9866756611843435,0.8248077587974979,0.23738656492214502,-0.41626951254884714,-0.4876155484262414,-0.258847939842955,0.002698473339005718
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,type_move_contents,CminusR,381,0.2615464131819607,-0.5874211938753529,-0.07134603587739424,-0.8812435070282518,-1.9866756611843435,-1.1054321541560916,0.23738656492214502,0.8248077587974979,-0.4876155484262414,-0.41626951254884714,0.002698473339005718,-0.258847939842955
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,type_regular,RminusC,441,-0.3374326552798689,0.6430845560670709,0.03296816649755929,0.9251187586831668,-1.260655897967264,-2.185774656650431,0.7892445802283125,0.1461600241612415,-0.5252514756928766,-0.5582196421904358,0.10975079758772774,0.4471834528675966
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,type_regular,CminusR,441,0.3374326552798689,-0.6430845560670709,-0.03296816649755929,-0.9251187586831668,-2.185774656650431,-1.260655897967264,0.1461600241612415,0.7892445802283125,-0.5582196421904358,-0.5252514756928766,0.4471834528675966,0.10975079758772774
