aggregation,seed,token_class,contrast,n_pairs_effective,delta_gain_T_vs_N,delta_gain_U_vs_N,delta_gain_T_vs_U,se_gain_T_vs_N,fraction_positive_gain_T_vs_N,max_abs_identity_error,n_targets_effective,overlap_targets,nonoverlap_targets
token_weighted_target_mean,43122,ALL_token_weighted,RminusC,,-0.11234433656768991,-0.005067668538985239,-0.10727666802870468,0.030914553781902544,0.49027777777777776,3.1086244689504383e-15,3600.0,1200.0,2400.0
token_weighted_target_mean,43222,ALL_token_weighted,RminusC,,-0.1398805974832491,-0.019929175325868763,-0.11995142215738035,0.02832985678356549,0.4716666666666667,3.1086244689504383e-15,3600.0,1200.0,2400.0
pair_mean_by_target_class,43022,overlap,VminusC,1200.0,0.2978418080418406,0.007276226908806065,0.2905655811330346,0.05760595218017072,0.5791666666666667,4.773959005888173e-15,,,
pair_mean_by_target_class,43122,overlap,VminusC,1200.0,0.25507168141557895,-0.009202013722687205,0.2642736951382661,0.05286577779345588,0.5466666666666666,5.88418203051333e-15,,,
pair_mean_by_target_class,43222,overlap,VminusC,1200.0,0.16000292680089842,0.022496370140935237,0.1375065566599632,0.05483407614226589,0.5233333333333333,5.329070518200751e-15,,,
pair_mean_by_target_class,43022,nonoverlap,VminusC,1200.0,0.04852485634341267,0.02323604199595542,0.02528881434745725,0.03564127557264377,0.5408333333333334,1.7763568394002505e-15,,,
pair_mean_by_target_class,43122,nonoverlap,VminusC,1200.0,0.06022028758468676,-0.02597971887773989,0.08620000646242665,0.03571442089304093,0.52,1.3322676295501878e-15,,,
pair_mean_by_target_class,43222,nonoverlap,VminusC,1200.0,-0.013901631670822893,-0.0129236080196117,-0.0009780236512112062,0.036613265195166306,0.49916666666666665,1.3322676295501878e-15,,,
class_balanced_pair_mean,43022,ALL_class_balanced,VminusC,1200.0,0.17318333219262666,0.015256134452380743,0.15792719774024594,,,2.7755575615628914e-17,,,
class_balanced_pair_mean,43122,ALL_class_balanced,VminusC,1200.0,0.15764598450013287,-0.01759086630021355,0.17523685080034637,,,5.551115123125783e-17,,,
class_balanced_pair_mean,43222,ALL_class_balanced,VminusC,1200.0,0.07305064756503776,0.004786381060661768,0.06826426650437599,,,0.0,,,
token_weighted_target_mean,43022,ALL_token_weighted,VminusC,,0.1316305069095553,0.017916103633572298,0.113714403275983,0.030842137314002538,0.5369444444444444,2.9976021664879227e-15,3600.0,1200.0,2400.0
token_weighted_target_mean,43122,ALL_token_weighted,VminusC,,0.12517075219498414,-0.020387150492722328,0.1455579026877065,0.029588816806284765,0.5263888888888889,3.552713678800501e-15,3600.0,1200.0,2400.0
token_weighted_target_mean,43222,ALL_token_weighted,VminusC,,0.04406655448641753,-0.0011169486327627157,0.045183503119180256,0.029604329860652857,0.5072222222222222,4.107825191113079e-15,3600.0,1200.0,2400.0
pair_mean_by_target_class,43022,overlap,VminusR,1200.0,0.10229854124792633,-0.03438124505607347,0.13667978630399985,0.04928010786244672,0.5333333333333333,5.773159728050814e-15,,,
pair_mean_by_target_class,43122,overlap,VminusR,1200.0,0.09351302062995574,-0.01614465698748568,0.10965767761744148,0.052884382973200555,0.5025,6.439293542825908e-15,,,
pair_mean_by_target_class,43222,overlap,VminusR,1200.0,0.18997906372250228,0.03417621373315342,0.15580284998934885,0.05399533932126871,0.5258333333333334,5.329070518200751e-15,,,
pair_mean_by_target_class,43022,nonoverlap,VminusR,1200.0,0.25578748120971595,-0.044852315166176084,0.300639796375892,0.03628407710221502,0.6075,1.3322676295501878e-15,,,
pair_mean_by_target_class,43122,nonoverlap,VminusR,1200.0,0.30951612282903324,-0.014906894436862786,0.324423017265896,0.036050873482430974,0.5858333333333333,1.3322676295501878e-15,,,
pair_mean_by_target_class,43222,nonoverlap,VminusR,1200.0,0.18093119609324881,0.011130233173082366,0.16980096292016644,0.03637927336350252,0.5433333333333333,1.4988010832439613e-15,,,
class_balanced_pair_mean,43022,ALL_class_balanced,VminusR,1200.0,0.17904301122882113,-0.03961678011112478,0.21865979133994592,,,2.7755575615628914e-17,,,
class_balanced_pair_mean,43122,ALL_class_balanced,VminusR,1200.0,0.2015145717294945,-0.015525775712174233,0.21704034744166875,,,2.7755575615628914e-17,,,
class_balanced_pair_mean,43222,ALL_class_balanced,VminusR,1200.0,0.18545512990787555,0.02265322345311789,0.16280190645475764,,,2.7755575615628914e-17,,,
token_weighted_target_mean,43022,ALL_token_weighted,VminusR,,0.20462450122245274,-0.041361958462808546,0.24598645968526134,0.029072043580745627,0.5477777777777778,3.1086244689504383e-15,3600.0,1200.0,2400.0
token_weighted_target_mean,43122,ALL_token_weighted,VminusR,,0.23751508876267408,-0.01531948195373709,0.2528345707164112,0.029616213420422574,0.54,3.552713678800501e-15,3600.0,1200.0,2400.0
token_weighted_target_mean,43222,ALL_token_weighted,VminusR,,0.18394715196966666,0.018812226693106046,0.1651349252765606,0.029314593296091505,0.5316666666666666,2.6645352591003757e-15,3600.0,1200.0,2400.0
