label,items,disc_token_share,disc_residual_share,disc_over_shared_mean_residual,shared_tokens,shared_unique_types,shared_mean_legal40k_pool_count,shared_mean_sgcr_residual_weight,shared_mean_decomp_len,shared_mean_component_min_pool_count16,shared_frac_lt50,shared_lt50_component_ge50_occurrence_fraction,shared_lt50_component_ge50_residual_fraction,shared_component_ge50_residual_fraction,disc_tokens,disc_unique_types,disc_mean_legal40k_pool_count,disc_mean_sgcr_residual_weight,disc_mean_decomp_len,disc_mean_component_min_pool_count16,disc_frac_lt50,disc_lt50_component_ge50_occurrence_fraction,disc_lt50_component_ge50_residual_fraction,disc_component_ge50_residual_fraction,disc_over_shared_frac_lt20,disc_share_of_lt20_occurrences,disc_share_of_lt20_residual,disc_over_shared_frac_lt50,disc_share_of_lt50_occurrences,disc_share_of_lt50_residual,disc_over_shared_frac_lt100,disc_share_of_lt100_occurrences,disc_share_of_lt100_residual
EWoK::agent-properties,2210,0.0587343388396776,0.033154265840048866,0.5495438612888285,47180,203,136110.20163204748,0.11824396629677632,1.083679525222552,136548.31080966513,0.08562950402713014,1.0,1.0,1.0,2944,109,31205.721467391304,0.06498024581283655,1.0455163043478262,31364.037364130436,0.03192934782608696,1.0,1.0,1.0,1.9192593074720126,0.10695187165775401,0.11129788065605324,0.3728778788204908,0.022738268021286888,0.025711174587628196,0.37852790681012144,0.023074859136034343,0.024156348517300964
EWoK::material-dynamics,770,0.1937290033594625,0.3207068734654709,1.964886374534185,7200,33,204392.28194444443,0.1465419847311245,1.0979166666666667,204932.59027777778,0.10833333333333334,1.0,1.0,1.0,1730,40,395.18034682080923,0.28793834909538313,1.193063583815029,630.5317919075145,0.11676300578034682,0.9207920792079208,0.9012048043656212,0.9749063174505525,0.34148510449088487,0.07582938388625593,0.08127208418258428,1.0778123610493553,0.20570264765784113,0.21196036118929806,2.460631462588951,0.37155733600400603,0.34194911020728375
EWoK::material-properties,170,0.1820689655172414,0.30783158451516845,1.9979387124897139,2372,60,174121.15430016862,0.08073097745091679,1.063237774030354,174442.45952782463,0.04131534569983136,0.7142857142857143,0.643195342845556,0.8875240207491024,528,63,25712.08712121212,0.1612955451463208,1.125,25949.397727272728,0.10227272727272728,1.0,1.0,1.0,0.6417748917748918,0.125,0.11938117475947287,2.4754174397031545,0.35526315789473684,0.37119934743237515,1.57975357975358,0.2601626016260163,0.29420813797277123
EWoK::physical-dynamics,120,0.19148936170212766,0.2707838664901486,1.5678611675951284,1520,47,179247.55855263158,0.0702076705074624,1.0526315789473684,179582.1355263158,0.029605263157894735,1.0,1.0,1.0,360,32,31549.444444444445,0.11007588025596407,1.0833333333333333,31623.25,0.08333333333333333,1.0,1.0,1.0,2.111111111111111,0.3333333333333333,0.3233830807297593,2.814814814814815,0.4,0.36690326121626043,0.9178743961352656,0.17857142857142858,0.21164651610402085
EWoK::physical-interactions,556,0.12126292260407935,0.16034427225350015,1.3838311943438701,9435,114,177737.5240063593,0.09643212761206796,1.086168521462639,178133.07302596714,0.04038155802861685,0.94750656167979,0.9231506228442862,0.9813712232651446,1302,83,31524.069124423964,0.1334457863265285,1.109062980030722,31735.557603686637,0.10906298003072197,0.647887323943662,0.6060833097282242,0.7888532271617409,5.797235023041475,0.4444444444444444,0.4442403420962836,2.7008115920993747,0.27151051625239003,0.2968976814572349,1.16552802036673,0.13855421686746988,0.16865152629516658
EWoK::physical-relations,818,0.10785028155018218,0.09036688476954428,0.8217874566720766,13467,83,174869.8857206505,0.05569091814348761,1.051087844360288,175166.21690057177,0.02910819039132695,1.0,1.0,1.0,1628,38,30680.461916461918,0.04576609798086949,1.0245700245700247,30825.568796068797,0.02457002457002457,1.0,1.0,1.0,,0.0,0.0,0.8440931655217369,0.09259259259259259,0.0905806291945547,0.8416394063196388,0.09234828496042216,0.08679480118958335
EWoK::quantitative-properties,314,0.14509536784741145,0.11983572984405305,0.8022074908270248,5020,116,148060.1621513944,0.12350178869122053,1.104780876494024,148482.16334661355,0.0848605577689243,0.9906103286384976,0.9901614883434966,0.995539927008273,852,49,28263.12910798122,0.09907406001863345,1.0985915492957747,28593.62910798122,0.04460093896713615,1.0,1.0,1.0,0.0,0.0,0.0,0.5255791399413696,0.08189655172413793,0.07673149330812203,0.6615060248348227,0.10093896713615023,0.09194766215991773
EWoK::social-interactions,294,0.14256339958875944,0.16751211585100306,1.2102142919093422,3753,76,142436.67839062083,0.17794475924593908,1.1785238475885957,143259.60405009327,0.1761257660538236,1.0,1.0,1.0,624,54,3817.4294871794873,0.21535129080980253,1.2083333333333333,4698.951923076923,0.14423076923076922,1.0,1.0,1.0,0.5755428781744572,0.08733624454148471,0.09626580667705875,0.8189078319562434,0.11984021304926765,0.12402914664559105,1.0882550802635242,0.15321756894790603,0.1501079873495962
EWoK::social-properties,328,0.16740273396424815,0.2105748445014978,1.3266854352335222,3959,132,159779.34124778985,0.13972552464703292,1.1060873958070219,160312.6698661278,0.1012882040919424,1.0,1.0,1.0,796,61,14707.766331658291,0.1853718184795811,1.1381909547738693,14942.723618090453,0.16331658291457288,1.0,1.0,1.0,4.440730437903804,0.4716981132075472,0.46995173434350046,1.6123948921665687,0.2448210922787194,0.26157553726319355,1.365588782060592,0.21541950113378686,0.22639362725433335
EWoK::social-relations,1548,0.12175494430552398,0.1075205898927864,0.8690055297304679,19317,117,146277.23502614276,0.17394968477744224,1.1674690686959672,147117.0324584563,0.16591603251022416,0.9797191887675507,0.9799249027235031,0.9882443891149031,2678,87,44195.537714712475,0.1511632379664691,1.1493651979088872,44626.519044062734,0.13816280806572068,0.918918918918919,0.912671074891297,0.9499270947704898,0.8877807778479923,0.1095890410958904,0.11190631068651755,0.8327272896741111,0.1034965034965035,0.10551704783089254,1.0268526208189293,0.12461695607763024,0.12256729962105631
EWoK::spatial-relations,490,0.09240321402483564,0.12354736111916587,1.3845571686162943,9940,89,175037.8804828974,0.07471998056895296,1.0659959758551307,175434.22736418512,0.039235412474849095,1.0,1.0,1.0,1012,45,12432.883399209486,0.10345408473561404,1.08300395256917,12716.312252964426,0.05928853754940711,1.0,1.0,1.0,2.5622959271352466,0.20689655172413793,0.20414673077497017,1.5110975980541197,0.13333333333333333,0.13730235705616217,1.1341462364480268,0.103515625,0.10977634176656617
Entity,6780,0.07265813892770245,0.07459027307062506,1.0287355123794735,1090414,130,155244.3574899075,0.08721645242680634,1.0015278600604909,155546.53759030974,0.0030392126293316115,1.0,1.0,1.0,85435,106,1305.4061801369462,0.0897226618752106,1.0080880201322644,1366.7840463510272,0.01590682975361386,1.0,1.0,1.0,,0.0,0.0,5.233865376872995,0.29081960196875667,0.29092261901380156,0.1955773175963475,0.015092402464065709,0.01760991574340486
Entity::ambiref_0_ops,508,0.13892319893906102,0.12294435348021306,0.8688574957845501,66228,128,146845.682430392,0.07869987223114434,1.001811922449719,147134.32066497553,0.003729540375671921,1.0,1.0,1.0,10685,106,1821.68900327562,0.06837897390531612,1.005334581188582,1880.181282171268,0.010388394946186243,1.0,1.0,1.0,,0.0,0.0,2.7854357105102125,0.3100558659217877,0.3105710812402008,0.13159904753563267,0.02079032733706871,0.024858391215020162
Entity::ambiref_1_ops,428,0.10184641482351406,0.08677933281724107,0.8380027378083493,68830,128,145980.12347813454,0.08158385201143384,1.0016417259915735,146266.80547726282,0.0035013802121168095,1.0,1.0,1.0,7805,106,1845.088404868674,0.06836749134653276,1.0047405509288918,1899.8356181934657,0.011787315823190262,1.0,1.0,1.0,,0.0,0.0,3.3664769631128038,0.27627627627627627,0.27511146117620294,0.1433935928084457,0.016,0.01895959896715597
Entity::ambiref_2_ops,413,0.08787058066239965,0.07187476928755107,0.8038645035893117,75102,128,145843.28214960988,0.08415575861361008,1.0019173923464089,146131.34052355462,0.004407339351814865,1.0,1.0,1.0,7235,106,1920.2399447131997,0.06764982712211161,1.0070490670352454,1984.2508638562542,0.015342087076710436,1.0,1.0,1.0,,0.0,0.0,3.4810314913447344,0.251131221719457,0.2515325290350254,0.1923688344771058,0.018194791295041028,0.021191628234389803
Entity::ambiref_3_ops,409,0.08096232138120336,0.06696670620474622,0.8147270999303319,79687,128,145560.79001593735,0.08466386529958221,1.0022211904074692,145848.20034635512,0.0038525731926161103,1.0,1.0,1.0,7020,106,1834.0270655270656,0.06897794544442087,1.0082621082621082,1901.6032763532764,0.013247863247863248,1.0,1.0,1.0,,0.0,0.0,3.438705142125338,0.2325,0.23322545823173849,0.15703297303251945,0.013645006151437199,0.016322562558667094
Entity::ambiref_4_ops,434,0.08045589922227718,0.06718841279344183,0.8232184950439011,87376,128,145607.62283693464,0.0852036352684277,1.0014191540010986,145892.94149423184,0.0029756454861746932,1.0,1.0,1.0,7645,106,1856.642119032047,0.07014120839794451,1.00863309352518,1922.5164159581425,0.012557226945716154,1.0,1.0,1.0,,0.0,0.0,4.220001006188056,0.2696629213483146,0.2732586447067027,0.14666428692726438,0.012669868192500256,0.015330430559513658
Entity::ambiref_5_ops,123,0.07552650689905592,0.06220404200097447,0.8119051828161725,25460,128,145934.52313432837,0.08515766776062238,1.0010212097407698,146217.76150824822,0.003102906520031422,1.0,1.0,1.0,2080,104,1838.1264423076923,0.06913995181138699,1.0033653846153847,1889.1293269230769,0.007211538461538462,1.0,1.0,1.0,,0.0,0.0,2.3241236611489775,0.1595744680851064,0.1611996245764538,0.19360889549817495,0.015570934256055362,0.0155671218628634
Entity::move_contents_0_ops,516,0.08809676561253071,0.11190325038260805,1.3042811355194899,58277,124,165518.3930881823,0.08613779297491042,1.0013555948315802,165837.14812018463,0.0030200593716217376,1.0,1.0,1.0,5630,100,758.7756660746004,0.1123478984324589,1.0088809946714032,817.9161634103019,0.021314387211367674,1.0,1.0,1.0,,0.0,0.0,7.057605360891329,0.40540540540540543,0.4047267358223507,0.24420531994560563,0.023048327137546468,0.027315552174527653
Entity::move_contents_1_ops,437,0.06389728323786327,0.07722053936331043,1.2259592185344905,62263,124,162003.27231260942,0.08922888436234809,1.0011082023031335,162315.09907971026,0.002874901626969468,1.0,1.0,1.0,4250,100,762.8442352941177,0.10939097334356869,1.0065882352941176,812.3837647058823,0.018823529411764704,1.0,1.0,1.0,,0.0,0.0,6.547538613210647,0.3088803088803089,0.3082145283948465,0.2113868837352173,0.014223787591438634,0.01674471794340693
Entity::move_contents_2_ops,399,0.054398044651107334,0.06551624147940134,1.218715373846799,63448,124,160312.62329781867,0.09110772490920388,1.0010717437901904,160624.15978439036,0.002001639137561468,1.0,1.0,1.0,3650,100,748.6306849315068,0.11103438502305174,1.006027397260274,798.5868493150685,0.015068493150684932,1.0,1.0,1.0,,0.0,0.0,7.528076798619351,0.3021978021978022,0.2997131939329597,0.18392290647935602,0.010469833791388562,0.012067725965049273
Entity::move_contents_3_ops,406,0.04887927281362551,0.058118875328501934,1.200693107928176,72094,124,159684.04917191443,0.09211698746348523,1.0013593364218936,159992.70297112103,0.002663189724526313,1.0,1.0,1.0,3705,100,754.1673414304993,0.11060423197051292,1.0067476383265856,807.2874493927126,0.01835357624831309,1.0,1.0,1.0,,0.0,0.0,6.891576698155645,0.26153846153846155,0.2591350996848371,0.23452132662658978,0.011908812521265737,0.013473861398257183
Entity::move_contents_4_ops,353,0.04974058033140678,0.060269246018867496,1.2252470168868879,64286,124,159520.87333167408,0.09214326668428365,1.001275549886445,159829.16006595525,0.0022866565037488722,1.0,1.0,1.0,3365,100,741.644279346211,0.1128982626311315,1.0115898959881129,809.9473997028232,0.02288261515601783,1.0,1.0,1.0,,0.0,0.0,10.00701903346777,0.34375,0.3427466154154007,0.24022789463282637,0.01241838432979132,0.014970485406593128
Entity::move_contents_5_ops,116,0.04543238331634236,0.05435793001275309,1.207750712358299,21536,124,158533.8558692422,0.09241335152234621,1.0016716196136701,158844.9149331352,0.0030182020802377416,1.0,1.0,1.0,1025,98,731.9990243902439,0.11161229113253152,1.0107317073170732,793.5785365853659,0.021463414634146343,1.0,1.0,1.0,,0.0,0.0,7.111324577861163,0.25287356321839083,0.25199203216099186,0.2709005984257795,0.01272931486334706,0.014486309592171015
Entity::regular_0_ops,517,0.08826656659473997,0.11005126090545957,1.277325780814677,58309,122,165288.50918383096,0.08487090103116245,1.0016635510813081,165607.0318475707,0.0029669519285187534,1.0,1.0,1.0,5645,100,779.4666076173605,0.10840778992807475,1.008503100088574,837.5245349867139,0.015943312666076175,1.0,1.0,1.0,,0.0,0.0,5.373633631481131,0.34220532319391633,0.34167215290637337,0.22368819463253503,0.021196632591701743,0.024064720731044268
Entity::regular_1_ops,409,0.062281450924150376,0.07802021501079259,1.2740883050578218,58192,122,161306.68763747593,0.08797031915512327,1.0017356337640912,161619.66557258728,0.00286981028320044,1.0,1.0,1.0,3865,100,770.8721862871928,0.11208195482774663,1.0124191461836998,842.1125485122898,0.022768434670116428,1.0,1.0,1.0,,0.0,0.0,7.933776948044402,0.34509803921568627,0.343940420147194,0.2868472442497425,0.018695652173913044,0.021621237825765298
Entity::regular_2_ops,405,0.051190040278286345,0.06280516627710163,1.2421076811452887,64780,122,159253.3141401667,0.08963277643387169,1.0017443655449212,159565.38465575795,0.0031028095091077492,1.0,1.0,1.0,3495,100,787.2271816881259,0.11133356009089043,1.0131616595135908,861.140200286123,0.027467811158798282,1.0,1.0,1.0,,0.0,0.0,8.852561228193794,0.32323232323232326,0.32165791061468696,0.3145196320428147,0.016685772513055662,0.019576370055274368
Entity::regular_3_ops,425,0.0512182491063647,0.06305989239466475,1.246760371967931,75116,122,159141.5230310453,0.089461352037583,1.000998455721817,159446.66845944937,0.0020501624154640823,1.0,1.0,1.0,4055,100,743.2468557336622,0.111536868543131,1.0098643649815042,804.4850801479655,0.014549938347718866,1.0,1.0,1.0,,0.0,0.0,7.096968629397729,0.27699530516431925,0.2803091933825428,0.22280790657239927,0.011884927246473397,0.01319734732452616
Entity::regular_4_ops,388,0.04589963280293757,0.05366637693128621,1.178807411344969,71714,122,158160.69535934407,0.0906115843098292,1.0015478149315336,158468.1516858633,0.003081685584404719,1.0,1.0,1.0,3450,100,781.5614492753623,0.10681360713813616,1.0121739130434784,850.9257971014492,0.01884057971014493,1.0,1.0,1.0,,0.0,0.0,6.113725490196079,0.22727272727272727,0.2294634730626824,0.23369201942564338,0.011117413499716393,0.012863630822060714
Entity::regular_5_ops,94,0.044753585678852584,0.05107039718068596,1.1487428454897186,17716,122,157706.61752088508,0.08982840950856712,1.001862722962294,158015.73205012418,0.002652969067509596,1.0,1.0,1.0,830,97,902.2120481927711,0.10318974274468709,1.0192771084337349,998.210843373494,0.02530120481927711,1.0,1.0,1.0,,0.0,0.0,9.53693924634709,0.3088235294117647,0.309912170289123,0.25908451734107296,0.011992619926199263,0.014783133061166005
GlobalPIQA,203,0.22432244614315497,0.30527773473988024,1.5194709613873472,5581,1275,108409.33685719405,0.07694200239574966,1.0576957534492026,108811.45636982619,0.03816520336857194,0.9812206572769953,0.9805444996948677,0.993819088845032,1614,668,47044.57249070632,0.11691113835133732,1.079925650557621,47393.933085501856,0.07125154894671623,0.9826086956521739,0.980504014845384,0.9922589308552111,2.0491073477442745,0.37209302325581395,0.3741823933987941,1.8669243881296869,0.35060975609756095,0.35450504936283855,1.4344264737653745,0.29320113314447593,0.3044643108691815
GlobalPIQA_nonparallel,100,0.10435889277760102,0.16947273997785076,1.7512595428958508,2815,880,110402.1051509769,0.10125417730524527,1.0788632326820604,110880.84369449379,0.05541740674955595,0.9743589743589743,0.9734729843926877,0.9906881352479977,328,258,25896.692073170732,0.17732234426387927,1.173780487804878,26390.905487804877,0.13414634146341464,0.9772727272727273,0.9712458355042125,0.985907019052912,2.420653533458412,0.22,0.21777309045103665,2.420653533458412,0.22,0.22173224010229248,1.7065702537428833,0.1658653846153846,0.17795792685637296
GlobalPIQA_nonparallel::unknown,100,0.10435889277760102,0.16947273997785076,1.7512595428958508,2815,880,110402.1051509769,0.10125417730524527,1.0788632326820604,110880.84369449379,0.05541740674955595,0.9743589743589743,0.9734729843926877,0.9906881352479977,328,258,25896.692073170732,0.17732234426387927,1.173780487804878,26390.905487804877,0.13414634146341464,0.9772727272727273,0.9712458355042125,0.985907019052912,2.420653533458412,0.22,0.21777309045103665,2.420653533458412,0.22,0.22173224010229248,1.7065702537428833,0.1658653846153846,0.17795792685637296
GlobalPIQA_parallel,103,0.3173741362290227,0.4748105325355171,1.9445340105888722,2766,657,106381.26644974692,0.052199134582940517,1.0361532899493855,106705.40961677513,0.020607375271149676,1.0,1.0,1.0,1286,494,52438.433125972006,0.10150299251983362,1.0559875583203733,52750.848367029546,0.0552099533437014,0.9859154929577465,0.9861897919872672,0.995089162302264,3.011197511664075,0.5833333333333334,0.5877330012292773,2.6791356306785623,0.5546875,0.560697802640875,1.9527502660227551,0.47586206896551725,0.49165298066681523
GlobalPIQA_parallel::counting,7,0.37404580152671757,0.28427950118925266,0.6646910960311885,246,101,105753.06097560975,0.049551412766057304,1.0284552845528456,106112.76829268293,0.008130081300813009,1.0,1.0,1.0,147,47,79316.43537414966,0.03293638286136445,1.0136054421768708,79798.27210884354,0.013605442176870748,1.0,1.0,1.0,1.673469387755102,0.5,0.49411764625843,1.673469387755102,0.5,0.49411764625843,0.3346938775510204,0.16666666666666666,0.2352764520575916
GlobalPIQA_parallel::object_properties,2,0.40350877192982454,0.7402265208658019,4.212315683869449,34,31,77871.61764705883,0.04627430438995361,1.0294117647058822,78044.11764705883,0.0,0.0,0.0,1.0,23,19,10893.91304347826,0.19492197814195053,1.0434782608695652,11268.565217391304,0.08695652173913043,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,5.913043478260869,0.8,0.8306529550640809
GlobalPIQA_parallel::object_properties_interactions,36,0.33189344852411806,0.5180765335717196,2.1640281111045483,928,302,109065.66594827586,0.0593799512897586,1.0441810344827587,109422.24568965517,0.023706896551724137,1.0,1.0,1.0,461,236,48174.5010845987,0.12849988382705638,1.0780911062906724,48486.50976138829,0.0824295010845987,0.9736842105263158,0.9743752914845081,0.989178891900501,3.450883173225906,0.631578947368421,0.6310602685521711,3.4770262275685275,0.6333333333333333,0.6359254956361444,2.110419144916381,0.5118110236220472,0.5348576041616218
"GlobalPIQA_parallel::object_properties_interactions, affordances",21,0.3304964539007092,0.5418441931385723,2.3957820444265194,472,186,105588.7563559322,0.055606017047065796,1.0402542372881356,105921.1377118644,0.029661016949152543,1.0,1.0,1.0,233,138,30989.768240343346,0.1332198972034352,1.0729613733905579,31315.38197424893,0.055793991416309016,1.0,1.0,1.0,3.03862660944206,0.6,0.6296420755502722,1.8810545677498467,0.48148148148148145,0.4918255154336306,1.886044102412313,0.48214285714285715,0.49347938638293
"GlobalPIQA_parallel::object_properties_interactions, spatial",3,0.344,0.33657011984950863,0.9674442025362672,82,49,116508.18292682926,0.07621871625504843,1.0365853658536586,116824.86585365854,0.036585365853658534,1.0,1.0,1.0,43,22,101849.06976744186,0.07373735516570336,1.0,101920.55813953489,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0897009966777407,0.36363636363636365,0.28041600747241324
GlobalPIQA_parallel::spatial,22,0.2990249187432286,0.3801868945043441,1.4379096088576147,647,213,109337.82071097373,0.042059238902199585,1.0231839258114375,109608.8686244204,0.010819165378670788,1.0,1.0,1.0,276,113,64998.49275362319,0.06047738375871078,1.036231884057971,65146.80072463768,0.025362318840579712,1.0,1.0,1.0,7.032608695652174,0.75,0.7540142281164784,2.344202898550725,0.5,0.5329709197787428,1.5069875776397517,0.391304347826087,0.41566688237738136
"GlobalPIQA_parallel::spatial, counting",1,0.25806451612903225,0.008031097826080514,0.023276340820141222,23,20,80231.73913043478,0.07805998169857523,1.0869565217391304,80925.30434782608,0.08695652173913043,1.0,1.0,1.0,8,6,38577.5,0.0018169507384300232,1.0,38577.5,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GlobalPIQA_parallel::time,4,0.32051282051282054,0.5778992338479191,2.902497398728184,106,66,101657.97169811321,0.057943445331645464,1.0566037735849056,101916.89622641509,0.04716981132075472,1.0,1.0,1.0,50,38,50983.68,0.1681806993484497,1.08,52017.08,0.14,1.0,1.0,1.0,,0.0,0.0,2.968,0.5833333333333334,0.5862832932376055,5.936,0.7368421052631579,0.6950354245376362
"GlobalPIQA_parallel::time, counting",7,0.16483516483516483,0.2514335249698751,1.7018259598068424,228,107,94826.9649122807,0.03451557209094366,1.0263157894736843,95132.6798245614,0.008771929824561403,1.0,1.0,1.0,45,21,20439.777777777777,0.05873949660195245,1.0444444444444445,20593.955555555556,0.044444444444444446,1.0,1.0,1.0,,0.0,0.0,5.066666666666667,0.5,0.4827118169579723,2.5333333333333337,0.3333333333333333,0.32704604784078023
