arm,dose,seed,checkpoint,subset,n,mean_loss,elapsed_sec_since_model_load,device,loaded_class,total_params_loaded,adapter_params_loaded,adapter_scale_config
dose21_43022,dose21,43022,chck_80M,strict_complement_ngram_3000,3000,3.2245683299303054,441.09,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_90M,heldout2647_full,2647,2.5813901380741,130.54,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_90M,heldout2647_no_inherited_aln_text,1743,2.3896096031273952,219.6,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_90M,heldout2647_inherited_aln_text_hit,904,2.951161678352978,264.59,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_90M,strict_complement_ngram_3000,3000,3.1593435866038004,418.85,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_100M,heldout2647_full,2647,2.5777455817200496,131.18,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_100M,heldout2647_no_inherited_aln_text,1743,2.386107566478709,218.37,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_100M,heldout2647_inherited_aln_text_hit,904,2.9472423301333874,263.5,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_100M,strict_complement_ngram_3000,3000,3.1502731038133303,407.28,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_80M,heldout2647_full,2647,2.6335579778367184,123.3,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_80M,heldout2647_no_inherited_aln_text,1743,2.440025091290953,204.6,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_80M,heldout2647_inherited_aln_text_hit,904,3.006708222581486,246.84,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_80M,strict_complement_ngram_3000,3000,3.210096969306469,395.73,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_90M,heldout2647_full,2647,2.600020860659235,152.16,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_90M,heldout2647_no_inherited_aln_text,1743,2.4078338863750215,249.32,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_90M,heldout2647_inherited_aln_text_hit,904,2.9705760555457226,292.67,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_90M,strict_complement_ngram_3000,3000,3.1565481625000635,444.24,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_100M,heldout2647_full,2647,2.595493593448115,137.3,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_100M,heldout2647_no_inherited_aln_text,1743,2.403766690637987,223.24,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_100M,heldout2647_inherited_aln_text_hit,904,2.9651617257468468,306.41,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose25_43022,dose25,43022,chck_100M,strict_complement_ngram_3000,3000,3.1454181838432946,451.26,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
