arm,checkpoint,predictions,source_payload,score_from_payload,is_clean_reference,group,numops_group,split_group,macro_score_pp,micro_accuracy_pp,n_scored,subtask_count,pred_correct_option_frac_micro,pred_not_in_options_frac_micro
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,zero_ops,zero,all,39.462891488570676,39.51979234263465,1541,3,0.3951979234263465,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,nonzero_ops,nonzero,all,20.971447126437802,20.36648215308265,5239,15,0.2036648215308265,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,split_ambiref,all,ambiref,22.80413315155891,23.153347732181427,2315,6,0.23153347732181426,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref_zero_ops,zero,ambiref,28.937007874015748,28.937007874015748,508,1,0.28937007874015747,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref_nonzero_ops,nonzero,ambiref,21.577558207067543,21.527393469839513,1807,5,0.21527393469839512,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,split_regular,all,regular,23.404862536387284,24.664879356568363,2238,6,0.24664879356568364,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,regular_zero_ops,zero,regular,42.94003868471954,42.94003868471954,517,1,0.42940038684719534,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,regular_nonzero_ops,nonzero,regular,19.49782730672083,19.174898314933177,1721,5,0.19174898314933178,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,split_move_contents,all,move_contents,25.95106787243365,26.40323304894477,2227,6,0.2640323304894477,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,move_contents_zero_ops,zero,move_contents,46.51162790697674,46.51162790697674,516,1,0.46511627906976744,0.0
clean_maxgeom,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,move_contents_nonzero_ops,nonzero,move_contents,21.83895586552503,20.338983050847457,1711,5,0.2033898305084746,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,all_18_subtasks,all,all,24.824557595722908,25.206489675516224,6780,18,,
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,numops_0,0,all,39.535379588054845,39.584685269305645,1541,3,0.3958468526930565,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,numops_1,1,all,14.78705301088435,14.835164835164836,1274,3,0.14835164835164835,0.0
