BLiMP,COMPS,EWoK,Entity,Reading,Supplement,cheap5,cheap6,checkpoint,complete_stable6,displaced_clean_words,exEntity5,exists,kind,label,path,rho,seed,unique_docs,words_admitted
,,,,,,,,chck_50M,False,423559,,False,view,full_1x_maxgeom,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_50M.json,0.0423559,43022,4529,423559
64.99,51.03,50.38,28.04,8.309999999999999,61.24,51.136,43.998333333333335,chck_50M,True,1118587,47.19,True,view,max_2p64x,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,0.111872,43022,5261,1118587
,,,,,,,,chck_60M,False,0,,False,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_60M.json,0.0,43022,0,0
,,,,,,,,chck_60M,False,0,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_60M.json,0.0,43122,0,0
,,,,,,,,chck_60M,False,105962,,False,view,quarter_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_60M.json,0.0105962,43022,2861,105962
,,,,,,,,chck_60M,False,211853,,True,view,half_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_60M.json,0.0211853,43022,4247,211853
,,,,,,,,chck_60M,False,423559,,False,view,full_1x_maxgeom,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_60M.json,0.0423559,43022,4529,423559
65.65,51.53,50.47,28.17,7.635,60.59,51.282000000000004,44.0075,chck_60M,True,1118587,47.175000000000004,True,view,max_2p64x,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,0.111872,43022,5261,1118587
,,,,,,,,chck_70M,False,0,,False,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json,0.0,43022,0,0
,,,,,,,,chck_70M,False,0,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_70M.json,0.0,43122,0,0
,,,,,,,,chck_70M,False,105962,,False,view,quarter_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_70M.json,0.0105962,43022,2861,105962
,,,,,,,,chck_70M,False,211853,,False,view,half_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_70M.json,0.0211853,43022,4247,211853
,,,,,,,,chck_70M,False,423559,,False,view,full_1x_maxgeom,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_70M.json,0.0423559,43022,4529,423559
66.02,51.18,48.47,27.72,7.455,58.78,50.434,43.270833333333336,chck_70M,True,1118587,46.381,True,view,max_2p64x,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,0.111872,43022,5261,1118587
,,,,,,,,chck_80M,False,0,,False,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_80M.json,0.0,43022,0,0
,,,,,,,,chck_80M,False,0,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_80M.json,0.0,43122,0,0
,,,,,,,,chck_80M,False,105962,,False,view,quarter_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_80M.json,0.0105962,43022,2861,105962
,,,,,,,,chck_80M,False,211853,,False,view,half_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_80M.json,0.0211853,43022,4247,211853
,,,,,,,,chck_80M,False,423559,,False,view,full_1x_maxgeom,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_80M.json,0.0423559,43022,4529,423559
66.3,50.93,49.8,27.98,7.6499999999999995,60.37,51.076,43.83833333333333,chck_80M,True,1118587,47.01,True,view,max_2p64x,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json,0.111872,43022,5261,1118587
