pair_id,bucket,regime,edit_class,gen_words,longest_run_frac,order_agreement,reordering_index,novel_word_fraction,kept_source_word_fraction,function_word_edit_rate,leading_deletion_only,is_verbatim_source_substring
compact:frontier_consolidation_fwcompact_medium_021666,relation_zero_absent,lexclosed_compress,light_restructure,17,0.4118,0.8571,0.1429,0.1765,0.8235,0.4545,False,False
compact:frontier_consolidation_fwcompact_medium_016145,relation_zero_absent,lexclosed_compress,substantive_restructure,15,0.6,0.625,0.375,0.1333,0.8667,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_050022,relation_zero_absent,lexclosed_compress,verbatim_substring,12,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_028466,relation_zero_absent,anchor_gapfill,light_restructure,10,0.4,1.0,0.0,0.0,1.0,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_038833,relation_zero_absent,anchor_gapfill,light_restructure,13,0.3846,1.0,0.0,0.0,1.0,0.1429,False,False
compact:frontier_consolidation_fwcompact_medium_061243,relation_zero_absent,lexclosed_compress,light_restructure,10,0.4,1.0,0.0,0.1,0.9,0.6,False,False
compact:frontier_consolidation_fwcompact_medium_018859,relation_zero_absent,lexclosed_compress,verbatim_substring,14,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_046716,relation_zero_absent,anchor_gapfill,light_restructure,8,0.375,1.0,0.0,0.125,0.875,0.8333,False,False
compact:frontier_consolidation_fwcompact_medium_056426,relation_zero_absent,lexclosed_compress,deletion_reorder,29,0.7586,1.0,0.0,0.0,1.0,0.3529,False,False
compact:frontier_consolidation_fwcompact_medium_050425,relation_zero_absent,lexclosed_compress,deletion_reorder,21,0.5238,1.0,0.0,0.0,1.0,0.1111,False,False
compact:frontier_consolidation_fwcompact_medium_049612,relation_zero_absent,anchor_gapfill,deletion_reorder,14,0.5,1.0,0.0,0.0714,0.9286,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_022254,relation_zero_absent,anchor_gapfill,deletion_reorder,20,0.55,1.0,0.0,0.1,0.9,0.6,False,False
compact:frontier_consolidation_fwcompact_medium_020399,relation_zero_absent,lexclosed_compress,deletion_reorder,10,0.6,1.0,0.0,0.0,1.0,0.625,False,False
compact:frontier_consolidation_fwcompact_medium_041332,relation_zero_absent,anchor_gapfill,substantive_restructure,7,0.2857,1.0,0.0,0.2857,0.7143,0.875,False,False
compact:frontier_consolidation_fwcompact_medium_044414,relation_zero_absent,clause_bridge,verbatim_substring,20,1.0,1.0,0.0,0.0,1.0,0.1,True,True
compact:frontier_consolidation_fwcompact_medium_045193,relation_zero_absent,clause_bridge,light_restructure,10,0.7,0.8571,0.1429,0.0,1.0,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_054903,relation_zero_absent,anchor_gapfill,light_restructure,9,0.2222,1.0,0.0,0.1111,0.8889,1.0,False,False
compact:frontier_consolidation_fwcompact_medium_020098,relation_zero_absent,anchor_gapfill,substantive_restructure,11,0.2727,1.0,0.0,0.2727,0.7273,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_054374,relation_zero_absent,lexclosed_compress,light_restructure,15,0.3333,1.0,0.0,0.2,0.8,0.6,False,False
compact:frontier_consolidation_fwcompact_medium_031974,relation_zero_absent,lexclosed_compress,light_restructure,17,0.4706,1.0,0.0,0.0,1.0,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_022926,relation_zero_absent,anchor_gapfill,light_restructure,13,0.8462,1.0,0.0,0.1538,0.8462,0.3333,False,False
compact:frontier_consolidation_fwcompact_medium_054149,relation_zero_absent,lexclosed_compress,verbatim_substring,20,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_061395,relation_zero_absent,lexclosed_compress,verbatim_substring,28,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_056163,ordinary,lexclosed_compress,substantive_restructure,21,0.3333,0.6154,0.3846,0.0476,0.9524,0.4615,False,False
compact:frontier_consolidation_fwcompact_medium_060117,ordinary,anchor_gapfill,light_restructure,22,0.3182,1.0,0.0,0.0,1.0,0.7059,False,False
compact:frontier_consolidation_fwcompact_medium_046535,ordinary,anchor_gapfill,deletion_reorder,10,0.7,1.0,0.0,0.0,1.0,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_047499,ordinary,anchor_gapfill,substantive_restructure,12,0.1667,0.6667,0.3333,0.3333,0.6667,0.8333,False,False
compact:frontier_consolidation_fwcompact_medium_001136,ordinary,clause_bridge,deletion_reorder,14,0.7857,1.0,0.0,0.0,1.0,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_006787,ordinary,anchor_gapfill,deletion_reorder,11,0.5455,1.0,0.0,0.0,1.0,0.3333,False,False
compact:frontier_consolidation_fwcompact_medium_029308,ordinary,anchor_gapfill,deletion_reorder,11,0.6364,1.0,0.0,0.0,1.0,0.4286,False,False
compact:frontier_consolidation_fwcompact_medium_028028,ordinary,lexclosed_compress,deletion_reorder,9,0.6667,1.0,0.0,0.1111,0.8889,1.0,False,False
compact:frontier_consolidation_fwcompact_medium_039275,ordinary,clause_bridge,light_restructure,14,0.4286,0.8889,0.1111,0.0714,0.9286,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_002918,ordinary,anchor_gapfill,deletion_reorder,10,0.5,1.0,0.0,0.0,1.0,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_035775,ordinary,clause_bridge,deletion_reorder,16,0.6875,1.0,0.0,0.0,1.0,0.4444,False,False
compact:frontier_consolidation_fwcompact_medium_047497,ordinary,anchor_gapfill,substantive_restructure,22,0.1818,0.6429,0.3571,0.0455,0.9545,0.5625,False,False
compact:frontier_consolidation_fwcompact_medium_002319,ordinary,anchor_gapfill,deletion_reorder,17,0.8824,1.0,0.0,0.0,1.0,0.1,False,False
compact:frontier_consolidation_fwcompact_medium_039647,ordinary,anchor_gapfill,deletion_reorder,23,0.5652,1.0,0.0,0.0,1.0,0.2727,False,False
compact:frontier_consolidation_fwcompact_medium_004087,ordinary,lexclosed_compress,light_restructure,19,0.3158,0.8889,0.1111,0.1053,0.8947,0.2,False,False
compact:frontier_consolidation_fwcompact_medium_051879,ordinary,anchor_gapfill,light_restructure,10,0.3,0.8,0.2,0.2,0.8,0.6,False,False
compact:frontier_consolidation_fwcompact_medium_030700,ordinary,clause_bridge,light_restructure,22,0.5909,0.875,0.125,0.0,1.0,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_016834,ordinary,lexclosed_compress,light_restructure,9,0.4444,1.0,0.0,0.1111,0.8889,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_017749,ordinary,anchor_gapfill,light_restructure,8,0.875,1.0,0.0,0.125,0.875,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_031882,ordinary,clause_bridge,light_restructure,16,0.25,1.0,0.0,0.0625,0.9375,0.75,False,False
compact:frontier_consolidation_fwcompact_medium_030656,ordinary,anchor_gapfill,light_restructure,10,0.4,1.0,0.0,0.0,1.0,0.75,False,False
compact:frontier_consolidation_fwcompact_medium_035364,ordinary,anchor_gapfill,light_restructure,11,0.3636,1.0,0.0,0.0,1.0,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_029796,ordinary,anchor_gapfill,light_restructure,23,0.3478,1.0,0.0,0.0435,0.9565,0.3846,False,False
compact:frontier_consolidation_fwcompact_medium_046193,ordinary,lexclosed_compress,light_restructure,24,0.4583,1.0,0.0,0.0,1.0,0.3,False,False
compact:frontier_consolidation_fwcompact_medium_046131,ordinary,anchor_gapfill,deletion_reorder,29,0.5862,1.0,0.0,0.0,1.0,0.2353,False,False
