family,dose_name,rho,checkpoint,words,subgroup,n,margin_mean,margin_median,margin_stdev,frac_margin_positive,binary_delta_mean,frac_binary_positive
EWoK,dose1,0.042352,chck_70M,70000000,domain_quantitative-properties,5,0.14749419763684274,-0.30723150447010994,2.491907859858397,0.4,0.0,0.2
EWoK,dose1,0.042352,chck_70M,70000000,domain_social-interactions,5,2.510608956590295,2.6822354728356004,2.604127472952124,0.8,0.6,0.8
EWoK,dose1,0.042352,chck_70M,70000000,domain_social-properties,5,0.22561037689447402,0.68596151471138,2.6865389688092907,0.8,0.2,0.2
EWoK,dose1,0.042352,chck_70M,70000000,domain_social-relations,5,1.2091791958548128,2.152400314807892,3.311540542409254,0.6,0.0,0.2
EWoK,dose1,0.042352,chck_70M,70000000,domain_spatial-relations,5,-1.9072088090935722,-1.7434006994590163,2.8653965340424334,0.4,-0.2,0.0
EWoK,dose1,0.042352,chck_80M,80000000,all,55,0.33854358875065704,0.6189367789775133,3.62365377273981,0.6,0.10909090909090909,0.2545454545454545
EWoK,dose1,0.042352,chck_80M,80000000,domain_agent-properties,5,2.0835145720280708,0.5451255678199232,3.2210870558384705,0.8,0.2,0.2
EWoK,dose1,0.042352,chck_80M,80000000,domain_material-dynamics,5,0.3127116415649652,1.1242892742156982,2.132503494969269,0.6,0.0,0.4
EWoK,dose1,0.042352,chck_80M,80000000,domain_material-properties,5,0.799291473440826,0.6189367789775133,1.0195098952516024,0.8,0.4,0.4
EWoK,dose1,0.042352,chck_80M,80000000,domain_physical-dynamics,5,-1.3659342005848885,0.031165186315774918,3.7696057743827867,0.6,-0.4,0.0
EWoK,dose1,0.042352,chck_80M,80000000,domain_physical-interactions,5,0.22333928104490042,1.181798741221428,2.3348110500789416,0.6,0.4,0.4
EWoK,dose1,0.042352,chck_80M,80000000,domain_physical-relations,5,-2.1080542830750346,-1.7360713053494692,8.011398673384836,0.2,-0.2,0.0
EWoK,dose1,0.042352,chck_80M,80000000,domain_quantitative-properties,5,0.5349746245890856,-0.20746846124529839,1.9237623544955202,0.4,0.4,0.4
EWoK,dose1,0.042352,chck_80M,80000000,domain_social-interactions,5,1.37452539075166,2.089149722829461,2.0185781391238296,0.8,0.4,0.6
EWoK,dose1,0.042352,chck_80M,80000000,domain_social-properties,5,0.44446051139384507,0.9686301052570343,1.9049670148218643,0.6,0.0,0.0
EWoK,dose1,0.042352,chck_80M,80000000,domain_social-relations,5,1.338207660894841,3.1426808908581734,3.8197449332412643,0.6,0.0,0.4
EWoK,dose1,0.042352,chck_80M,80000000,domain_spatial-relations,5,0.08694280420895666,0.49709452979732305,2.0713716436849907,0.6,0.0,0.0
