family,dose_name,rho,window,subgroup,n,margin_mean,margin_median,margin_stdev,frac_margin_positive,binary_delta_mean,frac_binary_positive,checkpoint_count,mean_of_checkpoint_means,checkpoints
EWoK,dose1,0.042352,common10_80,domain_social-relations,40,1.379737695318181,0.1570911407470703,2.970917605693512,0.55,-0.025,0.15,8,1.379737695318181,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_spatial-relations,40,-0.5613861554447794,-0.0675758863799274,2.732283355099238,0.425,-0.025,0.075,8,-0.5613861554447794,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,early10_40,all,220,-0.08141505937462419,-0.03727854788303375,2.3338721674731975,0.4681818181818182,0.013636363636363636,0.19090909090909092,4,-0.08141505937462418,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_agent-properties,20,-0.3586296269670129,0.05025029182434082,3.543316520805874,0.55,0.1,0.1,4,-0.3586296269670129,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_material-dynamics,20,-0.05210314095020294,0.060295701026916504,2.7227966536026313,0.55,0.1,0.35,4,-0.05210314095020294,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_material-properties,20,-0.0818781410343945,0.05586129426956177,1.0568537019820918,0.6,0.1,0.2,4,-0.08187814103439452,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_physical-dynamics,20,-0.7606600393541157,-0.3600794989615679,2.3046436087620465,0.3,-0.1,0.15,4,-0.7606600393541157,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_physical-interactions,20,0.7407629380002618,0.14775255881249905,2.6588417822958217,0.55,-0.05,0.15,4,0.7407629380002617,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_physical-relations,20,-0.6975664818426595,-0.3247012682259083,1.2783734383051075,0.3,-0.1,0.05,4,-0.6975664818426595,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_quantitative-properties,20,-0.4247157936915755,-0.15749818086624146,1.600956306329458,0.35,-0.05,0.2,4,-0.4247157936915755,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_social-interactions,20,0.2126060467911884,0.08076587319374084,1.6368112836309265,0.6,0.35,0.55,4,0.2126060467911884,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_social-properties,20,-0.2441456126514822,-0.0703885406255722,1.929003784632642,0.4,-0.1,0.15,4,-0.2441456126514822,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_social-relations,20,0.8668394302017987,0.034104108810424805,2.3019570019415005,0.5,-0.1,0.1,4,0.8668394302017987,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,early10_40,domain_spatial-relations,20,-0.0960752316226717,-0.01874794065952301,2.797977434532015,0.45,0.0,0.1,4,-0.09607523162267172,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1,0.042352,endpoint80,all,55,0.33854358875065704,0.6189367789775133,3.62365377273981,0.6,0.10909090909090909,0.2545454545454545,1,0.33854358875065704,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_agent-properties,5,2.0835145720280708,0.5451255678199232,3.2210870558384705,0.8,0.2,0.2,1,2.0835145720280708,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_material-dynamics,5,0.3127116415649652,1.1242892742156982,2.132503494969269,0.6,0.0,0.4,1,0.3127116415649652,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_material-properties,5,0.799291473440826,0.6189367789775133,1.0195098952516024,0.8,0.4,0.4,1,0.799291473440826,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_physical-dynamics,5,-1.3659342005848885,0.031165186315774918,3.7696057743827867,0.6,-0.4,0.0,1,-1.3659342005848885,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_physical-interactions,5,0.22333928104490042,1.181798741221428,2.3348110500789416,0.6,0.4,0.4,1,0.22333928104490042,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_physical-relations,5,-2.1080542830750346,-1.7360713053494692,8.011398673384836,0.2,-0.2,0.0,1,-2.1080542830750346,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_quantitative-properties,5,0.5349746245890856,-0.20746846124529839,1.9237623544955202,0.4,0.4,0.4,1,0.5349746245890856,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_social-interactions,5,1.37452539075166,2.089149722829461,2.0185781391238296,0.8,0.4,0.6,1,1.37452539075166,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_social-properties,5,0.44446051139384507,0.9686301052570343,1.9049670148218643,0.6,0.0,0.0,1,0.44446051139384507,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_social-relations,5,1.338207660894841,3.1426808908581734,3.8197449332412643,0.6,0.0,0.4,1,1.338207660894841,chck_80M
EWoK,dose1,0.042352,endpoint80,domain_spatial-relations,5,0.08694280420895666,0.49709452979732305,2.0713716436849907,0.6,0.0,0.0,1,0.08694280420895666,chck_80M
EWoK,dose1,0.042352,late70_80,all,110,0.19192655511644924,0.6306871167034842,3.6922743364961192,0.6,0.09090909090909091,0.2545454545454545,2,0.19192655511644924,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_agent-properties,10,2.470732863410376,1.3952901244629174,3.1773331063468686,0.8,0.3,0.3,2,2.470732863410376,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_material-dynamics,10,0.2772718778811395,1.280177863780409,2.5964104626511997,0.7,0.0,0.3,2,0.2772718778811395,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_material-properties,10,0.5160225647501647,0.31196651235222816,1.1038070107194695,0.7,0.2,0.3,2,0.5160225647501647,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_physical-dynamics,10,-1.3341935435310006,0.3225866351276636,3.6139558465088055,0.6,-0.3,0.1,2,-1.3341935435310006,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_physical-interactions,10,-0.8564515379723161,1.1736343562370166,3.656050580782471,0.6,0.3,0.4,2,-0.8564515379723161,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_physical-relations,10,-1.9445875731180422,-1.8353551495820284,7.105133654976093,0.2,-0.2,0.0,2,-1.9445875731180422,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_quantitative-properties,10,0.34123441111296415,-0.24439384695142508,2.234450370810879,0.4,0.2,0.3,2,0.34123441111296415,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_social-interactions,10,1.9425671736709773,2.4019504012539983,2.398070112967608,0.8,0.5,0.7,2,1.9425671736709775,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_social-properties,10,0.33503544414415953,0.8272958099842072,2.3313449604440146,0.7,0.1,0.1,2,0.33503544414415953,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_social-relations,10,1.273693428374827,2.5679889898747206,3.575267562815249,0.6,0.0,0.3,2,1.273693428374827,chck_70M;chck_80M
EWoK,dose1,0.042352,late70_80,domain_spatial-relations,10,-0.9101330024423078,0.15485479804920033,2.6915978629787167,0.5,-0.1,0.0,2,-0.9101330024423078,chck_70M;chck_80M
EWoK,dose1,0.042352,mid50_60,all,110,0.21065509427783333,-0.08691642060875893,3.640800427096114,0.4818181818181818,0.08181818181818182,0.24545454545454545,2,0.21065509427783333,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_agent-properties,10,3.4004579490981994,3.397317558294162,2.934969743318809,0.8,0.4,0.4,2,3.4004579490981994,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_material-dynamics,10,0.12812256114557385,-0.23801662027835846,2.7421737770341976,0.5,0.2,0.3,2,0.12812256114557385,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_material-properties,10,0.22937331404536962,0.5999953486025333,2.088207230175496,0.6,0.4,0.6,2,0.22937331404536954,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_physical-dynamics,10,-0.6379421645775437,0.3586048539727926,3.225826251529819,0.5,-0.2,0.3,2,-0.6379421645775437,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_physical-interactions,10,-1.172906434489414,-0.4481725343503058,3.8952451170981344,0.4,0.1,0.2,2,-1.172906434489414,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_physical-relations,10,-1.249429936276283,-1.4703664765693247,6.831386734270495,0.3,-0.3,0.0,2,-1.249429936276283,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_quantitative-properties,10,-0.5764094350859523,-0.2467301096767187,2.1371723034145464,0.3,0.1,0.2,2,-0.5764094350859523,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_social-interactions,10,0.9612594830803574,1.3136133393272758,1.9509089813850318,0.7,0.2,0.3,2,0.9612594830803572,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_social-properties,10,-0.13363663628697395,-0.7447235584259033,2.268404908130642,0.3,-0.1,0.2,2,-0.13363663628697398,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_social-relations,10,2.5115784924943,2.4442457472905517,3.179059171918977,0.6,0.1,0.1,2,2.5115784924943,chck_50M;chck_60M
EWoK,dose1,0.042352,mid50_60,domain_spatial-relations,10,-1.1432611560914665,-0.7974981931038201,2.4629663892535,0.3,0.0,0.1,2,-1.1432611560914667,chck_50M;chck_60M
EWoK,dose1p82,0.07712,common10_80,all,440,-0.21174264126771464,-0.024937719106674194,3.1013060149199996,0.4909090909090909,0.004545454545454545,0.17272727272727273,8,-0.21174264126771464,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_agent-properties,40,-1.6671066905284533,-0.20246963808313012,5.255263119657976,0.45,0.1,0.125,8,-1.6671066905284533,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_material-dynamics,40,0.4418037438299507,0.44785094261169434,1.574030634700467,0.7,0.225,0.25,8,0.4418037438299507,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_material-properties,40,-0.3303386744693853,-0.21409507375210524,1.6467818499615023,0.425,-0.05,0.2,8,-0.3303386744693853,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_physical-dynamics,40,-0.48701183348894117,-0.6490416736342013,2.1094823373068254,0.4,-0.1,0.05,8,-0.4870118334889412,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_physical-interactions,40,-1.46084416526719,-0.7472875374369323,2.5932786169123005,0.325,-0.125,0.1,8,-1.46084416526719,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_physical-relations,40,-0.02176663170066604,0.0022787805646657944,2.6447223080317857,0.525,-0.075,0.1,8,-0.021766631700666034,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_quantitative-properties,40,0.22454712468897925,-0.018296625465154648,1.7547993642126087,0.475,-0.05,0.175,8,0.22454712468897922,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_social-interactions,40,-0.36757166363531724,-0.1957335751503706,1.368620999317847,0.45,-0.125,0.175,8,-0.36757166363531724,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_social-properties,40,1.4751288510626182,0.39992469549179077,3.0981549489627462,0.65,0.225,0.425,8,1.4751288510626182,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_social-relations,40,-0.09098101867712102,-0.20713863149285316,4.310516092524827,0.425,-0.025,0.175,8,-0.090981018677121,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,common10_80,domain_spatial-relations,40,-0.045028095759334974,0.0959185146202799,3.7890338442315965,0.575,0.05,0.125,8,-0.04502809575933503,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1p82,0.07712,early10_40,all,220,-0.2134806442407849,-0.002445615828037262,2.822673076199486,0.5,0.00909090909090909,0.16818181818181818,4,-0.2134806442407849,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_agent-properties,20,-1.692636558203958,-0.2210563305998221,4.446998980870125,0.45,0.05,0.1,4,-1.692636558203958,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_material-dynamics,20,0.7109999844804407,0.4861952066421509,1.5606410045029162,0.75,0.35,0.35,4,0.7109999844804407,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_material-properties,20,-0.6013353197369724,-0.04895152896642685,1.2276389384215927,0.45,-0.15,0.15,4,-0.6013353197369724,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_physical-dynamics,20,-0.5250471825245768,-0.6003143456764519,1.5116879688915914,0.4,-0.05,0.1,4,-0.5250471825245768,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_physical-interactions,20,-1.1361329878563993,-0.1089748926460743,2.686715745740471,0.35,-0.05,0.1,4,-1.1361329878563993,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_physical-relations,20,0.6251373181527015,0.5457476116716862,2.848014055150703,0.65,0.05,0.15,4,0.6251373181527015,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_quantitative-properties,20,0.43960888758301736,0.023567497730255127,1.0568737271204698,0.5,0.05,0.2,4,0.4396088875830173,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_social-interactions,20,-0.13645368311554193,-0.1488536149263382,0.7174102347520469,0.45,-0.15,0.15,4,-0.13645368311554193,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_social-properties,20,0.4087526613846421,0.2676418721675873,1.9570823479469404,0.65,0.05,0.25,4,0.4087526613846421,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_social-relations,20,0.5079868292436004,-0.08219200372695923,4.138954102454454,0.4,-0.1,0.15,4,0.5079868292436004,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,early10_40,domain_spatial-relations,20,-0.9491670360555873,-0.02012554177781567,4.1219168394244425,0.45,0.05,0.15,4,-0.9491670360555874,chck_10M;chck_20M;chck_30M;chck_40M
EWoK,dose1p82,0.07712,endpoint80,all,55,0.011078408611303365,-0.3559688590466976,3.000680431436135,0.45454545454545453,-0.10909090909090909,0.14545454545454545,1,0.011078408611303365,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_agent-properties,5,-0.9884872635826468,-0.30491694156080484,4.508031651979527,0.4,0.2,0.2,1,-0.9884872635826468,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_material-dynamics,5,0.7399284787476063,0.22491228580474854,1.4227609079120442,0.6,0.2,0.2,1,0.7399284787476063,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_material-properties,5,-0.7538979184813798,-1.560184685047716,2.1272684467153313,0.2,-0.2,0.2,1,-0.7538979184813798,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_physical-dynamics,5,0.42848473954945804,0.44774664379656315,2.209421601224235,0.6,0.0,0.0,1,0.42848473954945804,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_physical-interactions,5,-0.053781498689204454,-0.6994112050160766,1.3161944547725135,0.4,-0.2,0.0,1,-0.053781498689204454,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_physical-relations,5,-0.5642467755358667,-0.9887031745165586,2.576398565583846,0.2,-0.4,0.0,1,-0.5642467755358667,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_quantitative-properties,5,-0.37162879491224887,0.06217779964208603,2.201221061933528,0.6,-0.2,0.2,1,-0.37162879491224887,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_social-interactions,5,-0.056042737793177366,0.633778078481555,2.1168639265039855,0.6,-0.2,0.2,1,-0.056042737793177366,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_social-properties,5,2.700808999501169,1.5841287970542908,3.7713202244095148,0.6,0.0,0.4,1,2.700808999501169,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_social-relations,5,-1.0942609237506986,-1.0754748582839966,3.737541664483589,0.4,-0.2,0.2,1,-1.0942609237506986,chck_80M
EWoK,dose1p82,0.07712,endpoint80,domain_spatial-relations,5,0.13498618967132642,-0.3483978691510856,3.18669371096136,0.4,-0.2,0.0,1,0.13498618967132642,chck_80M
EWoK,dose1p82,0.07712,late70_80,all,110,-0.012746012447116135,-0.20819331565871835,3.077479454580189,0.4909090909090909,-0.03636363636363636,0.18181818181818182,2,-0.012746012447116133,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_agent-properties,10,0.5858443146455101,1.9205407823901623,5.607404392862319,0.6,0.3,0.3,2,0.5858443146455101,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_material-dynamics,10,-0.2285566223785281,-0.17054314725100994,1.9098558678594224,0.5,0.0,0.1,2,-0.22855662237852808,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_material-properties,10,-0.48864829032681883,-0.9024031572043896,2.127157250135945,0.3,-0.1,0.3,2,-0.48864829032681883,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_physical-dynamics,10,-0.23607402336783706,-0.29327336116693914,2.0812906988614577,0.5,0.0,0.0,2,-0.2360740233678371,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_physical-interactions,10,-1.3016668965574354,-1.1680428402032703,2.3178871017069604,0.3,-0.2,0.0,2,-1.3016668965574354,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_physical-relations,10,-1.1264154595352012,-1.306245013838634,2.6204512681597354,0.2,-0.4,0.0,2,-1.1264154595352012,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_quantitative-properties,10,-0.31901917946524916,-0.02464594505727291,1.723428161712008,0.5,-0.3,0.1,2,-0.31901917946524916,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_social-interactions,10,-0.3013691832777113,0.5374280149117112,1.9815597972117915,0.6,0.0,0.3,2,-0.3013691832777113,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_social-properties,10,2.7150978527031837,1.5342489778995514,3.299180378951442,0.7,0.4,0.6,2,2.7150978527031837,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_social-relations,10,-0.5876655679894611,-0.5331403017044067,2.9642755631020283,0.5,-0.1,0.2,2,-0.5876655679894611,chck_70M;chck_80M
EWoK,dose1p82,0.07712,late70_80,domain_spatial-relations,10,1.1482669186312706,0.3277376356709283,2.923245335810806,0.7,0.0,0.1,2,1.1482669186312704,chck_70M;chck_80M
EWoK,dose1p82,0.07712,mid50_60,all,110,-0.4072632641421726,-0.1240297183394432,3.6039860703934354,0.4727272727272727,0.03636363636363636,0.17272727272727273,2,-0.4072632641421726,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_agent-properties,10,-3.8689979603514075,-1.4703481061151251,5.436097955925156,0.3,0.0,0.0,2,-3.8689979603514075,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_material-dynamics,10,0.5737716287374497,0.5065678060054779,0.8830672991582066,0.8,0.2,0.2,2,0.5737716287374497,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_material-properties,10,0.36996423192322253,-0.010352930054068565,1.6267159228701777,0.5,0.2,0.2,2,0.36996423192322253,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_physical-dynamics,10,-0.6618789455387741,-0.8050361941568553,2.966656241445904,0.3,-0.3,0.0,2,-0.6618789455387741,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_physical-interactions,10,-2.269443788798526,-2.9263718286529183,2.4901499704112866,0.3,-0.2,0.2,2,-2.269443788798526,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_physical-relations,10,-0.21092570357286605,0.024875812232494354,1.6721518331038265,0.6,0.0,0.1,2,-0.21092570357286605,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_quantitative-properties,10,0.33798990305513144,-0.3333515375852585,2.590806388199115,0.4,0.0,0.2,2,0.33798990305513144,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_social-interactions,10,-0.8960101050324738,-0.6630781926214695,1.4649568740151653,0.3,-0.2,0.1,2,-0.8960101050324738,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_social-properties,10,2.3679122287780046,1.6056158691644669,3.9038981678063274,0.6,0.4,0.6,2,2.3679122287780046,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_social-relations,10,-0.7922321652062237,-0.4575733281672001,5.460532072929293,0.4,0.2,0.2,2,-0.7922321652062236,chck_50M;chck_60M
EWoK,dose1p82,0.07712,mid50_60,domain_spatial-relations,10,0.569954770442564,0.5762521171709523,3.3858910749634634,0.7,0.1,0.1,2,0.569954770442564,chck_50M;chck_60M
EWoK,dose2p64,0.111872,common10_80,all,440,0.009031347163611578,0.03006531298160553,3.1107521738642965,0.5113636363636364,0.03636363636363636,0.18863636363636363,8,0.009031347163611578,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose2p64,0.111872,common10_80,domain_agent-properties,40,-0.19495226338040084,0.22366175800561905,4.472751994940968,0.55,-0.025,0.075,8,-0.1949522633804009,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose2p64,0.111872,common10_80,domain_material-dynamics,40,0.0968810542661231,-0.06626331806182861,2.329814286192957,0.5,0.125,0.2,8,0.09688105426612309,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose2p64,0.111872,common10_80,domain_material-properties,40,0.01964577011531219,0.11346637271344662,1.093413245277989,0.575,0.05,0.2,8,0.019645770115312176,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose2p64,0.111872,common10_80,domain_physical-dynamics,40,-0.13922313499788289,0.5043794959783554,2.915018692482555,0.65,0.05,0.25,8,-0.13922313499788289,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose2p64,0.111872,common10_80,domain_physical-interactions,40,-0.543438428780064,-0.015542706474661827,3.4288555331069017,0.5,-0.025,0.125,8,-0.543438428780064,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose2p64,0.111872,common10_80,domain_physical-relations,40,0.002961087541189045,0.15348106366582215,4.241176298412649,0.55,0.125,0.225,8,0.002961087541189048,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose2p64,0.111872,common10_80,domain_quantitative-properties,40,-0.5538583534769714,-0.2674073129892349,1.9756318070974093,0.45,-0.1,0.225,8,-0.5538583534769714,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose2p64,0.111872,common10_80,domain_social-interactions,40,-0.01541797160753049,-0.21552681922912598,2.1379280569743027,0.375,-0.175,0.15,8,-0.01541797160753049,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose2p64,0.111872,common10_80,domain_social-properties,40,0.1771492699976079,-0.31604066491127014,2.767696155803286,0.45,0.0,0.15,8,0.1771492699976079,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
