pair_id,key,source_words,view_words,ratio_view_to_source,compact_source_content_coverage,repeat_source_content_coverage,compact_minus_repeat_content_coverage,compact_tail_content_coverage,compact_has_tail_content_recovery,compact_content_fraction,repeat_content_fraction,compact_source_absent_content_words,compact_source_absent_content_fraction_of_view,compact_source_absent_content_fraction_of_content,compact_copied_content_words,compact_tail_only_content_words,compact_tail_any_content_words,compact_tail_only_content_fraction_of_content,compact_content_jaccard_source,repeat_content_jaccard_source,compact_vs_repeat_content_jaccard,compact_minus_repeat_active_tokens,compact_minus_repeat_word_groups,compact_minus_repeat_truncated
compact:frontier_consolidation_fwcompact_medium_011054,sid:11054|doc:3499,41,29,0.7073170731707317,0.6521739130434783,0.7391304347826086,-0.08695652173913043,0.6666666666666666,True,0.6896551724137931,0.5862068965517241,5,0.1724137931034483,0.25,15,4,4,0.2,0.5357142857142857,0.7391304347826086,0.4230769230769231,1,0,0
compact:frontier_consolidation_fwcompact_medium_055545,sid:55545|doc:2905,42,27,0.6428571428571429,0.7083333333333334,0.625,0.08333333333333333,0.4444444444444444,True,0.7777777777777778,0.5555555555555556,5,0.18518518518518517,0.23809523809523808,16,3,3,0.14285714285714285,0.5555555555555556,0.6818181818181818,0.5909090909090909,1,0,0
compact:frontier_consolidation_fwcompact_medium_054191,sid:54191|doc:12124,13,9,0.6923076923076923,0.8,0.4,0.4,1.0,True,0.4444444444444444,0.2222222222222222,0,0.0,0.0,4,3,3,0.75,0.8,0.4,0.2,0,0,0
compact:frontier_consolidation_fwcompact_medium_034512,sid:34512|doc:14598,21,13,0.6190476190476191,0.45454545454545453,0.6363636363636364,-0.18181818181818182,0.75,True,0.5384615384615384,0.5384615384615384,2,0.15384615384615385,0.2857142857142857,5,3,3,0.42857142857142855,0.38461538461538464,0.6363636363636364,0.16666666666666666,7,0,0
compact:frontier_consolidation_fwcompact_medium_018078,sid:18078|doc:12254,46,27,0.5869565217391305,0.6086956521739131,0.6086956521739131,0.0,0.5555555555555556,True,0.7037037037037037,0.5185185185185185,4,0.14814814814814814,0.21052631578947367,15,5,7,0.2631578947368421,0.5,0.6363636363636364,0.4090909090909091,2,0,0
compact:frontier_consolidation_fwcompact_medium_011886,sid:11886|doc:2909,25,14,0.56,0.5833333333333334,0.5833333333333334,0.0,0.6,True,0.6428571428571429,0.5,2,0.14285714285714285,0.2222222222222222,7,3,3,0.3333333333333333,0.5,0.5833333333333334,0.3333333333333333,1,0,0
compact:frontier_consolidation_fwcompact_medium_030943,sid:30943|doc:10195,10,7,0.7,0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666,True,0.5714285714285714,0.42857142857142855,0,0.0,0.0,4,2,2,0.5,0.6666666666666666,0.5,0.4,1,0,0
compact:frontier_consolidation_fwcompact_medium_003069,sid:3069|doc:13202,28,16,0.5714285714285714,0.625,0.5625,0.0625,0.42857142857142855,True,0.6875,0.5625,2,0.125,0.18181818181818182,9,2,3,0.18181818181818182,0.5294117647058824,0.6,0.5384615384615384,2,0,0
compact:frontier_consolidation_fwcompact_medium_036366,sid:36366|doc:4579,39,21,0.5384615384615384,0.5789473684210527,0.5263157894736842,0.05263157894736842,0.6666666666666666,True,0.6666666666666666,0.47619047619047616,3,0.14285714285714285,0.21428571428571427,11,6,6,0.42857142857142855,0.5,0.5263157894736842,0.2631578947368421,9,0,0
compact:frontier_consolidation_fwcompact_medium_056877,sid:56877|doc:13070,13,9,0.6923076923076923,0.8571428571428571,0.7142857142857143,0.14285714285714285,1.0,True,0.6666666666666666,0.5555555555555556,0,0.0,0.0,6,2,2,0.3333333333333333,0.8571428571428571,0.7142857142857143,0.5714285714285714,1,0,0
