arm,group,late_mean_accuracy_pct,late_mean_stale_pick_pct_among_wrong_stale_available_not_gold,mean_prefix_words,mean_relevant_updates,mean_total_ops,n,n_checkpoints,seed
R,total_ops_10,21.509777171441563,47.76882923191648,141.51841746248294,2.8076398362892223,10.0,733,3,43122
R,total_ops_11,23.22866344605475,43.74438955084116,149.18961352657004,2.9504830917874396,11.0,828,3,43122
R,total_ops_12,20.856002901704752,53.73114649664899,158.37431991294886,3.115342763873776,12.0,919,3,43122
R,total_ops_2,34.021632251720746,38.095238095238095,77.53687315634218,0.4424778761061947,2.0,339,3,43122
R,total_ops_3,32.029795158286774,46.15384615384615,85.74022346368714,0.723463687150838,3.0,358,3,43122
R,total_ops_4,24.299909665763323,45.22222222222222,93.0,1.005420054200542,4.0,369,3,43122
R,total_ops_5,23.918575063613233,50.9009009009009,101.42493638676845,1.3231552162849873,5.0,393,3,43122
R,total_ops_6,24.962630792227205,52.204161649841005,109.03363228699551,1.6591928251121075,6.0,446,3,43122
R,total_ops_7,24.081364829396325,51.64874551971326,117.93897637795276,2.045275590551181,7.0,508,3,43122
R,total_ops_8,21.565315315315313,48.03439803439803,126.08952702702703,2.285472972972973,8.0,592,3,43122
R,total_ops_9,23.03030303030303,55.800395136034446,134.4,2.5196969696969695,9.0,660,3,43122
RS,ALL,24.700098328416914,46.92366415439438,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
RS,rel0_total_ops_0,39.69298245614035,nan,61.473684210526315,0.0,0.0,304,3,43122
RS,rel0_total_ops_1,35.01945525291829,nan,69.715953307393,0.0,1.0,257,3,43122
RS,rel0_total_ops_10,24.074074074074073,nan,143.72222222222223,0.0,10.0,36,3,43122
RS,rel0_total_ops_11,34.375,nan,148.96875,0.0,11.0,32,3,43122
RS,rel0_total_ops_12,13.333333333333334,nan,157.36666666666667,0.0,12.0,30,3,43122
RS,rel0_total_ops_2,38.9937106918239,nan,77.93867924528301,0.0,2.0,212,3,43122
RS,rel0_total_ops_3,38.75968992248062,nan,85.88372093023256,0.0,3.0,172,3,43122
RS,rel0_total_ops_4,37.404580152671755,nan,93.36641221374046,0.0,4.0,131,3,43122
RS,rel0_total_ops_5,31.41025641025641,nan,100.5673076923077,0.0,5.0,104,3,43122
RS,rel0_total_ops_6,45.45454545454545,nan,107.64772727272727,0.0,6.0,88,3,43122
RS,rel0_total_ops_7,35.85858585858586,nan,117.81818181818181,0.0,7.0,66,3,43122
RS,rel0_total_ops_8,31.746031746031747,nan,127.47619047619048,0.0,8.0,63,3,43122
RS,rel0_total_ops_9,36.95652173913044,nan,134.91304347826087,0.0,9.0,46,3,43122
RS,rel_eq0,36.72939649578196,nan,88.73329007138221,0.0,3.388059701492537,1541,3,43122
RS,rel_ge1,21.16179932557104,46.92366415439438,129.96087039511357,2.5831265508684864,8.527772475663294,5239,3,43122
RS,rel_ge2,22.70173646578141,47.05997214609266,136.0349846782431,3.1179775280898876,9.274770173646578,3916,3,43122
RS,rel_ge3,24.28930817610063,45.063850849694774,140.93735849056603,3.6520754716981134,9.80188679245283,2650,3,43122
RS,rel_ge4,25.093896713615024,43.3484244122542,143.64225352112675,4.216901408450704,10.112676056338028,1420,3,43122
RS,rel_updates_0,36.72939649578196,nan,88.73329007138221,0.0,3.388059701492537,1541,3,43122
RS,rel_updates_1,16.603678508440414,36.111111111111114,111.98185941043084,1.0,6.316704459561603,1323,3,43122
RS,rel_updates_2,19.378620326487624,49.79441226156832,125.77330173775671,2.0,8.171406003159557,1266,3,43122
RS,rel_updates_3,23.360433604336045,47.66631218244122,137.81463414634146,3.0,9.44308943089431,1230,3,43122
RS,rel_updates_4,25.11990407673861,45.21848857786358,142.931654676259,4.0,10.02158273381295,1112,3,43122
RS,rel_updates_5,25.0,36.7098431636344,146.2077922077922,5.0,10.441558441558442,308,3,43122
RS,total_ops_0,39.69298245614035,nan,61.473684210526315,0.0,0.0,304,3,43122
RS,total_ops_1,32.225579053373615,nan,69.66465256797584,0.22356495468277945,1.0,331,3,43122
RS,total_ops_10,21.145975443383357,41.26648314515242,141.51841746248294,2.8076398362892223,10.0,733,3,43122
RS,total_ops_11,22.82608695652174,48.01214257735997,149.18961352657004,2.9504830917874396,11.0,828,3,43122
RS,total_ops_12,20.783460282916213,44.62457372441334,158.37431991294886,3.115342763873776,12.0,919,3,43122
RS,total_ops_2,31.170108161258604,46.666666666666664,77.53687315634218,0.4424778761061947,2.0,339,3,43122
RS,total_ops_3,27.746741154562383,71.15384615384615,85.74022346368714,0.723463687150838,3.0,358,3,43122
RS,total_ops_4,24.751580849141824,40.96555618294749,93.0,1.005420054200542,4.0,369,3,43122
RS,total_ops_5,22.137404580152673,55.88235294117647,101.42493638676845,1.3231552162849873,5.0,393,3,43122
RS,total_ops_6,26.233183856502244,55.95527672566616,109.03363228699551,1.6591928251121075,6.0,446,3,43122
RS,total_ops_7,23.4251968503937,53.383851580872744,117.93897637795276,2.045275590551181,7.0,508,3,43122
RS,total_ops_8,22.466216216216218,45.21367521367521,126.08952702702703,2.285472972972973,8.0,592,3,43122
RS,total_ops_9,24.242424242424242,44.11381801405368,134.4,2.5196969696969695,9.0,660,3,43122
V,ALL,27.369714847590956,38.0331447638334,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
V,rel0_total_ops_0,41.00877192982456,nan,61.473684210526315,0.0,0.0,304,3,43122
V,rel0_total_ops_1,39.0402075226978,nan,69.715953307393,0.0,1.0,257,3,43122
V,rel0_total_ops_10,33.333333333333336,nan,143.72222222222223,0.0,10.0,36,3,43122
