overlap_bin,token_class,contrast,gain_T_vs_N_mean,gain_T_vs_N_seed_sd,gain_T_vs_U_mean,gain_T_vs_U_seed_sd,gain_U_vs_N_mean,gain_U_vs_N_seed_sd,gain_T_vs_N_mean_pairs,gain_T_vs_U_mean_pairs,gain_U_vs_N_mean_pairs
high,nonoverlap,VminusC,0.03116110947720395,0.033151121565678614,0.04433702706482209,0.0506361099311726,-0.013175917587618139,0.0177070246088526,400.0,400.0,400.0
high,nonoverlap,VminusR,0.3804054340701744,0.07624913530941287,0.41434862891541946,0.08964925589109453,-0.033943194845245064,0.013445511468088785,400.0,400.0,400.0
high,overlap,RminusC,0.1412884923494595,0.13295829002758783,0.11491032829051213,0.10327371453824222,0.02637816405894732,0.0406460283596772,400.0,400.0,400.0
high,overlap,VminusC,0.1872137060163995,0.12115552607131892,0.20952194851209346,0.07058505567700137,-0.022308242495693978,0.06318644196770924,400.0,400.0,400.0
high,overlap,VminusR,0.045925213666939975,0.11671077052373419,0.09461162022158132,0.0723415085817442,-0.048686406554641314,0.044395279514618385,400.0,400.0,400.0
high,ALL,RminusC,-0.1039779161217555,0.025951608908509397,-0.12755063678004264,0.00891778672018655,0.023572720658287128,0.03238886082607359,400.0,400.0,400.0
high,ALL,VminusC,0.10918740774680169,0.04400442894642225,0.12692948778845775,0.014593990793049983,-0.01774208004165606,0.03902526374874698,400.0,400.0,400.0
high,ALL,VminusR,0.21316532386855722,0.02864369134080057,0.2544801245685004,0.01924098845024251,-0.041314800699943185,0.02815086879654289,400.0,400.0,400.0
medium,nonoverlap,RminusC,-0.1594532630917254,0.03442833226378441,-0.15046830230806438,0.08295233387543458,-0.008984960783661037,0.05024531405416111,400.0,400.0,400.0
medium,nonoverlap,VminusC,0.012199315305980346,0.07824400217477594,0.018070671922501384,0.07107864274634963,-0.005871356616521047,0.01297750527882288,400.0,400.0,400.0
medium,nonoverlap,VminusR,0.17165257839770576,0.09086169939862042,0.16853897423056574,0.09717057405862936,0.003113604167139986,0.04327025042709707,400.0,400.0,400.0
medium,overlap,RminusC,0.08402959551324685,0.11911622746628002,0.1282951019195712,0.07235822572302772,-0.04426550640632437,0.048627749507345656,400.0,400.0,400.0
medium,overlap,VminusC,0.18145432797250072,0.11833799303657011,0.18688528946069713,0.06840484095847568,-0.005430961488196373,0.050457224115550675,400.0,400.0,400.0
medium,overlap,VminusR,0.09742473245925388,0.048288537152446506,0.0585901875411259,0.013578891295755418,0.038834544918127996,0.035598767616106926,400.0,400.0,400.0
medium,ALL,RminusC,-0.037711833789239264,0.04389087454587802,-0.01108660019424658,0.02891184495902037,-0.026625233594992706,0.0475196038830284,400.0,400.0,400.0
medium,ALL,VminusC,0.09682682163924056,0.09378217578654778,0.10247798069159925,0.06357608846883946,-0.005651159052358713,0.03130153539547837,400.0,400.0,400.0
medium,ALL,VminusR,0.13453865542847981,0.059650437460685345,0.11356458088584583,0.04675288815153959,0.02097407454263399,0.03841650646792229,400.0,400.0,400.0
low,nonoverlap,RminusC,-0.1426937001900256,0.1160333766689057,-0.16387307524462005,0.037707710036262214,0.02117937505459445,0.07864418459516842,400.0,400.0,400.0
low,nonoverlap,VminusC,0.05148308747409223,0.12695443697990214,0.0481030981713492,0.09183346675482326,0.0033799893027430124,0.06033789364770734,400.0,400.0,400.0
low,nonoverlap,VminusR,0.19417678766411783,0.040623247617222864,0.21197617341596922,0.06670366573555236,-0.01779938575185143,0.030930245275410256,400.0,400.0,400.0
low,overlap,RminusC,0.10180770279522727,0.13242519091804036,0.04700008881039038,0.13335256949809876,0.054807613984836884,0.011745356312735277,400.0,400.0,400.0
low,overlap,VminusC,0.34424838226941773,0.09785600880831583,0.2959385949584733,0.15149567903944763,0.04830978731094445,0.053714266685163915,400.0,400.0,400.0
low,overlap,VminusR,0.24244067947419054,0.036130465617757686,0.2489385061480829,0.028766615770613173,-0.006497826673892424,0.05488968564322339,400.0,400.0,400.0
low,ALL,RminusC,-0.02044299869739917,0.10577346539070878,-0.05843649321711483,0.07725518391236774,0.03799349451971567,0.04468848809974933,400.0,400.0,400.0
low,ALL,VminusC,0.19786573487175496,0.1058826531843505,0.17202084656491123,0.12073244103056213,0.025844888306843738,0.03884777115931316,400.0,400.0,400.0
low,ALL,VminusR,0.21830873356915415,0.0030138584668896002,0.23045733978202607,0.043613272539268014,-0.01214860621287194,0.042801503159506066,400.0,400.0,400.0
