arm,checkpoint,correct,domain,family,index,interaction,margin,model,numops,option_count,split,uid,words
dose1_view,chck_80M,False,,Entity,1828,,-12.891597207635641,dose1_view_chck_80M,3,5,move_contents,move_contents_3_ops_8,80000000
dose1_view,chck_80M,False,,Entity,1838,,-13.77253849990666,dose1_view_chck_80M,3,5,move_contents,move_contents_3_ops_15,80000000
dose1_view,chck_80M,False,,Entity,1967,,-1.6784273236989975,dose1_view_chck_80M,3,5,move_contents,move_contents_3_ops_96,80000000
dose1_view,chck_80M,False,,Entity,2193,,-4.793788067996502,dose1_view_chck_80M,3,5,move_contents,move_contents_3_ops_247,80000000
dose1_view,chck_80M,False,,Entity,2345,,-1.1733552291989326,dose1_view_chck_80M,3,5,move_contents,move_contents_3_ops_351,80000000
dose1_view,chck_80M,True,,Entity,2644,,3.34906685911119,dose1_view_chck_80M,4,5,move_contents,move_contents_4_ops_143,80000000
dose1_view,chck_80M,False,,Entity,2707,,-6.250767333433032,dose1_view_chck_80M,4,5,move_contents,move_contents_4_ops_187,80000000
dose1_view,chck_80M,False,,Entity,2737,,-7.52631307579577,dose1_view_chck_80M,4,5,move_contents,move_contents_4_ops_204,80000000
dose1_view,chck_80M,True,,Entity,2801,,6.350294830743223,dose1_view_chck_80M,4,5,move_contents,move_contents_4_ops_249,80000000
dose1_view,chck_80M,False,,Entity,2860,,-0.8379871184006333,dose1_view_chck_80M,4,5,move_contents,move_contents_4_ops_289,80000000
dose1_view,chck_80M,True,,Entity,2990,,7.097173981368542,dose1_view_chck_80M,5,5,move_contents,move_contents_5_ops_28,80000000
dose1_view,chck_80M,True,,Entity,2997,,4.971196688711643,dose1_view_chck_80M,5,5,move_contents,move_contents_5_ops_33,80000000
dose1_view,chck_80M,False,,Entity,3046,,-16.23311418108642,dose1_view_chck_80M,5,5,move_contents,move_contents_5_ops_71,80000000
dose1_view,chck_80M,True,,Entity,3055,,3.658292330801487,dose1_view_chck_80M,5,5,move_contents,move_contents_5_ops_77,80000000
dose1_view,chck_80M,False,,Entity,3099,,-7.992051165550947,dose1_view_chck_80M,5,5,move_contents,move_contents_5_ops_108,80000000
dose1_view,chck_80M,False,,Entity,232,,-0.8406208176165819,dose1_view_chck_80M,0,5,regular,regular_0_ops_213,80000000
dose1_view,chck_80M,False,,Entity,291,,-2.735786449164152,dose1_view_chck_80M,0,5,regular,regular_0_ops_263,80000000
dose1_view,chck_80M,True,,Entity,350,,1.0779269207268953,dose1_view_chck_80M,0,5,regular,regular_0_ops_314,80000000
dose1_view,chck_80M,False,,Entity,363,,-5.519507873803377,dose1_view_chck_80M,0,5,regular,regular_0_ops_325,80000000
dose1_view,chck_80M,False,,Entity,418,,-4.832978971302509,dose1_view_chck_80M,0,5,regular,regular_0_ops_373,80000000
dose1_view,chck_80M,False,,Entity,696,,-10.830784127116203,dose1_view_chck_80M,1,5,regular,regular_1_ops_70,80000000
dose1_view,chck_80M,False,,Entity,712,,-0.7913903817534447,dose1_view_chck_80M,1,5,regular,regular_1_ops_81,80000000
dose1_view,chck_80M,False,,Entity,1053,,-4.20036668330431,dose1_view_chck_80M,1,5,regular,regular_1_ops_306,80000000
dose1_view,chck_80M,False,,Entity,1060,,-4.262110732495785,dose1_view_chck_80M,1,5,regular,regular_1_ops_311,80000000
dose1_view,chck_80M,False,,Entity,1177,,-7.907849686220288,dose1_view_chck_80M,1,5,regular,regular_1_ops_385,80000000
dose1_view,chck_80M,False,,Entity,1282,,-19.232894244603813,dose1_view_chck_80M,2,5,regular,regular_2_ops_58,80000000
dose1_view,chck_80M,False,,Entity,1344,,-7.88269916549325,dose1_view_chck_80M,2,5,regular,regular_2_ops_97,80000000
dose1_view,chck_80M,False,,Entity,1394,,-2.3314002342522144,dose1_view_chck_80M,2,5,regular,regular_2_ops_132,80000000
dose1_view,chck_80M,False,,Entity,1721,,-7.6124250534921885,dose1_view_chck_80M,2,5,regular,regular_2_ops_344,80000000
dose1_view,chck_80M,False,,Entity,1725,,-3.7749031130224466,dose1_view_chck_80M,2,5,regular,regular_2_ops_348,80000000
dose1_view,chck_80M,False,,Entity,1928,,-24.22828578390181,dose1_view_chck_80M,3,5,regular,regular_3_ops_78,80000000
dose1_view,chck_80M,False,,Entity,1936,,-4.515933429822326,dose1_view_chck_80M,3,5,regular,regular_3_ops_85,80000000
dose1_view,chck_80M,False,,Entity,2091,,-0.1559548992663622,dose1_view_chck_80M,3,5,regular,regular_3_ops_197,80000000
dose1_view,chck_80M,False,,Entity,2133,,-0.18263239040970802,dose1_view_chck_80M,3,5,regular,regular_3_ops_226,80000000
dose1_view,chck_80M,True,,Entity,2356,,4.272889764979482,dose1_view_chck_80M,3,5,regular,regular_3_ops_372,80000000
dose1_view,chck_80M,True,,Entity,2455,,0.3999055912718177,dose1_view_chck_80M,4,5,regular,regular_4_ops_16,80000000
dose1_view,chck_80M,False,,Entity,2615,,-8.017001047730446,dose1_view_chck_80M,4,5,regular,regular_4_ops_121,80000000
dose1_view,chck_80M,False,,Entity,2631,,-1.0651984959840775,dose1_view_chck_80M,4,5,regular,regular_4_ops_131,80000000
dose1_view,chck_80M,True,,Entity,2646,,3.633509799838066,dose1_view_chck_80M,4,5,regular,regular_4_ops_143,80000000
dose1_view,chck_80M,True,,Entity,2879,,1.166786041110754,dose1_view_chck_80M,4,5,regular,regular_4_ops_300,80000000
dose1_view,chck_80M,False,,Entity,3027,,-2.938345216214657,dose1_view_chck_80M,5,5,regular,regular_5_ops_18,80000000
dose1_view,chck_80M,False,,Entity,3116,,-5.422865986824036,dose1_view_chck_80M,5,5,regular,regular_5_ops_75,80000000
dose1_view,chck_80M,False,,Entity,3126,,-5.995166949927807,dose1_view_chck_80M,5,5,regular,regular_5_ops_82,80000000
dose1_view,chck_80M,False,,Entity,3132,,-4.514397509396076,dose1_view_chck_80M,5,5,regular,regular_5_ops_86,80000000
dose1_view,chck_80M,True,,Entity,3149,,1.7795563042163849,dose1_view_chck_80M,5,5,regular,regular_5_ops_93,80000000
dose1_repeat,chck_80M,False,agent-properties,EWoK,89,0.4324175080982968,-0.485504187643528,dose1_repeat_chck_80M,,,,agent-properties_89,80000000
dose1_repeat,chck_80M,True,agent-properties,EWoK,421,9.566241819411516,2.9659538473933935,dose1_repeat_chck_80M,,,,agent-properties_421,80000000
dose1_repeat,chck_80M,False,agent-properties,EWoK,809,-0.44674264872446656,-0.9416148071177304,dose1_repeat_chck_80M,,,,agent-properties_809,80000000
dose1_repeat,chck_80M,True,agent-properties,EWoK,1406,15.197260558139533,10.042966157197952,dose1_repeat_chck_80M,,,,agent-properties_1406,80000000
dose1_repeat,chck_80M,False,agent-properties,EWoK,1821,-54.05898564425297,-28.142522963229567,dose1_repeat_chck_80M,,,,agent-properties_1821,80000000
dose1_repeat,chck_80M,False,material-dynamics,EWoK,10,4.187281250953674,-0.15134704113006592,dose1_repeat_chck_80M,,,,material-dynamics_10,80000000
dose1_repeat,chck_80M,True,material-dynamics,EWoK,37,1.03277188539505,2.8210976123809814,dose1_repeat_chck_80M,,,,material-dynamics_37,80000000
dose1_repeat,chck_80M,False,material-dynamics,EWoK,480,-3.8110158443450928,-3.941179394721985,dose1_repeat_chck_80M,,,,material-dynamics_480,80000000
dose1_repeat,chck_80M,False,material-dynamics,EWoK,567,-2.5436068773269653,-0.5075007677078247,dose1_repeat_chck_80M,,,,material-dynamics_567,80000000
dose1_repeat,chck_80M,True,material-dynamics,EWoK,643,1.0348358927294612,1.0325077641755342,dose1_repeat_chck_80M,,,,material-dynamics_643,80000000
dose1_repeat,chck_80M,True,material-properties,EWoK,0,-1.139614850282669,0.40432263910770416,dose1_repeat_chck_80M,,,,material-properties_0,80000000
dose1_repeat,chck_80M,False,material-properties,EWoK,59,1.2533545941114426,-0.026835214346647263,dose1_repeat_chck_80M,,,,material-properties_59,80000000
dose1_repeat,chck_80M,True,material-properties,EWoK,145,-1.1198979616165161,1.210730567574501,dose1_repeat_chck_80M,,,,material-properties_145,80000000
dose1_repeat,chck_80M,False,material-properties,EWoK,149,-2.254676967859268,-0.41475022211670876,dose1_repeat_chck_80M,,,,material-properties_149,80000000
