alpha,context_mode,group,n,joint,gated_frac,a_correct,b_correct,both_wrong,a_acc,b_acc,mean_joint_min_margin
0.0,no_context,weak_or_location_separable,86,4,0.046511627906976744,54,34,2,0.627906976744186,0.3953488372093023,-1.8166276186990051
0.25,full_context,all_pairs,200,15,0.075,72,141,2,0.36,0.705,-1.5176059822851062
0.25,full_context,answer_overlap_ge0p25,5,1,0.2,1,4,1,0.2,0.8,-0.3861765738293511
0.25,full_context,answer_overlap_lt0p25,195,14,0.07179487179487179,71,137,1,0.3641025641025641,0.7025641025641025,-1.5466169927583309
0.25,full_context,both_entities_in_source,115,8,0.06956521739130435,42,79,2,0.3652173913043478,0.6869565217391305,-1.5069214065090448
0.25,full_context,genuine_both_source_low_answer_overlap,114,8,0.07017543859649122,42,79,1,0.3684210526315789,0.6929824561403509,-1.519810556712366
0.25,full_context,not_both_entities_in_source,85,7,0.08235294117647059,30,62,0,0.35294117647058826,0.7294117647058823,-1.53206158480566
0.25,full_context,position_ambiguous,11,1,0.09090909090909091,2,10,0,0.18181818181818182,0.9090909090909091,-1.2702772285896358
0.25,full_context,position_unchanged_first,160,10,0.0625,58,110,2,0.3625,0.6875,-1.612683460507366
0.25,full_context,position_updated_first,29,4,0.13793103448275862,12,21,0,0.41379310344827586,0.7241379310344828,-1.0868549400467822
0.25,full_context,updated_entity_in_source,119,9,0.07563025210084033,43,83,2,0.36134453781512604,0.6974789915966386,-1.4911162647623724
0.25,full_context,updated_entity_not_in_source,81,6,0.07407407407407407,29,58,0,0.35802469135802467,0.7160493827160493,-1.5565229746950486
0.25,full_context,weak_or_location_separable,86,7,0.08139534883720931,30,62,1,0.3488372093023256,0.7209302325581395,-1.5146836394396685
0.25,no_context,all_pairs,200,17,0.085,131,79,7,0.655,0.395,-1.8395456069707816
0.25,no_context,answer_overlap_ge0p25,5,1,0.2,4,2,0,0.8,0.4,-1.772891318246811
0.25,no_context,answer_overlap_lt0p25,195,16,0.08205128205128205,127,77,7,0.6512820512820513,0.39487179487179486,-1.8412546912970373
0.25,no_context,both_entities_in_source,115,8,0.06956521739130435,77,45,1,0.6695652173913044,0.391304347826087,-1.9247984974409624
0.25,no_context,genuine_both_source_low_answer_overlap,114,7,0.06140350877192982,76,44,1,0.6666666666666666,0.38596491228070173,-1.943960647282065
0.25,no_context,not_both_entities_in_source,85,9,0.10588235294117647,54,34,6,0.6352941176470588,0.4,-1.724203461040537
0.25,no_context,position_ambiguous,11,0,0.0,5,5,1,0.45454545454545453,0.45454545454545453,-1.308191734280407
0.25,no_context,position_unchanged_first,160,15,0.09375,108,62,5,0.675,0.3875,-1.8712199480846887
0.25,no_context,position_updated_first,29,2,0.06896551724137931,18,12,1,0.6206896551724138,0.41379310344827586,-1.866338642190402
0.25,no_context,updated_entity_in_source,119,8,0.06722689075630252,79,47,1,0.6638655462184874,0.3949579831932773,-1.9166238467319425
0.25,no_context,updated_entity_not_in_source,81,9,0.1111111111111111,52,32,6,0.6419753086419753,0.3950617283950617,-1.7263072053463602
0.25,no_context,weak_or_location_separable,86,10,0.11627906976744186,55,35,6,0.6395348837209303,0.4069767441860465,-1.701134972139546
0.5,full_context,all_pairs,200,46,0.23,88,158,0,0.44,0.79,-1.2835790609564859
0.5,full_context,answer_overlap_ge0p25,5,1,0.2,2,4,0,0.4,0.8,-0.09443905065645505
0.5,full_context,answer_overlap_lt0p25,195,45,0.23076923076923078,86,154,0,0.441025641025641,0.7897435897435897,-1.3140698304513587
0.5,full_context,both_entities_in_source,115,22,0.19130434782608696,51,86,0,0.4434782608695652,0.7478260869565218,-1.328747050253963
0.5,full_context,genuine_both_source_low_answer_overlap,114,22,0.19298245614035087,50,86,0,0.43859649122807015,0.7543859649122807,-1.3392586454268112
0.5,full_context,not_both_entities_in_source,85,24,0.2823529411764706,37,72,0,0.43529411764705883,0.8470588235294118,-1.2224694283775468
0.5,full_context,position_ambiguous,11,1,0.09090909090909091,2,10,0,0.18181818181818182,0.9090909090909091,-1.6969983386543357
0.5,full_context,position_unchanged_first,160,40,0.25,75,125,0,0.46875,0.78125,-1.2581922076023493
0.5,full_context,position_updated_first,29,5,0.1724137931034483,11,23,0,0.3793103448275862,0.7931034482758621,-1.2668302499904691
0.5,full_context,updated_entity_in_source,119,23,0.19327731092436976,52,90,0,0.4369747899159664,0.7563025210084033,-1.3482665449135771
0.5,full_context,updated_entity_not_in_source,81,23,0.2839506172839506,36,68,0,0.4444444444444444,0.8395061728395061,-1.1885443623034757
0.5,full_context,weak_or_location_separable,86,24,0.27906976744186046,38,72,0,0.4418604651162791,0.8372093023255814,-1.2097712396818692
0.5,no_context,all_pairs,200,10,0.05,125,78,7,0.625,0.39,-1.8105423963599867
0.5,no_context,answer_overlap_ge0p25,5,1,0.2,4,2,0,0.8,0.4,-1.5929475659948018
0.5,no_context,answer_overlap_lt0p25,195,9,0.046153846153846156,121,76,7,0.6205128205128205,0.38974358974358975,-1.816121750984735
0.5,no_context,both_entities_in_source,115,8,0.06956521739130435,71,47,5,0.6173913043478261,0.40869565217391307,-1.8471019508076876
0.5,no_context,genuine_both_source_low_answer_overlap,114,7,0.06140350877192982,70,46,5,0.6140350877192983,0.40350877192982454,-1.8689109836419113
0.5,no_context,not_both_entities_in_source,85,2,0.023529411764705882,54,31,2,0.6352941176470588,0.36470588235294116,-1.7610794697542738
0.5,no_context,position_ambiguous,11,0,0.0,6,5,0,0.5454545454545454,0.45454545454545453,-1.4919930128940115
0.5,no_context,position_unchanged_first,160,9,0.05625,104,61,4,0.65,0.38125,-1.8161261961338888
0.5,no_context,position_updated_first,29,1,0.034482758620689655,15,12,3,0.5172413793103449,0.41379310344827586,-1.9005643016807248
0.5,no_context,updated_entity_in_source,119,8,0.06722689075630252,73,49,5,0.6134453781512605,0.4117647058823529,-1.844680807841926
0.5,no_context,updated_entity_not_in_source,81,2,0.024691358024691357,52,29,2,0.6419753086419753,0.35802469135802467,-1.7603884338124463
0.5,no_context,weak_or_location_separable,86,3,0.03488372093023256,55,32,2,0.6395348837209303,0.37209302325581395,-1.7331700829862726
0.75,full_context,all_pairs,200,83,0.415,104,179,0,0.52,0.895,-0.6374626535206331
0.75,full_context,answer_overlap_ge0p25,5,1,0.2,2,4,0,0.4,0.8,0.0461835483008153
0.75,full_context,answer_overlap_lt0p25,195,82,0.4205128205128205,102,175,0,0.5230769230769231,0.8974358974358975,-0.6549920433109266
0.75,full_context,both_entities_in_source,115,45,0.391304347826087,58,102,0,0.5043478260869565,0.8869565217391304,-0.5917403264881022
0.75,full_context,genuine_both_source_low_answer_overlap,114,45,0.39473684210526316,57,102,0,0.5,0.8947368421052632,-0.5951260781356517
0.75,full_context,not_both_entities_in_source,85,38,0.4470588235294118,46,77,0,0.5411764705882353,0.9058823529411765,-0.6993222724469984
0.75,full_context,position_ambiguous,11,2,0.18181818181818182,2,11,0,0.18181818181818182,1.0,-2.1720341057855435
0.75,full_context,position_unchanged_first,160,72,0.45,92,140,0,0.575,0.875,-0.43637393430681665
0.75,full_context,position_updated_first,29,9,0.3103448275862069,10,28,0,0.3448275862068966,0.9655172413793104,-1.1648388293584473
0.75,full_context,updated_entity_in_source,119,46,0.3865546218487395,59,106,0,0.4957983193277311,0.8907563025210085,-0.6731716262985579
0.75,full_context,updated_entity_not_in_source,81,37,0.4567901234567901,45,73,0,0.5555555555555556,0.9012345679012346,-0.5850013231431879
0.75,full_context,weak_or_location_separable,86,38,0.4418604651162791,47,77,0,0.5465116279069767,0.8953488372093024,-0.693583230193748
0.75,no_context,all_pairs,200,13,0.065,115,86,12,0.575,0.43,-1.7326835950354194
0.75,no_context,answer_overlap_ge0p25,5,1,0.2,4,2,0,0.8,0.4,-1.1939437139885765
0.75,no_context,answer_overlap_lt0p25,195,12,0.06153846153846154,111,84,12,0.5692307692307692,0.4307692307692308,-1.7464974381391847
0.75,no_context,both_entities_in_source,115,8,0.06956521739130435,66,50,7,0.5739130434782609,0.43478260869565216,-1.726415106708318
0.75,no_context,genuine_both_source_low_answer_overlap,114,7,0.06140350877192982,65,49,7,0.5701754385964912,0.4298245614035088,-1.749830507175691
0.75,no_context,not_both_entities_in_source,85,5,0.058823529411764705,49,36,5,0.5764705882352941,0.4235294117647059,-1.7411644910073807
0.75,no_context,position_ambiguous,11,0,0.0,5,5,1,0.45454545454545453,0.45454545454545453,-1.3279255078313819
0.75,no_context,position_unchanged_first,160,12,0.075,95,68,9,0.59375,0.425,-1.7418839710729888
0.75,no_context,position_updated_first,29,1,0.034482758620689655,15,13,2,0.5172413793103449,0.4482758620689655,-1.8354518292848452
0.75,no_context,updated_entity_in_source,119,8,0.06722689075630252,68,52,7,0.5714285714285714,0.4369747899159664,-1.7068785608340196
0.75,no_context,updated_entity_not_in_source,81,5,0.06172839506172839,47,34,5,0.5802469135802469,0.41975308641975306,-1.770594694664637
0.75,no_context,weak_or_location_separable,86,6,0.06976744186046512,50,37,5,0.5813953488372093,0.43023255813953487,-1.7099539673145947
1.0,full_context,all_pairs,200,92,0.46,106,184,2,0.53,0.92,-0.17614507158181175
1.0,full_context,answer_overlap_ge0p25,5,1,0.2,2,4,0,0.4,0.8,-0.8397876245218019
1.0,full_context,answer_overlap_lt0p25,195,91,0.4666666666666667,104,180,2,0.5333333333333333,0.9230769230769231,-0.15912859586540176
1.0,full_context,both_entities_in_source,115,50,0.43478260869565216,60,103,2,0.5217391304347826,0.8956521739130435,-0.17893558974798088
1.0,full_context,genuine_both_source_low_answer_overlap,114,50,0.43859649122807015,59,103,2,0.5175438596491229,0.9035087719298246,-0.1666427863909021
1.0,full_context,not_both_entities_in_source,85,42,0.49411764705882355,46,81,0,0.5411764705882353,0.9529411764705882,-0.17236966465111236
1.0,full_context,position_ambiguous,11,4,0.36363636363636365,4,11,0,0.36363636363636365,1.0,-1.3845705166101023
1.0,full_context,position_unchanged_first,160,77,0.48125,88,147,2,0.55,0.91875,0.00043000669260104404
1.0,full_context,position_updated_first,29,11,0.3793103448275862,14,26,0,0.4827586206896552,0.896551724137931,-0.6919841277402551
1.0,full_context,updated_entity_in_source,119,51,0.42857142857142855,61,107,2,0.5126050420168067,0.8991596638655462,-0.23740448001247638
1.0,full_context,updated_entity_not_in_source,81,41,0.5061728395061729,45,77,0,0.5555555555555556,0.9506172839506173,-0.08614668141824282
1.0,full_context,weak_or_location_separable,86,42,0.4883720930232558,47,81,0,0.5465116279069767,0.9418604651162791,-0.18874112404418042
1.0,no_context,all_pairs,200,21,0.105,118,94,9,0.59,0.47,-1.623280972141123
1.0,no_context,answer_overlap_ge0p25,5,2,0.4,4,3,0,0.8,0.6,-0.9034190382205306
1.0,no_context,answer_overlap_lt0p25,195,19,0.09743589743589744,114,91,9,0.5846153846153846,0.4666666666666667,-1.6417389704467793
1.0,no_context,both_entities_in_source,115,13,0.11304347826086956,70,55,3,0.6086956521739131,0.4782608695652174,-1.5926302823387803
1.0,no_context,genuine_both_source_low_answer_overlap,114,12,0.10526315789473684,69,54,3,0.6052631578947368,0.47368421052631576,-1.6125254416943036
1.0,no_context,not_both_entities_in_source,85,8,0.09411764705882353,48,39,6,0.5647058823529412,0.4588235294117647,-1.6647495524619398
1.0,no_context,position_ambiguous,11,1,0.09090909090909091,6,5,1,0.5454545454545454,0.45454545454545453,-1.1454034185227853
1.0,no_context,position_unchanged_first,160,19,0.11875,97,75,7,0.60625,0.46875,-1.6341613349425212
1.0,no_context,position_updated_first,29,1,0.034482758620689655,15,14,1,0.5172413793103449,0.4827586206896552,-1.7445152839196743
1.0,no_context,updated_entity_in_source,119,13,0.1092436974789916,72,57,3,0.6050420168067226,0.4789915966386555,-1.5584681194135959
1.0,no_context,updated_entity_not_in_source,81,8,0.09876543209876543,46,37,6,0.5679012345679012,0.4567901234567901,-1.7184998545432926
1.0,no_context,weak_or_location_separable,86,9,0.10465116279069768,49,40,6,0.5697674418604651,0.46511627906976744,-1.637538303198535
1.25,full_context,all_pairs,200,84,0.42,107,176,1,0.535,0.88,-0.3687764377721314
1.25,full_context,answer_overlap_ge0p25,5,1,0.2,2,4,0,0.4,0.8,-1.1519731095078445
1.25,full_context,answer_overlap_lt0p25,195,83,0.4256410256410256,105,172,1,0.5384615384615384,0.882051282051282,-0.3486944718301901
1.25,full_context,both_entities_in_source,115,46,0.4,60,101,0,0.5217391304347826,0.8782608695652174,-0.47969556888689396
1.25,full_context,genuine_both_source_low_answer_overlap,114,46,0.40350877192982454,59,101,0,0.5175438596491229,0.8859649122807017,-0.46914560964853674
1.25,full_context,not_both_entities_in_source,85,38,0.4470588235294118,47,75,1,0.5529411764705883,0.8823529411764706,-0.2187093780286293
1.25,full_context,position_ambiguous,11,3,0.2727272727272727,4,10,0,0.36363636363636365,0.9090909090909091,-1.2453933121325214
1.25,full_context,position_unchanged_first,160,71,0.44375,89,141,1,0.55625,0.88125,-0.19544506119726446
1.25,full_context,position_updated_first,29,10,0.3448275862068966,14,25,0,0.4827586206896552,0.8620689655172413,-0.9925776320484914
1.25,full_context,updated_entity_in_source,119,48,0.40336134453781514,62,105,0,0.5210084033613446,0.8823529411764706,-0.49690930103678926
1.25,full_context,updated_entity_not_in_source,81,36,0.4444444444444444,45,71,1,0.5555555555555556,0.8765432098765432,-0.1805318608771404
1.25,full_context,weak_or_location_separable,86,38,0.4418604651162791,48,75,1,0.5581395348837209,0.872093023255814,-0.2357289308661989
1.25,no_context,all_pairs,200,15,0.075,109,92,14,0.545,0.46,-1.5619595366017671
1.25,no_context,answer_overlap_ge0p25,5,1,0.2,3,3,0,0.6,0.6,-0.6796175338895545
1.25,no_context,answer_overlap_lt0p25,195,14,0.07179487179487179,106,89,14,0.5435897435897435,0.4564102564102564,-1.5845836905174646
1.25,no_context,both_entities_in_source,115,11,0.09565217391304348,63,55,8,0.5478260869565217,0.4782608695652174,-1.5429446720129631
1.25,no_context,genuine_both_source_low_answer_overlap,114,10,0.08771929824561403,62,54,8,0.543859649122807,0.47368421052631576,-1.5624418632244628
1.25,no_context,not_both_entities_in_source,85,4,0.047058823529411764,46,37,6,0.5411764705882353,0.43529411764705883,-1.587685529868972
1.25,no_context,position_ambiguous,11,2,0.18181818181818182,6,6,1,0.5454545454545454,0.5454545454545454,-1.1550613262513822
1.25,no_context,position_unchanged_first,160,11,0.06875,89,70,12,0.55625,0.4375,-1.549816404044227
1.25,no_context,position_updated_first,29,2,0.06896551724137931,14,16,1,0.4827586206896552,0.5517241379310345,-1.7832968305004089
1.25,no_context,updated_entity_in_source,119,12,0.10084033613445378,66,57,8,0.5546218487394958,0.4789915966386555,-1.5104652944010606
1.25,no_context,updated_entity_not_in_source,81,3,0.037037037037037035,43,35,6,0.5308641975308642,0.43209876543209874,-1.6376115714398418
1.25,no_context,weak_or_location_separable,86,5,0.05813953488372093,47,38,6,0.5465116279069767,0.4418604651162791,-1.56132017340424
