role,seed,pair_id,overlap_bin,token_class,n_checkpoints,n_targets,gain_T_vs_U,gain_T_vs_N,gain_U_vs_N
C,43022,wikilarge_01d0a0c7c5a04adafc96,medium,overlap,3,1.0,3.519016683101654,3.6557616591453552,0.13674497604370117
C,43022,wikilarge_01deb315f61ee218a026,low,nonoverlap,3,2.0,0.9903333981831869,0.7738932768503824,-0.21644012133280435
C,43022,wikilarge_01deb315f61ee218a026,low,overlap,3,1.0,1.196717898050944,1.9851895968119304,0.7884716987609863
C,43022,wikilarge_021295bbacea698397ba,low,nonoverlap,3,2.0,0.7174417972564697,0.6407637198766073,-0.07667807737986247
C,43022,wikilarge_021295bbacea698397ba,low,overlap,3,1.0,-0.28073469797770184,-0.9579251607259115,-0.6771904627482096
C,43022,wikilarge_0245cd311ae74fa40bbd,medium,nonoverlap,3,2.0,-3.2439903219540915,-3.170500079790751,0.07349024216334026
C,43022,wikilarge_0245cd311ae74fa40bbd,medium,overlap,3,1.0,2.949798732995987,2.992662181456884,0.04286344846089681
C,43022,wikilarge_025d7f3375e0e8db9d4b,medium,nonoverlap,3,2.0,1.3932125171025593,1.1724313894907634,-0.22078112761179605
C,43022,wikilarge_025d7f3375e0e8db9d4b,medium,overlap,3,1.0,5.138161501536767,4.654504141459863,-0.4836573600769043
C,43022,wikilarge_02608c33926d43278a7a,low,nonoverlap,3,2.0,-0.3157766858736674,-0.8810334006945292,-0.5652567148208618
C,43022,wikilarge_02608c33926d43278a7a,low,overlap,3,1.0,0.44510618845621747,0.4028133551279704,-0.04229283332824707
C,43022,wikilarge_028161d957f2e275df66,medium,nonoverlap,3,2.0,-0.25303134818871814,0.004160257366796334,0.2571916055555145
C,43022,wikilarge_028161d957f2e275df66,medium,overlap,3,1.0,5.26077597339948,5.134979655345281,-0.12579631805419922
C,43022,wikilarge_02ac3e9ff647afbc89fa,medium,nonoverlap,3,2.0,-3.024854222933451,-3.6976852416992188,-0.6728310187657675
C,43022,wikilarge_02ac3e9ff647afbc89fa,medium,overlap,3,1.0,11.656367818514505,10.688886841138205,-0.9674809773763021
C,43022,wikilarge_032b5128576efdfe09ff,medium,nonoverlap,3,2.0,0.22700882951418558,0.5205407639344534,0.29353193442026776
C,43022,wikilarge_032b5128576efdfe09ff,medium,overlap,3,1.0,8.734594263136387,8.862221317986647,0.1276270548502604
C,43022,wikilarge_0348af3f28368f351953,low,nonoverlap,3,2.0,-0.40948279698689777,-0.17890421549479166,0.2305785814921061
C,43022,wikilarge_0348af3f28368f351953,low,overlap,3,1.0,9.841159912447134,7.07122652977705,-2.7699333826700845
C,43022,wikilarge_039d146fba4f38d43db8,high,nonoverlap,3,2.0,1.090529094139735,1.0409675190846126,-0.049561575055122375
C,43022,wikilarge_039d146fba4f38d43db8,high,overlap,3,1.0,3.2017560551563897,2.920695518453916,-0.28106053670247394
C,43022,wikilarge_03eb30cd994801d8f163,low,nonoverlap,3,2.0,1.5267677903175354,1.2766939600308735,-0.2500738302866618
C,43022,wikilarge_03eb30cd994801d8f163,low,overlap,3,1.0,0.8823797106742859,0.7066743969917297,-0.17570531368255615
C,43022,wikilarge_03f7885168cad27e61c7,medium,nonoverlap,3,2.0,-0.5121426582336426,-0.21613862117131552,0.2960040370623271
C,43022,wikilarge_03f7885168cad27e61c7,medium,overlap,3,1.0,1.5756455026566982,2.4958164455989995,0.9201709429423014
C,43022,wikilarge_044412403dd9a49a4c05,high,nonoverlap,3,2.0,-0.33602548638979596,-1.5878644287586212,-1.2518389423688252
C,43022,wikilarge_044412403dd9a49a4c05,high,overlap,3,1.0,7.604717910289764,7.623474458853404,0.018756548563639324
C,43022,wikilarge_0469802d93facfc0e4a0,low,nonoverlap,3,2.0,0.3298008441925049,0.12594779332478842,-0.20385305086771646
C,43022,wikilarge_0469802d93facfc0e4a0,low,overlap,3,1.0,0.8855185583233833,1.0749653254946072,0.18944676717122397
C,43022,wikilarge_04ccb679b5e877ff63b7,medium,nonoverlap,3,2.0,3.3923935294151306,4.179339190324147,0.786945660909017
C,43022,wikilarge_04ccb679b5e877ff63b7,medium,overlap,3,1.0,2.6607820000499487,2.438623965407411,-0.22215803464253744
C,43022,wikilarge_04f79f60b863b4b10408,medium,nonoverlap,3,2.0,-0.423720916112264,0.42828909556070965,0.8520100116729736
C,43022,wikilarge_04f79f60b863b4b10408,medium,overlap,3,1.0,6.7760581734279794,7.090255077928305,0.3141969045003255
C,43022,wikilarge_05645f9b18529a59b12c,low,nonoverlap,3,2.0,0.2500751813252767,-0.5550866921742758,-0.8051618734995524
C,43022,wikilarge_05645f9b18529a59b12c,low,overlap,3,1.0,7.090048164129257,7.512099593877792,0.42205142974853516
C,43022,wikilarge_058fa5bc423b9c54120e,high,nonoverlap,3,2.0,-3.1190849939982095,-2.6849962075551352,0.4340887864430745
C,43022,wikilarge_058fa5bc423b9c54120e,high,overlap,3,1.0,12.514559571941694,13.608441496888796,1.0938819249471028
C,43022,wikilarge_05bac544cf85059f8c41,high,nonoverlap,3,2.0,1.7781898975372314,1.6237623691558838,-0.15442752838134766
C,43022,wikilarge_05bac544cf85059f8c41,high,overlap,3,1.0,6.160837481419246,6.595406204462051,0.43456872304280597
C,43022,wikilarge_05bc3de2b05690677cfc,medium,nonoverlap,3,2.0,1.65719469388326,0.9162743091583252,-0.7409203847249349
C,43022,wikilarge_05bc3de2b05690677cfc,medium,overlap,3,1.0,7.594113826751709,8.305551052093506,0.7114372253417969
C,43022,wikilarge_05d4fcf486d84e919915,medium,nonoverlap,3,2.0,0.7342827121416727,-0.19135934114456177,-0.9256420532862345
C,43022,wikilarge_05d4fcf486d84e919915,medium,overlap,3,1.0,5.270483409365018,5.931343312064807,0.6608599026997884
C,43022,wikilarge_05e882dd67db2495f2db,high,nonoverlap,3,2.0,-1.7268458207448323,-1.813421646753947,-0.08657582600911458
C,43022,wikilarge_05e882dd67db2495f2db,high,overlap,3,1.0,1.8226218322912853,2.59520360827446,0.7725817759831747
C,43022,wikilarge_064aa0978f99c333e008,low,nonoverlap,3,2.0,0.49202877283096313,0.8494781057039896,0.35744933287302655
C,43022,wikilarge_064aa0978f99c333e008,low,overlap,3,1.0,-0.005068781475226085,0.019187822937965393,0.02425660441319148
C,43022,wikilarge_0717af2878f88427f58d,medium,nonoverlap,3,2.0,-1.3604795535405476,-1.3805335362752278,-0.020053982734680176
C,43022,wikilarge_0717af2878f88427f58d,medium,overlap,3,1.0,7.942466872433822,4.997332868476708,-2.945134003957113
C,43022,wikilarge_0729e6faeba92f172f6d,medium,nonoverlap,3,2.0,1.0256263812383015,0.49682676792144775,-0.5287996133168539
C,43022,wikilarge_0729e6faeba92f172f6d,medium,overlap,3,1.0,9.614802797635397,7.735193371772766,-1.8796094258626301
C,43022,wikilarge_07352487ce7baa103ca1,medium,nonoverlap,3,2.0,1.6604422728220622,1.8128952980041504,0.15245302518208823
C,43022,wikilarge_07352487ce7baa103ca1,medium,overlap,3,1.0,3.645938682059447,2.7678410684069,-0.8780976136525472
C,43022,wikilarge_07363caf55a579bb49b7,high,nonoverlap,3,2.0,0.03636546929677328,-0.320992906888326,-0.3573583761850993
C,43022,wikilarge_07363caf55a579bb49b7,high,overlap,3,1.0,11.749312589565912,12.511717985073725,0.7624053955078125
C,43022,wikilarge_07665f4f69a08f7583b3,high,nonoverlap,3,2.0,-0.1685032844543457,0.2943872610727946,0.4628905455271403
C,43022,wikilarge_07665f4f69a08f7583b3,high,overlap,3,1.0,2.1530719132473073,1.8295769225805998,-0.32349499066670734
C,43022,wikilarge_07673aab5c8a8bc2f00c,high,nonoverlap,3,2.0,-0.4775308221578598,-0.9013498624165853,-0.42381904025872547
C,43022,wikilarge_07673aab5c8a8bc2f00c,high,overlap,3,1.0,7.947031622131665,8.155309960246086,0.20827833811442056
C,43022,wikilarge_07812864dfdd37334323,medium,nonoverlap,3,2.0,1.7385011116663616,1.1069363355636597,-0.6315647761027018
C,43022,wikilarge_07812864dfdd37334323,medium,overlap,3,1.0,5.470414139330387,5.486063775916894,0.01564963658650716
C,43022,wikilarge_079efdbb35485aa05009,high,nonoverlap,3,2.0,2.5118085543314614,2.5167309840520224,0.00492242972056071
C,43022,wikilarge_079efdbb35485aa05009,high,overlap,3,1.0,3.956025299926599,4.424203731119633,0.4681784311930339
C,43022,wikilarge_07bc0a1adefcc7f2a320,medium,nonoverlap,3,2.0,-0.1840051015218099,0.365813414255778,0.5498185157775879
C,43022,wikilarge_07bc0a1adefcc7f2a320,medium,overlap,3,1.0,2.776291857163111,2.2081083556016288,-0.5681835015614828
C,43022,wikilarge_07e09b9434664f675455,medium,nonoverlap,3,2.0,0.4916059176127116,0.10472671190897624,-0.38687920570373535
C,43022,wikilarge_07e09b9434664f675455,medium,overlap,3,1.0,6.297641980772217,5.875843910500407,-0.4217980702718099
C,43022,wikilarge_0831a23d7c19f6477843,low,nonoverlap,3,2.0,1.2749110857645671,1.0019259452819824,-0.27298514048258465
C,43022,wikilarge_0831a23d7c19f6477843,low,overlap,3,1.0,9.027518062541882,6.386350103964408,-2.641167958577474
C,43022,wikilarge_083afe8ff7188031a3a0,medium,nonoverlap,3,2.0,-0.4008717139561971,-0.21160467465718588,0.18926703929901123
C,43022,wikilarge_083afe8ff7188031a3a0,medium,overlap,3,1.0,10.5756334066391,9.930638670921326,-0.6449947357177734
C,43022,wikilarge_085eaa08bb9680ac78e5,high,nonoverlap,3,2.0,-0.18748076756795248,0.2375029722849528,0.4249837398529053
C,43022,wikilarge_085eaa08bb9680ac78e5,high,overlap,3,1.0,6.873180598020554,7.229353159666061,0.3561725616455078
C,43022,wikilarge_0897c6ac58737ebc7d05,medium,nonoverlap,3,2.0,-1.2931764125823975,-1.2015426953633626,0.09163371721903484
C,43022,wikilarge_0897c6ac58737ebc7d05,medium,overlap,3,1.0,7.106685638427734,7.691216468811035,0.5845308303833008
C,43022,wikilarge_08af6d171eb07072d9ff,high,nonoverlap,3,2.0,-1.0068989594777424,-1.199604590733846,-0.19270563125610352
C,43022,wikilarge_08af6d171eb07072d9ff,high,overlap,3,1.0,0.48737458139657974,0.6334482605258623,0.14607367912928262
C,43022,wikilarge_091704c7fbd60ab88a99,low,nonoverlap,3,2.0,-0.3886544704437256,-0.10781121253967285,0.28084325790405273
C,43022,wikilarge_091704c7fbd60ab88a99,low,overlap,3,1.0,5.107271651426951,4.7711025675137835,-0.3361690839131673
C,43022,wikilarge_0934b20ac81209b866d9,low,nonoverlap,3,2.0,-0.5711352030436198,-0.23144904772440592,0.33968615531921387
C,43022,wikilarge_0934b20ac81209b866d9,low,overlap,3,1.0,3.1129687627156577,1.5475921630859375,-1.56537659962972
C,43022,wikilarge_09aac278e4e6c1de5c69,medium,nonoverlap,3,2.0,-0.5242435932159424,-1.3217926025390625,-0.7975490093231201
C,43022,wikilarge_09aac278e4e6c1de5c69,medium,overlap,3,1.0,4.954694513231516,6.864986184984446,1.9102916717529297
C,43022,wikilarge_09cf69380914124d2b47,medium,nonoverlap,3,2.0,2.1103749672571817,0.2063574194908142,-1.9040175477663677
C,43022,wikilarge_09cf69380914124d2b47,medium,overlap,3,1.0,5.469097743431727,5.666381965080897,0.19728422164916992
C,43022,wikilarge_09d6985aa1a1d6cb13c5,medium,nonoverlap,3,2.0,-0.8738540808359782,-0.8068753083546957,0.06697877248128255
C,43022,wikilarge_09d6985aa1a1d6cb13c5,medium,overlap,3,1.0,8.620726143320402,9.290347928802172,0.6696217854817709
C,43022,wikilarge_0a8dcad5f5fcdcb3a5e4,low,nonoverlap,3,2.0,0.6765652696291605,0.7354508638381958,0.05888559420903524
C,43022,wikilarge_0a8dcad5f5fcdcb3a5e4,low,overlap,3,1.0,-0.5991834004720052,-0.33435948689778644,0.26482391357421875
C,43022,wikilarge_0aa591c12df56feb144f,medium,nonoverlap,3,2.0,-0.5925352176030477,-0.0763670802116394,0.5161681373914083
C,43022,wikilarge_0aa591c12df56feb144f,medium,overlap,3,1.0,6.8160598662992316,6.061190246293942,-0.7548696200052897
C,43022,wikilarge_0ad4c309d27e4a0aa9a6,high,nonoverlap,3,2.0,1.2050986289978027,1.138091007868449,-0.06700762112935384
C,43022,wikilarge_0ad4c309d27e4a0aa9a6,high,overlap,3,1.0,0.6232282333076,0.88087223097682,0.25764399766921997
C,43022,wikilarge_0aedb093852e55a577c5,medium,nonoverlap,3,2.0,1.485830436150233,1.4104935824871063,-0.07533685366312663
C,43022,wikilarge_0aedb093852e55a577c5,medium,overlap,3,1.0,4.566221793259804,3.6907608506735414,-0.8754609425862631
C,43022,wikilarge_0b82a960d307f2caf749,high,nonoverlap,3,2.0,-2.6803133487701416,-2.650755246480306,0.029558102289835613
C,43022,wikilarge_0b82a960d307f2caf749,high,overlap,3,1.0,4.338075838983059,3.8232874497771263,-0.5147883892059326
C,43022,wikilarge_0c9902af667a9db27096,high,nonoverlap,3,2.0,-2.832863132158915,-2.8836551109949746,-0.05079197883605957
C,43022,wikilarge_0c9902af667a9db27096,high,overlap,3,1.0,4.0972336406509084,3.5428224677840867,-0.5544111728668213
C,43022,wikilarge_0cc7d19b4b422bd4bad2,high,nonoverlap,3,2.0,-0.18353978792826334,-0.03479806582132975,0.1487417221069336
C,43022,wikilarge_0cc7d19b4b422bd4bad2,high,overlap,3,1.0,1.5049845278263092,1.643216480811437,0.13823195298512778
C,43022,wikilarge_0cd1bd40d1e34592e571,medium,nonoverlap,3,2.0,-0.8335792422294617,-0.8815091848373413,-0.04792994260787964
C,43022,wikilarge_0cd1bd40d1e34592e571,medium,overlap,3,1.0,11.506975948810577,12.01745460430781,0.510478655497233
C,43022,wikilarge_0cdf23ac731791d57a02,medium,nonoverlap,3,2.0,-0.5402712027231852,-0.31627925237019855,0.22399195035298666
C,43022,wikilarge_0cdf23ac731791d57a02,medium,overlap,3,1.0,7.651532222827275,7.455242842435837,-0.1962893803914388
C,43022,wikilarge_0d0086d6fb2d65b544a1,medium,nonoverlap,3,2.0,-2.3189723889033,-2.555918574333191,-0.23694618542989096
C,43022,wikilarge_0d0086d6fb2d65b544a1,medium,overlap,3,1.0,9.533756266037622,7.094886312882106,-2.4388699531555176
C,43022,wikilarge_0d4fbc585caa23b3a121,low,nonoverlap,3,2.0,0.728507270415624,1.215435693661372,0.48692842324574787
C,43022,wikilarge_0d4fbc585caa23b3a121,low,overlap,3,1.0,3.6300179163614907,1.5715150833129883,-2.0585028330485025
C,43022,wikilarge_0d6880b3cf11a803324a,medium,nonoverlap,3,2.0,1.1483006477355957,1.635630448659261,0.48732980092366535
C,43022,wikilarge_0d6880b3cf11a803324a,medium,overlap,3,1.0,9.501821200052897,10.41680876413981,0.9149875640869141
C,43022,wikilarge_0d8b192f72b88c1bd973,low,nonoverlap,3,2.0,-1.6970894734064739,-1.0894891222318013,0.6076003511746725
C,43022,wikilarge_0d8b192f72b88c1bd973,low,overlap,3,1.0,0.18404932972043753,0.30759628272304934,0.1235469530026118
C,43022,wikilarge_0e184b0a083e9fcb9117,low,nonoverlap,3,2.0,-1.7500208218892415,-0.669677734375,1.0803430875142415
C,43022,wikilarge_0e184b0a083e9fcb9117,low,overlap,3,1.0,5.897079839060704,4.867957645406325,-1.0291221936543782
C,43022,wikilarge_0e1da604879bfb63b6c2,high,nonoverlap,3,2.0,1.159434199333191,0.9682414134343466,-0.1911927858988444
C,43022,wikilarge_0e1da604879bfb63b6c2,high,overlap,3,1.0,5.285178126146396,6.063449324419101,0.7782711982727051
C,43022,wikilarge_0e3219ec90f9aee6530c,high,nonoverlap,3,2.0,0.8994464526573817,1.0007843226194382,0.10133786996205647
C,43022,wikilarge_0e3219ec90f9aee6530c,high,overlap,3,1.0,10.918217070400715,9.284000761806965,-1.63421630859375
C,43022,wikilarge_0e582167bf00121f9e62,medium,nonoverlap,3,2.0,0.08704296747843425,0.11532044410705566,0.028277476628621418
C,43022,wikilarge_0e582167bf00121f9e62,medium,overlap,3,1.0,3.256563425064087,4.2673561573028564,1.0107927322387695
C,43022,wikilarge_0eef812dc82546b4e4d6,medium,nonoverlap,3,2.0,0.33614404996236164,0.10144774119059245,-0.2346963087717692
C,43022,wikilarge_0eef812dc82546b4e4d6,medium,overlap,3,1.0,1.5306952744722366,0.6044289817412695,-0.9262662927309672
C,43022,wikilarge_0f992fe5f1b062595c44,low,nonoverlap,3,2.0,1.494822343190511,2.2019811471303306,0.7071588039398193
C,43022,wikilarge_0f992fe5f1b062595c44,low,overlap,3,1.0,7.980519975225131,9.816443170110384,1.835923194885254
C,43022,wikilarge_0ff24416ed53bb86efce,high,nonoverlap,3,2.0,0.9345963001251221,1.1519066095352173,0.21731030941009521
C,43022,wikilarge_0ff24416ed53bb86efce,high,overlap,3,1.0,8.473922159522772,7.63739862665534,-0.8365235328674316
C,43022,wikilarge_0ff355e34a227550ac8b,low,nonoverlap,3,2.0,-0.3277218739191691,0.07274055480957031,0.40046242872873944
C,43022,wikilarge_0ff355e34a227550ac8b,low,overlap,3,1.0,0.20920626322428384,0.9972720146179199,0.7880657513936361
C,43022,wikilarge_107fd243dc111d585a86,low,nonoverlap,3,2.0,1.872734785079956,1.8687735398610432,-0.003961245218912761
C,43022,wikilarge_107fd243dc111d585a86,low,overlap,3,1.0,4.023762782414754,3.15338142712911,-0.8703813552856445
C,43022,wikilarge_116fea7709be70b164c4,low,nonoverlap,3,2.0,1.3409119248390198,1.467160205046336,0.12624828020731607
C,43022,wikilarge_116fea7709be70b164c4,low,overlap,3,1.0,5.0974431578069925,4.877769206340115,-0.21967395146687826
C,43022,wikilarge_12582de823a775ee55f4,high,nonoverlap,3,2.0,0.2836649517218272,0.1014137069384257,-0.1822512447834015
C,43022,wikilarge_12582de823a775ee55f4,high,overlap,3,1.0,2.504801158172389,3.621185028615097,1.1163838704427083
C,43022,wikilarge_12609f7f0b89198dea0d,low,nonoverlap,3,2.0,-0.6099863896767298,0.726483960946401,1.3364703506231308
C,43022,wikilarge_12609f7f0b89198dea0d,low,overlap,3,1.0,6.098912318547566,6.569694598515828,0.4707822799682617
C,43022,wikilarge_12dcd45d27389f5a1426,low,nonoverlap,3,2.0,0.34845654169718426,1.8292707602183025,1.4808142185211182
C,43022,wikilarge_12dcd45d27389f5a1426,low,overlap,3,1.0,10.737010261664787,10.236716847866774,-0.5002934137980143
C,43022,wikilarge_1323eadf7f6be6a234ab,high,nonoverlap,3,2.0,-1.1019306580225627,-0.3704824050267537,0.731448252995809
C,43022,wikilarge_1323eadf7f6be6a234ab,high,overlap,3,1.0,0.8258258799711863,0.5125777224699656,-0.3132481575012207
C,43022,wikilarge_13db2cc523a3c9aee2eb,medium,nonoverlap,3,2.0,0.1349250078201294,-0.019980708758036297,-0.15490571657816568
C,43022,wikilarge_13db2cc523a3c9aee2eb,medium,overlap,3,1.0,2.750434011220932,2.6665073335170746,-0.08392667770385742
C,43022,wikilarge_1425743fa884c571eb1e,medium,nonoverlap,3,2.0,-0.2651296854019165,-0.5398851633071899,-0.27475547790527344
C,43022,wikilarge_1425743fa884c571eb1e,medium,overlap,3,1.0,0.9423626284115016,0.6193293949278692,-0.3230332334836324
C,43022,wikilarge_14594c86d0017da509d1,low,nonoverlap,3,2.0,-1.057812770207723,-1.224060853322347,-0.16624808311462402
C,43022,wikilarge_14594c86d0017da509d1,low,overlap,3,1.0,6.994444151719411,7.378420611222585,0.38397645950317383
C,43022,wikilarge_148479cd1be76c0889c1,medium,nonoverlap,3,2.0,1.8174662590026855,-0.3100842634836833,-2.1275505224863687
C,43022,wikilarge_148479cd1be76c0889c1,medium,overlap,3,1.0,2.3096725145975747,2.287916898727417,-0.02175561587015788
C,43022,wikilarge_1494233320040f9756cd,medium,nonoverlap,3,2.0,0.9764201641082764,0.6580938498179117,-0.31832631429036456
C,43022,wikilarge_1494233320040f9756cd,medium,overlap,3,1.0,2.6024390856424966,2.4817312558492026,-0.12070782979329427
C,43022,wikilarge_14e56e75d06383916863,medium,nonoverlap,3,2.0,-0.503997802734375,-0.7154763142267863,-0.2114785114924113
C,43022,wikilarge_14e56e75d06383916863,medium,overlap,3,1.0,8.464055988937616,7.068337255467971,-1.3957187334696453
C,43022,wikilarge_14f1ec85a751b56778bf,high,nonoverlap,3,2.0,0.43768179416656494,1.2269771496454875,0.7892953554789225
C,43022,wikilarge_14f1ec85a751b56778bf,high,overlap,3,1.0,5.628004590670268,5.5478783051172895,-0.08012628555297852
C,43022,wikilarge_150b39d790150b7697b4,medium,nonoverlap,3,2.0,-1.584527889887492,-1.9069062074025471,-0.32237831751505536
C,43022,wikilarge_150b39d790150b7697b4,medium,overlap,3,1.0,6.559322834014893,7.096081256866455,0.5367584228515625
C,43022,wikilarge_15143f5562b1d78a5eee,high,nonoverlap,3,2.0,-2.608261068662008,-3.0592552622159324,-0.45099419355392456
C,43022,wikilarge_15143f5562b1d78a5eee,high,overlap,3,1.0,8.82301145295302,6.9548686891794205,-1.8681427637736003
C,43022,wikilarge_15f0353a8fb14e90d147,medium,nonoverlap,3,2.0,-1.0155343612035115,-0.640291690826416,0.3752426703770955
C,43022,wikilarge_15f0353a8fb14e90d147,medium,overlap,3,1.0,5.466220130523046,5.8301327129205065,0.36391258239746094
C,43022,wikilarge_1683206b538245226a04,medium,nonoverlap,3,2.0,-2.9865855475266776,-1.4936185975869496,1.4929669499397278
C,43022,wikilarge_1683206b538245226a04,medium,overlap,3,1.0,7.614521807059646,7.903581763928135,0.28905995686848956
C,43022,wikilarge_16935d29a09f0f34dbaa,high,nonoverlap,3,2.0,-2.63840119043986,-2.7396445274353027,-0.1012433369954427
C,43022,wikilarge_16935d29a09f0f34dbaa,high,overlap,3,1.0,3.0772647435466447,3.9717511708537736,0.8944864273071289
C,43022,wikilarge_16a16e03eba234b9ddeb,high,nonoverlap,3,2.0,-0.9233268896738688,-0.8342827955881754,0.08904409408569336
C,43022,wikilarge_16a16e03eba234b9ddeb,high,overlap,3,1.0,5.681111405293147,6.20261088013649,0.5214994748433431
C,43022,wikilarge_16ceb05710f3025cf880,low,nonoverlap,3,2.0,-3.5290172497431436,-3.260317941506704,0.26869930823644
C,43022,wikilarge_16ceb05710f3025cf880,low,overlap,3,1.0,6.616100897391637,8.028785655895868,1.4126847585042317
C,43022,wikilarge_172fb430627257b753fb,medium,nonoverlap,3,2.0,-0.8845694462458292,-1.1972249746322632,-0.3126555283864339
C,43022,wikilarge_172fb430627257b753fb,medium,overlap,3,1.0,8.086745191986362,7.538855800405145,-0.5478893915812174
C,43022,wikilarge_17cbe95b12a68104fab3,low,nonoverlap,3,2.0,2.3529410560925803,1.5295388301213582,-0.8234022259712219
C,43022,wikilarge_17cbe95b12a68104fab3,low,overlap,3,1.0,1.8272928309937317,1.6358505797882874,-0.19144225120544434
C,43022,wikilarge_17d8236f98a16bffac5c,high,nonoverlap,3,2.0,2.493328809738159,0.6158349514007568,-1.8774938583374023
C,43022,wikilarge_17d8236f98a16bffac5c,high,overlap,3,1.0,5.229367574055989,4.845864295959473,-0.3835032780965169
C,43022,wikilarge_180a278b3e8cfdf1fb5e,high,nonoverlap,3,2.0,-3.2171355883280435,-2.5850340127944946,0.632101575533549
C,43022,wikilarge_180a278b3e8cfdf1fb5e,high,overlap,3,1.0,0.3992097523684303,0.6419677780941129,0.24275802572568259
C,43022,wikilarge_187a89cfbf5fce32a884,medium,nonoverlap,3,2.0,-0.42271560430526733,0.006787538528442383,0.4295031428337097
C,43022,wikilarge_187a89cfbf5fce32a884,medium,overlap,3,1.0,6.929730261986454,7.882002200310429,0.9522719383239746
C,43022,wikilarge_18b4eb2f54dff47f393e,low,nonoverlap,3,2.0,-1.4681415160497029,-1.2413944800694783,0.2267470359802246
C,43022,wikilarge_18b4eb2f54dff47f393e,low,overlap,3,1.0,2.6922564934939146,3.4093553653607764,0.7170988718668619
C,43022,wikilarge_18e550ae7dfe0f0c6c15,low,nonoverlap,3,2.0,1.1736973524093628,1.655400554339091,0.4817032019297282
C,43022,wikilarge_18e550ae7dfe0f0c6c15,low,overlap,3,1.0,1.1516610781351726,1.1265776952107747,-0.025083382924397785
C,43022,wikilarge_19277260c90585955297,low,nonoverlap,3,2.0,1.0101868311564128,1.1470635732014973,0.13687674204508463
C,43022,wikilarge_19277260c90585955297,low,overlap,3,1.0,1.5080225467681885,0.8720505237579346,-0.6359720230102539
C,43022,wikilarge_194da2ce8195c93d43f8,low,nonoverlap,3,2.0,0.3512827157974243,0.41745901107788086,0.06617629528045654
C,43022,wikilarge_194da2ce8195c93d43f8,low,overlap,3,1.0,0.11170752843221028,-1.1201216379801433,-1.2318291664123535
C,43022,wikilarge_19617646cd30f6c00163,high,nonoverlap,3,2.0,0.5201327006022135,1.116714318593343,0.5965816179911295
C,43022,wikilarge_19617646cd30f6c00163,high,overlap,3,1.0,11.410195703307787,10.79838915169239,-0.6118065516153971
C,43022,wikilarge_19ba822c9aabbcdfe918,high,nonoverlap,3,2.0,0.479303518931071,0.2993658383687337,-0.17993768056233725
