role,seed,overlap_bin,token_class,n_pairs,mean_gain_T_vs_U,mean_gain_T_vs_N,mean_gain_U_vs_N,se_pair_gain_T_vs_U,se_pair_gain_T_vs_N,se_pair_gain_U_vs_N
V,43022,ALL,ALL,1200,2.523008951283563,2.479976594059893,-0.043032357223669854,0.05656873386229091,0.057470500276951324,0.018395408464129032
V,43022,ALL,nonoverlap,1200,0.00019103079031790513,-0.04152445382095822,-0.041715484611276124,0.04612027933103036,0.04651561841530543,0.018299161600366626
V,43022,ALL,overlap,1200,5.045826871776808,5.001477641940744,-0.04434922983606359,0.1012692406163678,0.10246354045072699,0.03237853691167168
V,43022,high,ALL,400,2.689366618558779,2.6452868599410184,-0.04407975861776019,0.0994344197888665,0.10073439148183541,0.027705001793768676
V,43022,high,nonoverlap,400,-0.0012590287377436968,-0.08028198811613643,-0.07902295937839274,0.08763280593858931,0.08837296955327231,0.029423639706056527
V,43022,high,overlap,400,5.379992265855302,5.3708557079981745,-0.009136557857127626,0.1723050283383482,0.1737509153296886,0.045798931642230784
V,43022,low,ALL,400,2.46783547311478,2.4433719638560434,-0.024463509258736544,0.10192177355301128,0.10293200136489127,0.03446527564096781
V,43022,low,nonoverlap,400,0.17714143352757675,0.18826951838661138,0.01112808485903467,0.07298256842282544,0.07287417362258354,0.03486081292984262
V,43022,low,overlap,400,4.758529512701982,4.698474409325475,-0.06005510337650776,0.1847194329616062,0.185862846754789,0.06007401773323464
V,43022,medium,ALL,400,2.4118247621771296,2.351270958382617,-0.060553803794512834,0.09174552206484023,0.09418189729197994,0.03299189101920101
V,43022,medium,nonoverlap,400,-0.17530931241887932,-0.2325608917333496,-0.057251579314470294,0.07734644610108082,0.0782680780289263,0.030358571012803964
V,43022,medium,overlap,400,4.998958836773139,4.935102808498583,-0.06385602827455539,0.16732552976523224,0.17080097739956251,0.061026464110985855
V,43122,ALL,ALL,1200,2.595127719667742,2.513723723697905,-0.08140399596983722,0.055844179867930055,0.056960971863137214,0.01893660567529226
V,43122,ALL,nonoverlap,1200,0.121782511211673,0.051791674477410406,-0.06999083673426261,0.04564192557211204,0.04484845996375458,0.019197791088417005
V,43122,ALL,overlap,1200,5.068472928123811,4.975655772918398,-0.09281715520541184,0.10058234020246502,0.10172032615062483,0.03248106161322041
V,43122,high,ALL,400,2.749348037512512,2.6506611379218765,-0.09868689959063583,0.0973259789271751,0.09886081507015994,0.027932979223601034
V,43122,high,nonoverlap,400,0.11505016821164948,0.012299099267305191,-0.1027510689443443,0.08510242760408895,0.08507944261150172,0.03178252634386598
V,43122,high,overlap,400,5.383645906813375,5.289023176576447,-0.09462273023692737,0.17174061561569334,0.17243450641407213,0.04686197154955875
V,43122,low,ALL,400,2.5463033286839103,2.4542209964406596,-0.09208233224325037,0.10089002789356127,0.10098514628357531,0.03582592207669253
V,43122,low,nonoverlap,400,0.2799087768117897,0.18899510015694734,-0.09091367665484236,0.07675395971028812,0.07329444108158376,0.035488760971084096
V,43122,low,overlap,400,4.812697880556031,4.719446892724372,-0.09325098783165836,0.18360512064784462,0.1823544288408625,0.06157296088383517
V,43122,medium,ALL,400,2.489731792806803,2.4362890367311776,-0.053442756075625465,0.09122947906857806,0.09570156170256025,0.03406788661134322
V,43122,medium,nonoverlap,400,-0.02961141138842018,-0.04591917599202134,-0.016307764603601147,0.07412928850168685,0.07360056363237277,0.032193684665067286
V,43122,medium,overlap,400,5.009074997002026,4.918497249454377,-0.09057774754764977,0.16560458199000122,0.17239098876576442,0.05922735199243623
V,43222,ALL,ALL,1200,2.4694552304819606,2.443473655423404,-0.0259815750585565,0.05615269446215593,0.05662282099764476,0.01861233685135733
V,43222,ALL,nonoverlap,1200,-0.020368887219099432,-0.0503943625567869,-0.030025475337687464,0.04565518861181935,0.04549574545111533,0.018213137814328352
V,43222,ALL,overlap,1200,4.959279348183021,4.937341673403595,-0.021937674779425532,0.10131545689230785,0.10201939820342948,0.03254259634003541
V,43222,high,ALL,400,2.6703454495735905,2.6413986131423126,-0.02894683643127792,0.09552550477112678,0.09664823023942995,0.030567879387204882
V,43222,high,nonoverlap,400,-0.018110932687607908,-0.06977016205744196,-0.05165922936983407,0.08640824586950911,0.08623262980390242,0.030973502058284752
V,43222,high,overlap,400,5.358801831834789,5.3525673883420675,-0.006234443492721766,0.16965958716749283,0.17110214924188555,0.051088215691677576
V,43222,low,ALL,400,2.370368639840114,2.3783061594917188,0.007937519651604816,0.1020362067913176,0.10282708306275398,0.03512379217338855
V,43222,low,nonoverlap,400,0.11644832850142847,0.11373651187963939,-0.002711816621789093,0.06989484581941105,0.07112140239487347,0.035151158691070813
V,43222,low,overlap,400,4.624288951178799,4.642875807103798,0.018586855924998723,0.18553162270158216,0.18611667751670907,0.06183940480459723
V,43222,medium,ALL,400,2.3676516020321774,2.3107161936361806,-0.056935408395996395,0.09322161107683088,0.09374641973050472,0.03073112635175177
V,43222,medium,nonoverlap,400,-0.15944405747111887,-0.1951494374925581,-0.03570538002143925,0.07945267093446506,0.07754852914588836,0.02806043340463708
V,43222,medium,overlap,400,4.894747261535474,4.81658182476492,-0.07816543677055354,0.16878102612396617,0.17050510742656755,0.0555377479207403
