feature,n,pearson_r,pearson_p,spearman_r,spearman_p,pearson_bh_q,spearman_bh_q
clause_initial_fraction,406,-0.060439715580895004,0.22429634008772867,-0.044263261239984905,0.37369884969725864,0.4051804853197679,0.518514597638096
suffix_ing,406,0.05702724588458128,0.251605881019851,0.06340728651291756,0.20232143983409534,0.44031029178473924,0.3434540268206277
first_piece_id_scaled,406,0.05061434688105321,0.30898285472186604,0.027394797824209956,0.5820510149577278,0.5211117174885087,0.7085838442963643
piece_logfreq_min,406,-0.04875437771175743,0.3271219118388466,-0.0738275530963775,0.13753729395363332,0.5211117174885087,0.25673628204678217
occurrence_centroid_fraction,406,0.04849312339937757,0.3297238470881854,0.06662103512473676,0.1803342316921997,0.5211117174885087,0.32576506370203817
occurrence_position_sd_fraction,406,0.04796737037686433,0.33500038981404134,0.026039475482624412,0.6008685374778799,0.5211117174885087,0.7159284701864101
source_presence_count,406,0.04425522370235595,0.3737857098089042,0.10023249708156588,0.0435404987796813,0.5657297229540171,0.09030621969119085
logfreq_src__bnc_spoken,406,0.04205884899545969,0.39798606540793247,0.04583147284974882,0.356990163660462,0.5865057806011637,0.518514597638096
early_1m_fraction,406,0.03980364626158396,0.4237887339243374,0.00789912771191303,0.8739251254483011,0.6085171564041768,0.9062927226871271
median_occurrence_log10_position,406,-0.038529686312539294,0.43878558993487693,-0.02788155279340771,0.5753604132913477,0.6142998259088277,0.7085838442963643
logfreq_src__open_subtitles,406,0.037182787096946,0.45496647740970036,0.0363395727234683,0.46526443715901045,0.621417627681542,0.605925778625688
uppercase_fraction,406,-0.031321197746195746,0.5291439984590507,0.01630138543384046,0.7433102666039497,0.7055253312787342,0.8037612579169422
row_logfreq,406,-0.028104329218482958,0.5723104064958674,-0.04362046624304391,0.3806846721650916,0.7330973956817194,0.518514597638096
early_5m_fraction,406,-0.02783453562969502,0.5760050966070653,-0.0046426315471842046,0.9256981887362624,0.7330973956817194,0.9425290648951035
logfreq_src__simple_wiki,406,-0.026136369066564597,0.5995142003960682,-0.0485754673058103,0.32890231412896365,0.7460621160484404,0.5116258219783879
first_occurrence_log10_position,406,0.02429549974346682,0.6254765575871637,0.04295374832753709,0.38801430463740605,0.756162745394287,0.518514597638096
piece_logfreq_mean,406,-0.023653955253407223,0.6346365898844909,-0.04287497340042107,0.38888594822857203,0.756162745394287,0.518514597638096
mean_relative_row_position,406,0.01706613483611666,0.7317204621667043,-0.042888927570155395,0.38873145902760453,0.8431372475107721,0.518514597638096
first_row_quarter_fraction,406,-0.016668112179030272,0.7377450915719256,0.05278063144239271,0.2887076519823725,0.8431372475107721,0.47551848561802534
last_row_quarter_fraction,406,0.014839752155284464,0.7656213278525542,-0.011524999065404119,0.8169155097435267,0.8574958871948607,0.8631560102950471
suffix_ed,406,0.013617305350290182,0.7844321418775165,0.016101467017231,0.7463497394943035,0.8613372538262927,0.8037612579169422
suffix_plural_s,406,-0.008982291325007143,0.8568120410309216,-0.02448192821133826,0.622825398559232,0.9227206595717617,0.7266296316524373
logfreq_src__cleanqwen_fineweb_compact_view_reinvest,406,-0.007085891024107196,0.8868127739082863,-0.03346552257584255,0.5013157597696001,0.9370097233747932,0.6380382397067638
logfreq_src__gutenberg,406,0.005800524277573863,0.9072420601285012,-4.855918782341517e-05,0.9992217245281045,0.9408436179110382,0.9992217245281045
logfreq_src__qwen_pair_packed,406,-0.0010049634170084011,0.9838941791518789,-0.017247101330985778,0.7289866953421396,0.9951360118606097,0.8037612579169422
piece_logfreq_max,406,0.0003034821760868247,0.9951360118606097,-0.021587999619004473,0.6645095442603653,0.9951360118606097,0.7594394791547032
early_10m_fraction,406,,,,,,
early_20m_fraction,406,,,,,,
early_50m_fraction,406,,,,,,
last_10m_fraction,406,,,,,,
