BLiMP,COMPS,EWoK,Entity,Reading,Supplement,cheap5,cheap6,checkpoint,complete_stable6,exEntity5,exists,kind,label,path
,,,,,,,,chck_30M,False,,False,register_arm,regmax_childspeech_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_childspeech_samefw_seed43022_chck_30M.json
,,,,,,,,chck_30M,False,,False,register_arm,regmax_adultprose_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_adultprose_samefw_seed43022_chck_30M.json
60.3,50.3,49.12,24.82,9.165000000000001,55.09,47.926,41.465833333333336,chck_30M,True,44.795,True,view_midpoint,proportional_max_view,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json
60.98,50.73,48.6,22.02,8.125,57.73,48.012,41.36416666666666,chck_30M,True,45.233,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_30M.json
,,,,,,,,chck_30M,False,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/missing_seed43122_chck_30M.json
,,,,,,,,chck_40M,False,,False,register_arm,regmax_childspeech_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_childspeech_samefw_seed43022_chck_40M.json
,,,,,,,,chck_40M,False,,False,register_arm,regmax_adultprose_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_adultprose_samefw_seed43022_chck_40M.json
63.29,51.11,49.21,27.58,7.795,59.64,50.166,43.104166666666664,chck_40M,True,46.209,True,view_midpoint,proportional_max_view,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json
60.56,50.91,48.33,25.49,7.755000000000001,57.29,48.516,41.7225,chck_40M,True,44.969,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_40M.json
,,,,,,,,chck_40M,False,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/missing_seed43122_chck_40M.json
,,,,,,,,chck_50M,False,,False,register_arm,regmax_childspeech_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_childspeech_samefw_seed43022_chck_50M.json
,,,,,,,,chck_50M,False,,False,register_arm,regmax_adultprose_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_adultprose_samefw_seed43022_chck_50M.json
64.99,51.03,50.38,28.04,8.309999999999999,61.24,51.136,43.998333333333335,chck_50M,True,47.19,True,view_midpoint,proportional_max_view,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json
,,,,,,,,chck_50M,False,,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_50M.json
,,,,,,,,chck_50M,False,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/missing_seed43122_chck_50M.json
,,,,,,,,chck_60M,False,,False,register_arm,regmax_childspeech_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_childspeech_samefw_seed43022_chck_60M.json
,,,,,,,,chck_60M,False,,False,register_arm,regmax_adultprose_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_adultprose_samefw_seed43022_chck_60M.json
65.65,51.53,50.47,28.17,7.635,60.59,51.282000000000004,44.0075,chck_60M,True,47.175000000000004,True,view_midpoint,proportional_max_view,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json
64.54,50.82,50.01,24.93,7.57,57.31,49.522,42.53,chck_60M,True,46.050000000000004,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_60M.json
,,,,,,,,chck_60M,False,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/missing_seed43122_chck_60M.json
,,,,,,,,chck_70M,False,,False,register_arm,regmax_childspeech_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_childspeech_samefw_seed43022_chck_70M.json
,,,,,,,,chck_70M,False,,False,register_arm,regmax_adultprose_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_adultprose_samefw_seed43022_chck_70M.json
66.02,51.18,48.47,27.72,7.455,58.78,50.434,43.270833333333336,chck_70M,True,46.381,True,view_midpoint,proportional_max_view,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json
66.31,,49.63,24.44,,58.69,,,chck_70M,False,,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json
,,,,,,,,chck_70M,False,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/missing_seed43122_chck_70M.json
,,,,,,,,chck_80M,False,,False,register_arm,regmax_childspeech_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_childspeech_samefw_seed43022_chck_80M.json
,,,,,,,,chck_80M,False,,False,register_arm,regmax_adultprose_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_adultprose_samefw_seed43022_chck_80M.json
66.3,50.93,49.8,27.98,7.6499999999999995,60.37,51.076,43.83833333333333,chck_80M,True,47.01,True,view_midpoint,proportional_max_view,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json
66.33,51.42,49.31,24.05,7.130000000000001,58.07,49.836,42.718333333333334,chck_80M,True,46.452,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_80M.json
,,,,,,,,chck_80M,False,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/missing_seed43122_chck_80M.json
