model,global_index,domain,local_index,ContextType,ContextDiff,TargetDiff,ConceptA,ConceptB,legal40_depth_both_wrong_flag,all_legal_wrong_flag,legal40_correct_flag,depth_correct_flag,s11_sum,s21_sum,s12_sum,s22_sum,s11_mean,s21_mean,s12_mean,s22_mean,p1_sum,p2_sum,p1_mean,p2_mean,t1_tokens,t2_tokens,official_margin_t1_sum,official_margin_t2_sum,within_context_margin_c1_sum,within_context_margin_c2_sum,interaction_sum,official_margin_t1_mean,official_margin_t2_mean,within_context_margin_c1_mean,within_context_margin_c2_mean,interaction_mean,pmi_official_margin_t1_sum,pmi_official_margin_t2_sum,pmi_within_context_margin_c1_sum,pmi_within_context_margin_c2_sum,pmi_interaction_sum,saved_depth_correct_flag,official_t1_sign_matches_saved,saved_legal40_correct_flag
legal40_depth_12x384_43022,2211,material-dynamics,1,direct,material,concept swap,break,drip,False,False,True,True,-33.77844047546387,-36.37766885757446,-15.588927745819092,-18.44538164138794,-8.444610118865967,-9.094417214393616,-5.196309248606364,-6.1484605471293134,-75.84683227539062,-59.10576105117798,-12.641138712565104,-11.821152210235596,4,3,2.5992283821105957,-2.8564538955688477,-18.189512729644775,17.932287216186523,-0.25722551345825195,0.6498070955276489,-0.9521512985229492,-3.2483008702596026,2.9459566672643023,-0.3023442029953003,2.5992283821105957,-2.8564538955688477,-1.448441505432129,1.191215991973877,-0.25722551345825195,True,True,
legal40_depth_12x384_43022,2213,material-dynamics,3,direct,material,concept swap,break,drip,False,False,True,True,-31.709284782409668,-34.219597816467285,-14.982493162155151,-17.173223733901978,-7.927321195602417,-8.554899454116821,-4.994164387385051,-5.724407911300659,-75.84683227539062,-59.10576105117798,-12.641138712565104,-11.821152210235596,4,3,2.510313034057617,-2.190730571746826,-16.726791620254517,17.046374082565308,0.319582462310791,0.6275782585144043,-0.7302435239156084,-2.9331568082173662,2.830491542816162,-0.10266526540120324,2.510313034057617,-2.190730571746826,0.014279603958129883,0.30530285835266113,0.319582462310791,True,True,
legal40_depth_12x384_43022,2227,material-dynamics,17,indirect,material,concept swap,break,drip,False,False,True,False,-30.47809362411499,-30.371973514556885,-13.423454999923706,-15.973814487457275,-7.619523406028748,-7.592993378639221,-4.474484999974568,-5.324604829152425,-75.84683227539062,-59.10576105117798,-12.641138712565104,-11.821152210235596,4,3,-0.10612010955810547,-2.5503594875335693,-17.054638624191284,14.39815902709961,-2.656479597091675,-0.026530027389526367,-0.8501198291778564,-3.145038406054179,2.2683885494867964,-0.8766498565673828,-0.10612010955810547,-2.5503594875335693,-0.3135673999786377,-2.342912197113037,-2.656479597091675,False,True,
legal40_depth_12x384_43022,2230,material-dynamics,20,direct,material,concept swap,break,flap,False,False,True,False,-18.44538164138794,-16.06818413734436,-23.48428964614868,-21.52456283569336,-6.1484605471293134,-5.356061379114787,-7.8280965487162275,-7.174854278564453,-59.10576105117798,-64.88884735107422,-11.821152210235596,-12.977769470214843,3,3,-2.377197504043579,1.9597268104553223,5.038908004760742,-5.456378698348999,-0.41747069358825684,-0.7923991680145264,0.6532422701517744,1.679636001586914,-1.818792899449666,-0.13915689786275287,-2.377197504043579,1.9597268104553223,-0.744178295135498,0.3267076015472412,-0.41747069358825684,False,True,
legal40_depth_12x384_43022,2225,material-dynamics,15,indirect,material,concept swap,break,drip,False,False,False,True,-30.2466983795166,-30.371678352355957,-14.981390714645386,-14.347192525863647,-7.56167459487915,-7.592919588088989,-4.993796904881795,-4.782397508621216,-75.84683227539062,-59.10576105117798,-12.641138712565104,-11.821152210235596,4,3,0.12497997283935547,0.6341981887817383,-15.265307664871216,16.02448582649231,0.7591781616210938,0.031244993209838867,0.21139939626057913,-2.5678776899973554,2.8105220794677734,0.2426443894704171,0.12497997283935547,0.6341981887817383,1.4757635593414307,-0.7165853977203369,0.7591781616210938,True,True,
legal40_depth_12x384_43022,2242,material-dynamics,32,indirect,material,concept swap,break,flap,False,False,False,True,-14.061028599739075,-16.446274280548096,-19.337538719177246,-22.019953727722168,-4.687009533246358,-5.482091426849365,-6.445846239725749,-7.33998457590739,-59.10576105117798,-64.88884735107422,-11.821152210235596,-12.977769470214843,3,3,2.385245680809021,-2.682415008544922,5.276510119438171,-5.573679447174072,-0.2971693277359009,0.7950818936030073,-0.8941383361816406,1.758836706479391,-1.8578931490580244,-0.09905644257863244,2.385245680809021,-2.682415008544922,-0.5065761804580688,0.20940685272216797,-0.2971693277359009,True,True,
legal40_depth_12x384_43022,2984,material-properties,4,indirect,antonym,concept swap,bouncy,not bouncy,True,False,False,False,-20.417694814503193,-20.297550424933434,-21.463034998625517,-21.127699322998524,-4.083538962900638,-4.0595100849866865,-3.5771724997709193,-3.521283220499754,-66.26624703407288,-69.09703862667084,-9.466606719153267,-8.637129828333855,5,6,-0.12014438956975937,0.3353356756269932,1.045340184122324,-0.8301488980650902,0.2151912860572338,-0.024028877913951696,0.05588927927116538,-0.5063664631297189,0.5382268644869326,0.03186040135721413,-0.12014438956975937,0.3353356756269932,-1.7854514084756374,2.0006426945328712,0.2151912860572338,False,True,
legal40_depth_12x384_43022,2987,material-properties,7,indirect,antonym,concept swap,bouncy,not bouncy,True,False,False,False,-23.532255209982395,-23.163096092641354,-21.079598411917686,-20.641606602817774,-3.922042534997066,-3.8605160154402256,-4.215919682383538,-4.128321320563555,-73.53626656532288,-70.95256042480469,-9.19203332066536,-10.136080060686384,6,5,-0.36915911734104156,0.43799180909991264,-2.4526567980647087,2.52148948982358,0.06883269175887108,-0.06152651955684041,0.0875983618199827,0.29387714738647164,-0.26780530512332934,0.02607184226314274,-0.36915911734104156,0.43799180909991264,0.13104934245347977,-0.06221665069460869,0.06883269175887108,False,True,
legal40_depth_12x384_43022,2994,material-properties,14,indirect,material,concept swap,bouncy,not bouncy,True,False,False,False,-20.80129922926426,-20.319484813138843,-22.69554421119392,-21.85288848541677,-4.160259845852852,-4.063896962627768,-3.782590701865653,-3.642148080902795,-66.26624703407288,-69.09703862667084,-9.466606719153267,-8.637129828333855,5,6,-0.48181441612541676,0.8426557257771492,1.8942449819296598,-1.5334036722779274,0.36084130965173244,-0.09636288322508335,0.1404426209628582,-0.37766914398719864,0.4217488817249735,0.04407973773777485,-0.48181441612541676,0.8426557257771492,-0.9365466106683016,1.297387920320034,0.36084130965173244,False,True,
legal40_depth_12x384_43022,2996,material-properties,16,indirect,material,concept swap,bouncy,not bouncy,True,False,False,False,-21.6622362639755,-20.88787193968892,-24.406564632430673,-23.00136374309659,-4.332447252795101,-4.177574387937784,-4.067760772071779,-3.8335606238494315,-70.95256042480469,-73.53626656532288,-10.136080060686384,-9.19203332066536,5,6,-0.7743643242865801,1.4052008893340826,2.7443283684551716,-2.113491803407669,0.6308365650475025,-0.15487286485731655,0.23420014822234725,-0.2646864807233218,0.3440137640883525,0.07932728336503203,-0.7743643242865801,1.4052008893340826,0.1606222279369831,0.4702143371105194,0.6308365650475025,False,True,
legal40_depth_12x384_43022,3000,material-properties,20,indirect,material,concept swap,bouncy,not bouncy,True,True,False,False,-18.217876981943846,-17.190909083932638,-16.91297487448901,-16.451696999371052,-3.643575396388769,-3.4381818167865275,-2.8188291457481682,-2.7419494998951754,-66.26624703407288,-69.09703862667084,-9.466606719153267,-8.637129828333855,5,6,-1.0269678980112076,0.4612778751179576,-1.3049021074548364,0.7392120845615864,-0.56569002289325,-0.2053935796022417,0.07687964585299278,-0.8247462506406009,0.696232316891352,-0.12851393374924935,-1.0269678980112076,0.4612778751179576,-4.135693700052798,3.570003677159548,-0.56569002289325,False,True,
legal40_depth_12x384_43022,3004,material-properties,24,indirect,material,concept swap,bouncy,not bouncy,True,True,False,False,-19.891632221639156,-15.744466561824083,-17.96762203797698,-15.782049287110567,-3.9783264443278314,-3.148893312364817,-2.9946036729961634,-2.6303415478517613,-70.6984680891037,-71.80005741119385,-10.099781155586243,-8.975007176399231,5,6,-4.147165659815073,2.185572750866413,-1.9240101836621761,-0.037582725286483765,-1.96159290894866,-0.8294331319630146,0.36426212514440204,-0.9837227713316681,0.5185517645130555,-0.4651710068186121,-4.147165659815073,2.185572750866413,-3.025599505752325,1.0640065968036652,-1.96159290894866,False,True,
legal40_depth_12x384_43022,2980,material-properties,0,indirect,antonym,concept swap,bouncy,not bouncy,False,False,True,True,-21.827324405312538,-21.99642536789179,-22.8499608784914,-23.178388074040413,-4.365464881062508,-4.3992850735783575,-3.8083268130819,-3.8630646790067353,-70.6984680891037,-71.80005741119385,-10.099781155586243,-8.975007176399231,5,6,0.16910096257925034,-0.32842719554901123,1.0226364731788635,-1.1819627061486244,-0.1593262329697609,0.03382019251584989,-0.054737865924835205,-0.5571380679806075,0.5362203945716222,-0.020917673408984427,0.16910096257925034,-0.32842719554901123,-0.0789528489112854,-0.0803733840584755,-0.1593262329697609,True,True,
legal40_depth_12x384_43022,2986,material-properties,6,indirect,antonym,concept swap,bouncy,not bouncy,False,False,True,True,-20.641606602817774,-21.079598411917686,-23.163096092641354,-23.532255209982395,-4.128321320563555,-4.215919682383538,-3.8605160154402256,-3.922042534997066,-70.95256042480469,-73.53626656532288,-10.136080060686384,-9.19203332066536,5,6,0.43799180909991264,-0.36915911734104156,2.52148948982358,-2.4526567980647087,0.06883269175887108,0.0875983618199827,-0.06152651955684041,-0.26780530512332934,0.29387714738647164,0.02607184226314274,0.43799180909991264,-0.36915911734104156,-0.06221665069460869,0.13104934245347977,0.06883269175887108,True,True,
legal40_depth_12x384_43022,2981,material-properties,1,indirect,antonym,concept swap,bouncy,not bouncy,False,False,True,False,-23.178388074040413,-22.8499608784914,-21.99642536789179,-21.827324405312538,-3.8630646790067353,-3.8083268130819,-4.3992850735783575,-4.365464881062508,-71.80005741119385,-70.6984680891037,-8.975007176399231,-10.099781155586243,6,5,-0.32842719554901123,0.16910096257925034,-1.1819627061486244,1.0226364731788635,-0.1593262329697609,-0.054737865924835205,0.03382019251584989,0.5362203945716222,-0.5571380679806075,-0.020917673408984427,-0.32842719554901123,0.16910096257925034,-0.0803733840584755,-0.0789528489112854,-0.1593262329697609,False,True,
legal40_depth_12x384_43022,2982,material-properties,2,indirect,antonym,concept swap,bouncy,not bouncy,False,False,True,False,-21.30859963223338,-21.263488180935383,-22.945286754518747,-22.547496143728495,-4.261719926446676,-4.252697636187077,-3.8242144590864577,-3.757916023954749,-66.25057315826416,-68.14947783946991,-9.464367594037737,-8.518684729933739,5,6,-0.04511145129799843,0.3977906107902527,1.636687122285366,-1.2840079627931118,0.35267915949225426,-0.00902229025959933,0.06629843513170863,-0.43750546736021834,0.49478161223232764,0.05727614487210886,-0.04511145129799843,0.3977906107902527,-0.26221755892038345,0.6148967184126377,0.35267915949225426,False,True,
legal40_depth_12x384_43022,2983,material-properties,3,indirect,antonym,concept swap,bouncy,not bouncy,False,False,False,True,-22.547496143728495,-22.945286754518747,-21.263488180935383,-21.30859963223338,-3.757916023954749,-3.8242144590864577,-4.252697636187077,-4.261719926446676,-68.14947783946991,-66.25057315826416,-8.518684729933739,-9.464367594037737,6,5,0.3977906107902527,-0.04511145129799843,-1.2840079627931118,1.636687122285366,0.35267915949225426,0.06629843513170863,-0.00902229025959933,0.49478161223232764,-0.43750546736021834,0.05727614487210886,0.3977906107902527,-0.04511145129799843,0.6148967184126377,-0.26221755892038345,0.35267915949225426,True,True,
legal40_depth_12x384_43022,2985,material-properties,5,indirect,antonym,concept swap,bouncy,not bouncy,False,False,False,True,-21.127699322998524,-21.463034998625517,-20.297550424933434,-20.417694814503193,-3.521283220499754,-3.5771724997709193,-4.0595100849866865,-4.083538962900638,-69.09703862667084,-66.26624703407288,-8.637129828333855,-9.466606719153267,6,5,0.3353356756269932,-0.12014438956975937,-0.8301488980650902,1.045340184122324,0.2151912860572338,0.05588927927116538,-0.024028877913951696,0.5382268644869326,-0.5063664631297189,0.03186040135721413,0.3353356756269932,-0.12014438956975937,2.0006426945328712,-1.7854514084756374,0.2151912860572338,True,True,
legal40_depth_12x384_43022,3150,physical-dynamics,0,direct,antonym,concept swap,accelerate,slow down,True,False,False,False,-13.945742342621088,-11.734874237328768,-15.79975539073348,-15.465537816286087,-2.7891484685242176,-2.3469748474657535,-2.6332925651222467,-2.5775896360476813,-65.1336567401886,-72.17097854614258,-9.304808105741229,-9.021372318267822,5,6,-2.2108681052923203,0.3342175744473934,1.8540130481123924,-3.7306635789573193,-1.8766505308449268,-0.44217362105846414,0.05570292907456542,-0.15585590340197086,-0.23061478858192785,-0.3864706919838987,-2.2108681052923203,0.3342175744473934,-5.183308757841587,3.3066582269966602,-1.8766505308449268,False,True,
legal40_depth_12x384_43022,3152,physical-dynamics,2,direct,antonym,concept swap,accelerate,slow down,True,False,False,False,-15.886811725795269,-12.823624579235911,-16.239513156935573,-16.146568780764937,-3.177362345159054,-2.564724915847182,-2.7065855261559286,-2.691094796794156,-72.53023099899292,-73.50667750835419,-10.361461571284703,-9.188334688544273,5,6,-3.0631871465593576,0.09294437617063522,0.3527014311403036,-3.322944201529026,-2.9702427703887224,-0.6126374293118717,0.015490729361772537,-0.4707768190031252,-0.126369880946974,-0.5971466999500983,-3.0631871465593576,0.09294437617063522,-0.6237450782209635,-2.346497692167759,-2.9702427703887224,False,True,
legal40_depth_12x384_43022,3154,physical-dynamics,4,direct,antonym,concept swap,accelerate,slow down,True,False,False,False,-14.8327128700912,-12.710125423967838,-15.979550924152136,-15.826172761619091,-2.96654257401824,-2.5420250847935675,-2.6632584873586893,-2.6376954602698484,-68.76050263643265,-69.97624439001083,-9.822928948061806,-8.747030548751354,5,6,-2.1225874461233616,0.15337816253304482,1.146838054060936,-3.1160473376512527,-1.9692092835903168,-0.4245174892246726,0.02556302708884095,-0.30328408665955076,-0.09567037547628088,-0.39895446213583163,-2.1225874461233616,0.15337816253304482,-0.06890369951725006,-1.9003055840730667,-1.9692092835903168,False,True,
legal40_depth_12x384_43022,3156,physical-dynamics,6,direct,antonym,concept swap,accelerate,slow down,True,False,False,False,-16.8854823410511,-14.85074868798256,-16.4756866581738,-17.092707216739655,-3.3770964682102202,-2.970149737596512,-2.7459477763623,-2.8487845361232758,-70.67549967765808,-71.54102873802185,-10.096499953951154,-8.942628592252731,5,6,-2.0347336530685425,-0.617020558565855,-0.40979568287730217,-2.2419585287570953,-2.6517542116343975,-0.40694673061370823,-0.10283675976097584,-0.6311486918479203,0.12136520147323626,-0.5097834903746845,-2.0347336530685425,-0.617020558565855,-1.2753247432410717,-1.3764294683933258,-2.6517542116343975,False,True,
legal40_depth_12x384_43022,3157,physical-dynamics,7,direct,antonym,concept swap,accelerate,slow down,True,False,False,False,-17.092707216739655,-16.4756866581738,-14.85074868798256,-16.8854823410511,-2.8487845361232758,-2.7459477763623,-2.970149737596512,-3.3770964682102202,-71.54102873802185,-70.67549967765808,-8.942628592252731,-10.096499953951154,6,5,-0.617020558565855,-2.0347336530685425,-2.2419585287570953,-0.40979568287730217,-2.6517542116343975,-0.10283675976097584,-0.40694673061370823,0.12136520147323626,-0.6311486918479203,-0.5097834903746845,-0.617020558565855,-2.0347336530685425,-1.3764294683933258,-1.2753247432410717,-2.6517542116343975,False,True,
legal40_depth_12x384_43022,3158,physical-dynamics,8,direct,antonym,concept swap,accelerate,slow down,True,False,False,False,-14.45916480757296,-12.125244211405516,-16.329938336275518,-16.55541946925223,-2.8918329615145923,-2.425048842281103,-2.721656389379253,-2.759236578208705,-61.41910243034363,-66.46829009056091,-8.77415749004909,-8.308536261320114,5,6,-2.333920596167445,-0.2254811329767108,1.870773528702557,-4.430175257846713,-2.559401729144156,-0.4667841192334894,-0.0375801888294518,-0.1701765721353392,-0.334187735927602,-0.5043643080629412,-2.333920596167445,-0.2254811329767108,-3.178414131514728,0.6190124023705721,-2.559401729144156,False,True,
