uid,domain,idx,selection_reason,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,clean430_correct,reinv430_correct,clean431_correct,reinv431_correct,TE430,TE431,DiD_item,pattern
material-dynamics_66,material-dynamics,66,material-dynamics:all_DiD_neg2,break,ripple,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_90,material-dynamics,90,material-dynamics:all_DiD_neg2,break,splash,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_94,material-dynamics,94,material-dynamics:all_DiD_neg2,break,splash,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_110,material-dynamics,110,material-dynamics:all_DiD_neg2,break,wrinkle,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_112,material-dynamics,112,material-dynamics:all_DiD_neg2,break,wrinkle,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_114,material-dynamics,114,material-dynamics:all_DiD_neg2,break,wrinkle,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_116,material-dynamics,116,material-dynamics:all_DiD_neg2,break,wrinkle,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_118,material-dynamics,118,material-dynamics:all_DiD_neg2,break,wrinkle,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_130,material-dynamics,130,material-dynamics:all_DiD_neg2,drape,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_134,material-dynamics,134,material-dynamics:all_DiD_neg2,drape,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_136,material-dynamics,136,material-dynamics:all_DiD_neg2,drape,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_138,material-dynamics,138,material-dynamics:all_DiD_neg2,drape,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_152,material-dynamics,152,material-dynamics:all_DiD_neg2,drape,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_160,material-dynamics,160,material-dynamics:all_DiD_neg2,drape,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_164,material-dynamics,164,material-dynamics:all_DiD_neg2,drape,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_168,material-dynamics,168,material-dynamics:all_DiD_neg2,drape,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_404,material-dynamics,404,material-dynamics:all_DiD_neg2,rip ,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_406,material-dynamics,406,material-dynamics:all_DiD_neg2,rip ,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_408,material-dynamics,408,material-dynamics:all_DiD_neg2,rip ,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_440,material-dynamics,440,material-dynamics:all_DiD_neg2,rip ,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_444,material-dynamics,444,material-dynamics:all_DiD_neg2,rip ,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_448,material-dynamics,448,material-dynamics:all_DiD_neg2,rip ,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_478,material-dynamics,478,material-dynamics:all_DiD_neg2,squeeze,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_482,material-dynamics,482,material-dynamics:all_DiD_neg2,squeeze,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_486,material-dynamics,486,material-dynamics:all_DiD_neg2,squeeze,pour,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_525,material-dynamics,525,material-dynamics:all_DiD_neg2,squeeze,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_538,material-dynamics,538,material-dynamics:all_DiD_neg2,squeeze,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_541,material-dynamics,541,material-dynamics:all_DiD_neg2,squeeze,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_546,material-dynamics,546,material-dynamics:all_DiD_neg2,squeeze,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_554,material-dynamics,554,material-dynamics:all_DiD_neg2,squeeze,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_661,material-dynamics,661,material-dynamics:all_DiD_neg2,tap,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_665,material-dynamics,665,material-dynamics:all_DiD_neg2,tap,stir,direct,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_31,material-dynamics,31,material-dynamics:all_DiD_neg2,break,flap,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_177,material-dynamics,177,material-dynamics:all_DiD_neg2,drape,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_187,material-dynamics,187,material-dynamics:all_DiD_neg2,drape,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_257,material-dynamics,257,material-dynamics:all_DiD_neg2,fold,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_260,material-dynamics,260,material-dynamics:all_DiD_neg2,fold,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_267,material-dynamics,267,material-dynamics:all_DiD_neg2,fold,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_317,material-dynamics,317,material-dynamics:all_DiD_neg2,hang,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_320,material-dynamics,320,material-dynamics:all_DiD_neg2,hang,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_327,material-dynamics,327,material-dynamics:all_DiD_neg2,hang,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_457,material-dynamics,457,material-dynamics:all_DiD_neg2,rip ,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_467,material-dynamics,467,material-dynamics:all_DiD_neg2,rip ,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_503,material-dynamics,503,material-dynamics:all_DiD_neg2,squeeze,pour,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_579,material-dynamics,579,material-dynamics:all_DiD_neg2,squeeze,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_585,material-dynamics,585,material-dynamics:all_DiD_neg2,squeeze,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_611,material-dynamics,611,material-dynamics:all_DiD_neg2,squeeze,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_617,material-dynamics,617,material-dynamics:all_DiD_neg2,squeeze,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_682,material-dynamics,682,material-dynamics:all_DiD_neg2,tap,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_687,material-dynamics,687,material-dynamics:all_DiD_neg2,tap,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_757,material-dynamics,757,material-dynamics:all_DiD_neg2,wrinkle,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_767,material-dynamics,767,material-dynamics:all_DiD_neg2,wrinkle,stir,indirect,material,concept swap,0,1,1,0,1,-1,-2,0110
material-dynamics_2,material-dynamics,2,material-dynamics:sample_DiD_neg1,break,drip,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_6,material-dynamics,6,material-dynamics:sample_DiD_neg1,break,drip,direct,material,concept swap,0,0,1,0,0,-1,-1,0010
material-dynamics_8,material-dynamics,8,material-dynamics:sample_DiD_neg1,break,drip,direct,material,concept swap,0,0,1,0,0,-1,-1,0010
material-dynamics_21,material-dynamics,21,material-dynamics:sample_DiD_neg1,break,flap,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_23,material-dynamics,23,material-dynamics:sample_DiD_neg1,break,flap,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_25,material-dynamics,25,material-dynamics:sample_DiD_neg1,break,flap,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_27,material-dynamics,27,material-dynamics:sample_DiD_neg1,break,flap,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_29,material-dynamics,29,material-dynamics:sample_DiD_neg1,break,flap,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_56,material-dynamics,56,material-dynamics:sample_DiD_neg1,break,ripple,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_64,material-dynamics,64,material-dynamics:sample_DiD_neg1,break,ripple,direct,material,concept swap,0,0,1,0,0,-1,-1,0010
material-dynamics_68,material-dynamics,68,material-dynamics:sample_DiD_neg1,break,ripple,direct,material,concept swap,0,0,1,0,0,-1,-1,0010
material-dynamics_92,material-dynamics,92,material-dynamics:sample_DiD_neg1,break,splash,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_96,material-dynamics,96,material-dynamics:sample_DiD_neg1,break,splash,direct,material,concept swap,0,0,1,0,0,-1,-1,0010
material-dynamics_98,material-dynamics,98,material-dynamics:sample_DiD_neg1,break,splash,direct,material,concept swap,0,0,1,0,0,-1,-1,0010
material-dynamics_155,material-dynamics,155,material-dynamics:sample_DiD_neg1,drape,stir,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_157,material-dynamics,157,material-dynamics:sample_DiD_neg1,drape,stir,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_159,material-dynamics,159,material-dynamics:sample_DiD_neg1,drape,stir,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_162,material-dynamics,162,material-dynamics:sample_DiD_neg1,drape,stir,direct,material,concept swap,0,0,1,0,0,-1,-1,0010
material-dynamics_166,material-dynamics,166,material-dynamics:sample_DiD_neg1,drape,stir,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_191,material-dynamics,191,material-dynamics:sample_DiD_neg1,flap,drip,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_193,material-dynamics,193,material-dynamics:sample_DiD_neg1,flap,drip,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_195,material-dynamics,195,material-dynamics:sample_DiD_neg1,flap,drip,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_197,material-dynamics,197,material-dynamics:sample_DiD_neg1,flap,drip,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_199,material-dynamics,199,material-dynamics:sample_DiD_neg1,flap,drip,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_210,material-dynamics,210,material-dynamics:sample_DiD_neg1,fold,pour,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_214,material-dynamics,214,material-dynamics:sample_DiD_neg1,fold,pour,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_218,material-dynamics,218,material-dynamics:sample_DiD_neg1,fold,pour,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_232,material-dynamics,232,material-dynamics:sample_DiD_neg1,fold,stir,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_234,material-dynamics,234,material-dynamics:sample_DiD_neg1,fold,stir,direct,material,concept swap,0,1,1,1,1,0,-1,0111
material-dynamics_235,material-dynamics,235,material-dynamics:sample_DiD_neg1,fold,stir,direct,material,concept swap,1,1,1,0,0,-1,-1,1110
material-dynamics_13,material-dynamics,13,material-dynamics:stable_1111_control,break,drip,indirect,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_15,material-dynamics,15,material-dynamics:stable_1111_control,break,drip,indirect,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_17,material-dynamics,17,material-dynamics:stable_1111_control,break,drip,indirect,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_19,material-dynamics,19,material-dynamics:stable_1111_control,break,drip,indirect,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_30,material-dynamics,30,material-dynamics:stable_1111_control,break,flap,indirect,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_34,material-dynamics,34,material-dynamics:stable_1111_control,break,flap,indirect,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_39,material-dynamics,39,material-dynamics:stable_1111_control,break,flap,indirect,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_53,material-dynamics,53,material-dynamics:stable_1111_control,break,ripple,direct,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_61,material-dynamics,61,material-dynamics:stable_1111_control,break,ripple,direct,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_65,material-dynamics,65,material-dynamics:stable_1111_control,break,ripple,direct,material,concept swap,1,1,1,1,0,0,0,1111
material-dynamics_12,material-dynamics,12,material-dynamics:stable_0000_control,break,drip,indirect,material,concept swap,0,0,0,0,0,0,0,0000
material-dynamics_16,material-dynamics,16,material-dynamics:stable_0000_control,break,drip,indirect,material,concept swap,0,0,0,0,0,0,0,0000
material-dynamics_18,material-dynamics,18,material-dynamics:stable_0000_control,break,drip,indirect,material,concept swap,0,0,0,0,0,0,0,0000
material-dynamics_33,material-dynamics,33,material-dynamics:stable_0000_control,break,flap,indirect,material,concept swap,0,0,0,0,0,0,0,0000
material-dynamics_38,material-dynamics,38,material-dynamics:stable_0000_control,break,flap,indirect,material,concept swap,0,0,0,0,0,0,0,0000
material-dynamics_76,material-dynamics,76,material-dynamics:stable_0000_control,break,ripple,indirect,material,concept swap,0,0,0,0,0,0,0,0000
material-dynamics_82,material-dynamics,82,material-dynamics:stable_0000_control,break,ripple,indirect,material,concept swap,0,0,0,0,0,0,0,0000
material-dynamics_86,material-dynamics,86,material-dynamics:stable_0000_control,break,ripple,indirect,material,concept swap,0,0,0,0,0,0,0,0000
material-dynamics_88,material-dynamics,88,material-dynamics:stable_0000_control,break,ripple,indirect,material,concept swap,0,0,0,0,0,0,0,0000
material-dynamics_102,material-dynamics,102,material-dynamics:stable_0000_control,break,splash,indirect,material,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_5,physical-dynamics,5,physical-dynamics:all_DiD_neg2,accelerate,slow down,direct,antonym,concept swap,0,1,1,0,1,-1,-2,0110
physical-dynamics_7,physical-dynamics,7,physical-dynamics:all_DiD_neg2,accelerate,slow down,direct,antonym,concept swap,0,1,1,0,1,-1,-2,0110
physical-dynamics_1,physical-dynamics,1,physical-dynamics:sample_DiD_neg1,accelerate,slow down,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
physical-dynamics_3,physical-dynamics,3,physical-dynamics:sample_DiD_neg1,accelerate,slow down,direct,antonym,concept swap,1,1,1,0,0,-1,-1,1110
physical-dynamics_9,physical-dynamics,9,physical-dynamics:sample_DiD_neg1,accelerate,slow down,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
physical-dynamics_24,physical-dynamics,24,physical-dynamics:sample_DiD_neg1,fall,rise,direct,antonym,concept swap,0,1,1,1,1,0,-1,0111
physical-dynamics_26,physical-dynamics,26,physical-dynamics:sample_DiD_neg1,fall,rise,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
physical-dynamics_40,physical-dynamics,40,physical-dynamics:sample_DiD_neg1,grow,shrink,direct,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_42,physical-dynamics,42,physical-dynamics:sample_DiD_neg1,grow,shrink,direct,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_44,physical-dynamics,44,physical-dynamics:sample_DiD_neg1,grow,shrink,direct,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_45,physical-dynamics,45,physical-dynamics:sample_DiD_neg1,grow,shrink,direct,antonym,concept swap,1,1,1,0,0,-1,-1,1110
physical-dynamics_46,physical-dynamics,46,physical-dynamics:sample_DiD_neg1,grow,shrink,direct,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_48,physical-dynamics,48,physical-dynamics:sample_DiD_neg1,grow,shrink,direct,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_49,physical-dynamics,49,physical-dynamics:sample_DiD_neg1,grow,shrink,direct,antonym,concept swap,1,1,1,0,0,-1,-1,1110
physical-dynamics_81,physical-dynamics,81,physical-dynamics:sample_DiD_neg1,sink,float,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
physical-dynamics_83,physical-dynamics,83,physical-dynamics:sample_DiD_neg1,sink,float,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
physical-dynamics_95,physical-dynamics,95,physical-dynamics:sample_DiD_neg1,sink,float,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
physical-dynamics_99,physical-dynamics,99,physical-dynamics:sample_DiD_neg1,sink,float,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
physical-dynamics_103,physical-dynamics,103,physical-dynamics:sample_DiD_neg1,sink,float,indirect,antonym,concept swap,1,1,1,0,0,-1,-1,1110
physical-dynamics_107,physical-dynamics,107,physical-dynamics:sample_DiD_neg1,sink,float,indirect,antonym,concept swap,1,1,1,0,0,-1,-1,1110
physical-dynamics_110,physical-dynamics,110,physical-dynamics:sample_DiD_neg1,sink,float,indirect,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_112,physical-dynamics,112,physical-dynamics:sample_DiD_neg1,sink,float,indirect,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_114,physical-dynamics,114,physical-dynamics:sample_DiD_neg1,sink,float,indirect,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_115,physical-dynamics,115,physical-dynamics:sample_DiD_neg1,sink,float,indirect,antonym,concept swap,0,1,1,1,1,0,-1,0111
physical-dynamics_116,physical-dynamics,116,physical-dynamics:sample_DiD_neg1,sink,float,indirect,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_118,physical-dynamics,118,physical-dynamics:sample_DiD_neg1,sink,float,indirect,antonym,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_51,physical-dynamics,51,physical-dynamics:sample_DiD_neg1,roll,slide,indirect,negation,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_52,physical-dynamics,52,physical-dynamics:sample_DiD_neg1,roll,slide,indirect,negation,concept swap,1,1,1,0,0,-1,-1,1110
physical-dynamics_59,physical-dynamics,59,physical-dynamics:sample_DiD_neg1,roll,slide,indirect,negation,concept swap,0,0,1,0,0,-1,-1,0010
physical-dynamics_62,physical-dynamics,62,physical-dynamics:sample_DiD_neg1,roll,slide,indirect,other,concept swap,1,1,1,0,0,-1,-1,1110
physical-dynamics_64,physical-dynamics,64,physical-dynamics:sample_DiD_neg1,roll,slide,indirect,other,concept swap,1,1,1,0,0,-1,-1,1110
physical-dynamics_66,physical-dynamics,66,physical-dynamics:sample_DiD_neg1,roll,slide,indirect,other,concept swap,0,1,0,0,1,0,-1,0100
physical-dynamics_0,physical-dynamics,0,physical-dynamics:stable_1111_control,accelerate,slow down,direct,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_2,physical-dynamics,2,physical-dynamics:stable_1111_control,accelerate,slow down,direct,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_4,physical-dynamics,4,physical-dynamics:stable_1111_control,accelerate,slow down,direct,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_6,physical-dynamics,6,physical-dynamics:stable_1111_control,accelerate,slow down,direct,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_8,physical-dynamics,8,physical-dynamics:stable_1111_control,accelerate,slow down,direct,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_10,physical-dynamics,10,physical-dynamics:stable_1111_control,accelerate,slow down,indirect,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_12,physical-dynamics,12,physical-dynamics:stable_1111_control,accelerate,slow down,indirect,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_14,physical-dynamics,14,physical-dynamics:stable_1111_control,accelerate,slow down,indirect,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_16,physical-dynamics,16,physical-dynamics:stable_1111_control,accelerate,slow down,indirect,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_18,physical-dynamics,18,physical-dynamics:stable_1111_control,accelerate,slow down,indirect,antonym,concept swap,1,1,1,1,0,0,0,1111
physical-dynamics_20,physical-dynamics,20,physical-dynamics:stable_0000_control,fall,rise,direct,antonym,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_22,physical-dynamics,22,physical-dynamics:stable_0000_control,fall,rise,direct,antonym,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_28,physical-dynamics,28,physical-dynamics:stable_0000_control,fall,rise,direct,antonym,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_33,physical-dynamics,33,physical-dynamics:stable_0000_control,fall,rise,direct,antonym,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_36,physical-dynamics,36,physical-dynamics:stable_0000_control,fall,rise,direct,antonym,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_38,physical-dynamics,38,physical-dynamics:stable_0000_control,fall,rise,direct,antonym,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_57,physical-dynamics,57,physical-dynamics:stable_0000_control,roll,slide,indirect,negation,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_70,physical-dynamics,70,physical-dynamics:stable_0000_control,roll,slide,indirect,other,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_72,physical-dynamics,72,physical-dynamics:stable_0000_control,roll,slide,indirect,other,concept swap,0,0,0,0,0,0,0,0000
physical-dynamics_74,physical-dynamics,74,physical-dynamics:stable_0000_control,roll,slide,indirect,other,concept swap,0,0,0,0,0,0,0,0000
spatial-relations_355,spatial-relations,355,spatial-relations:all_DiD_neg2,left,right,direct,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_359,spatial-relations,359,spatial-relations:all_DiD_neg2,left,right,direct,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_363,spatial-relations,363,spatial-relations:all_DiD_neg2,left,right,direct,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_375,spatial-relations,375,spatial-relations:all_DiD_neg2,left,right,direct,antonym,variable swap,0,1,1,0,1,-1,-2,0110
spatial-relations_379,spatial-relations,379,spatial-relations:all_DiD_neg2,left,right,direct,antonym,variable swap,0,1,1,0,1,-1,-2,0110
spatial-relations_383,spatial-relations,383,spatial-relations:all_DiD_neg2,left,right,direct,antonym,variable swap,0,1,1,0,1,-1,-2,0110
spatial-relations_25,spatial-relations,25,spatial-relations:all_DiD_neg2,above,below,indirect,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_29,spatial-relations,29,spatial-relations:all_DiD_neg2,above,below,indirect,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_36,spatial-relations,36,spatial-relations:all_DiD_neg2,above,below,indirect,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_304,spatial-relations,304,spatial-relations:all_DiD_neg2,front,behind,indirect,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_322,spatial-relations,322,spatial-relations:all_DiD_neg2,front,behind,indirect,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_342,spatial-relations,342,spatial-relations:all_DiD_neg2,front,behind,indirect,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_405,spatial-relations,405,spatial-relations:all_DiD_neg2,left,right,indirect,antonym,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_113,spatial-relations,113,spatial-relations:all_DiD_neg2,above,below,indirect,variable swap,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_429,spatial-relations,429,spatial-relations:all_DiD_neg2,left,right,indirect,variable swap,concept swap,0,1,1,0,1,-1,-2,0110
spatial-relations_177,spatial-relations,177,spatial-relations:all_DiD_neg2,above,below,indirect,variable swap,variable swap,0,1,1,0,1,-1,-2,0110
spatial-relations_0,spatial-relations,0,spatial-relations:sample_DiD_neg1,above,below,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
spatial-relations_2,spatial-relations,2,spatial-relations:sample_DiD_neg1,above,below,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
spatial-relations_6,spatial-relations,6,spatial-relations:sample_DiD_neg1,above,below,direct,antonym,concept swap,0,1,0,0,1,0,-1,0100
spatial-relations_7,spatial-relations,7,spatial-relations:sample_DiD_neg1,above,below,direct,antonym,concept swap,0,0,1,0,0,-1,-1,0010
spatial-relations_210,spatial-relations,210,spatial-relations:sample_DiD_neg1,close,far,direct,antonym,concept swap,1,1,1,0,0,-1,-1,1110
