seed,arm,checkpoint,uid,entity_type,numops,n_items,accuracy,report
43022,V,chck_100M,move_contents_2_ops,move_contents,2,399,19.8,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,move_contents_3_ops,move_contents,3,406,25.37,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,move_contents_4_ops,move_contents,4,353,29.46,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,move_contents_5_ops,move_contents,5,116,37.93,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,regular_0_ops,regular,0,517,40.43,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,regular_1_ops,regular,1,409,14.67,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,regular_2_ops,regular,2,405,22.72,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,regular_3_ops,regular,3,425,26.35,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,regular_4_ops,regular,4,388,30.93,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,regular_5_ops,regular,5,94,34.04,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_80M,ambiref_0_ops,ambiref,0,508,28.94,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_80M,ambiref_1_ops,ambiref,1,428,16.12,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_80M,ambiref_2_ops,ambiref,2,413,17.92,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_80M,ambiref_3_ops,ambiref,3,409,24.94,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_80M,ambiref_4_ops,ambiref,4,434,26.96,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_80M,ambiref_5_ops,ambiref,5,123,21.95,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
