seed,checkpoint,contrast,group,numops,n_items,weighted_delta
43022,chck_100M,VminusC,ambiref,3,409,2.4400000000000013
43022,chck_100M,VminusC,move_contents,3,406,1.7200000000000024
43022,chck_100M,VminusC,ALL_TYPES,4,1175,7.917097872340424
43022,chck_100M,VminusC,regular,4,388,6.960000000000001
43022,chck_100M,VminusC,ambiref,4,434,8.989999999999995
43022,chck_100M,VminusC,move_contents,4,353,7.650000000000002
43022,chck_100M,VminusC,ALL_TYPES,5,333,6.6058858858858835
43022,chck_100M,VminusC,regular,5,94,7.439999999999998
43022,chck_100M,VminusC,ambiref,5,123,4.879999999999999
43022,chck_100M,VminusC,move_contents,5,116,7.759999999999998
43022,chck_100M,VminusR,ALL_TYPES,0,1541,-9.604704737183646
43022,chck_100M,VminusR,regular,0,517,-14.89
43022,chck_100M,VminusR,ambiref,0,508,-3.5500000000000007
43022,chck_100M,VminusR,move_contents,0,516,-10.269999999999996
43022,chck_100M,VminusR,ALL_TYPES,1,1274,1.8831475667189956
43022,chck_100M,VminusR,regular,1,409,3.91
43022,chck_100M,VminusR,ambiref,1,428,0.46000000000000085
43022,chck_100M,VminusR,move_contents,1,437,1.3800000000000006
43022,chck_100M,VminusR,ALL_TYPES,2,1217,3.6166146261298273
43022,chck_100M,VminusR,regular,2,405,4.449999999999999
43022,chck_100M,VminusR,ambiref,2,413,4.109999999999999
43022,chck_100M,VminusR,move_contents,2,399,2.2600000000000016
43022,chck_100M,VminusR,ALL_TYPES,3,1240,7.579596774193549
43022,chck_100M,VminusR,regular,3,425,10.350000000000001
43022,chck_100M,VminusR,ambiref,3,409,6.109999999999999
43022,chck_100M,VminusR,move_contents,3,406,6.16
43022,chck_100M,VminusR,ALL_TYPES,4,1175,9.279446808510636
43022,chck_100M,VminusR,regular,4,388,11.859999999999998
43022,chck_100M,VminusR,ambiref,4,434,8.069999999999997
43022,chck_100M,VminusR,move_contents,4,353,7.93
43022,chck_100M,VminusR,ALL_TYPES,5,333,10.50948948948949
43022,chck_100M,VminusR,regular,5,94,9.57
43022,chck_100M,VminusR,ambiref,5,123,4.879999999999999
43022,chck_100M,VminusR,move_contents,5,116,17.24
43022,chck_100M,CminusR,ALL_TYPES,0,1541,-8.629454899415961
43022,chck_100M,CminusR,regular,0,517,-11.990000000000002
43022,chck_100M,CminusR,ambiref,0,508,-3.349999999999998
43022,chck_100M,CminusR,move_contents,0,516,-10.459999999999994
43022,chck_100M,CminusR,ALL_TYPES,1,1274,1.1766875981161697
43022,chck_100M,CminusR,regular,1,409,1.7100000000000009
43022,chck_100M,CminusR,ambiref,1,428,0.0
43022,chck_100M,CminusR,move_contents,1,437,1.83
43022,chck_100M,CminusR,ALL_TYPES,2,1217,0.6613064913722274
43022,chck_100M,CminusR,regular,2,405,1.240000000000002
43022,chck_100M,CminusR,ambiref,2,413,0.23999999999999844
43022,chck_100M,CminusR,move_contents,2,399,0.5100000000000016
43022,chck_100M,CminusR,ALL_TYPES,3,1240,5.245096774193547
43022,chck_100M,CminusR,regular,3,425,7.530000000000001
43022,chck_100M,CminusR,ambiref,3,409,3.669999999999998
43022,chck_100M,CminusR,move_contents,3,406,4.439999999999998
43022,chck_100M,CminusR,ALL_TYPES,4,1175,1.3623489361702121
43022,chck_100M,CminusR,regular,4,388,4.899999999999999
43022,chck_100M,CminusR,ambiref,4,434,-0.9199999999999982
43022,chck_100M,CminusR,move_contents,4,353,0.2799999999999976
43022,chck_100M,CminusR,ALL_TYPES,5,333,3.9036036036036044
43022,chck_100M,CminusR,regular,5,94,2.1300000000000026
43022,chck_100M,CminusR,ambiref,5,123,0.0
43022,chck_100M,CminusR,move_contents,5,116,9.48
43122,chck_80M,VminusC,ALL_TYPES,0,1541,1.5614860480207657
43122,chck_80M,VminusC,regular,0,517,3.289999999999999
43122,chck_80M,VminusC,ambiref,0,508,0.1999999999999993
43122,chck_80M,VminusC,move_contents,0,516,1.1700000000000017
43122,chck_80M,VminusC,ALL_TYPES,1,1274,-0.7095211930926217
43122,chck_80M,VminusC,regular,1,409,1.2200000000000006
43122,chck_80M,VminusC,ambiref,1,428,-0.47000000000000064
43122,chck_80M,VminusC,move_contents,1,437,-2.75
43122,chck_80M,VminusC,ALL_TYPES,2,1217,0.49302382908792103
43122,chck_80M,VminusC,regular,2,405,-0.7399999999999984
43122,chck_80M,VminusC,ambiref,2,413,2.419999999999998
43122,chck_80M,VminusC,move_contents,2,399,-0.25
43122,chck_80M,VminusC,ALL_TYPES,3,1240,3.303225806451614
43122,chck_80M,VminusC,regular,3,425,5.879999999999999
43122,chck_80M,VminusC,ambiref,3,409,3.1800000000000033
43122,chck_80M,VminusC,move_contents,3,406,0.7300000000000004
43122,chck_80M,VminusC,ALL_TYPES,4,1175,6.633506382978725
43122,chck_80M,VminusC,regular,4,388,2.0600000000000023
43122,chck_80M,VminusC,ambiref,4,434,9.440000000000003
43122,chck_80M,VminusC,move_contents,4,353,8.21
43122,chck_80M,VminusC,ALL_TYPES,5,333,6.3090990990991
43122,chck_80M,VminusC,regular,5,94,6.390000000000001
43122,chck_80M,VminusC,ambiref,5,123,5.690000000000001
43122,chck_80M,VminusC,move_contents,5,116,6.900000000000002
43122,chck_80M,VminusR,ALL_TYPES,0,1541,-10.12314730694354
43122,chck_80M,VminusR,regular,0,517,-15.089999999999996
43122,chck_80M,VminusR,ambiref,0,508,-4.329999999999998
43122,chck_80M,VminusR,move_contents,0,516,-10.850000000000001
43122,chck_80M,VminusR,ALL_TYPES,1,1274,2.278759811616955
43122,chck_80M,VminusR,regular,1,409,2.450000000000001
43122,chck_80M,VminusR,ambiref,1,428,0.47000000000000064
43122,chck_80M,VminusR,move_contents,1,437,3.8900000000000006
43122,chck_80M,VminusR,ALL_TYPES,2,1217,2.8799917830731303
43122,chck_80M,VminusR,regular,2,405,1.9800000000000004
43122,chck_80M,VminusR,ambiref,2,413,4.119999999999997
43122,chck_80M,VminusR,move_contents,2,399,2.5100000000000016
43122,chck_80M,VminusR,ALL_TYPES,3,1240,6.77283064516129
43122,chck_80M,VminusR,regular,3,425,8.939999999999998
43122,chck_80M,VminusR,ambiref,3,409,3.6700000000000017
43122,chck_80M,VminusR,move_contents,3,406,7.629999999999999
43122,chck_80M,VminusR,ALL_TYPES,4,1175,8.596119148936172
43122,chck_80M,VminusR,regular,4,388,9.540000000000003
43122,chck_80M,VminusR,ambiref,4,434,6.220000000000002
43122,chck_80M,VminusR,move_contents,4,353,10.48
43122,chck_80M,VminusR,ALL_TYPES,5,333,5.704534534534535
43122,chck_80M,VminusR,regular,5,94,4.259999999999998
43122,chck_80M,VminusR,ambiref,5,123,4.870000000000001
43122,chck_80M,VminusR,move_contents,5,116,7.760000000000002
43122,chck_80M,CminusR,ALL_TYPES,0,1541,-11.684633354964307
43122,chck_80M,CminusR,regular,0,517,-18.379999999999995
43122,chck_80M,CminusR,ambiref,0,508,-4.529999999999998
43122,chck_80M,CminusR,move_contents,0,516,-12.020000000000003
43122,chck_80M,CminusR,ALL_TYPES,1,1274,2.988281004709577
43122,chck_80M,CminusR,regular,1,409,1.2300000000000004
43122,chck_80M,CminusR,ambiref,1,428,0.9400000000000013
43122,chck_80M,CminusR,move_contents,1,437,6.640000000000001
43122,chck_80M,CminusR,ALL_TYPES,2,1217,2.3869679539852093
43122,chck_80M,CminusR,regular,2,405,2.719999999999999
43122,chck_80M,CminusR,ambiref,2,413,1.6999999999999993
43122,chck_80M,CminusR,move_contents,2,399,2.7600000000000016
43122,chck_80M,CminusR,ALL_TYPES,3,1240,3.4696048387096763
43122,chck_80M,CminusR,regular,3,425,3.0599999999999987
43122,chck_80M,CminusR,ambiref,3,409,0.48999999999999844
43122,chck_80M,CminusR,move_contents,3,406,6.8999999999999995
43122,chck_80M,CminusR,ALL_TYPES,4,1175,1.9626127659574473
43122,chck_80M,CminusR,regular,4,388,7.48
