seed,checkpoint,contrast,uid,entity_type,numops,n_items,score_a,score_b,delta
43022,chck_80M,CminusR,regular_0_ops,regular,0,517,42.94,53.58,-10.64
43022,chck_80M,CminusR,regular_1_ops,regular,1,409,12.22,9.54,2.6800000000000015
43022,chck_80M,CminusR,regular_2_ops,regular,2,405,17.78,18.27,-0.48999999999999844
43022,chck_80M,CminusR,regular_3_ops,regular,3,425,23.53,16.94,6.59
43022,chck_80M,CminusR,regular_4_ops,regular,4,388,22.68,16.75,5.93
43022,chck_80M,CminusR,regular_5_ops,regular,5,94,21.28,21.28,0.0
43022,chck_90M,VminusC,ambiref_0_ops,ambiref,0,508,29.92,29.72,0.20000000000000284
43022,chck_90M,VminusC,ambiref_1_ops,ambiref,1,428,15.19,15.19,0.0
43022,chck_90M,VminusC,ambiref_2_ops,ambiref,2,413,23.73,20.58,3.150000000000002
43022,chck_90M,VminusC,ambiref_3_ops,ambiref,3,409,27.38,23.96,3.419999999999998
43022,chck_90M,VminusC,ambiref_4_ops,ambiref,4,434,36.41,28.11,8.299999999999997
43022,chck_90M,VminusC,ambiref_5_ops,ambiref,5,123,30.08,25.2,4.879999999999999
43022,chck_90M,VminusC,move_contents_0_ops,move_contents,0,516,44.96,44.57,0.39000000000000057
43022,chck_90M,VminusC,move_contents_1_ops,move_contents,1,437,16.7,16.7,0.0
43022,chck_90M,VminusC,move_contents_2_ops,move_contents,2,399,20.55,18.3,2.25
43022,chck_90M,VminusC,move_contents_3_ops,move_contents,3,406,26.11,23.65,2.460000000000001
43022,chck_90M,VminusC,move_contents_4_ops,move_contents,4,353,28.9,21.81,7.09
43022,chck_90M,VminusC,move_contents_5_ops,move_contents,5,116,37.07,31.03,6.039999999999999
43022,chck_90M,VminusC,regular_0_ops,regular,0,517,40.23,43.33,-3.1000000000000014
43022,chck_90M,VminusC,regular_1_ops,regular,1,409,14.91,12.47,2.4399999999999995
43022,chck_90M,VminusC,regular_2_ops,regular,2,405,23.21,19.51,3.6999999999999993
43022,chck_90M,VminusC,regular_3_ops,regular,3,425,26.59,22.82,3.7699999999999996
43022,chck_90M,VminusC,regular_4_ops,regular,4,388,31.44,24.48,6.960000000000001
43022,chck_90M,VminusC,regular_5_ops,regular,5,94,34.04,27.66,6.379999999999999
43022,chck_90M,VminusR,ambiref_0_ops,ambiref,0,508,29.92,34.45,-4.530000000000001
43022,chck_90M,VminusR,ambiref_1_ops,ambiref,1,428,15.19,14.49,0.6999999999999993
43022,chck_90M,VminusR,ambiref_2_ops,ambiref,2,413,23.73,19.61,4.120000000000001
43022,chck_90M,VminusR,ambiref_3_ops,ambiref,3,409,27.38,21.03,6.349999999999998
43022,chck_90M,VminusR,ambiref_4_ops,ambiref,4,434,36.41,28.8,7.609999999999996
43022,chck_90M,VminusR,ambiref_5_ops,ambiref,5,123,30.08,24.39,5.689999999999998
43022,chck_90M,VminusR,move_contents_0_ops,move_contents,0,516,44.96,56.01,-11.049999999999997
43022,chck_90M,VminusR,move_contents_1_ops,move_contents,1,437,16.7,14.87,1.83
43022,chck_90M,VminusR,move_contents_2_ops,move_contents,2,399,20.55,17.29,3.2600000000000016
43022,chck_90M,VminusR,move_contents_3_ops,move_contents,3,406,26.11,20.2,5.91
43022,chck_90M,VminusR,move_contents_4_ops,move_contents,4,353,28.9,22.38,6.52
43022,chck_90M,VminusR,move_contents_5_ops,move_contents,5,116,37.07,21.55,15.52
43022,chck_90M,VminusR,regular_0_ops,regular,0,517,40.23,55.9,-15.670000000000002
43022,chck_90M,VminusR,regular_1_ops,regular,1,409,14.91,11.25,3.66
43022,chck_90M,VminusR,regular_2_ops,regular,2,405,23.21,19.51,3.6999999999999993
43022,chck_90M,VminusR,regular_3_ops,regular,3,425,26.59,15.53,11.06
43022,chck_90M,VminusR,regular_4_ops,regular,4,388,31.44,20.88,10.560000000000002
43022,chck_90M,VminusR,regular_5_ops,regular,5,94,34.04,23.4,10.64
43022,chck_90M,CminusR,ambiref_0_ops,ambiref,0,508,29.72,34.45,-4.730000000000004
43022,chck_90M,CminusR,ambiref_1_ops,ambiref,1,428,15.19,14.49,0.6999999999999993
43022,chck_90M,CminusR,ambiref_2_ops,ambiref,2,413,20.58,19.61,0.9699999999999989
43022,chck_90M,CminusR,ambiref_3_ops,ambiref,3,409,23.96,21.03,2.9299999999999997
43022,chck_90M,CminusR,ambiref_4_ops,ambiref,4,434,28.11,28.8,-0.6900000000000013
43022,chck_90M,CminusR,ambiref_5_ops,ambiref,5,123,25.2,24.39,0.8099999999999987
43022,chck_90M,CminusR,move_contents_0_ops,move_contents,0,516,44.57,56.01,-11.439999999999998
43022,chck_90M,CminusR,move_contents_1_ops,move_contents,1,437,16.7,14.87,1.83
43022,chck_90M,CminusR,move_contents_2_ops,move_contents,2,399,18.3,17.29,1.0100000000000016
43022,chck_90M,CminusR,move_contents_3_ops,move_contents,3,406,23.65,20.2,3.4499999999999993
43022,chck_90M,CminusR,move_contents_4_ops,move_contents,4,353,21.81,22.38,-0.5700000000000003
43022,chck_90M,CminusR,move_contents_5_ops,move_contents,5,116,31.03,21.55,9.48
43022,chck_90M,CminusR,regular_0_ops,regular,0,517,43.33,55.9,-12.57
43022,chck_90M,CminusR,regular_1_ops,regular,1,409,12.47,11.25,1.2200000000000006
43022,chck_90M,CminusR,regular_2_ops,regular,2,405,19.51,19.51,0.0
43022,chck_90M,CminusR,regular_3_ops,regular,3,425,22.82,15.53,7.290000000000001
43022,chck_90M,CminusR,regular_4_ops,regular,4,388,24.48,20.88,3.6000000000000014
43022,chck_90M,CminusR,regular_5_ops,regular,5,94,27.66,23.4,4.260000000000002
43022,chck_100M,VminusC,ambiref_0_ops,ambiref,0,508,30.31,30.51,-0.20000000000000284
43022,chck_100M,VminusC,ambiref_1_ops,ambiref,1,428,15.65,15.19,0.46000000000000085
43022,chck_100M,VminusC,ambiref_2_ops,ambiref,2,413,24.21,20.34,3.870000000000001
43022,chck_100M,VminusC,ambiref_3_ops,ambiref,3,409,26.89,24.45,2.4400000000000013
43022,chck_100M,VminusC,ambiref_4_ops,ambiref,4,434,36.41,27.42,8.989999999999995
43022,chck_100M,VminusC,ambiref_5_ops,ambiref,5,123,29.27,24.39,4.879999999999999
43022,chck_100M,VminusC,move_contents_0_ops,move_contents,0,516,44.96,44.77,0.18999999999999773
43022,chck_100M,VminusC,move_contents_1_ops,move_contents,1,437,16.25,16.7,-0.4499999999999993
43022,chck_100M,VminusC,move_contents_2_ops,move_contents,2,399,19.8,18.05,1.75
43022,chck_100M,VminusC,move_contents_3_ops,move_contents,3,406,25.37,23.65,1.7200000000000024
43022,chck_100M,VminusC,move_contents_4_ops,move_contents,4,353,29.46,21.81,7.650000000000002
43022,chck_100M,VminusC,move_contents_5_ops,move_contents,5,116,37.93,30.17,7.759999999999998
43022,chck_100M,VminusC,regular_0_ops,regular,0,517,40.43,43.33,-2.8999999999999986
43022,chck_100M,VminusC,regular_1_ops,regular,1,409,14.67,12.47,2.1999999999999993
43022,chck_100M,VminusC,regular_2_ops,regular,2,405,22.72,19.51,3.2099999999999973
43022,chck_100M,VminusC,regular_3_ops,regular,3,425,26.35,23.53,2.8200000000000003
43022,chck_100M,VminusC,regular_4_ops,regular,4,388,30.93,23.97,6.960000000000001
43022,chck_100M,VminusC,regular_5_ops,regular,5,94,34.04,26.6,7.439999999999998
43022,chck_100M,VminusR,ambiref_0_ops,ambiref,0,508,30.31,33.86,-3.5500000000000007
43022,chck_100M,VminusR,ambiref_1_ops,ambiref,1,428,15.65,15.19,0.46000000000000085
43022,chck_100M,VminusR,ambiref_2_ops,ambiref,2,413,24.21,20.1,4.109999999999999
43022,chck_100M,VminusR,ambiref_3_ops,ambiref,3,409,26.89,20.78,6.109999999999999
43022,chck_100M,VminusR,ambiref_4_ops,ambiref,4,434,36.41,28.34,8.069999999999997
43022,chck_100M,VminusR,ambiref_5_ops,ambiref,5,123,29.27,24.39,4.879999999999999
43022,chck_100M,VminusR,move_contents_0_ops,move_contents,0,516,44.96,55.23,-10.269999999999996
43022,chck_100M,VminusR,move_contents_1_ops,move_contents,1,437,16.25,14.87,1.3800000000000008
43022,chck_100M,VminusR,move_contents_2_ops,move_contents,2,399,19.8,17.54,2.2600000000000016
43022,chck_100M,VminusR,move_contents_3_ops,move_contents,3,406,25.37,19.21,6.16
43022,chck_100M,VminusR,move_contents_4_ops,move_contents,4,353,29.46,21.53,7.93
43022,chck_100M,VminusR,move_contents_5_ops,move_contents,5,116,37.93,20.69,17.24
43022,chck_100M,VminusR,regular_0_ops,regular,0,517,40.43,55.32,-14.89
43022,chck_100M,VminusR,regular_1_ops,regular,1,409,14.67,10.76,3.91
43022,chck_100M,VminusR,regular_2_ops,regular,2,405,22.72,18.27,4.449999999999999
43022,chck_100M,VminusR,regular_3_ops,regular,3,425,26.35,16.0,10.350000000000001
43022,chck_100M,VminusR,regular_4_ops,regular,4,388,30.93,19.07,11.86
43022,chck_100M,VminusR,regular_5_ops,regular,5,94,34.04,24.47,9.57
43022,chck_100M,CminusR,ambiref_0_ops,ambiref,0,508,30.51,33.86,-3.349999999999998
43022,chck_100M,CminusR,ambiref_1_ops,ambiref,1,428,15.19,15.19,0.0
43022,chck_100M,CminusR,ambiref_2_ops,ambiref,2,413,20.34,20.1,0.23999999999999844
43022,chck_100M,CminusR,ambiref_3_ops,ambiref,3,409,24.45,20.78,3.669999999999998
43022,chck_100M,CminusR,ambiref_4_ops,ambiref,4,434,27.42,28.34,-0.9199999999999982
43022,chck_100M,CminusR,ambiref_5_ops,ambiref,5,123,24.39,24.39,0.0
43022,chck_100M,CminusR,move_contents_0_ops,move_contents,0,516,44.77,55.23,-10.459999999999994
43022,chck_100M,CminusR,move_contents_1_ops,move_contents,1,437,16.7,14.87,1.83
43022,chck_100M,CminusR,move_contents_2_ops,move_contents,2,399,18.05,17.54,0.5100000000000016
43022,chck_100M,CminusR,move_contents_3_ops,move_contents,3,406,23.65,19.21,4.439999999999998
43022,chck_100M,CminusR,move_contents_4_ops,move_contents,4,353,21.81,21.53,0.2799999999999976
43022,chck_100M,CminusR,move_contents_5_ops,move_contents,5,116,30.17,20.69,9.48
43022,chck_100M,CminusR,regular_0_ops,regular,0,517,43.33,55.32,-11.990000000000002
43022,chck_100M,CminusR,regular_1_ops,regular,1,409,12.47,10.76,1.7100000000000009
43022,chck_100M,CminusR,regular_2_ops,regular,2,405,19.51,18.27,1.240000000000002
43022,chck_100M,CminusR,regular_3_ops,regular,3,425,23.53,16.0,7.530000000000001
43022,chck_100M,CminusR,regular_4_ops,regular,4,388,23.97,19.07,4.899999999999999
43022,chck_100M,CminusR,regular_5_ops,regular,5,94,26.6,24.47,2.1300000000000026
43122,chck_80M,VminusC,ambiref_0_ops,ambiref,0,508,28.15,27.95,0.1999999999999993
43122,chck_80M,VminusC,ambiref_1_ops,ambiref,1,428,15.42,15.89,-0.47000000000000064
43122,chck_80M,VminusC,ambiref_2_ops,ambiref,2,413,23.97,21.55,2.419999999999998
43122,chck_80M,VminusC,ambiref_3_ops,ambiref,3,409,25.92,22.74,3.1800000000000033
43122,chck_80M,VminusC,ambiref_4_ops,ambiref,4,434,35.71,26.27,9.440000000000001
43122,chck_80M,VminusC,ambiref_5_ops,ambiref,5,123,30.89,25.2,5.690000000000001
43122,chck_80M,VminusC,move_contents_0_ops,move_contents,0,516,47.29,46.12,1.1700000000000017
43122,chck_80M,VminusC,move_contents_1_ops,move_contents,1,437,17.39,20.14,-2.75
43122,chck_80M,VminusC,move_contents_2_ops,move_contents,2,399,19.8,20.05,-0.25
43122,chck_80M,VminusC,move_contents_3_ops,move_contents,3,406,24.38,23.65,0.7300000000000004
43122,chck_80M,VminusC,move_contents_4_ops,move_contents,4,353,31.16,22.95,8.21
43122,chck_80M,VminusC,move_contents_5_ops,move_contents,5,116,36.21,29.31,6.900000000000002
43122,chck_80M,VminusC,regular_0_ops,regular,0,517,41.39,38.1,3.289999999999999
43122,chck_80M,VminusC,regular_1_ops,regular,1,409,15.65,14.43,1.2200000000000006
43122,chck_80M,VminusC,regular_2_ops,regular,2,405,19.26,20.0,-0.7399999999999984
43122,chck_80M,VminusC,regular_3_ops,regular,3,425,27.29,21.41,5.879999999999999
43122,chck_80M,VminusC,regular_4_ops,regular,4,388,28.35,26.29,2.0600000000000023
43122,chck_80M,VminusC,regular_5_ops,regular,5,94,35.11,28.72,6.390000000000001
43122,chck_80M,VminusR,ambiref_0_ops,ambiref,0,508,28.15,32.48,-4.329999999999998
43122,chck_80M,VminusR,ambiref_1_ops,ambiref,1,428,15.42,14.95,0.47000000000000064
43122,chck_80M,VminusR,ambiref_2_ops,ambiref,2,413,23.97,19.85,4.119999999999997
43122,chck_80M,VminusR,ambiref_3_ops,ambiref,3,409,25.92,22.25,3.6700000000000017
43122,chck_80M,VminusR,ambiref_4_ops,ambiref,4,434,35.71,29.49,6.220000000000002
43122,chck_80M,VminusR,ambiref_5_ops,ambiref,5,123,30.89,26.02,4.870000000000001
43122,chck_80M,VminusR,move_contents_0_ops,move_contents,0,516,47.29,58.14,-10.850000000000001
43122,chck_80M,VminusR,move_contents_1_ops,move_contents,1,437,17.39,13.5,3.8900000000000006
43122,chck_80M,VminusR,move_contents_2_ops,move_contents,2,399,19.8,17.29,2.5100000000000016
43122,chck_80M,VminusR,move_contents_3_ops,move_contents,3,406,24.38,16.75,7.629999999999999
43122,chck_80M,VminusR,move_contents_4_ops,move_contents,4,353,31.16,20.68,10.48
43122,chck_80M,VminusR,move_contents_5_ops,move_contents,5,116,36.21,28.45,7.760000000000002
43122,chck_80M,VminusR,regular_0_ops,regular,0,517,41.39,56.48,-15.089999999999996
43122,chck_80M,VminusR,regular_1_ops,regular,1,409,15.65,13.2,2.450000000000001
43122,chck_80M,VminusR,regular_2_ops,regular,2,405,19.26,17.28,1.9800000000000004
43122,chck_80M,VminusR,regular_3_ops,regular,3,425,27.29,18.35,8.939999999999998
43122,chck_80M,VminusR,regular_4_ops,regular,4,388,28.35,18.81,9.540000000000003
43122,chck_80M,VminusR,regular_5_ops,regular,5,94,35.11,30.85,4.259999999999998
43122,chck_80M,CminusR,ambiref_0_ops,ambiref,0,508,27.95,32.48,-4.529999999999998
43122,chck_80M,CminusR,ambiref_1_ops,ambiref,1,428,15.89,14.95,0.9400000000000013
43122,chck_80M,CminusR,ambiref_2_ops,ambiref,2,413,21.55,19.85,1.6999999999999993
43122,chck_80M,CminusR,ambiref_3_ops,ambiref,3,409,22.74,22.25,0.48999999999999844
43122,chck_80M,CminusR,ambiref_4_ops,ambiref,4,434,26.27,29.49,-3.219999999999999
43122,chck_80M,CminusR,ambiref_5_ops,ambiref,5,123,25.2,26.02,-0.8200000000000003
43122,chck_80M,CminusR,move_contents_0_ops,move_contents,0,516,46.12,58.14,-12.020000000000003
43122,chck_80M,CminusR,move_contents_1_ops,move_contents,1,437,20.14,13.5,6.640000000000001
43122,chck_80M,CminusR,move_contents_2_ops,move_contents,2,399,20.05,17.29,2.7600000000000016
43122,chck_80M,CminusR,move_contents_3_ops,move_contents,3,406,23.65,16.75,6.899999999999999
43122,chck_80M,CminusR,move_contents_4_ops,move_contents,4,353,22.95,20.68,2.2699999999999996
43122,chck_80M,CminusR,move_contents_5_ops,move_contents,5,116,29.31,28.45,0.8599999999999994
43122,chck_80M,CminusR,regular_0_ops,regular,0,517,38.1,56.48,-18.379999999999995
43122,chck_80M,CminusR,regular_1_ops,regular,1,409,14.43,13.2,1.2300000000000004
43122,chck_80M,CminusR,regular_2_ops,regular,2,405,20.0,17.28,2.719999999999999
43122,chck_80M,CminusR,regular_3_ops,regular,3,425,21.41,18.35,3.0599999999999987
43122,chck_80M,CminusR,regular_4_ops,regular,4,388,26.29,18.81,7.48
43122,chck_80M,CminusR,regular_5_ops,regular,5,94,28.72,30.85,-2.1300000000000026
43122,chck_90M,VminusC,ambiref_0_ops,ambiref,0,508,28.94,27.76,1.1799999999999997
43122,chck_90M,VminusC,ambiref_1_ops,ambiref,1,428,13.79,15.42,-1.6300000000000008
43122,chck_90M,VminusC,ambiref_2_ops,ambiref,2,413,22.03,20.58,1.4500000000000028
43122,chck_90M,VminusC,ambiref_3_ops,ambiref,3,409,24.21,22.74,1.4700000000000024
43122,chck_90M,VminusC,ambiref_4_ops,ambiref,4,434,33.64,25.35,8.29
43122,chck_90M,VminusC,ambiref_5_ops,ambiref,5,123,29.27,22.76,6.509999999999998
43122,chck_90M,VminusC,move_contents_0_ops,move_contents,0,516,47.29,50.19,-2.8999999999999986
43122,chck_90M,VminusC,move_contents_1_ops,move_contents,1,437,16.48,18.31,-1.8299999999999983
43122,chck_90M,VminusC,move_contents_2_ops,move_contents,2,399,21.3,19.05,2.25
43122,chck_90M,VminusC,move_contents_3_ops,move_contents,3,406,23.65,22.17,1.4799999999999969
43122,chck_90M,VminusC,move_contents_4_ops,move_contents,4,353,32.01,19.55,12.459999999999997
43122,chck_90M,VminusC,move_contents_5_ops,move_contents,5,116,37.07,28.45,8.620000000000001
43122,chck_90M,VminusC,regular_0_ops,regular,0,517,41.01,42.36,-1.3500000000000014
43122,chck_90M,VminusC,regular_1_ops,regular,1,409,16.38,14.43,1.9499999999999993
43122,chck_90M,VminusC,regular_2_ops,regular,2,405,19.01,19.01,0.0
43122,chck_90M,VminusC,regular_3_ops,regular,3,425,27.76,19.29,8.470000000000002
43122,chck_90M,VminusC,regular_4_ops,regular,4,388,28.09,24.74,3.3500000000000014
43122,chck_90M,VminusC,regular_5_ops,regular,5,94,31.91,27.66,4.25
43122,chck_90M,VminusR,ambiref_0_ops,ambiref,0,508,28.94,31.3,-2.3599999999999994
43122,chck_90M,VminusR,ambiref_1_ops,ambiref,1,428,13.79,14.49,-0.7000000000000011
43122,chck_90M,VminusR,ambiref_2_ops,ambiref,2,413,22.03,19.61,2.4200000000000017
43122,chck_90M,VminusR,ambiref_3_ops,ambiref,3,409,24.21,19.8,4.41
43122,chck_90M,VminusR,ambiref_4_ops,ambiref,4,434,33.64,28.57,5.07
43122,chck_90M,VminusR,ambiref_5_ops,ambiref,5,123,29.27,26.02,3.25
43122,chck_90M,VminusR,move_contents_0_ops,move_contents,0,516,47.29,57.36,-10.07
43122,chck_90M,VminusR,move_contents_1_ops,move_contents,1,437,16.48,13.27,3.210000000000001
43122,chck_90M,VminusR,move_contents_2_ops,move_contents,2,399,21.3,16.54,4.760000000000002
43122,chck_90M,VminusR,move_contents_3_ops,move_contents,3,406,23.65,16.75,6.899999999999999
43122,chck_90M,VminusR,move_contents_4_ops,move_contents,4,353,32.01,22.1,9.909999999999997
43122,chck_90M,VminusR,move_contents_5_ops,move_contents,5,116,37.07,31.03,6.039999999999999
43122,chck_90M,VminusR,regular_0_ops,regular,0,517,41.01,54.55,-13.54
43122,chck_90M,VminusR,regular_1_ops,regular,1,409,16.38,11.25,5.129999999999999
43122,chck_90M,VminusR,regular_2_ops,regular,2,405,19.01,17.78,1.2300000000000004
43122,chck_90M,VminusR,regular_3_ops,regular,3,425,27.76,17.65,10.110000000000003
43122,chck_90M,VminusR,regular_4_ops,regular,4,388,28.09,18.04,10.05
43122,chck_90M,VminusR,regular_5_ops,regular,5,94,31.91,28.72,3.1900000000000013
43122,chck_90M,CminusR,ambiref_0_ops,ambiref,0,508,27.76,31.3,-3.539999999999999
43122,chck_90M,CminusR,ambiref_1_ops,ambiref,1,428,15.42,14.49,0.9299999999999997
43122,chck_90M,CminusR,ambiref_2_ops,ambiref,2,413,20.58,19.61,0.9699999999999989
43122,chck_90M,CminusR,ambiref_3_ops,ambiref,3,409,22.74,19.8,2.9399999999999977
43122,chck_90M,CminusR,ambiref_4_ops,ambiref,4,434,25.35,28.57,-3.219999999999999
43122,chck_90M,CminusR,ambiref_5_ops,ambiref,5,123,22.76,26.02,-3.259999999999998
43122,chck_90M,CminusR,move_contents_0_ops,move_contents,0,516,50.19,57.36,-7.170000000000002
43122,chck_90M,CminusR,move_contents_1_ops,move_contents,1,437,18.31,13.27,5.039999999999999
43122,chck_90M,CminusR,move_contents_2_ops,move_contents,2,399,19.05,16.54,2.5100000000000016
43122,chck_90M,CminusR,move_contents_3_ops,move_contents,3,406,22.17,16.75,5.420000000000002
43122,chck_90M,CminusR,move_contents_4_ops,move_contents,4,353,19.55,22.1,-2.5500000000000007
43122,chck_90M,CminusR,move_contents_5_ops,move_contents,5,116,28.45,31.03,-2.580000000000002
43122,chck_90M,CminusR,regular_0_ops,regular,0,517,42.36,54.55,-12.189999999999998
43122,chck_90M,CminusR,regular_1_ops,regular,1,409,14.43,11.25,3.1799999999999997
43122,chck_90M,CminusR,regular_2_ops,regular,2,405,19.01,17.78,1.2300000000000004
43122,chck_90M,CminusR,regular_3_ops,regular,3,425,19.29,17.65,1.6400000000000006
43122,chck_90M,CminusR,regular_4_ops,regular,4,388,24.74,18.04,6.699999999999999
43122,chck_90M,CminusR,regular_5_ops,regular,5,94,27.66,28.72,-1.0599999999999987
43122,chck_100M,VminusC,ambiref_0_ops,ambiref,0,508,29.33,27.76,1.5699999999999967
43122,chck_100M,VminusC,ambiref_1_ops,ambiref,1,428,14.02,15.65,-1.6300000000000008
43122,chck_100M,VminusC,ambiref_2_ops,ambiref,2,413,22.52,21.31,1.2100000000000009
43122,chck_100M,VminusC,ambiref_3_ops,ambiref,3,409,24.45,22.74,1.7100000000000009
43122,chck_100M,VminusC,ambiref_4_ops,ambiref,4,434,33.64,24.42,9.219999999999999
43122,chck_100M,VminusC,ambiref_5_ops,ambiref,5,123,30.08,23.58,6.5
43122,chck_100M,VminusC,move_contents_0_ops,move_contents,0,516,46.71,50.58,-3.8699999999999974
43122,chck_100M,VminusC,move_contents_1_ops,move_contents,1,437,16.25,19.22,-2.969999999999999
43122,chck_100M,VminusC,move_contents_2_ops,move_contents,2,399,20.55,19.05,1.5
43122,chck_100M,VminusC,move_contents_3_ops,move_contents,3,406,23.89,22.91,0.9800000000000004
43122,chck_100M,VminusC,move_contents_4_ops,move_contents,4,353,31.73,19.26,12.469999999999999
43122,chck_100M,VminusC,move_contents_5_ops,move_contents,5,116,35.34,27.59,7.7500000000000036
43122,chck_100M,VminusC,regular_0_ops,regular,0,517,42.55,42.36,0.18999999999999773
43122,chck_100M,VminusC,regular_1_ops,regular,1,409,16.63,14.67,1.959999999999999
43122,chck_100M,VminusC,regular_2_ops,regular,2,405,18.77,18.52,0.25
43122,chck_100M,VminusC,regular_3_ops,regular,3,425,28.24,20.0,8.239999999999998
43122,chck_100M,VminusC,regular_4_ops,regular,4,388,28.09,24.23,3.8599999999999994
43122,chck_100M,VminusC,regular_5_ops,regular,5,94,30.85,27.66,3.1900000000000013
43122,chck_100M,VminusR,ambiref_0_ops,ambiref,0,508,29.33,31.69,-2.360000000000003
43122,chck_100M,VminusR,ambiref_1_ops,ambiref,1,428,14.02,14.95,-0.9299999999999997
43122,chck_100M,VminusR,ambiref_2_ops,ambiref,2,413,22.52,20.82,1.6999999999999993
43122,chck_100M,VminusR,ambiref_3_ops,ambiref,3,409,24.45,20.78,3.669999999999998
43122,chck_100M,VminusR,ambiref_4_ops,ambiref,4,434,33.64,29.49,4.150000000000002
