seed,contrast,group,numops,n_items_per_checkpoint,late_mean_delta,late_sd_delta
43022,VminusR,ALL_TYPES,5,333,10.50991991991992,0.001203784342974777
43022,VminusR,regular,0,517,-14.443333333333333,1.225325353619286
43022,VminusR,regular,1,409,3.9066666666666667,0.20005554784164886
43022,VminusR,regular,2,405,3.953333333333333,0.3512200956032489
43022,VminusR,regular,3,425,10.353333333333333,0.5756349151637316
43022,VminusR,regular,4,388,12.456666666666667,1.8412012986694908
43022,VminusR,regular,5,94,9.926666666666668,0.504402837246404
43022,VminusR,ambiref,0,508,-4.530000000000001,0.8001666493091718
43022,VminusR,ambiref,1,428,0.2333333333333331,0.4999555535800716
43022,VminusR,ambiref,2,413,4.52,0.5727710420985562
43022,VminusR,ambiref,3,409,6.839999999999999,0.8682165628459295
43022,VminusR,ambiref,4,434,8.68333333333333,1.2073478740151447
43022,VminusR,ambiref,5,123,5.689999999999999,0.6613622305514585
43022,VminusR,move_contents,0,516,-10.01333333333333,0.9683777958811085
43022,VminusR,move_contents,1,437,1.756666666666667,0.28241026106633504
43022,VminusR,move_contents,2,399,3.093333333333335,0.6236095644623235
43022,VminusR,move_contents,3,406,6.896666666666667,1.2228473148989438
43022,VminusR,move_contents,4,353,6.896666666666667,0.7395644363783014
43022,VminusR,move_contents,5,116,16.093333333333334,0.810815775760574
43022,CminusR,ALL_TYPES,0,1541,-8.782773091066407,0.6200349740866651
43022,CminusR,ALL_TYPES,1,1274,1.5683124018838308,0.4997995135332011
43022,CminusR,ALL_TYPES,2,1217,0.33288414133114275,0.4637564796355209
43022,CminusR,ALL_TYPES,3,1240,5.187658602150537,0.462557300044409
43022,CminusR,ALL_TYPES,4,1175,1.3900992907801417,0.5239954811699286
43022,CminusR,ALL_TYPES,5,333,3.5031931931931934,1.257893929621739
43022,CminusR,regular,0,517,-11.733333333333334,0.8085515169459245
43022,CminusR,regular,1,409,1.870000000000001,0.6066849814085289
43022,CminusR,regular,2,405,0.25000000000000117,0.7280567743429541
43022,CminusR,regular,3,425,7.136666666666668,0.39877590476635205
43022,CminusR,regular,4,388,4.81,0.9533449882737437
43022,CminusR,regular,5,94,2.1300000000000012,1.7391377173760572
43022,CminusR,ambiref,0,508,-4.530000000000001,0.8930845424706461
43022,CminusR,ambiref,1,428,0.38999999999999996,0.2913188402192116
43022,CminusR,ambiref,2,413,-0.24000000000000077,1.231611410578298
43022,CminusR,ambiref,3,409,4.073333333333333,1.1346169201785936
43022,CminusR,ambiref,4,434,-0.5366666666666665,0.3909248293754464
43022,CminusR,ambiref,5,123,-0.5433333333333342,1.3813117758935607
43022,CminusR,move_contents,0,516,-10.01333333333333,1.383746926123253
43022,CminusR,move_contents,1,437,2.44,0.862670273047588
43022,CminusR,move_contents,2,399,1.0100000000000016,0.4082482904638629
43022,CminusR,move_contents,3,406,4.27,0.6120457499239748
43022,CminusR,move_contents,4,353,0.0,0.4030715403829286
43022,CminusR,move_contents,5,116,8.906666666666668,0.810815775760574
43122,VminusC,ALL_TYPES,0,1541,-0.06268440406662375,1.1558880614386706
43122,VminusC,ALL_TYPES,1,1274,-0.731978021978022,0.15912350366159672
43122,VminusC,ALL_TYPES,2,1217,0.9027910161599566,0.3064126934856128
43122,VminusC,ALL_TYPES,3,1240,3.6282607526881727,0.2393170341501659
43122,VminusC,ALL_TYPES,4,1175,7.657157446808511,0.7537380437283573
43122,VminusC,ALL_TYPES,5,333,6.305745745745746,0.2474000196699572
43122,VminusC,regular,0,517,0.7099999999999985,1.9296286343922937
43122,VminusC,regular,1,409,1.7099999999999997,0.34650637319776123
43122,VminusC,regular,2,405,-0.1633333333333328,0.42034377465223427
43122,VminusC,regular,3,425,7.53,1.1704984693141074
43122,VminusC,regular,4,388,3.090000000000001,0.7574958745762239
43122,VminusC,regular,5,94,4.61,1.3309645625134676
43122,VminusC,ambiref,0,508,0.983333333333332,0.5763293811316187
43122,VminusC,ambiref,1,428,-1.243333333333334,0.5468292441175968
43122,VminusC,ambiref,2,413,1.693333333333334,0.5230891149911462
43122,VminusC,ambiref,3,409,2.1200000000000023,0.7559100475585709
43122,VminusC,ambiref,4,434,8.983333333333334,0.4984197249529992
43122,VminusC,ambiref,5,123,6.233333333333333,0.3842163742245005
43122,VminusC,move_contents,0,516,-1.8666666666666647,2.1834580117073212
43122,VminusC,move_contents,1,437,-2.5166666666666657,0.4937835783237659
43122,VminusC,move_contents,2,399,1.1666666666666667,1.0474837574980445
43122,VminusC,move_contents,3,406,1.0633333333333326,0.3118047822311602
43122,VminusC,move_contents,4,353,11.046666666666665,2.0058303905254675
43122,VminusC,move_contents,5,116,7.756666666666669,0.7022028829967079
43122,VminusR,ALL_TYPES,0,1541,-9.149100151416828,0.6892038702029015
43122,VminusR,ALL_TYPES,1,1274,2.383205128205128,0.09720103635833101
43122,VminusR,ALL_TYPES,2,1217,2.521744727471926,0.44530803829319443
43122,VminusR,ALL_TYPES,3,1240,7.015932795698924,0.17519428196961234
43122,VminusR,ALL_TYPES,4,1175,8.084621276595746,0.4557649318000442
43122,VminusR,ALL_TYPES,5,333,4.303503503503504,1.105902404299558
43122,VminusR,regular,0,517,-13.736666666666666,1.0340964923814162
43122,VminusR,regular,1,409,4.319999999999999,1.3262227062852845
43122,VminusR,regular,2,405,1.236666666666667,0.6042258591693086
43122,VminusR,regular,3,425,9.88,0.6929646455628179
43122,VminusR,regular,4,388,9.88,0.24041630560342522
43122,VminusR,regular,5,94,2.483333333333333,1.8094996238985206
43122,VminusR,ambiref,0,508,-3.016666666666667,0.928666905958331
43122,VminusR,ambiref,1,428,-0.38666666666666666,0.6129890337971439
43122,VminusR,ambiref,2,413,2.746666666666666,1.0146044658990123
43122,VminusR,ambiref,3,409,3.9166666666666665,0.34883934538536354
43122,VminusR,ambiref,4,434,5.146666666666668,0.8468110113176902
43122,VminusR,ambiref,5,123,4.06,0.6613622305514585
43122,VminusR,move_contents,0,516,-10.590000000000002,0.36769552621700524
43122,VminusR,move_contents,1,437,3.2833333333333337,0.4682829154356254
43122,VminusR,move_contents,2,399,3.593333333333335,0.9204467514322717
43122,VminusR,move_contents,3,406,7.14,0.34650637319776145
43122,VminusR,move_contents,4,353,9.723333333333333,0.7064622345807934
43122,VminusR,move_contents,5,116,6.036666666666668,1.4084585743129099
43122,CminusR,ALL_TYPES,0,1541,-9.086415747350205,1.84026997424895
43122,CminusR,ALL_TYPES,1,1274,3.1151831501831504,0.13077675889093024
43122,CminusR,ALL_TYPES,2,1217,1.6189537113119692,0.6049629702703015
43122,CminusR,ALL_TYPES,3,1240,3.3876720430107525,0.06661542938704101
43122,CminusR,ALL_TYPES,4,1175,0.427463829787235,1.1899713511291867
43122,CminusR,ALL_TYPES,5,333,-2.002242242242243,1.0180096914666914
43122,CminusR,regular,0,517,-14.446666666666665,2.7913477429768956
43122,CminusR,regular,1,409,2.61,0.9807140255956368
43122,CminusR,regular,2,405,1.3999999999999997,1.0155130066457374
43122,CminusR,regular,3,425,2.35,0.5797125724586847
43122,CminusR,regular,4,388,6.790000000000001,0.5304714883949931
43122,CminusR,regular,5,94,-2.1266666666666674,0.8695720531132296
43122,CminusR,ambiref,0,508,-3.9999999999999987,0.4071854614300459
43122,CminusR,ambiref,1,428,0.8566666666666674,0.11085526098877234
43122,CminusR,ambiref,2,413,1.0533333333333323,0.4974825513411392
43122,CminusR,ambiref,3,409,1.7966666666666644,1.006854287151599
43122,CminusR,ambiref,4,434,-3.8366666666666647,0.8720983634634076
43122,CminusR,ambiref,5,123,-2.1733333333333333,1.01381567467771
43122,CminusR,move_contents,0,516,-8.723333333333336,2.3323855217828426
43122,CminusR,move_contents,1,437,5.8,0.6556421788343605
43122,CminusR,move_contents,2,399,2.426666666666668,0.31180478223116176
43122,CminusR,move_contents,3,406,6.076666666666667,0.6155936610748637
43122,CminusR,move_contents,4,353,-1.323333333333333,2.58314192839306
43122,CminusR,move_contents,5,116,-1.7200000000000013,1.857812333543587
