seed,arm,checkpoint,group,n,accuracy_pct,mean_relevant_updates,mean_total_ops,mean_prefix_words,stale_pick_pct_among_wrong_stale_available_not_gold
43022,HM,chck_80M,rel0_total_ops_11,32,34.375,0.0,11.0,148.96875,nan
43022,HM,chck_80M,rel0_total_ops_12,30,36.666666666666664,0.0,12.0,157.36666666666667,nan
43022,HM,chck_80M,rel0_total_ops_2,212,37.264150943396224,0.0,2.0,77.93867924528301,nan
43022,HM,chck_80M,rel0_total_ops_3,172,41.27906976744186,0.0,3.0,85.88372093023256,nan
43022,HM,chck_80M,rel0_total_ops_4,131,38.93129770992366,0.0,4.0,93.36641221374046,nan
43022,HM,chck_80M,rel0_total_ops_5,104,41.34615384615385,0.0,5.0,100.5673076923077,nan
43022,HM,chck_80M,rel0_total_ops_6,88,44.31818181818182,0.0,6.0,107.64772727272727,nan
43022,HM,chck_80M,rel0_total_ops_7,66,46.96969696969697,0.0,7.0,117.81818181818181,nan
43022,HM,chck_80M,rel0_total_ops_8,63,34.92063492063492,0.0,8.0,127.47619047619048,nan
43022,HM,chck_80M,rel0_total_ops_9,46,43.47826086956522,0.0,9.0,134.91304347826087,nan
43022,HM,chck_80M,rel_eq0,1541,40.16872160934458,0.0,3.388059701492537,88.73329007138221,nan
43022,HM,chck_80M,rel_ge1,5239,24.203092193166636,2.5831265508684864,8.527772475663294,129.96087039511357,37.33766233766234
43022,HM,chck_80M,rel_ge2,3916,26.65985699693565,3.1179775280898876,9.274770173646578,136.0349846782431,37.34939759036145
43022,HM,chck_80M,rel_ge3,2650,28.641509433962263,3.6520754716981134,9.80188679245283,140.93735849056603,37.33075435203095
43022,HM,chck_80M,rel_ge4,1420,31.267605633802816,4.216901408450704,10.112676056338028,143.64225352112675,37.282229965156795
43022,HM,chck_80M,rel_updates_0,1541,40.16872160934458,0.0,3.388059701492537,88.73329007138221,nan
43022,HM,chck_80M,rel_updates_1,1323,16.93121693121693,1.0,6.316704459561603,111.98185941043084,36.36363636363637
43022,HM,chck_80M,rel_updates_2,1266,22.511848341232227,2.0,8.171406003159557,125.77330173775671,37.37373737373738
43022,HM,chck_80M,rel_updates_3,1230,25.609756097560975,3.0,9.44308943089431,137.81463414634146,37.391304347826086
43022,HM,chck_80M,rel_updates_4,1112,31.205035971223023,4.0,10.02158273381295,142.931654676259,41.048034934497814
43022,HM,chck_80M,rel_updates_5,308,31.493506493506494,5.0,10.441558441558442,146.2077922077922,22.413793103448278
43022,HM,chck_80M,total_ops_0,304,40.78947368421053,0.0,0.0,61.473684210526315,nan
43022,HM,chck_80M,total_ops_1,331,37.46223564954683,0.22356495468277945,1.0,69.66465256797584,nan
43022,HM,chck_80M,total_ops_10,733,27.694406548431104,2.8076398362892223,10.0,141.51841746248294,34.09090909090909
43022,HM,chck_80M,total_ops_11,828,24.033816425120772,2.9504830917874396,11.0,149.18961352657004,39.784946236559136
43022,HM,chck_80M,total_ops_12,919,26.22415669205658,3.115342763873776,12.0,158.37431991294886,37.65432098765432
43022,HM,chck_80M,total_ops_2,339,28.613569321533923,0.4424778761061947,2.0,77.53687315634218,60.0
43022,HM,chck_80M,total_ops_3,358,32.12290502793296,0.723463687150838,3.0,85.74022346368714,58.333333333333336
43022,HM,chck_80M,total_ops_4,369,27.37127371273713,1.005420054200542,4.0,93.0,40.90909090909091
43022,HM,chck_80M,total_ops_5,393,26.717557251908396,1.3231552162849873,5.0,101.42493638676845,28.571428571428573
43022,HM,chck_80M,total_ops_6,446,26.457399103139014,1.6591928251121075,6.0,109.03363228699551,40.74074074074074
43022,HM,chck_80M,total_ops_7,508,25.590551181102363,2.045275590551181,7.0,117.93897637795276,34.065934065934066
43022,HM,chck_80M,total_ops_8,592,27.533783783783782,2.285472972972973,8.0,126.08952702702703,37.62376237623762
43022,HM,chck_80M,total_ops_9,660,25.303030303030305,2.5196969696969695,9.0,134.4,36.29032258064516
43022,HM,chck_90M,ALL,6780,28.495575221238937,1.9960176991150442,7.359587020648967,120.59041297935103,35.2549889135255
43022,HM,chck_90M,rel0_total_ops_0,304,41.44736842105263,0.0,0.0,61.473684210526315,nan
43022,HM,chck_90M,rel0_total_ops_1,257,42.023346303501945,0.0,1.0,69.715953307393,nan
43022,HM,chck_90M,rel0_total_ops_10,36,30.555555555555557,0.0,10.0,143.72222222222223,nan
