arm,dose,rho,dose_name,data_arm,checkpoint,words,BLiMP,Supplement,EWoK,Entity,COMPS,Reading,cheap6_no_GlobalPIQA,cheap5_no_GlobalPIQA_Reading,EWoK_plus_Entity_sum,source_type,per_target
dose1p82_view,1.8209293539856442,0.07712,dose1p82,view,chck_30M,30000000.0,61.69,59.01,49.44,22.9,50.48,7.984999999999999,41.9175,48.70399999999999,72.34,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_30M.json
dose1p82_view,1.8209293539856442,0.07712,dose1p82,view,chck_40M,40000000.0,63.14,59.59,48.01,26.22,51.45,7.8149999999999995,42.70416666666667,49.682,74.22999999999999,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_40M.json
dose1p82_view,1.8209293539856442,0.07712,dose1p82,view,chck_50M,50000000.0,64.07,58.29,48.43,26.18,51.12,8.135,42.70416666666666,49.617999999999995,74.61,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_50M.json
dose1p82_view,1.8209293539856442,0.07712,dose1p82,view,chck_60M,60000000.0,65.1,57.81,47.89,27.47,51.37,8.185,42.97083333333333,49.928,75.36,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_60M.json
dose1p82_view,1.8209293539856442,0.07712,dose1p82,view,chck_70M,70000000.0,67.15,59.56,47.81,29.43,50.98,8.185,43.8525,50.986000000000004,77.24000000000001,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_70M.json
dose1p82_view,1.8209293539856442,0.07712,dose1p82,view,chck_80M,80000000.0,67.21,58.84,48.64,28.98,50.92,7.885,43.74583333333334,50.918,77.62,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_80M.json
dose1p82_view,1.8209293539856442,0.07712,dose1p82,view,chck_90M,90000000.0,67.49,58.48,49.03,28.33,51.09,7.965,43.73083333333333,50.884,77.36,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_90M.json
dose1p82_view,1.8209293539856442,0.07712,dose1p82,view,chck_100M,100000000.0,67.48,59.21,48.96,28.51,51.17,8.05,43.89666666666667,51.066,77.47,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_view_chck_100M.json
max_repeat,2.641480921798262,0.111872,dose2p64,repeat,chck_10M,10000000,56.22,53.52,48.89,18.39,50.23,8.61,39.31,45.45,67.28,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_10M.json
max_repeat,2.641480921798262,0.111872,dose2p64,repeat,chck_20M,20000000,60.87,57.9,50.16,19.8,50.63,8.98,41.39,47.872,69.96,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json
max_repeat,2.641480921798262,0.111872,dose2p64,repeat,chck_30M,30000000,62.44,54.98,50.76,23.01,50.38,8.280000000000001,41.641666666666666,48.314,73.77,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json
max_repeat,2.641480921798262,0.111872,dose2p64,repeat,chck_40M,40000000,62.5,56.78,49.47,25.64,50.12,7.734999999999999,42.04083333333333,48.902,75.11,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json
max_repeat,2.641480921798262,0.111872,dose2p64,repeat,chck_50M,50000000,64.34,57.83,50.75,25.61,50.9,7.985,42.9025,49.886,76.36,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json
max_repeat,2.641480921798262,0.111872,dose2p64,repeat,chck_60M,60000000,65.73,59.44,49.63,21.67,51.56,7.404999999999999,42.5725,49.606,71.30000000000001,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json
max_repeat,2.641480921798262,0.111872,dose2p64,repeat,chck_70M,70000000,66.14,58.54,51.68,25.62,51.13,7.955,43.51083333333333,50.622,77.3,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json
max_repeat,2.641480921798262,0.111872,dose2p64,repeat,chck_80M,80000000,66.03,57.83,50.73,23.48,50.8,8.025,42.81583333333333,49.774,74.21,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_80M.json
max_repeat,2.641480921798262,0.111872,dose2p64,repeat,chck_90M,90000000,66.7,57.91,49.98,24.53,51.16,8.04,43.053333333333335,50.056,74.50999999999999,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_90M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_10M,10000000,56.09,52.04,49.57,17.42,50.14,8.125,38.8975,45.052,66.99000000000001,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_20M,20000000,59.99,57.9,50.2,17.99,50.27,8.305,40.77583333333333,47.269999999999996,68.19,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_30M,30000000,60.3,55.09,49.12,24.82,50.3,9.165000000000001,41.46583333333333,47.926,73.94,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_40M,40000000,63.29,59.64,49.21,27.58,51.11,7.795,43.104166666666664,50.166,76.78999999999999,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_50M,50000000,64.99,61.24,50.38,28.04,51.03,8.309999999999999,43.998333333333335,51.136,78.42,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_60M,60000000,65.65,60.59,50.47,28.17,51.53,7.635,44.0075,51.282000000000004,78.64,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_70M,70000000,66.02,58.78,48.47,27.72,51.18,7.455,43.270833333333336,50.434,76.19,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_80M,80000000,66.3,60.37,49.8,27.98,50.93,7.6499999999999995,43.83833333333333,51.076,77.78,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_90M,90000000,66.86,59.54,50.45,28.19,50.94,7.665000000000001,43.94083333333333,51.196,78.64,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_90M.json
max_view,2.641480921798262,0.111872,dose2p64,view,chck_100M,100000000,66.84,59.55,50.15,28.09,50.88,7.685,43.865833333333335,51.102,78.24,max_json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_100M.json
