endpoint,word,child_aoa,model_aoa_word_count,model_aoa_log10_word_count,n_subword_tokens,n_model_points,n_child_points,first_word_count,last_word_count,threshold,best_perf,ceiling
clean_pres_seed62065,full,1.2532299508612814,20858651.390568648,7.319286225827435,1,18,16,1000000.0,89685369.0,-8.649513588924194,-7.594966650009155,-9.704060527839234
clean_pres_seed62065,game,1.4529568094344192,7194732.906975862,6.857014676079488,1,18,16,1000000.0,89685369.0,-7.677648900527741,-5.651237273216248,-9.704060527839234
clean_pres_seed62065,garden,1.1346020047750076,4670051.173190719,6.66932163947673,1,18,16,1000000.0,89685369.0,-8.984035991210725,-8.264011454582214,-9.704060527839234
clean_pres_seed62065,get,3.854430433329349,2637571.355920987,6.421204217713727,1,18,16,1000000.0,89685369.0,-6.975400070924545,-4.246739614009857,-9.704060527839234
clean_pres_seed62065,girl,1.2065204780616083,6956072.454949428,6.842364096996696,1,18,16,1000000.0,89685369.0,-7.552601103563095,-5.401141679286956,-9.704060527839234
clean_pres_seed62065,give,1.8459986087998488,1841674.5941433893,6.265212897059379,1,18,16,1000000.0,89685369.0,-8.207371793765809,-6.710683059692383,-9.704060527839234
clean_pres_seed62065,go,0.9705547610347265,3887979.98633611,6.589724020697097,1,18,16,1000000.0,89685369.0,-7.462451557893539,-5.220842587947845,-9.704060527839234
clean_pres_seed62065,good,4.080950226303303,1545339.0125968228,6.1890237686471306,1,18,16,1000000.0,89685369.0,-7.587537090558792,-5.471013653278351,-9.704060527839234
clean_pres_seed62065,grass,1.2149340001327427,11162818.043826358,7.047773845711706,1,18,16,1000000.0,89685369.0,-8.484606640119338,-7.265152752399445,-9.704060527839234
clean_pres_seed62065,green,2.34795478639004,7980696.383070955,6.902040788860705,1,18,16,1000000.0,89685369.0,-8.25520084210136,-6.806341156363487,-9.704060527839234
clean_pres_seed62065,gum,7.64511922930246,54948021.466363184,7.739952059239755,1,18,16,1000000.0,89685369.0,-9.171467482956567,-8.6388744380739,-9.704060527839234
clean_pres_seed62065,hair,1.2445160978217809,28288325.590074338,7.45160724195992,1,18,16,1000000.0,89685369.0,-8.450301586169983,-7.196542644500733,-9.704060527839234
clean_pres_seed62065,hamburger,1.5049919998746024,1148802.9470233992,6.060245540994986,1,18,16,1000000.0,89685369.0,-9.57916798847813,-9.454275449117025,-9.704060527839234
clean_pres_seed62065,hand,1.3012817543193596,4202968.840625704,6.623556170306537,1,18,16,1000000.0,89685369.0,-7.860380457420136,-6.016700387001038,-9.704060527839234
clean_pres_seed62065,happy,1.349145396844294,6496153.361836357,6.812656269221582,1,18,16,1000000.0,89685369.0,-7.634754304666306,-5.565448081493377,-9.704060527839234
clean_pres_seed62065,hard,1.4415883122139375,5732619.031662574,6.758353081152963,1,18,16,1000000.0,89685369.0,-8.185189203996444,-6.666317880153656,-9.704060527839234
clean_pres_seed62065,hat,1.3990804427801915,1054605.7555117346,6.023090137164387,1,18,16,1000000.0,89685369.0,-8.98427196599939,-8.264483404159545,-9.704060527839234
clean_pres_seed62065,hate,1.2987407689548678,56784762.23559986,7.754231811682532,1,18,16,1000000.0,89685369.0,-9.048081748266007,-8.392102968692779,-9.704060527839234
clean_pres_seed62065,have,4.580319021908147,1462663.3431304162,6.165144377358653,1,18,16,1000000.0,89685369.0,-6.697214292068268,-3.6903680562973022,-9.704060527839234
clean_pres_seed62065,head,1.4571351530158272,1605153.3585193593,6.205516531804411,1,18,16,1000000.0,89685369.0,-8.36366681911447,-7.0232731103897095,-9.704060527839234
clean_pres_seed62065,hear,5.425848942538017,8456057.828303266,6.927167944312039,1,18,16,1000000.0,89685369.0,-7.712949000377442,-5.72183747291565,-9.704060527839234
clean_pres_seed62065,help,2.837011402616735,5808064.804195977,6.764031453413061,1,18,16,1000000.0,89685369.0,-7.363475959081436,-5.022891390323639,-9.704060527839234
clean_pres_seed62065,hide,4.608906673747335,10154969.990551598,7.006678644337861,1,18,16,1000000.0,89685369.0,-8.695505295772339,-7.686950063705444,-9.704060527839234
