endpoint,word,child_aoa,model_aoa_word_count,model_aoa_log10_word_count,n_subword_tokens,n_model_points,n_child_points,first_word_count,last_word_count,threshold,best_perf,ceiling
dense_seed62065,empty,0.8566228732319117,11117202.763305893,7.0459955266991825,1,18,16,1000000.0,89168037.0,-8.932016412992265,-8.159972298145295,-9.704060527839234
dense_seed62065,eye,0.4381171966555905,11095539.64165266,7.045148429388453,1,18,16,1000000.0,89168037.0,-8.101639495868469,-6.499218463897705,-9.704060527839234
dense_seed62065,fall,0.17018745792330844,20206875.118440237,7.305499157466414,1,18,16,1000000.0,89168037.0,-8.39311058976152,-7.082160651683807,-9.704060527839234
dense_seed62065,farm,1.117351828981672,10510961.046699557,7.021642426608347,1,18,16,1000000.0,89168037.0,-9.012386868972566,-8.320713210105897,-9.704060527839234
dense_seed62065,fast,1.0438643753448973,12075623.11805271,7.081909550168863,1,18,16,1000000.0,89168037.0,-8.96637908079126,-8.228697633743286,-9.704060527839234
dense_seed62065,feed,1.0605108615778658,29804764.534671076,7.474285695140602,1,18,16,1000000.0,89168037.0,-8.77865060519823,-7.853240682557225,-9.704060527839234
dense_seed62065,find,2.4920747281982973,2791764.8095843224,6.445878828635205,1,18,16,1000000.0,89168037.0,-7.763328789253022,-5.822597050666809,-9.704060527839234
dense_seed62065,fine,1.3896940195585392,47222292.42652558,7.674147066267151,1,18,16,1000000.0,89168037.0,-8.784679482955719,-7.865298438072204,-9.704060527839234
dense_seed62065,finger,0.3943080177691439,6424609.131052307,6.807846710619545,1,18,16,1000000.0,89168037.0,-8.856514166373994,-8.008967804908753,-9.704060527839234
dense_seed62065,finish,0.6036949837208583,25128339.480684683,7.400163790693543,1,18,16,1000000.0,89168037.0,-8.869088755626464,-8.034116983413696,-9.704060527839234
dense_seed62065,fireman,0.956313987636558,1183381.5755516468,6.073124803323162,1,18,16,1000000.0,89168037.0,-9.571835027713561,-9.43960952758789,-9.704060527839234
dense_seed62065,fit,1.256165096388026,10434190.566230375,7.018458764253954,1,18,16,1000000.0,89168037.0,-8.62806304552057,-7.5520655632019045,-9.704060527839234
dense_seed62065,fix,6.567384488803588,22856134.75360447,7.359002787865338,1,18,16,1000000.0,89168037.0,-8.554587005157257,-7.405113482475281,-9.704060527839234
dense_seed62065,flag,0.9258819674937497,11330245.379461033,7.054239315493753,1,18,16,1000000.0,89168037.0,-8.69882101871469,-7.693581509590149,-9.704060527839234
