label,baseline,checkpoint,group,n,base_accuracy_pct,label_accuracy_pct,delta_accuracy_pct,base_recency_pick_pct_among_available,label_recency_pick_pct_among_available,delta_recency_pick_pct_among_available,base_recency_not_gold_pick_pct,label_recency_not_gold_pick_pct,delta_recency_not_gold_pick_pct
binding_ep25_alpha0p75,chck82,eval,rel1_postrel_ops0,345,19.71014492753623,22.89855072463768,3.1884057971014492,20.28985507246377,24.92753623188406,4.637681159420289,8.695652173913043,30.434782608695652,21.73913043478261
binding_ep25_alpha0p75,chck82,eval,rel1_postrel_ops_gt0,978,15.74642126789366,16.56441717791411,0.8179959100204481,33.673469387755105,36.054421768707485,2.3809523809523796,33.673469387755105,36.054421768707485,2.3809523809523796
binding_ep25_alpha0p75,chck82,eval,rel1_stale_available_not_gold,16,31.25,37.5,6.25,57.142857142857146,57.142857142857146,0.0,16.666666666666668,16.666666666666668,0.0
binding_ep25_alpha0p75,chck82,eval,rel2_postrel_ops0,391,27.877237851662404,30.17902813299233,2.301790281329925,29.66751918158568,33.248081841432224,3.580562659846546,16.27906976744186,27.906976744186046,11.627906976744185
binding_ep25_alpha0p75,chck82,eval,rel2_postrel_ops_gt0,875,21.02857142857143,19.314285714285713,-1.7142857142857153,38.56655290102389,34.47098976109215,-4.095563139931741,38.56655290102389,34.47098976109215,-4.095563139931741
binding_ep25_alpha0p75,chck82,eval,rel2_stale_available_not_gold,489,21.676891615541923,24.744376278118608,3.0674846625766854,32.967032967032964,32.234432234432234,-0.73260073260073,35.09933774834437,28.47682119205298,-6.622516556291387
binding_ep25_alpha0p75,chck82,eval,rel3_postrel_ops0,469,32.6226012793177,34.9680170575693,2.345415778251599,36.46055437100213,39.01918976545842,2.5586353944562887,26.865671641791046,28.35820895522388,1.492537313432834
binding_ep25_alpha0p75,chck82,eval,rel3_postrel_ops_gt0,761,24.83574244415243,24.0473061760841,-0.788436268068331,37.1900826446281,38.429752066115704,1.239669421487605,37.1900826446281,38.429752066115704,1.239669421487605
binding_ep25_alpha0p75,chck82,eval,rel3_stale_available_not_gold,296,29.054054054054053,29.72972972972973,0.6756756756756772,35.97560975609756,40.24390243902439,4.268292682926827,29.23076923076923,35.38461538461539,6.153846153846157
binding_ep25_alpha0p75,chck82,eval,rel4_postrel_ops0,501,34.3313373253493,36.52694610778443,2.19560878243513,36.92614770459082,39.12175648702595,2.19560878243513,32.5,32.5,0.0
binding_ep25_alpha0p75,chck82,eval,rel4_postrel_ops_gt0,611,30.114566284779052,28.314238952536826,-1.800327332242226,35.526315789473685,33.55263157894737,-1.973684210526315,35.526315789473685,33.55263157894737,-1.973684210526315
binding_ep25_alpha0p75,chck82,eval,rel4_stale_available_not_gold,326,31.595092024539877,33.43558282208589,1.840490797546014,34.23913043478261,36.95652173913044,2.717391304347828,30.76923076923077,28.205128205128204,-2.5641025641025657
binding_ep25_alpha0p75,chck82,eval,rel5_postrel_ops0,144,41.666666666666664,38.888888888888886,-2.7777777777777786,42.361111111111114,40.27777777777778,-2.0833333333333357,12.5,25.0,12.5
binding_ep25_alpha0p75,chck82,eval,rel5_postrel_ops_gt0,164,25.0,25.0,0.0,24.444444444444443,42.22222222222222,17.77777777777778,24.444444444444443,42.22222222222222,17.77777777777778
binding_ep25_alpha0p75,chck82,eval,rel5_stale_available_not_gold,94,37.234042553191486,34.04255319148936,-3.191489361702125,41.509433962264154,41.509433962264154,0.0,21.428571428571427,28.571428571428573,7.142857142857146
