arch,arm,checkpoint,companion_words,gain,probe_family,probe_id,repeated_nll,role,seed,source_domain,source_example_id,source_words,span_len,unrepeated_nll
C,C,chck_80M,9,12.284841075539589,heldout_natural_source_repeat,heldoutcopy:1:179:62109,0.012193188071250916,,NA,simple_wiki,62109,15,1,12.29703426361084
C,C,chck_80M,8,11.560749433934689,heldout_natural_source_repeat,heldoutcopy:1:17:43196,0.07113323360681534,,NA,open_subtitles,43196,10,1,11.631882667541504
C,C,chck_80M,20,1.2906850911676884,heldout_natural_source_repeat,heldoutcopy:1:180:3392,0.06155654415488243,,NA,bnc_spoken,3392,32,1,1.3522416353225708
C,C,chck_80M,25,0.055867403745651245,heldout_natural_source_repeat,heldoutcopy:1:181:55682,0.08469755947589874,,NA,simple_wiki,55682,40,1,0.14056496322155
C,C,chck_80M,8,-1.287657581269741,heldout_natural_source_repeat,heldoutcopy:1:182:57347,1.3975759744644165,,NA,simple_wiki,57347,11,1,0.10991839319467545
C,C,chck_80M,15,8.761360749602318,heldout_natural_source_repeat,heldoutcopy:1:183:8554,0.15684832632541656,,NA,childes,8554,24,1,8.918209075927734
C,C,chck_80M,12,0.37883245572447777,heldout_natural_source_repeat,heldoutcopy:1:184:57210,0.018230382353067398,,NA,simple_wiki,57210,20,1,0.39706283807754517
C,C,chck_80M,27,0.6284145885147154,heldout_natural_source_repeat,heldoutcopy:1:185:36351,0.006315512116998434,,NA,gutenberg,36351,43,1,0.6347301006317139
C,C,chck_80M,8,0.014342071081046015,heldout_natural_source_repeat,heldoutcopy:1:186:46272,0.00077622797107324,,NA,open_subtitles,46272,10,1,0.015118299052119255
C,C,chck_80M,8,9.33302927017212,heldout_natural_source_repeat,heldoutcopy:1:187:4481,3.113053798675537,,NA,bnc_spoken,4481,10,1,12.446083068847656
C,C,chck_80M,13,4.557852040976286,heldout_natural_source_repeat,heldoutcopy:1:188:61346,0.06234334781765938,,NA,simple_wiki,61346,21,1,4.620195388793945
C,C,chck_80M,19,4.528091058135033,heldout_natural_source_repeat,heldoutcopy:1:189:36298,0.007662191987037659,,NA,gutenberg,36298,30,1,4.53575325012207
C,C,chck_80M,12,0.00014649797230958939,heldout_natural_source_repeat,heldoutcopy:1:18:12105,0.0072937398217618465,,NA,childes,12105,20,1,0.007440237794071436
