overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
ALL,nonoverlap,VminusC,gain_T_vs_N,1200,0.04852485634341266,0.03564127557264377,0.5408333333333334
ALL,nonoverlap,VminusC,gain_U_vs_N,1200,0.023236041995955414,0.017782896820974635,0.5016666666666667
ALL,nonoverlap,HVminusC,gain_T_vs_U,1200,-0.02911319868813734,0.03461383327958036,0.485
ALL,nonoverlap,HVminusC,gain_T_vs_N,1200,-0.040737445070861016,0.03390551456487174,0.48583333333333334
ALL,nonoverlap,HVminusC,gain_U_vs_N,1200,-0.011624246382723668,0.01713838931344616,0.495
ALL,nonoverlap,HVminusV,gain_T_vs_U,1200,-0.05440201303559461,0.033235813131248175,0.4791666666666667
ALL,nonoverlap,HVminusV,gain_T_vs_N,1200,-0.08926230141427367,0.03267022459911208,0.46166666666666667
ALL,nonoverlap,HVminusV,gain_U_vs_N,1200,-0.03486028837867909,0.016921553160055194,0.48
ALL,nonoverlap,VminusHV,gain_T_vs_U,1200,0.05440201303559461,0.033235813131248175,0.5208333333333334
ALL,nonoverlap,VminusHV,gain_T_vs_N,1200,0.08926230141427367,0.03267022459911208,0.5383333333333333
ALL,nonoverlap,VminusHV,gain_U_vs_N,1200,0.03486028837867909,0.016921553160055194,0.52
ALL,nonoverlap,HMminusC,gain_T_vs_U,1200,-0.15794084015205348,0.03768009416653693,0.4691666666666667
ALL,nonoverlap,HMminusC,gain_T_vs_N,1200,-0.2135845953929109,0.037182659083689326,0.43583333333333335
ALL,nonoverlap,HMminusC,gain_U_vs_N,1200,-0.0556437552408574,0.01955929676452715,0.4575
ALL,nonoverlap,HMminusHV,gain_T_vs_U,1200,-0.12882764146391612,0.033977625546513394,0.4533333333333333
ALL,nonoverlap,HMminusHV,gain_T_vs_N,1200,-0.17284715032204986,0.03321118306086286,0.4425
ALL,nonoverlap,HMminusHV,gain_U_vs_N,1200,-0.044019508858133716,0.017694960490800386,0.4666666666666667
ALL,nonoverlap,HVminusHM,gain_T_vs_U,1200,0.12882764146391612,0.033977625546513394,0.5466666666666666
ALL,nonoverlap,HVminusHM,gain_T_vs_N,1200,0.17284715032204986,0.03321118306086286,0.5575
