window,checkpoint,words,dose_name,dose,rho,metric,clean,view,repeat,V_minus_C,R_minus_C,V_minus_R,identity_residual,view_growth_vs_1x,repeat_growth_vs_1x,VR_growth_vs_1x,repeat_deterioration_component,view_growth_component,view_share_of_VR_growth,repeat_deterioration_share_of_VR_growth,family,mean,median,min,max,stdev,n,positive,negative,excluded_family,component,cheap6_lfo_mean,cheap5_lfo_mean
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,EWoK,V_minus_R,0.40262499999999946,0.47031249999999936
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,4,4,EWoK,view_growth_vs_1x,0.08612499999999972,0.16937499999999972
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,3,5,EWoK,repeat_growth_vs_1x,-0.215,-0.28125
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,6,2,EWoK,VR_growth_vs_1x,0.3011249999999997,0.4506249999999997
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Entity,V_minus_C,0.30999999999999994,0.2790625
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Entity,R_minus_C,0.3536250000000004,0.36656250000000057
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,Entity,V_minus_R,-0.04362500000000047,-0.08750000000000058
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,2,6,Entity,view_growth_vs_1x,-0.17887500000000023,-0.1618750000000002
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,2,6,Entity,repeat_growth_vs_1x,-0.3220000000000002,-0.41500000000000026
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,Entity,VR_growth_vs_1x,0.14312499999999997,0.25312500000000004
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,7,1,COMPS,V_minus_C,0.7717500000000002,0.8562500000000003
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,7,1,COMPS,R_minus_C,0.6056250000000004,0.6815625000000005
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,COMPS,V_minus_R,0.1661249999999998,0.17468749999999977
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,COMPS,view_growth_vs_1x,0.07612499999999993,0.156875
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,2,6,COMPS,repeat_growth_vs_1x,-0.22300000000000017,-0.29125000000000023
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,6,2,COMPS,VR_growth_vs_1x,0.2991250000000001,0.4481250000000002
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Reading,V_minus_C,0.66025,0.66025
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Reading,R_minus_C,0.5170000000000006,0.5170000000000006
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,Reading,V_minus_R,0.1432499999999995,0.1432499999999995
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,Reading,view_growth_vs_1x,0.016499999999999834,0.016499999999999834
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,3,5,Reading,repeat_growth_vs_1x,-0.2875000000000002,-0.2875000000000002
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,6,2,Reading,VR_growth_vs_1x,0.304,0.304
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,BLiMP,V_minus_C,0.8698750000000004,0.9590625000000006
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,BLiMP,R_minus_C,0.3527500000000002,0.2959375000000002
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,5,3,BLiMP,V_minus_R,0.5171250000000003,0.6631250000000004
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,BLiMP,view_growth_vs_1x,0.2927500000000002,0.40781250000000036
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,BLiMP,repeat_growth_vs_1x,-0.25862500000000044,-0.40531250000000063
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,BLiMP,VR_growth_vs_1x,0.5513750000000006,0.813125000000001
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Supplement,V_minus_C,0.8438750000000003,0.9265625000000004
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Supplement,R_minus_C,0.5885000000000005,0.5906250000000006
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,Supplement,V_minus_R,0.2553749999999998,0.3359374999999998
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,Supplement,view_growth_vs_1x,0.11950000000000023,0.19125000000000036
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,Supplement,repeat_growth_vs_1x,-0.09762499999999998,-0.20406250000000004
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,Supplement,VR_growth_vs_1x,0.2171250000000002,0.3953125000000004
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,7,1,EWoK,V_minus_C,1.0221250000000004,1.1493750000000005
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,EWoK,R_minus_C,0.4247500000000004,0.3859375000000005
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,EWoK,V_minus_R,0.597375,0.7634375
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,5,3,EWoK,view_growth_vs_1x,0.2525000000000002,0.3575000000000004
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,2,6,EWoK,repeat_growth_vs_1x,-0.24337499999999995,-0.38625
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,EWoK,VR_growth_vs_1x,0.4958750000000002,0.7437500000000004
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,Entity,V_minus_C,0.5981250000000005,0.6193750000000007
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,8,0,Entity,R_minus_C,0.5345000000000003,0.5231250000000003
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,Entity,V_minus_R,0.06362500000000024,0.09625000000000039
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,5,3,Entity,view_growth_vs_1x,0.1092500000000003,0.17843750000000047
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,Entity,repeat_growth_vs_1x,-0.1411250000000004,-0.25843750000000054
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,Entity,VR_growth_vs_1x,0.25037500000000074,0.436875000000001
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,8,0,COMPS,V_minus_C,1.1141250000000005,1.2643750000000007
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,8,0,COMPS,R_minus_C,0.6565000000000005,0.6756250000000006
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,COMPS,V_minus_R,0.45762500000000006,0.5887500000000001
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,5,3,COMPS,view_growth_vs_1x,0.4185000000000002,0.5650000000000004
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,COMPS,repeat_growth_vs_1x,-0.17212500000000008,-0.29718750000000016
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,COMPS,VR_growth_vs_1x,0.5906250000000004,0.8621875000000006
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,Reading,V_minus_C,0.9837500000000006,0.9837500000000006
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,8,0,Reading,R_minus_C,0.49425000000000047,0.49425000000000047
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,4,4,Reading,V_minus_R,0.48950000000000016,0.48950000000000016
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,5,3,Reading,view_growth_vs_1x,0.3400000000000004,0.3400000000000004
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,3,5,Reading,repeat_growth_vs_1x,-0.31025000000000025,-0.31025000000000025
common_10M_80M,,,dose2p64,2.641480921798262,,,,,,,,,,,,,,,,,,,,,,,8,6,2,Reading,VR_growth_vs_1x,0.6502500000000007,0.6502500000000007
