model,arm,seed,data_arm,checkpoint,words,uid,domain,index,official_margin,target2_context_margin,interaction,correct,saved_pred_match
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_347,physical-interactions,347,-7.7391357421875,-8.8858642578125,-16.625,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_431,physical-interactions,431,-0.0072021484375,-0.15399169921875,-0.16119384765625,False,False
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_462,physical-interactions,462,-2.5010986328125,0.743896484375,-1.7572021484375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_465,physical-interactions,465,3.44287109375,0.010009765625,3.452880859375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_87,physical-relations,87,11.8331298828125,16.7506103515625,28.583740234375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_125,physical-relations,125,0.190673828125,-0.83203125,-0.641357421875,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_263,physical-relations,263,-2.17626953125,0.51904296875,-1.6572265625,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_268,physical-relations,268,1.0638427734375,0.2615966796875,1.325439453125,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_383,physical-relations,383,-2.10791015625,1.75286865234375,-0.35504150390625,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_527,physical-relations,527,1.48095703125,-0.325439453125,1.155517578125,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_615,physical-relations,615,7.00836181640625,-4.17431640625,2.83404541015625,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_665,physical-relations,665,-0.3140869140625,0.858154296875,0.5440673828125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_686,physical-relations,686,0.796112060546875,-0.598388671875,0.197723388671875,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-relations_693,physical-relations,693,0.3443603515625,-0.35675048828125,-0.01239013671875,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_12,quantitative-properties,12,0.222381591796875,1.3662109375,1.588592529296875,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_31,quantitative-properties,31,-1.2353515625,1.40264892578125,0.16729736328125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_35,quantitative-properties,35,-1.290924072265625,1.0142822265625,-0.276641845703125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_49,quantitative-properties,49,1.4658203125,-0.864501953125,0.601318359375,True,True
