seed,checkpoint,words,uid,domain,compact_margin,repeat_margin,margin_delta,compact_correct,repeat_correct,binary_delta,interaction_delta
43022,chck_80M,80000000,social-interactions_130,social-interactions,0.1328125,0.87554931640625,-0.74273681640625,True,True,0,0.04608154296875
43022,chck_80M,80000000,social-interactions_16,social-interactions,1.2215576171875,5.4716796875,-4.2501220703125,True,True,0,4.28948974609375
43022,chck_80M,80000000,social-interactions_19,social-interactions,0.49853515625,0.4171142578125,0.0814208984375,True,True,0,-0.11846923828125
43022,chck_80M,80000000,social-interactions_191,social-interactions,-2.438720703125,-7.29290771484375,4.85418701171875,False,False,0,0.13323974609375
43022,chck_80M,80000000,social-interactions_237,social-interactions,0.609375,1.4814453125,-0.8720703125,True,True,0,0.0712890625
43022,chck_80M,80000000,social-interactions_266,social-interactions,-1.327880859375,-3.49951171875,2.171630859375,False,False,0,3.343505859375
43022,chck_80M,80000000,social-interactions_53,social-interactions,-0.1209716796875,0.01812744140625,-0.13909912109375,False,True,-1,0.7667236328125
43022,chck_80M,80000000,social-properties_107,social-properties,-0.046875,-4.78125,4.734375,False,False,0,0.8671875
43022,chck_80M,80000000,social-properties_137,social-properties,-4.46875,-6.734375,2.265625,False,False,0,1.9140625
43022,chck_80M,80000000,social-properties_239,social-properties,-1.387939453125,-9.9169921875,8.529052734375,False,False,0,7.1236572265625
43022,chck_80M,80000000,social-properties_25,social-properties,0.09375,-1.46044921875,1.55419921875,True,False,1,1.16851806640625
43022,chck_80M,80000000,social-properties_254,social-properties,-0.376953125,-0.3701171875,-0.0068359375,False,False,0,0.7470703125
43022,chck_80M,80000000,social-properties_292,social-properties,1.830078125,2.6875,-0.857421875,True,True,0,0.451171875
43022,chck_80M,80000000,social-properties_300,social-properties,5.8544921875,1.3466796875,4.5078125,True,True,0,2.8408203125
43022,chck_80M,80000000,social-properties_303,social-properties,-0.9833984375,-2.6875,1.7041015625,False,False,0,0.26171875
43022,chck_80M,80000000,social-properties_304,social-properties,1.328125,1.67578125,-0.34765625,True,True,0,0.638671875
43022,chck_80M,80000000,social-properties_86,social-properties,-0.169921875,1.13671875,-1.306640625,False,True,-1,-0.6240234375
43022,chck_80M,80000000,social-relations_1192,social-relations,0.9140625,-7.46484375,8.37890625,True,False,1,2.640625
43022,chck_80M,80000000,social-relations_154,social-relations,23.009033203125,17.2528076171875,5.7562255859375,True,True,0,8.44671630859375
43022,chck_80M,80000000,social-relations_165,social-relations,-5.551025390625,3.50927734375,-9.060302734375,False,True,-1,-8.4462890625
43022,chck_80M,80000000,social-relations_239,social-relations,-1.056640625,0.17431640625,-1.23095703125,False,True,-1,-2.0400390625
43022,chck_80M,80000000,social-relations_333,social-relations,-9.322509765625,0.22528076171875,-9.54779052734375,False,True,-1,-4.11981201171875
43022,chck_80M,80000000,social-relations_417,social-relations,0.33984375,-4.54296875,4.8828125,True,False,1,1.93701171875
43022,chck_80M,80000000,social-relations_64,social-relations,3.334228515625,5.115478515625,-1.78125,True,True,0,2.328857421875
43022,chck_80M,80000000,social-relations_661,social-relations,3.3828125,-0.3046875,3.6875,True,False,1,1.02197265625
43022,chck_80M,80000000,social-relations_763,social-relations,9.5106201171875,1.1240234375,8.3865966796875,True,True,0,6.3280029296875
43022,chck_80M,80000000,social-relations_790,social-relations,-0.20068359375,-4.907958984375,4.707275390625,False,False,0,-1.5284423828125
43022,chck_80M,80000000,spatial-relations_156,spatial-relations,1.4453125,2.1796875,-0.734375,True,True,0,-1.0859375
43022,chck_80M,80000000,spatial-relations_241,spatial-relations,-1.2765884399414062,-2.2142486572265625,0.9376602172851562,False,False,0,0.00315093994140625
43022,chck_80M,80000000,spatial-relations_248,spatial-relations,-2.84320068359375,-3.285625457763672,0.4424247741699219,False,False,0,-0.4419517517089844
43022,chck_80M,80000000,spatial-relations_255,spatial-relations,1.88958740234375,2.2183876037597656,-0.3288002014160156,True,True,0,-0.12292098999023438
43022,chck_80M,80000000,spatial-relations_281,spatial-relations,-1.9273529052734375,-2.4990768432617188,0.5717239379882812,False,False,0,0.26749420166015625
43022,chck_80M,80000000,spatial-relations_293,spatial-relations,-3.92791748046875,5.96270751953125,-9.890625,False,True,-1,-5.75466251373291
43022,chck_80M,80000000,spatial-relations_352,spatial-relations,-2.5924835205078125,-1.4039764404296875,-1.188507080078125,False,False,0,-0.9983634948730469
43022,chck_80M,80000000,spatial-relations_393,spatial-relations,-0.27972412109375,-0.339385986328125,0.059661865234375,False,False,0,0.042881011962890625
43022,chck_80M,80000000,spatial-relations_428,spatial-relations,2.167236328125,2.635040283203125,-0.467803955078125,True,True,0,0.720733642578125
43022,chck_80M,80000000,spatial-relations_91,spatial-relations,4.4140625,11.60546875,-7.19140625,True,True,0,-0.88671875
43022,chck_100M,100000000,agent-properties_1132,agent-properties,0.49959373474121094,15.090442657470703,-14.590848922729492,True,True,0,3.2492642402648926
43022,chck_100M,100000000,agent-properties_1283,agent-properties,0.37964630126953125,-4.567413330078125,4.947059631347656,True,False,1,-0.5069732666015625
43022,chck_100M,100000000,agent-properties_1519,agent-properties,-2.2977142333984375,9.495498657226562,-11.793212890625,False,True,-1,-7.891380310058594
43022,chck_100M,100000000,agent-properties_1692,agent-properties,1.4548797607421875,-7.236663818359375,8.691543579101562,True,False,1,11.012580871582031
43022,chck_100M,100000000,agent-properties_1823,agent-properties,13.821075439453125,16.074371337890625,-2.2532958984375,True,True,0,-6.0123291015625
43022,chck_100M,100000000,agent-properties_1994,agent-properties,1.90167236328125,1.30767822265625,0.593994140625,True,True,0,3.5225830078125
43022,chck_100M,100000000,agent-properties_426,agent-properties,-13.176513671875,-10.5733642578125,-2.6031494140625,False,False,0,-2.837158203125
43022,chck_100M,100000000,agent-properties_851,agent-properties,4.57080078125,1.12548828125,3.4453125,True,True,0,5.071533203125
43022,chck_100M,100000000,agent-properties_895,agent-properties,5.0482177734375,0.239898681640625,4.808319091796875,True,True,0,5.5590972900390625
43022,chck_100M,100000000,agent-properties_910,agent-properties,-2.270517349243164,-0.5898857116699219,-1.6806316375732422,False,False,0,0.8123970031738281
43022,chck_100M,100000000,material-dynamics_115,material-dynamics,1.3125,-0.5,1.8125,True,False,1,1.8828125
43022,chck_100M,100000000,material-dynamics_122,material-dynamics,-1.19921875,6.11328125,-7.3125,False,True,-1,1.328125
43022,chck_100M,100000000,material-dynamics_131,material-dynamics,-0.328125,0.2265625,-0.5546875,False,True,-1,-1.2109375
43022,chck_100M,100000000,material-dynamics_139,material-dynamics,1.484375,-0.4375,1.921875,True,False,1,-0.34375
43022,chck_100M,100000000,material-dynamics_337,material-dynamics,1.19140625,-0.875,2.06640625,True,False,1,-0.97265625
43022,chck_100M,100000000,material-dynamics_381,material-dynamics,0.90625,-0.234375,1.140625,True,False,1,1.21875
43022,chck_100M,100000000,material-dynamics_527,material-dynamics,0.890625,4.015625,-3.125,True,True,0,-2.7421875
43022,chck_100M,100000000,material-dynamics_548,material-dynamics,-1.59375,-1.45703125,-0.13671875,False,False,0,0.6875
43022,chck_100M,100000000,material-dynamics_706,material-dynamics,-1.5625,-0.1796875,-1.3828125,False,False,0,-0.51953125
43022,chck_100M,100000000,material-dynamics_724,material-dynamics,0.125,-1.96875,2.09375,True,False,1,0.46875
43022,chck_100M,100000000,material-properties_117,material-properties,0.473388671875,-0.3834228515625,0.8568115234375,True,False,1,-1.079345703125
