seed,role,checkpoint,token_class,n,gain,T,U
43222,C,chck_90M,nonoverlap,2732,1.152760822933418,7.0491550429587795,8.201915865892198
43222,C,chck_90M,overlap,3160,6.470996469856148,1.7358435980606488,8.206840067916797
43222,R,chck_100M,nonoverlap,2732,0.31488251833831155,7.455204904373373,7.7700874227116845
43222,R,chck_100M,overlap,3160,5.781559526862351,1.9309881358130951,7.712547662675446
43222,R,chck_80M,nonoverlap,2732,0.2254264049851922,7.572374497030232,7.797800902015425
43222,R,chck_80M,overlap,3160,5.742098178677968,2.0193554970960403,7.761453675774009
43222,R,chck_90M,nonoverlap,2732,0.33262484864985276,7.442530744469,7.7751555931188525
43222,R,chck_90M,overlap,3160,5.771856251978639,1.9412405921998022,7.713096844178442
43222,V,chck_100M,nonoverlap,2732,1.9901627362548955,5.689389243634693,7.679551979889589
43222,V,chck_100M,overlap,3160,6.8986584711354775,0.876716976974007,7.775375448109485
43222,V,chck_80M,nonoverlap,2732,1.9646701875345927,5.746711586232503,7.711381773767096
43222,V,chck_80M,overlap,3160,6.860211598382352,0.935672997180122,7.795884595562474
43222,V,chck_90M,nonoverlap,2732,1.9867932750716653,5.683207983228802,7.670001258300467
43222,V,chck_90M,overlap,3160,6.884531544592737,0.8759204017442336,7.76045194633697
