other_label,comparison_kind,endpoint_reference,endpoint_other,column,n_items,both_correct,reference_only_correct,other_only_correct,both_wrong,net_other_minus_reference_items,net_other_minus_reference_pct_items,disagreement_fraction,jaccard_correct_sets
scale1p75_seed43122_dense,same_endpoint,chck_74M,chck_74M,COMPS,91028,29563,18265,18093,25107,-172,-0.1889528496726282,0.3994155644417102,0.44846103669543846
scale1p75_seed43122_dense,same_endpoint,chck_74M,chck_74M,GlobalPIQA,203,55,19,22,107,3,1.477832512315271,0.2019704433497537,0.5729166666666666
scale1p75_seed43122_dense,same_endpoint,chck_76M,chck_76M,BLiMP,59875,34404,6417,5154,13900,-1263,-2.109394572025052,0.1932526096033403,0.7483197389885807
scale1p75_seed43122_dense,same_endpoint,chck_76M,chck_76M,Supplement,5218,3430,472,304,1012,-168,-3.219624377155998,0.14871598313530088,0.8155016642891108
scale1p75_seed43122_dense,same_endpoint,chck_76M,chck_76M,EWoK,7618,2638,1134,1248,2598,114,1.4964557626673667,0.3126804935678656,0.5254980079681275
scale1p75_seed43122_dense,same_endpoint,chck_76M,chck_76M,Entity,6780,1275,512,531,4462,19,0.28023598820059,0.153834808259587,0.5500431406384815
scale1p75_seed43122_dense,same_endpoint,chck_76M,chck_76M,COMPS,91028,29732,18045,17981,25270,-64,-0.07030803708748956,0.39576833501779674,0.45214270507010557
scale1p75_seed43122_dense,same_endpoint,chck_76M,chck_76M,GlobalPIQA,203,59,16,22,106,6,2.955665024630542,0.18719211822660098,0.6082474226804123
scale1p75_seed43122_dense,same_endpoint,chck_78M,chck_78M,BLiMP,59875,34492,6171,5265,13947,-906,-1.513152400835073,0.19099791231732777,0.7510015676711375
scale1p75_seed43122_dense,same_endpoint,chck_78M,chck_78M,Supplement,5218,3381,466,340,1031,-126,-2.414718282866999,0.15446531238022232,0.8074994029137808
scale1p75_seed43122_dense,same_endpoint,chck_78M,chck_78M,EWoK,7618,2669,1080,1239,2630,159,2.087161984772906,0.304410606458388,0.535084202085004
scale1p75_seed43122_dense,same_endpoint,chck_78M,chck_78M,Entity,6780,1307,574,504,4395,-70,-1.0324483775811208,0.15899705014749263,0.5480083857442348
scale1p75_seed43122_dense,same_endpoint,chck_78M,chck_78M,COMPS,91028,30308,17701,17364,25655,-337,-0.37021575778881227,0.3852111438238784,0.4636164777507534
scale1p75_seed43122_dense,same_endpoint,chck_78M,chck_78M,GlobalPIQA,203,60,16,19,108,3,1.477832512315271,0.1724137931034483,0.631578947368421
scale1p75_seed43122_dense,same_endpoint,chck_80M,chck_80M,BLiMP,59875,34808,5903,5117,14047,-786,-1.3127348643006262,0.1840501043841336,0.7595356550580431
scale1p75_seed43122_dense,same_endpoint,chck_80M,chck_80M,Supplement,5218,3383,467,327,1041,-140,-2.683020314296665,0.15216558068225375,0.8099114196791956
scale1p75_seed43122_dense,same_endpoint,chck_80M,chck_80M,EWoK,7618,2658,1096,1174,2690,78,1.023890784982935,0.29797847203990546,0.5393668831168831
scale1p75_seed43122_dense,same_endpoint,chck_80M,chck_80M,Entity,6780,1376,504,485,4415,-19,-0.28023598820059,0.14587020648967552,0.5818181818181818
scale1p75_seed43122_dense,same_endpoint,chck_80M,chck_80M,COMPS,91028,30242,17600,17289,25897,-311,-0.3416531177220196,0.3832776728039724,0.4643257435015584
scale1p75_seed43122_dense,same_endpoint,chck_80M,chck_80M,GlobalPIQA,203,59,18,19,107,1,0.49261083743842365,0.18226600985221675,0.6145833333333334
scale1p75_seed43122_dense,same_endpoint,chck_82M,chck_82M,BLiMP,59875,34747,6190,5079,13859,-1111,-1.8555323590814194,0.18820876826722338,0.7551069193324061
scale1p75_seed43122_dense,same_endpoint,chck_82M,chck_82M,Supplement,5218,3434,436,305,1043,-131,-2.5105404369490225,0.1420084323495592,0.8225149700598803
scale1p75_seed43122_dense,same_endpoint,chck_82M,chck_82M,EWoK,7618,2651,1153,1183,2631,30,0.3938041480703596,0.3066421632974534,0.5315821134950872
scale1p75_seed43122_dense,same_endpoint,chck_82M,chck_82M,Entity,6780,1368,523,471,4418,-52,-0.7669616519174041,0.14660766961651917,0.5791701947502117
scale1p75_seed43122_dense,same_endpoint,chck_82M,chck_82M,COMPS,91028,29456,18444,18141,24987,-303,-0.3328646130860834,0.40190930263215713,0.44602595357429475
scale1p75_seed43122_dense,same_endpoint,chck_82M,chck_82M,GlobalPIQA,203,56,20,22,105,2,0.9852216748768473,0.20689655172413793,0.5714285714285714
scale1p75_seed43122_dense,same_endpoint,chck_84M,chck_84M,BLiMP,59875,34705,6093,5226,13851,-867,-1.4480167014613778,0.1890438413361169,0.7540630975143403
scale1p75_seed43122_dense,same_endpoint,chck_84M,chck_84M,Supplement,5218,3423,437,323,1035,-114,-2.184745113070142,0.14564967420467612,0.8183122161128377
scale1p75_seed43122_dense,same_endpoint,chck_84M,chck_84M,EWoK,7618,2672,1129,1196,2621,67,0.8794959306904699,0.30519821475452874,0.5347208324994998
scale1p75_seed43122_dense,same_endpoint,chck_84M,chck_84M,Entity,6780,1314,588,439,4439,-149,-2.1976401179941,0.1514749262536873,0.5612985903460059
scale1p75_seed43122_dense,same_endpoint,chck_84M,chck_84M,COMPS,91028,29883,18099,17797,25249,-302,-0.3317660500065914,0.3943402030144571,0.45429392359263593
scale1p75_seed43122_dense,same_endpoint,chck_84M,chck_84M,GlobalPIQA,203,61,16,19,107,3,1.477832512315271,0.1724137931034483,0.6354166666666666
scale1p75_seed43122_dense,same_endpoint,chck_86M,chck_86M,BLiMP,59875,34831,6094,5156,13794,-938,-1.566597077244259,0.18789144050104384,0.7558646730756711
scale1p75_seed43122_dense,same_endpoint,chck_86M,chck_86M,Supplement,5218,3425,452,295,1046,-157,-3.008815638175546,0.1431582981985435,0.8209491850431447
scale1p75_seed43122_dense,same_endpoint,chck_86M,chck_86M,EWoK,7618,2652,1177,1201,2588,24,0.31504331845628775,0.31215542137043845,0.5272365805168986
scale1p75_seed43122_dense,same_endpoint,chck_86M,chck_86M,Entity,6780,1296,616,470,4398,-146,-2.1533923303834808,0.16017699115044248,0.5440806045340051
scale1p75_seed43122_dense,same_endpoint,chck_86M,chck_86M,COMPS,91028,29959,18021,17666,25382,-355,-0.3899898932196687,0.39204420617831875,0.4563720561801176
scale1p75_seed43122_dense,same_endpoint,chck_86M,chck_86M,GlobalPIQA,203,58,15,21,109,6,2.955665024630542,0.17733990147783252,0.6170212765957447
scale1p75_seed43122_dense,same_endpoint,chck_88M,chck_88M,BLiMP,59875,34924,6016,5095,13840,-921,-1.538204592901879,0.18556993736951982,0.758640165091778
scale1p75_seed43122_dense,same_endpoint,chck_88M,chck_88M,Supplement,5218,3407,441,309,1061,-132,-2.5297048677654272,0.14373323112303565,0.819581428915083
scale1p75_seed43122_dense,same_endpoint,chck_88M,chck_88M,EWoK,7618,2659,1141,1182,2636,41,0.5381990023628249,0.30493567865581517,0.5337213970293055
scale1p75_seed43122_dense,same_endpoint,chck_88M,chck_88M,Entity,6780,1333,598,447,4402,-151,-2.2271386430678466,0.1541297935103245,0.5605550883095037
scale1p75_seed43122_dense,same_endpoint,chck_88M,chck_88M,COMPS,91028,30137,17855,17517,25519,-338,-0.37131432086830424,0.3885837324779189,0.4600436581233113
scale1p75_seed43122_dense,same_endpoint,chck_88M,chck_88M,GlobalPIQA,203,59,13,24,107,11,5.41871921182266,0.18226600985221675,0.6145833333333334
scale1p75_seed43122_dense,same_endpoint,chck_90M,chck_90M,BLiMP,59875,34924,6077,5013,13861,-1064,-1.777035490605428,0.18521920668058456,0.7589863954448646
scale1p75_seed43122_dense,same_endpoint,chck_90M,chck_90M,Supplement,5218,3415,429,315,1059,-114,-2.184745113070142,0.14258336527405135,0.8211108439528733
scale1p75_seed43122_dense,same_endpoint,chck_90M,chck_90M,EWoK,7618,2627,1146,1217,2628,71,0.9320031504331845,0.3101864006300866,0.5264529058116233
scale1p75_seed43122_dense,same_endpoint,chck_90M,chck_90M,Entity,6780,1315,569,460,4436,-109,-1.607669616519174,0.1517699115044248,0.5610068259385665
scale1p75_seed43122_dense,same_endpoint,chck_90M,chck_90M,COMPS,91028,30301,17677,17358,25692,-319,-0.3504416223579558,0.3848815749000308,0.46377188686176074
scale1p75_seed43122_dense,same_endpoint,chck_90M,chck_90M,GlobalPIQA,203,54,14,27,108,13,6.403940886699508,0.2019704433497537,0.5684210526315789
scale1p75_seed43122_dense,best_vs_best,chck_84M,chck_88M,BLiMP,59875,34746,6052,5273,13804,-779,-1.301043841336117,0.18914405010438412,0.7541837598489288
scale1p75_seed43122_dense,best_vs_best,chck_84M,chck_88M,Supplement,5218,3400,460,316,1042,-144,-2.7596780375622845,0.14871598313530088,0.814176245210728
scale1p75_seed43122_dense,best_vs_best,chck_84M,chck_88M,EWoK,7618,2645,1156,1196,2621,40,0.5250721974271462,0.308742452087162,0.5293175905543326
scale1p75_seed43122_dense,best_vs_best,chck_84M,chck_88M,Entity,6780,1318,584,462,4416,-122,-1.7994100294985251,0.15427728613569322,0.5575296108291032
scale1p75_seed43122_dense,best_vs_best,chck_84M,chck_88M,COMPS,91028,29852,18130,17802,25244,-328,-0.36032869007338403,0.3947356857230742,0.45378815517451054
scale1p75_seed43122_dense,best_vs_best,chck_84M,chck_88M,GlobalPIQA,203,63,14,20,106,6,2.955665024630542,0.16748768472906403,0.6494845360824743
scale1p25_seed43022_dense,same_endpoint,chck_70M,chck_70M,BLiMP,59875,34220,6172,4772,14711,-1400,-2.338204592901879,0.18278079331941544,0.7576831104419449
scale1p25_seed43022_dense,same_endpoint,chck_70M,chck_70M,Supplement,5218,3458,360,356,1044,-4,-0.07665772326561901,0.13721732464545802,0.8284619070436032
scale1p25_seed43022_dense,same_endpoint,chck_70M,chck_70M,EWoK,7618,2671,1116,1070,2761,-46,-0.6038330270412182,0.2869519558939354,0.5499279390570311
scale1p25_seed43022_dense,same_endpoint,chck_70M,chck_70M,Entity,6780,1280,533,479,4488,-54,-0.7964601769911505,0.14926253687315635,0.5584642233856894
scale1p25_seed43022_dense,same_endpoint,chck_70M,chck_70M,COMPS,91028,31278,16596,16514,26640,-82,-0.09008217251834601,0.3637342356198093,0.4857737466608685
scale1p25_seed43022_dense,same_endpoint,chck_70M,chck_70M,GlobalPIQA,203,60,10,16,117,6,2.955665024630542,0.12807881773399016,0.6976744186046512
scale1p25_seed43022_dense,same_endpoint,chck_72M,chck_72M,BLiMP,59875,34190,6055,4855,14775,-1200,-2.0041753653444676,0.18221294363256785,0.7580931263858093
scale1p25_seed43022_dense,same_endpoint,chck_72M,chck_72M,Supplement,5218,3438,344,374,1062,30,0.5749329244921426,0.13760061326178613,0.8272377285851781
scale1p25_seed43022_dense,same_endpoint,chck_72M,chck_72M,EWoK,7618,2590,1198,1114,2716,-84,-1.1026516145970071,0.30349173011289055,0.5283557731538148
scale1p25_seed43022_dense,same_endpoint,chck_72M,chck_72M,Entity,6780,1284,502,526,4468,24,0.35398230088495575,0.15162241887905606,0.5553633217993079
scale1p25_seed43022_dense,same_endpoint,chck_72M,chck_72M,COMPS,91028,31317,16616,16471,26624,-145,-0.15929164652634353,0.3634815661115261,0.4862586174771753
scale1p25_seed43022_dense,same_endpoint,chck_72M,chck_72M,GlobalPIQA,203,61,13,15,114,2,0.9852216748768473,0.13793103448275862,0.6853932584269663
scale1p25_seed43022_dense,same_endpoint,chck_74M,chck_74M,BLiMP,59875,34433,6132,4656,14654,-1476,-2.4651356993736955,0.18017536534446765,0.7614382698303885
scale1p25_seed43022_dense,same_endpoint,chck_74M,chck_74M,Supplement,5218,3443,366,408,1001,42,0.8049060942889995,0.1483326945189728,0.816457197059521
scale1p25_seed43022_dense,same_endpoint,chck_74M,chck_74M,EWoK,7618,2696,1118,1091,2713,-27,-0.3544237332633237,0.2899711210291415,0.5496432212028542
scale1p25_seed43022_dense,same_endpoint,chck_74M,chck_74M,Entity,6780,1279,554,480,4467,-74,-1.0914454277286136,0.15250737463126843,0.5529615218331172
scale1p25_seed43022_dense,same_endpoint,chck_74M,chck_74M,COMPS,91028,31480,16348,16307,26893,-41,-0.045041086259173004,0.3587357736081206,0.4908396351446168
scale1p25_seed43022_dense,same_endpoint,chck_74M,chck_74M,GlobalPIQA,203,56,18,16,113,-2,-0.9852216748768473,0.16748768472906403,0.6222222222222222
scale1p25_seed43022_dense,same_endpoint,chck_76M,chck_76M,BLiMP,59875,34778,6043,4371,14683,-1672,-2.792484342379958,0.17392901878914405,0.7695609842449991
scale1p25_seed43022_dense,same_endpoint,chck_76M,chck_76M,Supplement,5218,3547,355,348,968,-7,-0.13415101571483326,0.1347259486393254,0.8345882352941176
scale1p25_seed43022_dense,same_endpoint,chck_76M,chck_76M,EWoK,7618,2646,1126,1096,2750,-30,-0.3938041480703596,0.2916776056707797,0.5435497124075596
scale1p25_seed43022_dense,same_endpoint,chck_76M,chck_76M,Entity,6780,1306,481,468,4525,-13,-0.19174041297935102,0.13997050147492626,0.5791574279379157
scale1p25_seed43022_dense,same_endpoint,chck_76M,chck_76M,COMPS,91028,31586,16191,16288,26963,97,0.10656061871072636,0.3568023025882146,0.493030515882307
scale1p25_seed43022_dense,same_endpoint,chck_76M,chck_76M,GlobalPIQA,203,59,16,16,112,0,0.0,0.15763546798029557,0.6483516483516484
scale1p25_seed43022_dense,same_endpoint,chck_78M,chck_78M,BLiMP,59875,34925,5738,4525,14687,-1213,-2.025887265135699,0.1714070981210856,0.7728821811100293
scale1p25_seed43022_dense,same_endpoint,chck_78M,chck_78M,Supplement,5218,3531,316,397,974,81,1.552318896128785,0.1366423917209659,0.8319981149858624
scale1p25_seed43022_dense,same_endpoint,chck_78M,chck_78M,EWoK,7618,2651,1098,1141,2728,43,0.5644526122341822,0.2939091625098451,0.5421267893660532
scale1p25_seed43022_dense,same_endpoint,chck_78M,chck_78M,Entity,6780,1323,558,487,4412,-71,-1.047197640117994,0.1541297935103245,0.5586993243243243
scale1p25_seed43022_dense,same_endpoint,chck_78M,chck_78M,COMPS,91028,31764,16245,16201,26818,-44,-0.04833677549764907,0.35643977677198224,0.4946893007319732
scale1p25_seed43022_dense,same_endpoint,chck_78M,chck_78M,GlobalPIQA,203,60,16,17,110,1,0.49261083743842365,0.1625615763546798,0.6451612903225806
scale1p25_seed43022_dense,same_endpoint,chck_80M,chck_80M,BLiMP,59875,34898,5813,4359,14805,-1454,-2.4283924843423796,0.16988726513569938,0.7743066341246949
scale1p25_seed43022_dense,same_endpoint,chck_80M,chck_80M,Supplement,5218,3524,326,361,1007,35,0.6707550785741663,0.13165963970870065,0.8368558537164569
scale1p25_seed43022_dense,same_endpoint,chck_80M,chck_80M,EWoK,7618,2669,1085,1086,2778,1,0.013126804935678657,0.28498293515358364,0.5514462809917355
scale1p25_seed43022_dense,same_endpoint,chck_80M,chck_80M,Entity,6780,1373,507,448,4452,-59,-0.8702064896755162,0.14085545722713863,0.5897766323024055
scale1p25_seed43022_dense,same_endpoint,chck_80M,chck_80M,COMPS,91028,31461,16381,16214,26972,-167,-0.18346003427516808,0.35807663576042537,0.4911483701760959
scale1p25_seed43022_dense,same_endpoint,chck_80M,chck_80M,GlobalPIQA,203,59,18,20,106,2,0.9852216748768473,0.18719211822660098,0.6082474226804123
scale1p25_seed43022_dense,same_endpoint,chck_82M,chck_82M,BLiMP,59875,35206,5731,4379,14559,-1352,-2.2580375782881004,0.1688517745302714,0.7768999911730956
scale1p25_seed43022_dense,same_endpoint,chck_82M,chck_82M,Supplement,5218,3569,301,372,976,71,1.3606745879647375,0.128976619394404,0.8413484205563414
scale1p25_seed43022_dense,same_endpoint,chck_82M,chck_82M,EWoK,7618,2731,1073,1022,2792,-51,-0.6694670517196115,0.2750065634024678,0.5658930791545793
scale1p25_seed43022_dense,same_endpoint,chck_82M,chck_82M,Entity,6780,1411,480,464,4425,-16,-0.2359882005899705,0.1392330383480826,0.5991507430997877
scale1p25_seed43022_dense,same_endpoint,chck_82M,chck_82M,COMPS,91028,31766,16134,16199,26929,65,0.07140660016698158,0.3551984004921563,0.4955771540897674
scale1p25_seed43022_dense,same_endpoint,chck_82M,chck_82M,GlobalPIQA,203,60,16,19,108,3,1.477832512315271,0.1724137931034483,0.631578947368421
scale1p25_seed43022_dense,same_endpoint,chck_84M,chck_84M,BLiMP,59875,34917,5881,4485,14592,-1396,-2.3315240083507307,0.17312734864300627,0.7710840712850296
scale1p25_seed43022_dense,same_endpoint,chck_84M,chck_84M,Supplement,5218,3548,312,389,969,77,1.475661172863166,0.13434266002299733,0.8350200047069899
scale1p25_seed43022_dense,same_endpoint,chck_84M,chck_84M,EWoK,7618,2749,1052,1034,2783,-18,-0.2362824888422158,0.27382515095825677,0.5685625646328852
scale1p25_seed43022_dense,same_endpoint,chck_84M,chck_84M,Entity,6780,1375,527,467,4411,-60,-0.8849557522123894,0.14660766961651917,0.5804136766568172
scale1p25_seed43022_dense,same_endpoint,chck_84M,chck_84M,COMPS,91028,31815,16167,16142,26904,-25,-0.02746407698730061,0.3549347453530782,0.49614808807934624
scale1p25_seed43022_dense,same_endpoint,chck_84M,chck_84M,GlobalPIQA,203,61,16,20,106,4,1.9704433497536946,0.17733990147783252,0.6288659793814433
scale1p25_seed43022_dense,same_endpoint,chck_86M,chck_86M,BLiMP,59875,35234,5691,4403,14547,-1288,-2.1511482254697287,0.16858455114822546,0.7773120367102012
scale1p25_seed43022_dense,same_endpoint,chck_86M,chck_86M,Supplement,5218,3588,289,374,967,85,1.628976619394404,0.1270601763127635,0.8440366972477065
scale1p25_seed43022_dense,same_endpoint,chck_86M,chck_86M,EWoK,7618,2731,1098,1011,2778,-87,-1.1420320294040431,0.27684431609346283,0.5642561983471074
scale1p25_seed43022_dense,same_endpoint,chck_86M,chck_86M,Entity,6780,1402,510,476,4392,-34,-0.5014749262536873,0.1454277286135693,0.5871021775544388
scale1p25_seed43022_dense,same_endpoint,chck_86M,chck_86M,COMPS,91028,32187,15793,15901,27147,108,0.11864481258513865,0.34817858241420224,0.5038587373397411
scale1p25_seed43022_dense,same_endpoint,chck_86M,chck_86M,GlobalPIQA,203,58,15,23,107,8,3.9408866995073892,0.18719211822660098,0.6041666666666666
scale1p25_seed43022_dense,same_endpoint,chck_88M,chck_88M,BLiMP,59875,35328,5612,4391,14544,-1221,-2.0392484342379955,0.16706471816283924,0.7793342304383314
scale1p25_seed43022_dense,same_endpoint,chck_88M,chck_88M,Supplement,5218,3557,291,397,973,106,2.0314296665389038,0.1318512840168647,0.8379269729093051
scale1p25_seed43022_dense,same_endpoint,chck_88M,chck_88M,EWoK,7618,2704,1096,1028,2790,-68,-0.8926227356261486,0.27881333683381465,0.56006628003314
scale1p25_seed43022_dense,same_endpoint,chck_88M,chck_88M,Entity,6780,1414,517,460,4389,-57,-0.8407079646017699,0.14410029498525073,0.5913843580092012
scale1p25_seed43022_dense,same_endpoint,chck_88M,chck_88M,COMPS,91028,32425,15567,15824,27212,257,0.28233071142945027,0.3448499362833414,0.5081014165726464
scale1p25_seed43022_dense,same_endpoint,chck_88M,chck_88M,GlobalPIQA,203,57,15,21,110,6,2.955665024630542,0.17733990147783252,0.6129032258064516
scale1p25_seed43022_dense,same_endpoint,chck_90M,chck_90M,BLiMP,59875,35317,5684,4398,14476,-1286,-2.1478079331941546,0.16838413361169102,0.7779246238903941
scale1p25_seed43022_dense,same_endpoint,chck_90M,chck_90M,Supplement,5218,3545,299,382,992,83,1.5906477577615943,0.13050977385971638,0.8388547089446284
scale1p25_seed43022_dense,same_endpoint,chck_90M,chck_90M,EWoK,7618,2690,1083,1029,2816,-54,-0.7088474665266474,0.2772381202415332,0.5601832569762599
scale1p25_seed43022_dense,same_endpoint,chck_90M,chck_90M,Entity,6780,1385,499,464,4432,-35,-0.5162241887905604,0.14203539823008848,0.5898637137989778
scale1p25_seed43022_dense,same_endpoint,chck_90M,chck_90M,COMPS,91028,32403,15575,15822,27228,247,0.27134508063453006,0.34491585006811093,0.5078840125391849
scale1p25_seed43022_dense,same_endpoint,chck_90M,chck_90M,GlobalPIQA,203,55,13,23,112,10,4.926108374384237,0.17733990147783252,0.6043956043956044
scale1p25_seed43022_dense,same_endpoint,chck_92M,chck_92M,BLiMP,59875,35294,5740,4395,14446,-1345,-2.2463465553235906,0.16926931106471815,0.776904620396663
scale1p25_seed43022_dense,same_endpoint,chck_92M,chck_92M,Supplement,5218,3548,302,386,982,84,1.609812188577999,0.1318512840168647,0.8375826251180358
scale1p25_seed43022_dense,same_endpoint,chck_92M,chck_92M,EWoK,7618,2711,1069,1010,2828,-59,-0.7744814912050406,0.27290627461275924,0.5659707724425888
scale1p25_seed43022_dense,same_endpoint,chck_92M,chck_92M,Entity,6780,1369,498,457,4456,-41,-0.6047197640117994,0.14085545722713863,0.5890705679862306
scale1p25_seed43022_dense,same_endpoint,chck_92M,chck_92M,COMPS,91028,32469,15590,15748,27221,158,0.17357296655973986,0.34426769785121064,0.5088626639710376
scale1p25_seed43022_dense,same_endpoint,chck_92M,chck_92M,GlobalPIQA,203,55,15,23,110,8,3.9408866995073892,0.18719211822660098,0.5913978494623656
scale1p25_seed43022_dense,same_endpoint,chck_94M,chck_94M,BLiMP,59875,35252,5795,4366,14462,-1429,-2.3866388308977036,0.1697035490605428,0.7762534956950653
scale1p25_seed43022_dense,same_endpoint,chck_94M,chck_94M,Supplement,5218,3559,299,393,967,94,1.8014564967420468,0.13261786124952088,0.8372147729945895
scale1p25_seed43022_dense,same_endpoint,chck_94M,chck_94M,EWoK,7618,2717,1075,1006,2820,-69,-0.9057495405618272,0.2731688107114728,0.5662776156731971
scale1p25_seed43022_dense,same_endpoint,chck_94M,chck_94M,Entity,6780,1354,486,464,4476,-22,-0.32448377581120946,0.140117994100295,0.5876736111111112
scale1p25_seed43022_dense,same_endpoint,chck_94M,chck_94M,COMPS,91028,32427,15637,15822,27142,185,0.2032341697060245,0.34559695917739597,0.5075759947406318
scale1p25_seed43022_dense,same_endpoint,chck_94M,chck_94M,GlobalPIQA,203,59,15,19,110,4,1.9704433497536946,0.16748768472906403,0.6344086021505376
scale1p25_seed43022_dense,same_endpoint,chck_96M,chck_96M,BLiMP,59875,35265,5774,4378,14458,-1396,-2.3315240083507307,0.16955323590814197,0.7764713653477773
scale1p25_seed43022_dense,same_endpoint,chck_96M,chck_96M,Supplement,5218,3558,304,392,964,88,1.6864699118436182,0.13338443848217707,0.8363892806770099
scale1p25_seed43022_dense,same_endpoint,chck_96M,chck_96M,EWoK,7618,2700,1089,1013,2816,-76,-0.9976371751115778,0.27592543974796535,0.5622657226155768
scale1p25_seed43022_dense,same_endpoint,chck_96M,chck_96M,Entity,6780,1372,478,453,4477,-25,-0.3687315634218289,0.13731563421828907,0.5957446808510638
scale1p25_seed43022_dense,same_endpoint,chck_96M,chck_96M,COMPS,91028,32422,15622,15824,27160,202,0.22190974205738892,0.345454145977062,0.5076407590655727
scale1p25_seed43022_dense,same_endpoint,chck_96M,chck_96M,GlobalPIQA,203,59,14,17,113,3,1.477832512315271,0.15270935960591134,0.6555555555555556
scale1p25_seed43022_dense,same_endpoint,chck_98M,chck_98M,BLiMP,59875,35234,5782,4405,14454,-1377,-2.299791231732777,0.17013778705636742,0.775720481715506
scale1p25_seed43022_dense,same_endpoint,chck_98M,chck_98M,Supplement,5218,3562,307,391,958,84,1.609812188577999,0.13376772709850518,0.8361502347417841
scale1p25_seed43022_dense,same_endpoint,chck_98M,chck_98M,EWoK,7618,2698,1089,1008,2823,-81,-1.0632711997899713,0.2752690995011814,0.5626694473409802
scale1p25_seed43022_dense,same_endpoint,chck_98M,chck_98M,Entity,6780,1369,487,461,4463,-26,-0.38348082595870203,0.13982300884955753,0.5908502373759171
scale1p25_seed43022_dense,same_endpoint,chck_98M,chck_98M,COMPS,91028,32432,15660,15792,27144,132,0.14501032649294723,0.34552005976183153,0.5076701521507733
scale1p25_seed43022_dense,same_endpoint,chck_98M,chck_98M,GlobalPIQA,203,59,14,20,110,6,2.955665024630542,0.16748768472906403,0.6344086021505376
scale1p25_seed43022_dense,same_endpoint,chck_100M,chck_100M,BLiMP,59875,35248,5775,4389,14463,-1386,-2.3148225469728603,0.1697536534446764,0.7761825068263895
scale1p25_seed43022_dense,same_endpoint,chck_100M,chck_100M,Supplement,5218,3563,307,389,959,82,1.5714833269451896,0.13338443848217707,0.836581357126086
scale1p25_seed43022_dense,same_endpoint,chck_100M,chck_100M,EWoK,7618,2698,1084,1009,2827,-75,-0.9845103701758993,0.27474402730375425,0.5631392193696514
scale1p25_seed43022_dense,same_endpoint,chck_100M,chck_100M,Entity,6780,1369,485,462,4464,-23,-0.3392330383480826,0.13967551622418878,0.5911053540587219
scale1p25_seed43022_dense,same_endpoint,chck_100M,chck_100M,COMPS,91028,32431,15666,15805,27126,139,0.1527002680493914,0.345728786746935,0.5075115019874182
scale1p25_seed43022_dense,same_endpoint,chck_100M,chck_100M,GlobalPIQA,203,59,14,20,110,6,2.955665024630542,0.16748768472906403,0.6344086021505376
