identity,quantity,window,n,mean,median,min,max,checkpoints
D1_VR_equals_VB_plus_BR,COMPS,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VR_equals_VB_plus_BR,COMPS,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,COMPS,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,COMPS,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VR_equals_VB_plus_BR,EWoK,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VR_equals_VB_plus_BR,EWoK,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,EWoK,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,EWoK,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VR_equals_VB_plus_BR,EWoK_plus_Entity_sum,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,EWoK_plus_Entity_sum,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,EWoK_plus_Entity_sum,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,EWoK_plus_Entity_sum,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VR_equals_VB_plus_BR,Entity,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,Entity,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,Entity,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,Entity,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VR_equals_VB_plus_BR,Reading,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VR_equals_VB_plus_BR,Reading,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,Reading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,Reading,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VR_equals_VB_plus_BR,Supplement,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VR_equals_VB_plus_BR,Supplement,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,Supplement,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,Supplement,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VR_equals_VB_plus_BR,cheap5_no_GlobalPIQA_Reading,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,cheap5_no_GlobalPIQA_Reading,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
