arm,role,reference,seed,checkpoint,words,family,payload,description,reason,path
D2_V,V,deberta_basin2,43122,chck_10M,10000000,Entity,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_10M,10000000,COMPS,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_10M,10000000,Reading,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,,,,chck_20M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
D2_V,,,,chck_20M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
D2_V,,,,chck_20M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
D2_V,,,,chck_20M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
D2_V,,,,chck_20M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
D2_V,,,,chck_20M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
D2_V,,,,chck_30M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
D2_V,,,,chck_30M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
D2_V,,,,chck_30M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
D2_V,,,,chck_30M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
D2_V,,,,chck_30M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
D2_V,,,,chck_30M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
D2_V,,,,chck_40M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
D2_V,,,,chck_40M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
D2_V,,,,chck_40M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
D2_V,,,,chck_40M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
D2_V,,,,chck_40M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
D2_V,,,,chck_40M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
D2_V,,,,chck_50M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
D2_V,,,,chck_50M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
D2_V,,,,chck_50M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
D2_V,,,,chck_50M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
D2_V,,,,chck_50M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
D2_V,,,,chck_50M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
D2_V,,,,chck_60M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
D2_V,,,,chck_60M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
D2_V,,,,chck_60M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
D2_V,,,,chck_60M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
D2_V,,,,chck_60M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
D2_V,,,,chck_60M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
D2_V,,,,chck_70M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
D2_V,,,,chck_70M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
D2_V,,,,chck_70M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
D2_V,,,,chck_70M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
D2_V,,,,chck_70M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
D2_V,,,,chck_70M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
D2_V,V,deberta_basin2,43122,chck_80M,80000000,BLiMP,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_80M,80000000,Supplement,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_80M,80000000,EWoK,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_80M,80000000,COMPS,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_80M,80000000,Reading,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_90M,90000000,BLiMP,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_90M,90000000,Supplement,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_90M,90000000,EWoK,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_90M,90000000,COMPS,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_90M,90000000,Reading,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_100M,100000000,BLiMP,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_100M,100000000,Supplement,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_100M,100000000,EWoK,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_100M,100000000,COMPS,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_100M,100000000,Reading,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_10M,10000000,BLiMP,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_10M,10000000,Supplement,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_10M,10000000,EWoK,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_10M,10000000,Entity,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_10M,10000000,COMPS,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_10M,10000000,Reading,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,,,,chck_20M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
D2_R,,,,chck_20M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
D2_R,,,,chck_20M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
D2_R,,,,chck_20M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
D2_R,,,,chck_20M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
D2_R,,,,chck_20M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
D2_R,,,,chck_30M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
D2_R,,,,chck_30M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
D2_R,,,,chck_30M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
D2_R,,,,chck_30M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
D2_R,,,,chck_30M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
D2_R,,,,chck_30M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
D2_R,,,,chck_40M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
D2_R,,,,chck_40M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
D2_R,,,,chck_40M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
D2_R,,,,chck_40M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
D2_R,,,,chck_40M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
D2_R,,,,chck_40M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
D2_R,,,,chck_50M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
D2_R,,,,chck_50M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
D2_R,,,,chck_50M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
D2_R,,,,chck_50M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
D2_R,,,,chck_50M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
D2_R,,,,chck_50M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
D2_R,,,,chck_60M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
D2_R,,,,chck_60M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
D2_R,,,,chck_60M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
D2_R,,,,chck_60M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
D2_R,,,,chck_60M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
D2_R,,,,chck_60M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
D2_R,,,,chck_70M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_70M.json
D2_R,,,,chck_70M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_70M.json
D2_R,,,,chck_70M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_70M.json
D2_R,,,,chck_70M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_70M.json
D2_R,,,,chck_70M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_70M.json
D2_R,,,,chck_70M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_70M.json
D2_R,R,deberta_basin2,43122,chck_80M,80000000,BLiMP,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_80M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_80M,80000000,Supplement,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_80M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_80M,80000000,EWoK,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_80M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_80M,80000000,COMPS,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_80M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_80M,80000000,Reading,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_80M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_90M,90000000,BLiMP,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_90M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_90M,90000000,Supplement,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_90M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_90M,90000000,EWoK,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_90M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_90M,90000000,COMPS,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_90M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_90M,90000000,Reading,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_90M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_100M,100000000,BLiMP,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_100M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_100M,100000000,Supplement,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_100M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_100M,100000000,EWoK,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_100M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_100M,100000000,COMPS,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_100M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_R,R,deberta_basin2,43122,chck_100M,100000000,Reading,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_100M.json,DeBERTa basin2 MAX exact repeat,task_missing_or_no_score,
D2_Cmax,,,,chck_10M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_10M.json
D2_Cmax,,,,chck_10M,,Supplement,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_10M.json
D2_Cmax,,,,chck_10M,,EWoK,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_10M.json
D2_Cmax,,,,chck_10M,,Entity,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_10M.json
D2_Cmax,,,,chck_10M,,COMPS,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_10M.json
D2_Cmax,,,,chck_10M,,Reading,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_10M.json
D2_Cmax,,,,chck_20M,,BLiMP,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_20M.json
