arm,architecture,seed,role,checkpoint,words,family,score,payload,description
deberta_basin1_repeat,deberta,43022,R,chck_10M,10000000,Reading,8.61,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_10M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_20M,20000000,BLiMP,60.87,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_20M,20000000,Supplement,57.9,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_20M,20000000,EWoK,50.16,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_20M,20000000,Entity,19.8,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_20M,20000000,COMPS,50.63,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_20M,20000000,Reading,8.98,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_30M,30000000,BLiMP,62.44,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_30M,30000000,Supplement,54.98,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_30M,30000000,EWoK,50.76,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_30M,30000000,Entity,23.01,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_30M,30000000,COMPS,50.38,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_30M,30000000,Reading,8.280000000000001,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_40M,40000000,BLiMP,62.5,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_40M,40000000,Supplement,56.78,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_40M,40000000,EWoK,49.47,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_40M,40000000,Entity,25.64,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_40M,40000000,COMPS,50.12,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_40M,40000000,Reading,7.734999999999999,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_50M,50000000,BLiMP,64.34,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_50M,50000000,Supplement,57.83,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_50M,50000000,EWoK,50.75,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_50M,50000000,Entity,25.61,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_50M,50000000,COMPS,50.9,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_50M,50000000,Reading,7.985,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_60M,60000000,BLiMP,65.73,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_60M,60000000,Supplement,59.44,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_60M,60000000,EWoK,49.63,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_60M,60000000,Entity,21.67,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_60M,60000000,COMPS,51.56,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_60M,60000000,Reading,7.404999999999999,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_70M,70000000,BLiMP,66.14,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_70M,70000000,Supplement,58.54,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_70M,70000000,EWoK,51.68,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_70M,70000000,Entity,25.62,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_70M,70000000,COMPS,51.13,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_70M,70000000,Reading,7.955,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_80M,80000000,BLiMP,66.03,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_80M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_80M,80000000,Supplement,57.83,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_80M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_80M,80000000,EWoK,50.73,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_80M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_80M,80000000,Entity,23.48,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_80M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_80M,80000000,COMPS,50.8,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_80M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_80M,80000000,Reading,8.025,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_80M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_90M,90000000,BLiMP,66.7,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_90M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_90M,90000000,Supplement,57.91,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_90M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_90M,90000000,EWoK,49.98,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_90M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_90M,90000000,Entity,24.53,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_90M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_90M,90000000,COMPS,51.16,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_90M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_90M,90000000,Reading,8.04,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_90M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_100M,100000000,BLiMP,66.63,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_100M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_100M,100000000,Supplement,57.62,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_100M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_100M,100000000,EWoK,49.88,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_100M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_100M,100000000,Entity,24.2,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_100M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_100M,100000000,COMPS,51.04,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_100M.json,first-basin MAX exact-repeat arm
deberta_basin1_repeat,deberta,43022,R,chck_100M,100000000,Reading,7.97,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_100M.json,first-basin MAX exact-repeat arm
deberta_basin1_breadth,deberta,43022,B,chck_10M,10000000,BLiMP,57.51,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_10M.json,first-basin MAX same-population sentence-breadth arm
deberta_basin1_breadth,deberta,43022,B,chck_10M,10000000,Supplement,53.43,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_10M.json,first-basin MAX same-population sentence-breadth arm
deberta_basin1_breadth,deberta,43022,B,chck_10M,10000000,EWoK,50.54,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_10M.json,first-basin MAX same-population sentence-breadth arm
deberta_basin1_breadth,deberta,43022,B,chck_10M,10000000,COMPS,49.95,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_10M.json,first-basin MAX same-population sentence-breadth arm
deberta_basin1_breadth,deberta,43022,B,chck_10M,10000000,Reading,8.49,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_10M.json,first-basin MAX same-population sentence-breadth arm
deberta_basin1_breadth,deberta,43022,B,chck_20M,20000000,BLiMP,61.9,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_20M.json,first-basin MAX same-population sentence-breadth arm
