arm,architecture,seed,role,checkpoint,words,family,score,payload,description,reason,path
deberta_basin1_clean_maxgeom,,,,chck_50M,50000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_50M.json
deberta_basin1_clean_maxgeom,,,,chck_50M,50000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_50M.json
deberta_basin1_clean_maxgeom,,,,chck_50M,50000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_50M.json
deberta_basin1_clean_maxgeom,,,,chck_50M,50000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_50M.json
deberta_basin1_clean_maxgeom,,,,chck_50M,50000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_50M.json
deberta_basin1_clean_maxgeom,,,,chck_50M,50000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_50M.json
deberta_basin1_clean_maxgeom,,,,chck_60M,60000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_60M.json
deberta_basin1_clean_maxgeom,,,,chck_60M,60000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_60M.json
deberta_basin1_clean_maxgeom,,,,chck_60M,60000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_60M.json
deberta_basin1_clean_maxgeom,,,,chck_60M,60000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_60M.json
deberta_basin1_clean_maxgeom,,,,chck_60M,60000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_60M.json
deberta_basin1_clean_maxgeom,,,,chck_60M,60000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_60M.json
deberta_basin1_clean_maxgeom,,,,chck_70M,70000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json
deberta_basin1_clean_maxgeom,,,,chck_70M,70000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json
deberta_basin1_clean_maxgeom,,,,chck_70M,70000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json
deberta_basin1_clean_maxgeom,,,,chck_70M,70000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json
deberta_basin1_clean_maxgeom,,,,chck_70M,70000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json
deberta_basin1_clean_maxgeom,,,,chck_70M,70000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json
deberta_basin2_view,deberta,43122,V,chck_10M,10000000,BLiMP,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_10M,10000000,Supplement,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_10M,10000000,EWoK,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_10M,10000000,Entity,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_10M,10000000,COMPS,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_10M,10000000,Reading,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,,,,chck_20M,20000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
deberta_basin2_view,,,,chck_20M,20000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
deberta_basin2_view,,,,chck_20M,20000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
deberta_basin2_view,,,,chck_20M,20000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
deberta_basin2_view,,,,chck_20M,20000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
deberta_basin2_view,,,,chck_20M,20000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_20M.json
deberta_basin2_view,,,,chck_30M,30000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
deberta_basin2_view,,,,chck_30M,30000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
deberta_basin2_view,,,,chck_30M,30000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
deberta_basin2_view,,,,chck_30M,30000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
deberta_basin2_view,,,,chck_30M,30000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
deberta_basin2_view,,,,chck_30M,30000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_30M.json
deberta_basin2_view,,,,chck_40M,40000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
deberta_basin2_view,,,,chck_40M,40000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
deberta_basin2_view,,,,chck_40M,40000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
deberta_basin2_view,,,,chck_40M,40000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
deberta_basin2_view,,,,chck_40M,40000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
deberta_basin2_view,,,,chck_40M,40000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_40M.json
deberta_basin2_view,,,,chck_50M,50000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
deberta_basin2_view,,,,chck_50M,50000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
deberta_basin2_view,,,,chck_50M,50000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
deberta_basin2_view,,,,chck_50M,50000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
deberta_basin2_view,,,,chck_50M,50000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
deberta_basin2_view,,,,chck_50M,50000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_50M.json
deberta_basin2_view,,,,chck_60M,60000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
deberta_basin2_view,,,,chck_60M,60000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
deberta_basin2_view,,,,chck_60M,60000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
deberta_basin2_view,,,,chck_60M,60000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
deberta_basin2_view,,,,chck_60M,60000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
deberta_basin2_view,,,,chck_60M,60000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_60M.json
deberta_basin2_view,,,,chck_70M,70000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
deberta_basin2_view,,,,chck_70M,70000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
deberta_basin2_view,,,,chck_70M,70000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
deberta_basin2_view,,,,chck_70M,70000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
deberta_basin2_view,,,,chck_70M,70000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
deberta_basin2_view,,,,chck_70M,70000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_70M.json
deberta_basin2_view,deberta,43122,V,chck_80M,80000000,BLiMP,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_80M,80000000,Supplement,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_80M,80000000,EWoK,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_80M,80000000,COMPS,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_80M,80000000,Reading,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_90M,90000000,BLiMP,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_90M,90000000,Supplement,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_90M,90000000,EWoK,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_90M,90000000,COMPS,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_90M,90000000,Reading,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_100M,100000000,BLiMP,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_100M,100000000,Supplement,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_100M,100000000,EWoK,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_100M,100000000,COMPS,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_view,deberta,43122,V,chck_100M,100000000,Reading,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,second-basin MAX compact re-expression arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_repeat,deberta,43122,R,chck_10M,10000000,BLiMP,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,second-basin MAX exact-repeat arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_repeat,deberta,43122,R,chck_10M,10000000,Supplement,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,second-basin MAX exact-repeat arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_repeat,deberta,43122,R,chck_10M,10000000,EWoK,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,second-basin MAX exact-repeat arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_repeat,deberta,43122,R,chck_10M,10000000,Entity,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,second-basin MAX exact-repeat arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_repeat,deberta,43122,R,chck_10M,10000000,COMPS,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,second-basin MAX exact-repeat arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_repeat,deberta,43122,R,chck_10M,10000000,Reading,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_10M.json,second-basin MAX exact-repeat arm; currently mainly Entity/EWoK,task_missing_or_no_score,
deberta_basin2_repeat,,,,chck_20M,20000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
deberta_basin2_repeat,,,,chck_20M,20000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
deberta_basin2_repeat,,,,chck_20M,20000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
deberta_basin2_repeat,,,,chck_20M,20000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
deberta_basin2_repeat,,,,chck_20M,20000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
deberta_basin2_repeat,,,,chck_20M,20000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_20M.json
deberta_basin2_repeat,,,,chck_30M,30000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
deberta_basin2_repeat,,,,chck_30M,30000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
deberta_basin2_repeat,,,,chck_30M,30000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
deberta_basin2_repeat,,,,chck_30M,30000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
deberta_basin2_repeat,,,,chck_30M,30000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
deberta_basin2_repeat,,,,chck_30M,30000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_30M.json
deberta_basin2_repeat,,,,chck_40M,40000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
deberta_basin2_repeat,,,,chck_40M,40000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
deberta_basin2_repeat,,,,chck_40M,40000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
deberta_basin2_repeat,,,,chck_40M,40000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
deberta_basin2_repeat,,,,chck_40M,40000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
deberta_basin2_repeat,,,,chck_40M,40000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_40M.json
deberta_basin2_repeat,,,,chck_50M,50000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
deberta_basin2_repeat,,,,chck_50M,50000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
deberta_basin2_repeat,,,,chck_50M,50000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
deberta_basin2_repeat,,,,chck_50M,50000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
deberta_basin2_repeat,,,,chck_50M,50000000,COMPS,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
deberta_basin2_repeat,,,,chck_50M,50000000,Reading,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_50M.json
deberta_basin2_repeat,,,,chck_60M,60000000,BLiMP,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
deberta_basin2_repeat,,,,chck_60M,60000000,Supplement,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
deberta_basin2_repeat,,,,chck_60M,60000000,EWoK,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
deberta_basin2_repeat,,,,chck_60M,60000000,Entity,,,,payload_missing,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_60M.json
