contrast,arm_a,arm_b,checkpoint,words,quantity,delta,score_a,score_b
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,exEntity4_noReading,0.32500000000000284,55.8125,55.4875
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,BLiMP,-0.19000000000001194,64.99,65.18
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,Supplement,2.3700000000000045,61.24,58.87
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,EWoK,1.220000000000006,50.38,49.16
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,COMPS,-0.12999999999999545,51.03,51.16
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,Reading,0.3999999999999986,8.309999999999999,7.91
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,exEntity5,0.7339999999999947,47.19,46.456
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,exEntity4_noReading,0.8174999999999955,56.91,56.0925
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,BLiMP,-0.45999999999999375,65.65,66.11
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,Supplement,2.0600000000000023,60.59,58.53
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,EWoK,0.6999999999999957,50.47,49.77
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,COMPS,-0.030000000000001137,51.53,51.56
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,Reading,-0.10999999999999943,7.635,7.744999999999999
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,exEntity5,0.43200000000000216,47.175000000000004,46.743
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,exEntity4_noReading,0.5675000000000026,57.06,56.4925
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,BLiMP,-1.0900000000000034,66.02,67.11
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,Supplement,-1.1599999999999966,58.78,59.94
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,EWoK,-1.1799999999999997,48.47,49.65
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,COMPS,-0.740000000000002,51.18,51.92
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,Reading,-0.1349999999999998,7.455,7.59
