seed,comparison,arm,checkpoint,probe_set,packet_type,slot_mode,packet_id,delta_full_new_minus_source_T,delta_full_new_minus_source_U,delta_full_new_minus_source_N,delta_full_new_minus_source_T_minus_U,delta_full_new_minus_source_T_minus_N,delta_content_new_minus_source_T,delta_content_new_minus_source_U,delta_content_new_minus_source_N,delta_content_new_minus_source_T_minus_U,delta_content_new_minus_source_T_minus_N,delta_full_source_minus_new_T,delta_full_source_minus_new_U,delta_full_source_minus_new_N,delta_full_source_minus_new_T_minus_U,delta_full_source_minus_new_T_minus_N,delta_content_source_minus_new_T,delta_content_source_minus_new_U,delta_content_source_minus_new_N,delta_content_source_minus_new_T_minus_U,delta_content_source_minus_new_T_minus_N
43022,repeat_minus_clean,repeat,final,extended_nontrain,UPDATED_USE,template,rw_014297,1.0190043769776826,0.3128774702548984,0.7790086589753624,0.7061269067227842,0.23999571800232022,2.298860502739748,0.45862823724746793,1.4557441721359883,1.84023226549228,0.8431163306037597,-1.0190043769776826,-0.3128774702548984,-0.7790086589753624,-0.7061269067227842,-0.23999571800232022,-2.298860502739748,-0.45862823724746793,-1.4557441721359883,-1.84023226549228,-0.8431163306037597
43022,view_minus_clean,view,final,extended_nontrain,UPDATED_USE,template,rw_014297,-0.13292677924036944,-0.6296400815248484,-0.1289209008216856,0.49671330228447896,-0.004005878418683828,0.8652843609452248,-0.5750383536020918,0.4226542462905236,1.4403227145473165,0.44263011465470115,0.13292677924036944,0.6296400815248484,0.1289209008216856,-0.49671330228447896,0.004005878418683828,-0.8652843609452248,0.5750383536020918,-0.4226542462905236,-1.4403227145473165,-0.44263011465470115
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UPDATED_USE,template,rw_014297,-0.1521443553268904,-1.5661194369196894,-0.6289074603468183,1.413975081592799,0.4767631050199279,1.8684191728631667,-0.9676932096481314,0.7382852484782525,2.836112382511298,1.1301339243849142,0.1521443553268904,1.5661194369196894,0.6289074603468183,-1.413975081592799,-0.4767631050199279,-1.8684191728631667,0.9676932096481314,-0.7382852484782525,-2.836112382511298,-1.1301339243849142
43022,view_split_minus_clean,view_split,final,extended_nontrain,UPDATED_USE,template,rw_014297,1.2578638203442098,0.16723168492317253,0.7701259370893236,1.0906321354210373,0.4877378832548862,3.085897319018841,0.8146953384081526,1.7511699249347048,2.2712019806106882,1.334727394084136,-1.2578638203442098,-0.16723168492317253,-0.7701259370893236,-1.0906321354210373,-0.4877378832548862,-3.085897319018841,-0.8146953384081526,-1.7511699249347048,-2.2712019806106882,-1.334727394084136
43022,repeat_minus_clean,repeat,final,extended_nontrain,UPDATED_USE,template,rw2s1_002000,0.13059795983135736,0.1568272835264608,-0.07432864035169118,-0.026229323695103446,0.20492660018304854,-0.11129285488277674,-0.13169959001243114,-0.31489226408302784,0.020406735129654408,0.2035994092002511,-0.13059795983135736,-0.1568272835264608,0.07432864035169118,0.026229323695103446,-0.20492660018304854,0.11129285488277674,0.13169959001243114,0.31489226408302784,-0.020406735129654408,-0.2035994092002511
43022,view_minus_clean,view,final,extended_nontrain,UPDATED_USE,template,rw2s1_002000,-0.8411102360735345,-0.3762732638667021,-0.795212464779615,-0.4648369722068324,-0.045897771293919476,-1.233332042582333,-0.8393949177116156,-1.135415120050311,-0.3939371248707175,-0.097916922532022,0.8411102360735345,0.3762732638667021,0.795212464779615,0.4648369722068324,0.045897771293919476,1.233332042582333,0.8393949177116156,1.135415120050311,0.3939371248707175,0.097916922532022
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UPDATED_USE,template,rw2s1_002000,0.05271140274902031,0.45591483178238157,0.18172327900926177,-0.40320342903336126,-0.12901187626024146,-0.39688411820679903,0.17843014933168888,-0.04003594256937504,-0.5753142675384879,-0.356848175637424,-0.05271140274902031,-0.45591483178238157,-0.18172327900926177,0.40320342903336126,0.12901187626024146,0.39688411820679903,-0.17843014933168888,0.04003594256937504,0.5753142675384879,0.356848175637424
43022,view_split_minus_clean,view_split,final,extended_nontrain,UPDATED_USE,template,rw2s1_002000,1.11557574806114,1.7454108790804943,1.1840640105307108,-0.6298351310193544,-0.06848826246957085,1.0206771893426776,1.7914406675845385,1.4414811972528696,-0.7707634782418609,-0.420804007910192,-1.11557574806114,-1.7454108790804943,-1.1840640105307108,0.6298351310193544,0.06848826246957085,-1.0206771893426776,-1.7914406675845385,-1.4414811972528696,0.7707634782418609,0.420804007910192
43022,repeat_minus_clean,repeat,final,extended_nontrain,UPDATED_USE,template,rw2s0_006231,-0.16696038066099095,0.08151499306162213,0.02938655437901616,-0.24847537372261308,-0.1963469350400071,-0.275778086669743,0.50527577996254,0.2666319547221061,-0.7810538666322833,-0.5424100413918489,0.16696038066099095,-0.08151499306162213,-0.02938655437901616,0.24847537372261308,0.1963469350400071,0.275778086669743,-0.50527577996254,-0.2666319547221061,0.7810538666322833,0.5424100413918489
43022,view_minus_clean,view,final,extended_nontrain,UPDATED_USE,template,rw2s0_006231,0.12847203823427356,-0.2912340986852844,0.07616684050299205,0.41970613691955805,0.052305197731281616,0.48751299474388365,-0.08747221119701809,0.6685364986769851,0.5749852059409015,-0.18102350393310163,-0.12847203823427356,0.2912340986852844,-0.07616684050299205,-0.41970613691955805,-0.052305197731281616,-0.48751299474388365,0.08747221119701809,-0.6685364986769851,-0.5749852059409015,0.18102350393310163
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UPDATED_USE,template,rw2s0_006231,-0.11997307511046529,0.014815798960626125,-0.16169838358958577,-0.1347888740710914,0.04172530847912048,-0.33980406168848276,0.2179020900279287,-0.1563340067863468,-0.5577061517164119,-0.18347005490213597,0.11997307511046529,-0.014815798960626125,0.16169838358958577,0.1347888740710914,-0.04172530847912048,0.33980406168848276,-0.2179020900279287,0.1563340067863468,0.5577061517164119,0.18347005490213597
43022,view_split_minus_clean,view_split,final,extended_nontrain,UPDATED_USE,template,rw2s0_006231,0.5038513397254669,0.5395609665041168,1.0432770773768425,-0.03570962677864964,-0.5394257376513756,0.5956965884193779,0.8100428268313413,1.7767947513610123,-0.21434623841196387,-1.1810981629416344,-0.5038513397254669,-0.5395609665041168,-1.0432770773768425,0.03570962677864964,0.5394257376513756,-0.5956965884193779,-0.8100428268313413,-1.7767947513610123,0.21434623841196387,1.1810981629416344
43022,repeat_minus_clean,repeat,final,extended_nontrain,UPDATED_USE,template,rw_003281,1.1145970305361388,0.17986239194870013,0.3829225080952585,0.9347346385874382,0.7316745224408803,1.4730877255555241,0.31197796016931534,0.6208765871667614,1.1611097653862084,0.8522111383887623,-1.1145970305361388,-0.17986239194870013,-0.3829225080952585,-0.9347346385874382,-0.7316745224408803,-1.4730877255555241,-0.31197796016931534,-0.6208765871667614,-1.1611097653862084,-0.8522111383887623
43022,view_minus_clean,view,final,extended_nontrain,UPDATED_USE,template,rw_003281,-0.16763172003307492,0.29893119899955156,0.08324258264287199,-0.4665629190326266,-0.250874302675947,-0.5254111674614252,0.5239114610943938,0.12961893700994498,-1.049322628555819,-0.6550301044713702,0.16763172003307492,-0.29893119899955156,-0.08324258264287199,0.4665629190326266,0.250874302675947,0.5254111674614252,-0.5239114610943938,-0.12961893700994498,1.049322628555819,0.6550301044713702
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UPDATED_USE,template,rw_003281,0.20205950485542445,0.27242890657590957,0.31335670117821035,-0.07036940172048523,-0.11129719632278601,0.33332147796948774,0.3065175814554095,0.3497834817816816,0.026803896514078218,-0.01646200381219387,-0.20205950485542445,-0.27242890657590957,-0.31335670117821035,0.07036940172048523,0.11129719632278601,-0.33332147796948774,-0.3065175814554095,-0.3497834817816816,-0.026803896514078218,0.01646200381219387
43022,view_split_minus_clean,view_split,final,extended_nontrain,UPDATED_USE,template,rw_003281,0.4105898016398509,0.4013948937878009,-0.08706207890063489,0.009194907852049905,0.4976518805404857,0.7078279625624418,0.6180625651652614,-0.025066876100996893,0.08976539739717992,0.7328948386634382,-0.4105898016398509,-0.4013948937878009,0.08706207890063489,-0.009194907852049905,-0.4976518805404857,-0.7078279625624418,-0.6180625651652614,0.025066876100996893,-0.08976539739717992,-0.7328948386634382
43022,repeat_minus_clean,repeat,final,extended_nontrain,UPDATED_USE,template,rw2s0_000075,0.47001935029402375,-0.10988115693908185,-0.06687473878264427,0.5799005072331056,0.536894089076668,0.47001935029402375,-0.10988115693908185,-0.06687473878264427,0.5799005072331056,0.536894089076668,-0.47001935029402375,0.10988115693908185,0.06687473878264427,-0.5799005072331056,-0.536894089076668,-0.47001935029402375,0.10988115693908185,0.06687473878264427,-0.5799005072331056,-0.536894089076668
43022,view_minus_clean,view,final,extended_nontrain,UPDATED_USE,template,rw2s0_000075,0.7632635270711035,1.0380294607020915,1.2336778559256345,-0.274765933630988,-0.47041432885453105,0.7632635270711035,1.0380294607020915,1.2336778559256345,-0.274765933630988,-0.47041432885453105,-0.7632635270711035,-1.0380294607020915,-1.2336778559256345,0.274765933630988,0.47041432885453105,-0.7632635270711035,-1.0380294607020915,-1.2336778559256345,0.274765933630988,0.47041432885453105
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UPDATED_USE,template,rw2s0_000075,0.7743604953866452,1.9332056883722544,1.8940950769465417,-1.1588451929856092,-1.1197345815598965,0.7743604953866452,1.9332056883722544,1.8940950769465417,-1.1588451929856092,-1.1197345815598965,-0.7743604953866452,-1.9332056883722544,-1.8940950769465417,1.1588451929856092,1.1197345815598965,-0.7743604953866452,-1.9332056883722544,-1.8940950769465417,1.1588451929856092,1.1197345815598965
43022,view_split_minus_clean,view_split,final,extended_nontrain,UPDATED_USE,template,rw2s0_000075,0.7932395047973841,1.2228433955460787,1.3866805217694491,-0.42960389074869454,-0.593441016972065,0.7932395047973841,1.2228433955460787,1.3866805217694491,-0.42960389074869454,-0.593441016972065,-0.7932395047973841,-1.2228433955460787,-1.3866805217694491,0.42960389074869454,0.593441016972065,-0.7932395047973841,-1.2228433955460787,-1.3866805217694491,0.42960389074869454,0.593441016972065
43022,repeat_minus_clean,repeat,final,extended_nontrain,UPDATED_USE,template,rw2s1_018976,-0.5813829727870012,-0.586276106669434,-0.6177247731414219,0.004893133882432288,0.03634180035442025,-0.5813829727870012,-0.586276106669434,-0.6177247731414219,0.004893133882432288,0.03634180035442025,0.5813829727870012,0.586276106669434,0.6177247731414219,-0.004893133882432288,-0.03634180035442025,0.5813829727870012,0.586276106669434,0.6177247731414219,-0.004893133882432288,-0.03634180035442025
43022,view_minus_clean,view,final,extended_nontrain,UPDATED_USE,template,rw2s1_018976,-0.24041458276943084,0.4303274995070838,0.29432060764659074,-0.6707420822765142,-0.5347351904160211,-0.24041458276943084,0.4303274995070838,0.29432060764659074,-0.6707420822765142,-0.5347351904160211,0.24041458276943084,-0.4303274995070838,-0.29432060764659074,0.6707420822765142,0.5347351904160211,0.24041458276943084,-0.4303274995070838,-0.29432060764659074,0.6707420822765142,0.5347351904160211
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UPDATED_USE,template,rw2s1_018976,-0.5566013578680298,-0.09442706281940172,0.06634838533188603,-0.4621742950486283,-0.622949743199916,-0.5566013578680298,-0.09442706281940172,0.06634838533188603,-0.4621742950486283,-0.622949743199916,0.5566013578680298,0.09442706281940172,-0.06634838533188603,0.4621742950486283,0.622949743199916,0.5566013578680298,0.09442706281940172,-0.06634838533188603,0.4621742950486283,0.622949743199916
43022,view_split_minus_clean,view_split,final,extended_nontrain,UPDATED_USE,template,rw2s1_018976,-1.8965643521487001,-0.4826067698498564,-0.32368076007281044,-1.4139575822988437,-1.5728835920758897,-1.8965643521487001,-0.4826067698498564,-0.32368076007281044,-1.4139575822988437,-1.5728835920758897,1.8965643521487001,0.4826067698498564,0.32368076007281044,1.4139575822988437,1.5728835920758897,1.8965643521487001,0.4826067698498564,0.32368076007281044,1.4139575822988437,1.5728835920758897
43022,repeat_minus_clean,repeat,final,extended_nontrain,UPDATED_USE,template,rw2s0_018586,1.8437540645245463,0.8026213049888611,0.382225826382637,1.0411327595356852,1.4615282381419092,1.567793112481013,-0.16569983959197998,0.29241418838500977,1.733492952072993,1.2753789240960032,-1.8437540645245463,-0.8026213049888611,-0.382225826382637,-1.0411327595356852,-1.4615282381419092,-1.567793112481013,0.16569983959197998,-0.29241418838500977,-1.733492952072993,-1.2753789240960032
43022,view_minus_clean,view,final,extended_nontrain,UPDATED_USE,template,rw2s0_018586,1.0326771829277277,-0.7303755283355713,0.06542332470417023,1.763052711263299,0.9672538582235575,0.5699890647083521,-1.2528051137924194,-0.025960326194763184,1.8227941785007715,0.5959493909031153,-1.0326771829277277,0.7303755283355713,-0.06542332470417023,-1.763052711263299,-0.9672538582235575,-0.5699890647083521,1.2528051137924194,0.025960326194763184,-1.8227941785007715,-0.5959493909031153
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UPDATED_USE,template,rw2s0_018586,2.445666922489181,1.5486828088760376,1.713786855340004,0.8969841136131436,0.7318800671491772,3.3160996271762997,2.458096146583557,3.062545657157898,0.8580034805927426,0.25355397001840174,-2.445666922489181,-1.5486828088760376,-1.713786855340004,-0.8969841136131436,-0.7318800671491772,-3.3160996271762997,-2.458096146583557,-3.062545657157898,-0.8580034805927426,-0.25355397001840174
43022,view_split_minus_clean,view_split,final,extended_nontrain,UPDATED_USE,template,rw2s0_018586,1.887738268589601,0.8541253805160522,0.28778477013111115,1.0336128880735487,1.5999534984584898,2.0948544254060835,0.5884748697280884,0.6711918115615845,1.506379555677995,1.423662613844499,-1.887738268589601,-0.8541253805160522,-0.28778477013111115,-1.0336128880735487,-1.5999534984584898,-2.0948544254060835,-0.5884748697280884,-0.6711918115615845,-1.506379555677995,-1.423662613844499
