family,arch,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain
rewrite,RBT,RBT_R_43022,chck_100M,43022,R,token_nonoverlap,2732,0.21102166743090003,9.456511891691088,9.667533559121988,1.059112147713336,0.020262900030725645
rewrite,RBT,RBT_R_43022,chck_100M,43022,R,token_overlap,3160,0.8597256053852129,8.593169763042956,9.45289536842817,1.054769807194996,0.01876351281996498
rewrite,RBT,RBT_R_43022,chck_60M,43022,R,ALL,5892,0.5794302340032936,9.012387589662154,9.591817823665448,1.0061756949119698,0.01310818171500749
rewrite,RBT,RBT_R_43022,chck_60M,43022,R,token_nonoverlap,2732,0.22381211697269848,9.479921268160137,9.703733385132836,0.8854922613593568,0.01694120986964854
rewrite,RBT,RBT_R_43022,chck_60M,43022,R,token_overlap,3160,0.8868823529044284,8.608178092935418,9.495060445839846,1.0029453967205735,0.017841597930393076
rewrite,RBT,RBT_R_43022,chck_70M,43022,R,ALL,5892,0.6071627602153138,8.807213463996918,9.414376224212232,1.085851626270927,0.01414617795348456
rewrite,RBT,RBT_R_43022,chck_70M,43022,R,token_nonoverlap,2732,0.20936082013354992,9.364971143260359,9.574331963393908,0.9611419362843027,0.018388537051827143
rewrite,RBT,RBT_R_43022,chck_70M,43022,R,token_overlap,3160,0.9510851970201806,8.325000179266627,9.276085376286808,1.0698981924115925,0.019032634715586798
rewrite,RBT,RBT_R_43022,chck_80M,43022,R,ALL,5892,0.522399052218847,8.981256932364138,9.503655984582986,1.0349832047382699,0.01348347807276044
rewrite,RBT,RBT_R_43022,chck_80M,43022,R,token_nonoverlap,2732,0.1512475952746055,9.4787131513893,9.629960746663905,0.9456417153567508,0.018091987316478292
rewrite,RBT,RBT_R_43022,chck_80M,43022,R,token_overlap,3160,0.8432806282858305,8.551177694903144,9.394458323188974,1.0010567667478332,0.01780800071092021
rewrite,RBT,RBT_R_43022,chck_90M,43022,R,ALL,5892,0.5543180698047102,9.01132801500859,9.5656460848133,1.0950486660607681,0.014265994472026025
rewrite,RBT,RBT_R_43022,chck_90M,43022,R,token_nonoverlap,2732,0.19835053774832284,9.482363073927068,9.68071361167539,1.0384532360493102,0.019867654387763715
rewrite,RBT,RBT_R_43022,chck_90M,43022,R,token_overlap,3160,0.8620722778990298,8.604091375462616,9.466163653361646,1.0484563000179097,0.018651200567520784
rewrite,RBT,RBT_V_43022,chck_100M,43022,V,ALL,5892,1.1575519555910299,7.573535940286786,8.731087895877817,1.6502038247812505,0.021498404017725275
rewrite,RBT,RBT_V_43022,chck_100M,43022,V,token_nonoverlap,2732,0.7968469062822804,8.056563733470126,8.853410639752406,1.6910038937303677,0.032352232881291125
rewrite,RBT,RBT_V_43022,chck_100M,43022,V,token_overlap,3160,1.4694020172085942,7.155930898838405,8.625332916047,1.5477656812541303,0.02753351584811223
rewrite,RBT,RBT_V_43022,chck_60M,43022,V,ALL,5892,0.590388941667716,8.771175999545921,9.361564941213638,1.0549625570958423,0.01374376360994402
rewrite,RBT,RBT_V_43022,chck_60M,43022,V,token_nonoverlap,2732,0.2516569238630605,9.152561237487403,9.404218161350462,0.95254190278396,0.018224001483564074
rewrite,RBT,RBT_V_43022,chck_60M,43022,V,token_overlap,3160,0.8832420659216145,8.441446736869933,9.324688802791547,1.051544484489237,0.018706136903888112
rewrite,RBT,RBT_V_43022,chck_70M,43022,V,ALL,5892,0.9744272395331116,8.301260515915967,9.275687755449079,1.4506664154866136,0.018898885232683703
rewrite,RBT,RBT_V_43022,chck_70M,43022,V,token_nonoverlap,2732,0.6940613794379143,8.648098192225438,9.342159571663352,1.501394960764108,0.02872464078736324
rewrite,RBT,RBT_V_43022,chck_70M,43022,V,token_overlap,3160,1.2168194957926304,8.001399588169932,9.21821908396256,1.3595035334024679,0.024184482532375918
rewrite,RBT,RBT_V_43022,chck_80M,43022,V,ALL,5892,1.0875850800938212,7.880654889015381,8.968239969109202,1.603141153634052,0.020885284411963887
rewrite,RBT,RBT_V_43022,chck_80M,43022,V,token_nonoverlap,2732,0.7842951703974828,8.29622282188162,9.080517992279104,1.6842077497893897,0.032222209270885205
rewrite,RBT,RBT_V_43022,chck_80M,43022,V,token_overlap,3160,1.34979648303382,7.521372739461404,8.871169222495224,1.4803314703470736,0.026333915070551422
rewrite,RBT,RBT_V_43022,chck_90M,43022,V,ALL,5892,1.148249484922355,7.616111714248745,8.7643611991711,1.6398298339882107,0.02136325450346785
rewrite,RBT,RBT_V_43022,chck_90M,43022,V,token_nonoverlap,2732,0.7912675558888022,8.089001487433299,8.880269043322102,1.6828610756342457,0.03219644474364551
rewrite,RBT,RBT_V_43022,chck_90M,43022,V,token_overlap,3160,1.4568806969855406,7.207271568571465,8.664152265557005,1.5362288105712576,0.027328284128846362
