seed,arm,checkpoint,group,n,accuracy_pct,mean_relevant_updates,mean_total_ops,mean_prefix_words,mean_reported_numops,stale_available_not_gold_n,stale_pick_pct_among_all_wrong,stale_pick_pct_among_wrong_stale_available_not_gold
43222,V,chck_80M,total_ops_0,304,36.8421052631579,0.0,0.0,61.473684210526315,0.0,0,0.0,nan
43222,V,chck_80M,total_ops_1,331,34.74320241691843,0.22356495468277945,1.0,69.66465256797584,0.22356495468277945,0,0.0,nan
43222,V,chck_80M,total_ops_10,733,25.238744884038198,2.8076398362892223,10.0,141.51841746248294,2.8649386084583903,186,7.481751824817518,31.297709923664122
43222,V,chck_80M,total_ops_11,828,24.396135265700483,2.9504830917874396,11.0,149.18961352657004,3.0253623188405796,234,10.383386581469649,36.51685393258427
43222,V,chck_80M,total_ops_12,919,22.089227421109904,3.115342763873776,12.0,158.37431991294886,3.188248095756257,227,9.776536312849162,40.229885057471265
43222,V,chck_80M,total_ops_2,339,29.20353982300885,0.4424778761061947,2.0,77.53687315634218,0.4424778761061947,7,1.25,60.0
43222,V,chck_80M,total_ops_3,358,27.374301675977655,0.723463687150838,3.0,85.74022346368714,0.723463687150838,13,3.076923076923077,72.72727272727273
43222,V,chck_80M,total_ops_4,369,26.287262872628727,1.005420054200542,4.0,93.0,1.013550135501355,27,4.044117647058823,52.38095238095238
43222,V,chck_80M,total_ops_5,393,25.44529262086514,1.3231552162849873,5.0,101.42493638676845,1.3384223918575064,43,4.09556313993174,40.0
43222,V,chck_80M,total_ops_6,446,25.56053811659193,1.6591928251121075,6.0,109.03363228699551,1.6793721973094171,75,6.927710843373494,45.09803921568628
43222,V,chck_80M,total_ops_7,508,24.212598425196852,2.045275590551181,7.0,117.93897637795276,2.0688976377952755,114,10.64935064935065,47.12643678160919
43222,V,chck_80M,total_ops_8,592,22.972972972972972,2.285472972972973,8.0,126.08952702702703,2.322635135135135,131,9.429824561403509,41.74757281553398
43222,V,chck_80M,total_ops_9,660,25.757575757575758,2.5196969696969695,9.0,134.4,2.5757575757575757,164,10.0,41.1764705882353
43222,V,chck_80M,type_ambiref,2315,24.449244060475163,2.0872570194384448,7.525701943844492,133.09330453563715,2.0872570194384448,399,5.717552887364208,34.96503496503497
43222,V,chck_80M,type_move_contents,2227,26.5828468792097,1.8792096991468343,7.292321508756174,113.54916928603502,1.995958688819039,381,7.82874617737003,43.986254295532646
43222,V,chck_80M,type_regular,2238,26.630920464700626,2.0178731009830204,7.254691689008043,114.66398570151921,2.0178731009830204,441,8.404384896467722,41.44144144144144
43222,V,chck_90M,ALL,6780,26.002949852507374,1.9960176991150442,7.359587020648967,120.59041297935103,2.0343657817109144,1221,7.195535180386686,39.539978094194964
43222,V,chck_90M,rel0_total_ops_0,304,40.78947368421053,0.0,0.0,61.473684210526315,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_1,257,39.29961089494164,0.0,1.0,69.715953307393,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_10,36,25.0,0.0,10.0,143.72222222222223,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_11,32,34.375,0.0,11.0,148.96875,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_12,30,30.0,0.0,12.0,157.36666666666667,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_2,212,35.84905660377358,0.0,2.0,77.93867924528301,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_3,172,37.2093023255814,0.0,3.0,85.88372093023256,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_4,131,37.404580152671755,0.0,4.0,93.36641221374046,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_5,104,36.53846153846154,0.0,5.0,100.5673076923077,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_6,88,38.63636363636363,0.0,6.0,107.64772727272727,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_7,66,31.818181818181817,0.0,7.0,117.81818181818181,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_8,63,36.507936507936506,0.0,8.0,127.47619047619048,0.0,0,0.0,nan
43222,V,chck_90M,rel0_total_ops_9,46,32.608695652173914,0.0,9.0,134.91304347826087,0.0,0,0.0,nan
43222,V,chck_90M,rel_ge1,5239,22.69517083412865,2.5831265508684864,8.527772475663294,129.96087039511357,2.632754342431762,1221,8.91358024691358,39.539978094194964
43222,V,chck_90M,rel_ge2,3916,24.69356486210419,3.1179775280898876,9.274770173646578,136.0349846782431,3.171859039836568,1205,12.071888775856223,39.29359823399559
43222,V,chck_90M,rel_ge3,2650,25.962264150943398,3.6520754716981134,9.80188679245283,140.93735849056603,3.690943396226415,716,10.448521916411824,38.89943074003795
43222,V,chck_90M,rel_updates_0,1541,37.248539909149905,0.0,3.388059701492537,88.73329007138221,0.0,0,0.0,nan
43222,V,chck_90M,rel_updates_1,1323,16.780045351473923,1.0,6.316704459561603,111.98185941043084,1.037037037037037,16,0.45413260672116257,71.42857142857143
43222,V,chck_90M,rel_updates_2,1266,22.03791469194313,2.0,8.171406003159557,125.77330173775671,2.085308056872038,489,15.29888551165147,39.84168865435356
43222,V,chck_90M,rel_updates_3,1230,23.983739837398375,3.0,9.44308943089431,137.81463414634146,3.0658536585365854,296,9.946524064171124,41.150442477876105
43222,V,chck_90M,rel_updates_4,1112,27.697841726618705,4.0,10.02158273381295,142.931654676259,4.01978417266187,326,11.069651741293532,37.71186440677966
43222,V,chck_90M,rel_updates_5,308,27.5974025974026,5.0,10.441558441558442,146.2077922077922,5.0,94,10.31390134529148,35.38461538461539
43222,V,chck_90M,reported_numops_0,1541,37.248539909149905,0.0,3.388059701492537,88.73329007138221,0.0,0,0.0,nan
43222,V,chck_90M,reported_numops_1,1274,15.463108320251177,1.0,6.229199372056515,111.54709576138147,1.0,0,0.0,nan
43222,V,chck_90M,reported_numops_2,1217,22.021364009860314,1.9597370583401807,8.054231717337716,125.22267871815941,2.0,481,15.700737618545837,40.270270270270274
43222,V,chck_90M,reported_numops_3,1240,24.919354838709676,2.9290322580645163,9.390322580645162,137.26693548387098,3.0,289,9.559613319011815,41.2037037037037
43222,V,chck_90M,reported_numops_4,1175,26.97872340425532,3.9191489361702128,10.04595744680851,142.60936170212767,4.0,351,11.655011655011656,38.46153846153846
43222,V,chck_90M,reported_numops_5,333,29.42942942942943,4.915915915915916,10.483483483483484,145.88888888888889,5.0,100,9.787234042553191,34.32835820895522
43222,V,chck_90M,total_ops_0,304,40.78947368421053,0.0,0.0,61.473684210526315,0.0,0,0.0,nan
43222,V,chck_90M,total_ops_1,331,35.04531722054381,0.22356495468277945,1.0,69.66465256797584,0.22356495468277945,0,0.0,nan
43222,V,chck_90M,total_ops_10,733,25.648021828103683,2.8076398362892223,10.0,141.51841746248294,2.8649386084583903,186,7.889908256880734,32.57575757575758
43222,V,chck_90M,total_ops_11,828,24.63768115942029,2.9504830917874396,11.0,149.18961352657004,3.0253623188405796,234,10.576923076923077,36.87150837988827
43222,V,chck_90M,total_ops_12,919,23.286180631120782,3.115342763873776,12.0,158.37431991294886,3.188248095756257,227,8.794326241134751,36.25730994152047
43222,V,chck_90M,total_ops_2,339,28.31858407079646,0.4424778761061947,2.0,77.53687315634218,0.4424778761061947,7,1.2345679012345678,60.0
43222,V,chck_90M,total_ops_3,358,27.094972067039105,0.723463687150838,3.0,85.74022346368714,0.723463687150838,13,3.4482758620689653,75.0
43222,V,chck_90M,total_ops_4,369,24.932249322493224,1.005420054200542,4.0,93.0,1.013550135501355,27,4.332129963898917,54.54545454545455
43222,V,chck_90M,total_ops_5,393,24.681933842239186,1.3231552162849873,5.0,101.42493638676845,1.3384223918575064,43,4.72972972972973,46.666666666666664
43222,V,chck_90M,total_ops_6,446,26.681614349775785,1.6591928251121075,6.0,109.03363228699551,1.6793721973094171,75,6.422018348623853,41.1764705882353
43222,V,chck_90M,total_ops_7,508,23.031496062992126,2.045275590551181,7.0,117.93897637795276,2.0688976377952755,114,10.485933503836318,46.06741573033708
43222,V,chck_90M,total_ops_8,592,23.64864864864865,2.285472972972973,8.0,126.08952702702703,2.322635135135135,131,8.628318584070797,38.23529411764706
43222,V,chck_90M,total_ops_9,660,24.09090909090909,2.5196969696969695,9.0,134.4,2.5757575757575757,164,10.179640718562874,42.5
43222,V,chck_90M,type_ambiref,2315,24.535637149028076,2.0872570194384448,7.525701943844492,133.09330453563715,2.0872570194384448,399,5.495134516313681,33.56643356643357
43222,V,chck_90M,type_move_contents,2227,27.256398742703187,1.8792096991468343,7.292321508756174,113.54916928603502,1.995958688819039,381,7.839506172839506,43.05084745762712
43222,V,chck_90M,type_regular,2238,26.273458445040216,2.0178731009830204,7.254691689008043,114.66398570151921,2.0178731009830204,441,8.363636363636363,41.566265060240966
